title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Sunny day, Funny Day","We select a place in the terrace, on Puerto Madero ""beach"" front...
We order some Aperol Spritz appetizer....
We order a bottel of delicious Malbec...
We order a big and succulent Bife Chorizo....
The day was a sunny day with plenty light and energy....
The service has been incredile...
Location and design at the top level
The price a little hight...
At the end of this expierience we decide to repeat it. ... Too funny day",October 2019,Cabana Las Lilas,https://www.tripadvisor.com/Restaurant_Review-g312741-d874900-Reviews-Cabana_Las_Lilas-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,5.0,4.5
I'm a King,"Duino is a small town with 2 castles in front of the mediterranean see. The oldest has a bad path to reach the ruins, but it is complitely safe.Below it there's the rock of Dama Bianca, that look incredible from the see, asher own fantastic history. Inside the new castle ther´s a museum of historic art. If you are looking for a special wedding location, you can hire it to celebrate your wonderfull moments. The bunker is something incredible that take you back to the first and second world wars. I really enjoied the expirience.",August 2019,Castle of Duino,https://www.tripadvisor.com/Attraction_Review-g227664-d1832267-Reviews-Castle_of_Duino-Duino_Province_of_Trieste_Friuli_Venezia_Giulia.html,"Duino, Italy",attractions,5.0,4.5
Do not miss it,"Well, we has been invited by a friend of us and we went here with a lot of hungry!! We were in 6 and we order so many dishes!! All incredible, great list of wine. New taste, new place and new expirience. Service vas really good. We had drink a Roca MAdre wine wich has been a superb selection. A malbec with the freshness of pinot noir. Do not miss it",September 2019,Mishiguene,https://www.tripadvisor.com/Restaurant_Review-g312741-d7236811-Reviews-Mishiguene-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,5.0,4.5
One of the best Meat Restaurant in BA,"This has been an axcellent choice. We went here invited by an Argentino, wich said us : I love you and if you wonna eat parrilla, I show you a great place !! Well , the place is not a luxury place or 3 star michelin , but the service is wonderfull and the meat is deliciouse. Each dish is good enough for 2 people. The teatst is incredible and the waiters are really gentely. Of course, the place will appear fabulous if you go with a good number of good friends!!",September 2019,Parrilla Peña,https://www.tripadvisor.com/Restaurant_Review-g312741-d1067958-Reviews-Parrilla_Pena-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",restaurants,5.0,4.5
Good and comfortable,"First time I have been here. Service is really good, rooms and space are new and comfortable. The breakfast is good. Location is really good as well as the security alla around. Usually I go in a 5 star Hotel and this Hotel, that has a lower calification, really surprise me!!",September 2019,Carles Hotel Buenos Aires,https://www.tripadvisor.com/Hotel_Review-g312741-d11624230-Reviews-Carles_Hotel_Buenos_Aires-Buenos_Aires_Capital_Federal_District.html,"Buenos Aires, Argentina",hotels,4.0,5.0
This is the place !,"If you go to Athens, you must vist Plaka! For the History but at the same time for shopping and lunch or dinner things!! Efharistò Athens",August 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
ZEUS MODE,"We went in august! 2pm ! 35 celsius!! Was incredible the power of sensation, the ancient magnificents, the perfection of the art and the deep of the culture!! This walk is easy and the cost of the entrance is cheep. You can buy the ticket at the entrance or by web (of course with web's option you can avoid a long line). Of course your picture or selfie will be beautifull!!!!",August 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Relax! No noise!! I'm happy,"Well, we arrive in Athens around mid august. We choice Grand Hyatt first of all because is a Hyatt that means quality, and second for the dimension of the rooms. Price was good enough too. The location is not to far by the centre. 15 min by foot and 3 min by taxi. The taxi cost is cheep (between 5 and 10 euro each trip). The external /perimetral environment in not good, but at the end this will not affect your holidays. Breakfast good, lobby good. Owesome the entrance room's door!!! because are using a antinoise/soundproof doors. !!! When you are in your room, you will not listen neither the service with vacum cleaner!!!",August 2019,Grand Hyatt Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d15009871-Reviews-Grand_Hyatt_Athens-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
The best in South America,"In my opinion, LATAM is the best in South America. Plenty destinations, pretty good machine, but sometimes the 319 or 320 has poor space for the legs. For the medium long flight I suggest to verify if it is available a 787 or similar. Punctuality is one of their strenght. The cost for the flights are a little bit higher of other companies, but in my opinion the punctuality and availability is all I need for my best comfort and to have a good holiday!!",September 2019,LATAM Airlines,https://www.tripadvisor.com/Airline_Review-d10290698-Reviews-LATAM-Airlines,World,flights,4.0,3.5
Paint Paint Paint,This is a really good museum. Just colonial pintures. The building is an historic one and the location is in the bohemian block of Barranco.,July 2019,Museo Pedro de Osma,https://www.tripadvisor.com/Attraction_Review-g294316-d316232-Reviews-Museo_Pedro_de_Osma-Lima_Lima_Region.html,"Lima, Peru",attractions,5.0,4.5
