title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The Positive Was That We Landed Safely,"Needing to get to Athens from New York, flying through Rome seemed a logical way to get there (less layover time and a very short second flight) so Alitalia was a logical choice. I booked two Magnifica Class seats for my husband and I, read reviews (which I always try to read many of as, of course, everyones opinions are different) and felt that it would be fine. The check in at JFK was pleasant so all seemed off to a good start. That is until the lounge. The Alitalia lounge at JFK is a disgrace, outdated, dirty and lacking in any amenities. We boarded the plane, the interior was dated and worn but overall looked fine. The seats were comfortable and roomy. The crew on the plane clearly did not want to be there. Rude, dismissive and couldn't be bothered to even be asked for water. Dinner was served (the food was pretty good) and then they all vaporized, nobody could be found for even a simple request. It was an overnight flight so not the worst thing. We landed early (which was nice), made our connection to Athens (again, very dicey interior on the flight, but it's very short flight). On the return trip, again, the flights were on time (which was wonderful as we were making a connection) but the check-in desk in Athens could not have been ruder if they tried! Again, the two Alitalia planes we were on had the same issue. I noticed more as they were daytime flights, the interior was very worn. The food was good but again, the staff was unavailable (I asked for a Vodka with soda water only to be told that they don't have Vodka on the plane. I know that the flight attendant didn't want to go to another cabin to get it!) Since there are so many European carriers and American carriers that fly to Europe, I would suggest to never waste your time with Alitalia Business class. Expensive business product that is not worth it at all.",October 2019,Alitalia,https://www.tripadvisor.com/Airline_Review-d8729018-Reviews-Alitalia,World,flights,1.0,3.0
Eh.....,"After having such amazing food in Athens and Santorini, we tried Sphinx at the recommendation of our hotel and some others. Maybe it was just an ""off night"" since it was a Wednesday but our appetizers were simply ""eh"" at best (my husband had a Scallops appetizer with three scallops that were the size of nickels served on inedible seaweed that was smoked with an awful odor for 21 euro!), I had an traditional Greek egg-based appetizer that was much different that it was described and very much a breakfast dish. I had pasta for dinner and my husband had fish, both of which were just ok. The waiter was unpleasant (which was the opposite of everyone else we had encountered on the island) so that made dinner seem very long. All in all, there are so many restaurants in the area, I personally wouldn't recommend this one.",October 2019,Sphinx Wine Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482941-d10219113-Reviews-Sphinx_Wine_Restaurant-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,2.0,4.5
Perfect Place for Tapas,"We had spent the day on a boat but were a little hungry later at night. We went to Melitini (without a reservation) and they were very accommodating and nice. The tapas was fantastic (don't be fooled by the word tapas, everything we ordered was very hearty and the portions were wonderful), the prices were very reasonable and the food was great. Definitely recommend!",October 2019,Melitini,https://www.tripadvisor.com/Restaurant_Review-g482941-d6467764-Reviews-Melitini-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Top Notch,"We were referred to Fino by the concierge at out hotel when we asked for something ""not too touristy."" Wow! The owners, waiters and bartenders could not have been nicer, the service was perfect and the food was truly fantastic and innovative. We liked it so much, we ended up eating there three different nights and were so happy that we did. Highly, highly recommend!!!",October 2019,Fino Cocktail Bar & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482941-d6896798-Reviews-Fino_Cocktail_Bar_Restaurant-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Heaven on Earth,"My husband and I decided about a month prior to take a trip to Greece and chose Santorini as our destination. One of the best decisions we ever made. Canaves Oia Suites was the perfect place to rest and just enjoy life. The suite (we were in a Pool Suite) was fabulous, the staff was so, so nice and so helpful, the view is incredible and the location is very convenient to get anywhere in the village. Not only do I highly recommend, we are planning another visit next year. Wonderful!",October 2019,Canaves Oia Suites,https://www.tripadvisor.com/Hotel_Review-g482941-d9456057-Reviews-Canaves_Oia_Suites-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,5.0
Awe Inspiring,"Worth every step up the (large) hill, the views are fantastic and the history is fascinating. The walk down is much easier and stopping at the Acropolis Museum is worth the trip!",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Awesome,"Having been to many different ruins throughout the world, we approached the Parthenon (our first visit) expecting more of the ""same."" We were fantastically surprised. The area is beautiful, the sites truly awesome and the walk very refreshing. The only drawback is that it would not be easy to navigate for people with compromised ability to walk up uneven paths, hills and slippery surfaces.",October 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Modern and interesting,"Beautiful museum displaying many of the artifacts unearthed during the excavation of the Acropolis. Interesting, well laid out and easy to navigate.",October 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Simply Fabulous!,"My husband and I recently spent one night here (10/21-22) en route to Santorini. We had booked a suite but when we checked in were told that we were to be upgraded. Upgraded we were! I believe the suite was the same size, however, we had balconies that directly overlooked the Parliament building and the Acropolis. The view was heavenly, the room was fantastic and the service could not have been better. We had dinner at Tudor Hall in the hotel and everything was wonderful. The concierge readily recommended restaurants for lunch and both were spectacular. We highly recommend The King George, incredible rooms, wonderful staff and perfect location.",October 2019,"King George, a Luxury Collection Hotel, Athens",https://www.tripadvisor.com/Hotel_Review-g189400-d276262-Reviews-King_George_a_Luxury_Collection_Hotel_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Parahhhhhhdise,"To say that Hermitage Bay is paradise would be a huge understatement. It is truly heaven on earth. From the airport pickup onward, everything we experienced was beyond expectations. Our room (Suite 23) was beautiful with a wonderful view and beautiful pool. It was very private and always exceptionally well attended. The restaurant (yes, there is only one but don’t let that fool you!) was incredible, the food fabulous and the variety changing constantly. Whether breakfast, lunch or dinner, the menu changed everyday during our weeklong stay. The quality and imagination of the food was comparable to anything we find her in Northern NJ or NYC. The bar area has amazing views and a wonderful atmosphere. The staff of the restaurant and bar deserve many kudos. To name some of our personal favorites are: Antony, Annette, Geron, Jamool, Linda, Michael, Casie, Shadey, Rozlyn, Shaneka and Zeke, just to name a few! They were all incredible, friendly, fun and so welcoming. Just fantastic people! The beach was quiet, clean and peaceful. The service on the beach and the main pool was incomparable. Everyone and everything was wonderful. We will be returning very soon!!!",January 2019,Hermitage Bay,https://www.tripadvisor.com/Hotel_Review-g1184718-d634067-Reviews-Hermitage_Bay-Saint_Mary_s_Antigua_Antigua_and_Barbuda.html,Antigua,hotels,5.0,5.0
