title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Fantastic. Try to go with Enrique as the instructor,"Our instructor was Enrique and made the experience amazingly enjoyable and secure. To be honest, when I walked in I immediately said I would not do the twister but after a trial with him I felt confident enough to do it. What a pleasant thing to do in Barcelona.",May 2021,Windoor Realfly,https://www.tripadvisor.com/Attraction_Review-g911482-d21087080-Reviews-Windoor_Realfly-Cornella_de_Llobregat_Catalonia.html,"Cornella de Llobregat, Spain",attractions,5.0,5.0
Best value for money and genuine Ecuadorian food,"Very large dishes, excellent quality of food and the atmosphere that goes with it. A pity that the menu does not serve Ecuadorian beer but the rest is just perfect. Expect some queue.",May 2021,El Campeon Chonero,https://www.tripadvisor.com/Restaurant_Review-g665810-d11712499-Reviews-El_Campeon_Chonero-L_Hospitalet_de_Llobregat_Catalonia.html,"L'Hospitalet de Llobregat, Spain",restaurants,5.0,4.0
"Great view, sophisticated food","Probably one of the most sophisticated cuisine you will find in and around Catalonia.
A real shame that a restaurant like this does not propose organic local wines on the wine list.
Else I would have given full marks.",May 2021,Restaurant Hotel Aiguablava,https://www.tripadvisor.com/Restaurant_Review-g609015-d996002-Reviews-Restaurant_Hotel_Aiguablava-Begur_Costa_Brava_Province_of_Girona_Catalonia.html,"Begur, Spain",restaurants,4.0,4.0
Almost perfect but some big flows,"We found the view we expected, the location we expected but there are a flew flows with the value you get for the price.
First the bedrooms chairs have metal legs, well designed from an esthetic point of view but not practical: I hurt my toes several times because they were sticking out.
Second, no rubbish bin in the bedroom so we started collecting empty bottles on the desks.
Only a small bin in the bathroom. Very strange.
Then in the bathroom no Q-tips were available, the tissue box was... empty (!) and the shower stopped working at some point. I called the reception and no one could speak either English or French but eventually the water came back.
The sliding door to the toilet was very difficult to open and close, once I thought I would get stuck inside.
The above is a shame and not acceptable for the price one pays.
This said I would like to end with some other positive points than just the view:
From the hotel you can walk down to the rocks and enjoy the quietness, sun and breeze from the sea. The hotel will tell you that they are not responsible if something happens to you though.
We saw a couple of very cute wild cats that someone is feeding, between the hotel and the sea, on the hills. Very nice and kind and I hope it is someone from the hotel. It was nice to see them playing around in the wild.
In room dining and bfast was very good.
The hotel was very clean everywhere.",May 2021,Parador De Aiguablava,https://www.tripadvisor.com/Hotel_Review-g609015-d288411-Reviews-Parador_De_Aiguablava-Begur_Costa_Brava_Province_of_Girona_Catalonia.html,"Begur, Spain",hotels,4.0,4.0
"Perfect service and concept, excellent food",We just found there what we were looking for. Not cheap but the delivery is excellent. Very nice organic red wine.,May 2021,Calau,https://www.tripadvisor.com/Restaurant_Review-g1072491-d3294523-Reviews-Calau-Calella_de_Palafrugell_Palafrugell_Costa_Brava_Province_of_Girona_Cataloni.html,"Calella de Palafrugell, Spain",restaurants,5.0,4.5
"Refined food, excellent service in a rural setting","Really enjoyed our lunch. Excellent escargots, and amazing artichokes. Organic wine is available and the desserts were very nice, way above what you normally find in Spain.
Excellent service.
A little pricey.",March 2021,Cal Trave,https://www.tripadvisor.com/Restaurant_Review-g2501361-d2475688-Reviews-Cal_Trave-Solivella_Province_of_Tarragona_Catalonia.html,"Solivella, Spain",restaurants,5.0,4.5
Cute but forgettable,Great deco and presentation of the products. The empanadas are good but there is much better elsewhere in Gracia. I did not find the owner super friendly.,March 2021,El Viejo Almacen,https://www.tripadvisor.com/Restaurant_Review-g187497-d8826343-Reviews-El_Viejo_Almacen-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,3.0,4.5
Greatly improved,"This place has really become cute and most importantly makes the best espressos in Gracia. Super strong, best to take before going to the gym.",March 2021,Syra Coffee,https://www.tripadvisor.com/Restaurant_Review-g187497-d8766346-Reviews-Syra_Coffee-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,5.0,4.5
Could be so much better,"The place is as nice as it is on the pics, if not better. And the food is good too, with for Valentine's day, a few pieces of organic meat. That saved the review from going into ''poor'.
Now, the disappointing parts:
- No decoration on Valentine's day
- No organic wines on the wine list
- Cheap old English music in the background when there are so many good and young local artists.
- We asked for Champagne and we were bought Cava.
- We asked Cognac and we were brought twice Brandy.
- One of the waiters had his mask serving all along under his nose
- The water was brought with slices of lemon whose skins were full of dark dots from being old
- There was a very large rubbish bin in the wide open at the foot of the kitchen stairs. Doesn't look good in a ball room.

A shame because the food was worth the trip.",February 2021,El Xalet de Montjuic,https://www.tripadvisor.com/Restaurant_Review-g187497-d2291674-Reviews-El_Xalet_de_Montjuic-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,3.0,3.5
Nice typical atmosphere and good food,"I am always worried with these tourists spots but since business is tough right now, even those really pay good attention. Service and food were good, and the value for price really descent.",January 2021,Restaurante Salamanca,https://www.tripadvisor.com/Restaurant_Review-g187497-d1007529-Reviews-Restaurante_Salamanca-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,4.0,3.5
Don't look at the location and the outside aspect of the restaurant.. the food is great!,"The first impression isn't very good because it looks like any restaurant but the food is really excellent. The type of place where you have not even finished you are already planning when you will go back.
Terrible smell of oil inside, which is a shame so don't go with a suit but your stomach will be very happy.",December 2020,Maxi Restaurante,https://www.tripadvisor.com/Restaurant_Review-g187497-d1975496-Reviews-Maxi_Restaurante-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,5.0,3.5
A little overated but worth a visit,"The restaurant is very beautiful and decorated with taste, the service is excellent and the food is good. A number of dishes made with local products are available and so are some vegan choices given.
The daily menu at 25 euros though is too expensive for what you get and the coffee wasn't good. Remains a place you must try once.",October 2020,Can Berri,https://www.tripadvisor.com/Restaurant_Review-g1078960-d12087919-Reviews-Can_Berri-Viladrau_Province_of_Girona_Catalonia.html,"Viladrau, Spain",restaurants,4.0,4.5
Photographic tour,"We took what I had assumed would be a panoramic tour where we could stop and take pictures from the heights. Turns out it was mostly going down to the river under the woods then back up to the village rather than going on the top of the hills surrounding Villadrau but it was very pleasant nonetheless, beautiful and instructive.",October 2020,Espai Montseny,https://www.tripadvisor.com/Attraction_Review-g1078960-d6756096-Reviews-Espai_Montseny-Viladrau_Province_of_Girona_Catalonia.html,"Viladrau, Spain",attractions,4.0,4.0
"Super deco, drinks, food and service","As nice as what I had been told it would be. I discovered the amazing Pisco Sour with nice food (not super sophisticated but perfect for the drink experience). Excellent service, stickers given as a gift and overall a very good vibe in this place. A little pricy so watch the drinks.",October 2020,Kiltro Restobar,https://www.tripadvisor.com/Restaurant_Review-g187497-d17423137-Reviews-Kiltro_Restobar-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,5.0,5.0
