title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Fabulous view, lovely staff and good food","Visited here twice on our recent visit to the area - once for lunch and the other for dinner. Hadn't realised the Eat Out to Help Out promotion was on when we went for lunch (first day!) and the place was very busy! The girls on duty were rushed off their feet and some people were not very patient but we had no complaints as could see they were being bombarded. We just had one soup and one cheesecake, with a coffee each. Delighted it was half price at £7.50 total! Can't complain at that - and the view is magnificent over the golf course to the sea. Also went here for dinner on the Thurs and we were the only table in at 8pm (no promotion!) Service great and the fish and chips delicious. Would recommend.",August 2020,Newburgh on Ythan Golf Club,https://www.tripadvisor.com/Attraction_Review-g191276-d3296737-Reviews-Newburgh_on_Ythan_Golf_Club-Ellon_Aberdeenshire_Scotland.html,"Ellon, United Kingdom",attractions,4.0,4.5
Super views but steep climb,"Mither Tap is part of the Bennachie Range and is a very popular hill to climb. It has superb paths to the top but it is quite steep and shouldn't be undertaken lightly!! Having said that, lots of children were going up with families! There is a Pictish fort at the top too (wouldn't have wanted that job!) and the views are worth the effort. Good car park at the bottom (free at moment as visitor centre and toilets are closed due to virus) and well signposted. If you are so inclined, might want to go on and explore other hills in the range that are visible from the top!!",August 2020,The Mither Tap Aberdeen,https://www.tripadvisor.com/Attraction_Review-g186487-d5916393-Reviews-The_Mither_Tap_Aberdeen-Aberdeen_Aberdeenshire_Scotland.html,"Aberdeen, United Kingdom",attractions,5.0,2.0
Beautiful,"You Park just a short distance from the beach - walk through the dunes - and suddenly are on the beach and watching the seals! Not too many on the beach (on the opposite side to where you walk) when we were there but lots of birdlife. And you watch the seals in the water (watching you!) We were there twice over the course of our break and it was different each time. In the afternoon, lots of action in the water and of you walk round to the beach from the estuary, we saw lots of seals in the sea and they were 'singing'!! Second visit, I walked the 6 miles from Balmedie to Newburgh in the early evening on a near deserted beach (stunning) and the seals at Newburgh were all on the beach resting (again, on the opposite side of the estuary so no danger) Sunset lovely and a different experience to the first visit. Sore feet too - but would do it again. Wonderful....",August 2020,Newburgh Seals Beach,https://www.tripadvisor.com/Attraction_Review-g551906-d14005002-Reviews-Newburgh_Seals_Beach-Newburgh_Aberdeenshire_Scotland.html,"Newburgh, United Kingdom",attractions,5.0,5.0
"Amazing place, but sad to see","What an incredible place this must have been in its heyday. You can look around the buildings (free) and just wonder what it must have been like back in time and in its many incantations.... Unfortunately, the roof was removed in the 1920's to avoid taxes and this wonderful building just left to the elements... It's right on the coast and there are signs for you to be careful around the cliffs.. Apparently the octagonal room inside was inspirational for Bram Stoker when he wrote Dracula. Well worth a shortish walk from Cruden Bay to this atmospheric place....",August 2020,Slains Castle,https://www.tripadvisor.com/Attraction_Review-g186487-d206562-Reviews-Slains_Castle-Aberdeen_Aberdeenshire_Scotland.html,"Aberdeen, United Kingdom",attractions,5.0,4.5
Superb beach and great coastal walk,"Fabulous beach - but would also recommend the coastal walk to Portknockie and back. Scenery is stunning (we were lucky as it was a beautiful day) and also lots of birdlife to see. Apparently you may be lucky enough to see Dolphins too (but unfortunately, we didn't...) Came back along the converted railway track (great for either cycling or walking) which also offered superb views.",August 2020,Cullen Beach,https://www.tripadvisor.com/Attraction_Review-g1097167-d4172570-Reviews-Cullen_Beach-Cullen_Moray_Scotland.html,"Cullen, United Kingdom",attractions,5.0,4.5
Lovely coffee and cake,Sat at an outside table (inside tables available too) on the station platform and enjoyed lovely cappuccino and ginger cake! Staff lovely and great for a wee relax!,August 2020,Cocoworks,https://www.tripadvisor.com/Restaurant_Review-g644366-d3382826-Reviews-Cocoworks-Inverurie_Aberdeenshire_Scotland.html,"Inverurie, United Kingdom",restaurants,5.0,4.5
Excellent museum - very interesting!,This is a superb museum - you get a headset included in the admission price of £10 (£9 if booked online) which gives an interesting tour of the prison and gives insight into life there up until it's closure in 2013. Also goes into the riots in the late 1980's. Great cafe at the end of the tour - chat to the lovely lady in there for more interesting history! Covid rules all being adhered to and staff all friendly and helpful. Great visit!,August 2020,Peterhead Prison Museum,https://www.tripadvisor.com/Attraction_Review-g186490-d10756417-Reviews-Peterhead_Prison_Museum-Peterhead_Aberdeenshire_Scotland.html,"Peterhead, United Kingdom",attractions,5.0,5.0
Fabulous food and staff,"Superb restaurant at the New Inn Hotel. Great selection of dishes and each one we tried while staying at the hotel was excellent. Staff were very friendly and efficient. Tracy, Linda and Petros deserve special
mention as our main servers and all superb (no bad staff at this place!) Highlight dishes were the cornkist chicken, haddock and prawn melt, haddock and leek risotto, creme brûlée and homemade cheesecake. Definitely recommend and advise you to book - especially while the Eat Out to Help Out promotion on during August (Mon - Weds) Don't miss out!",August 2020,The Cornkist Restaurant,https://www.tripadvisor.com/Restaurant_Review-g191276-d2146292-Reviews-The_Cornkist_Restaurant-Ellon_Aberdeenshire_Scotland.html,"Ellon, United Kingdom",restaurants,5.0,4.0
"Fabulous hotel, great staff, delicious food","Visited here for a 5 day break and had a fantastic stay. Hotel was totally on the ball with Covid procedures - breakfast was served in the room and was hot and bang on time each day. Hotel was immaculate. Staff were
very professional, friendly and engaging. The hotel restaurant - The Cornkist - was superb. Great food and staff - and we benefitted from the 'Eat Out to Help Out' scheme! Was so good that we ate there every night! Particular mention goes to Tracy, Linda and Petros for their care and attention. (All staff good but we dealt mostly with these and couldn't fault them) Good value at £89 B&B for double room. Ellon a lovely wee town on the River Ythan (nice riverside walks just over the road from the hotel) and a good base for visiting the area. Don't miss a trip to Newburgh 5 miles away for the Seal Beach and walks along the coast. Also for beer lovers, the Brewdog Brewery and Bar are in Ellon (a mile out of town - walk after dinner!) Thoroughly recommend.",August 2020,New Inn Hotel,https://www.tripadvisor.com/Hotel_Review-g191276-d679920-Reviews-New_Inn_Hotel-Ellon_Aberdeenshire_Scotland.html,"Ellon, United Kingdom",hotels,5.0,4.0
Superb castle,"This is a small but very interesting castle in the centre of busy Newcastle! It has a gate house (The Black Gate) and the Keep, with museum rooms in each and the buildings are separated by a railway built by the Victorians! You can also get onto the roof of the keep with great views over the city. Lots of interesting information and rooms to explore. £8.50 entry a bit steep but the castle obviously needs maintained! Well worth a visit.",February 2020,Newcastle Castle,https://www.tripadvisor.com/Attraction_Review-g186394-d213817-Reviews-Newcastle_Castle-Newcastle_upon_Tyne_Tyne_and_Wear_England.html,"Newcastle upon Tyne, United Kingdom",attractions,4.0,4.5
