title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Scenic Walk,Beautiful views of the city....what a great spot. Bring a picnic lunch or dinner or just stretch your legs and enjoy!,April 2021,Brooklyn Heights Promenade,https://www.tripadvisor.com/Attraction_Review-g60827-d283807-Reviews-Brooklyn_Heights_Promenade-Brooklyn_New_York.html,"Brooklyn, New York",attractions,5.0,4.5
"Pizza, salad and the Brooklyn Promenade!","We wanted to expand our horizons and explore some of Brooklyn’s neighborhoods. Brooklyn Heights is gorgeous....I feel like I have watched many movies filmed there. Dellarocco’s is in the heart of it all-great service, great food, great location. I went with two teenagers and they loved it too!",April 2021,Dellarocco's,https://www.tripadvisor.com/Restaurant_Review-g60827-d3420129-Reviews-Dellarocco_s-Brooklyn_New_York.html,"Brooklyn, New York",restaurants,5.0,4.5
Amazing tour!,I have always been very interested in this community. Frieda was born into the Hasidic community. Her tour have great information and interesting insights into this Place and people. We stopped into some authentic businesses for some local fare and treats throughout the tour. I loved it!,April 2021,Hasidic Williamsburg Walking Tour in New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11483930-Hasidic_Williamsburg_Walking_Tour_in_New_York_City-New_York_City_New_York.html,"New York City, New York",activities,5.0,5.0
Authentic Jewish food in the heart of Hasidic Williamsburg,"We stopped here during our tour with Frieda. Got to sample a lot of different foods....would go back. Not Peter Luger's, but that is not my cup of tea anyway!",April 2021,Gottlieb's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60827-d423205-Reviews-Gottlieb_s_Restaurant-Brooklyn_New_York.html,"Brooklyn, New York",restaurants,5.0,4.5
What a view,"Beautiful views of the NYC skyline and Statue of Liberty. Restaurants, food trucks, volleyball, bocci, picnic areas and walking paths. I just left and want to go back!",April 2021,Domino Park,https://www.tripadvisor.com/Attraction_Review-g60827-d14195109-Reviews-Domino_Park-Brooklyn_New_York.html,"Brooklyn, New York",attractions,5.0,4.5
Just perfect,"Got off the beaten path and headed to Brooklyn instead of Manhattan. We took a tour with Tours by Frieda and booked a room at Pointe Plaza which is in the heart of the Williamsburg Hasidic community. This hotel reminds me of a small European hotel. Not fancy, but clean and friendly and close to all we needed. We walked all through Williamsburg and Domino Park, with its beautiful views of the NYC skyline and statue of liberty, is about a mile walk away. Be respectful, have an open mind and dress conservatively while visiting this neighborhood.",April 2021,Pointe Plaza Hotel,https://www.tripadvisor.com/Hotel_Review-g60827-d2060398-Reviews-Pointe_Plaza_Hotel-Brooklyn_New_York.html,"Brooklyn, New York",hotels,5.0,4.0
Awesome,"Great, centrally located. We had one night in Athens for sightseeing. This hotel provided an idea spot for laundry breakfast and burgers. There is always a daily walking tour that leaves @ 10:00 a, lead by an Australian. Luggage can be left if you have down time before your flight.",April 2019,Athens Studios,https://www.tripadvisor.com/Hotel_Review-g189400-d630141-Reviews-Athens_Studios-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.0
What a view!,"After sightseeing all day we headed up here to see the beautiful view! So beautiful, not to be missed!!",April 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Quaint and beautiful,"After sightseeing all day, we strolled through Plaka to shop for souvenirs and enjoy dessert and coffee under the illuminated Acropolis.",April 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Somebody pinch me!,"After learning about the Greeks in school, it was awe-inspiring to see the acropolis in person. The United States is so young compared to Greece.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Breathtaking,"After studying about the Greeks and Roman years ago in school, it was the trip of a lifetime to see these things for myself!",April 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Do not bypass!,We saw so much in just one day. Going to the museum really helped to explain everything and put it into context!,April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
We got the most out of our one day in Athens!,"Frank picked us up at the airport and in no time we were on our way! We had a full-day private tour of Athens with Frank and our English-speaking guide Sophia. We told them what we wanted to see and they did not disappoint!
Frank even made a restaurant recommendation and brought us back to the airport the next day. Although pricier than the on and off bus, I highly recommend seeing Athens with HP Tours, especially if you only have a limited amount of time. I can honestly say we got our money's worth!",April 2019,Fully-Day Private Tour of Athens,https://www.tripadvisor.com/AttractionProductReview-g189400-d15699244-Fully_Day_Private_Tour_of_Athens-Athens_Attica.html,"Athens, Greece",activities,5.0,5.0
Delicious!,"After long days of exploring and sightseeing, our group wanted something quick and easy! One night we did pizza, and calzones another. Delicious and good value!",April 2019,Il Forno Pizza and Pasta,https://www.tripadvisor.com/Restaurant_Review-g658914-d4260331-Reviews-Il_Forno_Pizza_and_Pasta-Kamari_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
"Delicious, quick and cheap!","My teenagers were getting a little ""hangry"" as we waited for the bus back to our hotel. The chicken pitas were less than 3 euro each. Delicious!",April 2019,Lucky's Souvlakis,https://www.tripadvisor.com/Restaurant_Review-g482942-d1340062-Reviews-Lucky_s_Souvlakis-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Just Lovely!,My family and I enjoyed drinks and salads here while we swam and sunbathed at Kamari Beach. Heavenly!,April 2019,Navy's restaurant,https://www.tripadvisor.com/Restaurant_Review-g658914-d8514710-Reviews-Navy_s_restaurant-Kamari_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Absolutely perfect!,"My sister and I and my four teenage children recently visited Santorini. Hotel Matina was the perfect base for our holiday. The daily breakfast was delicious. Everyone who works at this family owned and operated establishment treated us like family and did all they could to make our stay perfect and it was. The bus stop to Oia and Fira is just outside the front door. The beach is just a 2-3 minute walk. The pool was beautiful and relaxing. The pool bar serves sandwiches/salads, etc. The staff helped us arrange tours and recommended restaurants. The world is big and there are many places I would still like to see, but I do hope to return to Hotel Matina one day!",April 2019,Hotel Matina,https://www.tripadvisor.com/Hotel_Review-g658914-d234322-Reviews-Hotel_Matina-Kamari_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
"Great food, good vibe",My daughter and I had lunch here. The build your own burger options are great and salads are terrific. The staff could not have been nicer.,August 2018,Local 186,https://www.tripadvisor.com/Restaurant_Review-g41778-d3330832-Reviews-Local_186-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",restaurants,5.0,4.5
"Great late night pizza, coffee",We like to go here at the end of our evening visits to PTOWN. My teens love their pizza. I like the coffee.,August 2018,Spiritus,https://www.tripadvisor.com/Restaurant_Review-g41778-d519737-Reviews-Spiritus-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",restaurants,5.0,4.0
THIS is Cape Cod,"Amazing beach. You will see seals. There are restrooms, showers and changing facilities. Bring your own food. The vistas are breathtaking!",August 2018,Race Point Beach,https://www.tripadvisor.com/Attraction_Review-g41778-d560324-Reviews-Race_Point_Beach-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",attractions,5.0,4.5
High energy fun!,"Commercial Street has such a great energy. Whether you are young or old, single or coupled, gay or straight, there is something for everyone from honkey tonk to high end, ice cream to 5 Star dining.",August 2018,Commercial Street,https://www.tripadvisor.com/Attraction_Review-g41778-d293651-Reviews-Commercial_Street-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",attractions,5.0,4.5
Beautiful!,"Enjoy the breathtaking scenery, shop for trinkets or fine art, go on a whale watch or learn about pirates. This is a cool place. Public restrooms, parking lot, bus service",August 2018,MacMillan Wharf,https://www.tripadvisor.com/Attraction_Review-g41778-d321435-Reviews-MacMillan_Wharf-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",attractions,5.0,4.5
Cool Building,"Long time Cape Codder, but this summer I first stepped inside. It is a very cool old building. We saw a show there, nice acoustics, clean modern restrooms.",August 2018,Provincetown Town Hall,https://www.tripadvisor.com/Attraction_Review-g41778-d106684-Reviews-Provincetown_Town_Hall-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",attractions,5.0,4.5
Great spot in the middle of it all,"It is hard to keep everyone happy, so your best bet is to stop into the nut house. Whether they want candy, ice cream, coffee or pastry.....the Nut House has it all! Owner operated",August 2018,The Nut House,https://www.tripadvisor.com/Restaurant_Review-g41778-d4802233-Reviews-The_Nut_House-Provincetown_Cape_Cod_Massachusetts.html,"Provincetown, Massachusetts",restaurants,5.0,4.0
American Airlines is AOK,"We got good rates and everything was on time and satisfactory. I will fly on American again. Kids wanted TVs, so we will bring a phone or tablet with pre down loaded movies next time",April 2018,American Airlines,https://www.tripadvisor.com/Airline_Review-d8729020-Reviews-American-Airlines,World,flights,4.0,3.0
Great road trip,So great to see all of the memerobilia and highlights. Lots of cool exhibits. I’m so glad we finally made the trip!!!,August 2017,Hockey Hall of Fame,https://www.tripadvisor.com/Attraction_Review-g155019-d155501-Reviews-Hockey_Hall_of_Fame-Toronto_Ontario.html,"Toronto, Canada",attractions,5.0,4.5
Great family meal.,"In a city like Toronto where there are so many options, Wayne Gretzky’s was a great choice for us-burgers, salads and lots of cool souvenirs to see!",August 2017,Wayne Gretzky's Toronto,https://www.tripadvisor.com/Restaurant_Review-g155019-d690976-Reviews-Wayne_Gretzky_s_Toronto-Toronto_Ontario.html,"Toronto, Canada",restaurants,5.0,3.5
BEAUTIFUL,I went with my 4 children. we spent one day in the park and took a four hour horse/mule tour that left from Bryce Lodge. Make reservations in advance.,April 2018,Bryce Canyon National Park,https://www.tripadvisor.com/Attraction_Review-g143015-d1925256-Reviews-Bryce_Canyon_National_Park-Bryce_Canyon_National_Park_Utah.html,"Bryce Canyon National Park, Utah",attractions,5.0,5.0
Checking things off my USA bucket list,We hiked the Narrows. Our grouped ranged in ages from 12 to 46. Kids are all athletic. You can go as fast/slow as you want/need. Rent the equipment! worth the extra money!,April 2018,Zion National Park,https://www.tripadvisor.com/Attraction_Review-g143057-d10035237-Reviews-Zion_National_Park-Zion_National_Park_Utah.html,"Zion National Park, Utah",attractions,5.0,4.5
amazing,"Once in a lifetime experience. we saw all of the highlights of Bryce! If you are concerned about the money, it was worth every penny!!",April 2018,Canyon Trail Rides,https://www.tripadvisor.com/Attraction_Review-g143015-d648892-Reviews-Canyon_Trail_Rides-Bryce_Canyon_National_Park_Utah.html,"Bryce Canyon National Park, Utah",attractions,5.0,5.0
Great spot,"We stayed at Ruby's Campground in our rented RV, but spent time at Ruby's Inn at the gift shops, grocery store, etc. Very cool spot. Staff was very friendly and helpful. Shuttle for Bryce leaves from the front of Ruby's.",April 2018,Best Western Plus Ruby's Inn,https://www.tripadvisor.com/Hotel_Review-g3483453-d99722-Reviews-Best_Western_Plus_Ruby_s_Inn-Bryce_Canyon_City_Utah.html,"Bryce Canyon City, Utah",hotels,5.0,3.5
