title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The bestest,"We already miss you, Louis. You made our trip unforgatible. Viva forever.
Remember, bohemia ascura?!(",December 2019,La Zebra Beach Restaurant and Bar,https://www.tripadvisor.com/Restaurant_Review-g150813-d2286855-Reviews-La_Zebra_Beach_Restaurant_and_Bar-Tulum_Yucatan_Peninsula.html,"Tulum, Mexico",restaurants,5.0,4.5
The best of the bestest,"The restaurant looks very simple and in a shady area of downtown, but the seafood is fantastic and their home wine is delicious too. I prefer simple and fresh seafood (no overthinking), and this place exceeded my expectations. PS it's cheap too. And if they bring you bread and you don't want it, tell them right away, they will charge you for it",April 2019,Atlantikos,https://www.tripadvisor.com/Restaurant_Review-g189400-d7176555-Reviews-Atlantikos-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Amazing view,"Not sure how authentic this is, looks like a lot of parts of parthenon have been replaced, but tools very very impressive.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
I wish it was a little bit more descriptive,"It's quite an interesting museum, but a lack of history description made the trip here a little bit boring. I wish all this peiece of history and a story to tell, but no.. they just hang there with a tag.",April 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
pizza that is actually good for you,"We come to this place once or every 2 weeks, excellent choice for healthy eating, you don't feel 'heavy' or sick after you eat your whole pizza! I, personally, can't digest any other pizza in town..! I always have my food with a nice side of arugula salad and sometimes soup, Yamm! It's clean and service is friendly.They have good European beers on tap as well, try delirium! If you think pizza 73 is delicious, this place is not for you...",December 2017,Rosso,https://www.tripadvisor.com/Restaurant_Review-g154914-d4065568-Reviews-Rosso-Edmonton_Alberta.html,"Edmonton, Canada",restaurants,5.0,4.5
"the best airport location, but no windows","The best location, no doubt. I am a bit claustrophobic, so this hotel is not a good option for me. There are no windows, and if you turn off the lights, it is a complete darkness. I will stay at this hotel only of I really have too. They should warn that there are no windows in the rooms.",June 2017,Glo Hotel Airport Vantaa,https://www.tripadvisor.com/Hotel_Review-g226906-d235946-Reviews-Glo_Hotel_Airport_Vantaa-Vantaa_Uusimaa.html,"Vantaa, Finland",hotels,4.0,3.5
Fantastic,"In the heart of Edmonton! Delicious Korean food - wow! Delicious and fresh! I really liked that in my seafood soup there was no animal byproduct. And i asked for no mussels, and i got my food the way i wanted:)",April 2017,Soy & Pepper - Modern Korean Eatery,https://www.tripadvisor.com/Restaurant_Review-g154914-d10723782-Reviews-Soy_Pepper_Modern_Korean_Eatery-Edmonton_Alberta.html,"Edmonton, Canada",restaurants,5.0,4.5
Very good,"It's hard to find Korean vegetarian options in Edmonton/Calgary, but this place has amazing options with soft tofu. I normally can't stand tofu, but their soft tofu is just anazing!",March 2017,Kimchi House,https://www.tripadvisor.com/Restaurant_Review-g154918-d1850768-Reviews-Kimchi_House-Jasper_Jasper_National_Park_Alberta.html,"Jasper, Canada",restaurants,5.0,4.0
Pretty restaurant with ennoying music and slow service,"I like restaurants where you get warm welcome and great service, unfortunately, this is not a case for DOM. Their food was alright, but I didnt like the ambiance, i felt that music was too fast and too futuristic for this kind of restaurant. I won't be back.",December 2016,DOM restaurant,https://www.tripadvisor.com/Restaurant_Review-g274958-d4471805-Reviews-DOM_restaurant-Tallinn_Harju_County.html,"Tallinn, Estonia",restaurants,3.0,4.0
"Great veiw, tasty food, and good service","If you are looking for a scenic view and relaxed atmosphere, this place is right for you. Smiling server was there for us, the food was great. My sister loved their pasta a lot.",December 2016,Lounge24,https://www.tripadvisor.com/Restaurant_Review-g274958-d2191981-Reviews-Lounge24-Tallinn_Harju_County.html,"Tallinn, Estonia",restaurants,5.0,4.0
Could be better,"Nice food and beer verity, cozy design, intersting music selection, excellent people watching spot but very slow service.. The restaurant was empty and bored servers were haning out by the entrance. My fish soup took a while unless they make every dish from scratch (cought fish from river etc.). All they have to do is to put smile on servers faces and provide good service.",December 2016,Ivan & Maria gastropub,https://www.tripadvisor.com/Restaurant_Review-g298507-d8472037-Reviews-Ivan_Maria_gastropub-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",restaurants,3.0,4.5
Good service but food was so so,"The service was excellent, food presentaton was good too. I didn't like how it tasted though, I think the fregile taste of seafood was spoiled by sauces and too much salt, not sure if i can recommend this place to anyone.",December 2016,Kopar Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189970-d4261105-Reviews-Kopar_Restaurant-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",restaurants,3.0,4.5
The royal service,"If you are looking for the best service in St Peterburg and amazing food, this is the best place for that! Warm greeting, attention to detail, royal service and great food are main priorities of this restaurant. A must try is a Sahalin scallops dish, amazing! No other place can beat this one. There is also Asian restaurant in the Four Seasons, they are simply on par!
Recommend it to everybody! And stop by for a drink in the hotels lounge too.",June 2016,Percorso,https://www.tripadvisor.com/Restaurant_Review-g298507-d5247712-Reviews-Percorso-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",restaurants,5.0,4.5
Service was good but food could be better,"The service was good, above average in St Petersburg, but the chicken I had was awfully salty. I'd say above average service but below everage food with the stunning view!",June 2016,Mansarda Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298507-d1965845-Reviews-Mansarda_Restaurant-St_Petersburg_Northwestern_District.html,"St. Petersburg, Russia",restaurants,4.0,4.5
Very clean and nice rooms,"I've never stayed at Holiday Inn before, and this one at the airport is suprisingly nice! Conveniently located close to airport with 24 hour free buss service. Clean and have a new feel, or may be it's just Scandinavian quality!",September 2016,Holiday Inn Helsinki-Vantaa Airport,https://www.tripadvisor.com/Hotel_Review-g226906-d227986-Reviews-Holiday_Inn_Helsinki_Vantaa_Airport-Vantaa_Uusimaa.html,"Vantaa, Finland",hotels,4.0,3.5
