title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Name says it all!,Yummy! Delicious ice cream- very reasonable prices! Was behind a crazy customer claiming her cone did not have as much ice cream as her husbands (looked big and half eaten to me). Girl politely gave her more in a cup.,August 2020,Yummies Ice Cream,https://www.tripadvisor.com/Restaurant_Review-g48803-d2277730-Reviews-Yummies_Ice_Cream-Warsaw_New_York.html,"Warsaw, New York",restaurants,5.0,5.0
Miss the old fish fry,Used to be the best fish fry in WNY. And the best mac and cheese. Not anymore. Food has gotten greasy. Service is ok- friendly. Usually Smokey is sitting at the bar. Seems like they gave up trying to be any good. Too bad-because they were excellent.,August 2020,Smokey's Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g47967-d904113-Reviews-Smokey_s_Bar_Grill-Java_Center_New_York.html,"Java Center, New York",restaurants,2.0,3.5
Just ok,We went because our trip to Ireland we had planned for three years to celebrate our sons birthday and HS graduation was cancelled with COVID. So we went there. The shepherds pie was ok. Sat us in front of the check in podium. And zero acknowledgement of my son. Not that I was expecting a free dinner or anything- but a happy birthday would have been nice. Yes- they were well aware of it. Just piled on our disappointment from the beginning. So ok food- kinda crappy service.,July 2020,The Irishman,https://www.tripadvisor.com/Restaurant_Review-g47619-d17748428-Reviews-The_Irishman-East_Aurora_New_York.html,"East Aurora, New York",restaurants,3.0,4.0
just ok,"It is cheap, ok food. The staff was just ok- not overly friendly but not rude either. Tables are a little close for my comfort right now. Did not see them washing them down.",July 2020,Mikey Dees Cafe and Catering,https://www.tripadvisor.com/Restaurant_Review-g47619-d10291701-Reviews-Mikey_Dees_Cafe_and_Catering-East_Aurora_New_York.html,"East Aurora, New York",restaurants,3.0,4.5
Great food but long wait,Food is great! But I wish they took reservations for small groups/couples all the time and not just during COVID. The wait time is ridiculous,July 2020,Arriba Tortilla,https://www.tripadvisor.com/Restaurant_Review-g47619-d10684222-Reviews-Arriba_Tortilla-East_Aurora_New_York.html,"East Aurora, New York",restaurants,4.0,4.0
Was ok,Food was delicious- just not sure it was worth the price. Our server was wonderful. The atmosphere was nice. Felt like it was trying too hard to be fine dining- but was not.,September 2020,Griffon Gastropub,https://www.tripadvisor.com/Restaurant_Review-g47619-d12091814-Reviews-Griffon_Gastropub-East_Aurora_New_York.html,"East Aurora, New York",restaurants,3.0,4.5
Amazing,We had a drink on the Queen Mary- how cool is that? Drinks were good- a little pricey- but what isn't in Long Beach?,January 2020,Observation Bar,https://www.tripadvisor.com/Restaurant_Review-g32648-d6438410-Reviews-Observation_Bar-Long_Beach_California.html,"Long Beach, California",restaurants,5.0,4.0
Loved it,It was amazing to tour- we did the historical tour and it was great! We got free admission with our convention- so the tour was $10. Well worth it. Don't miss this!,January 2020,The Queen Mary,https://www.tripadvisor.com/Attraction_Review-g32648-d104802-Reviews-The_Queen_Mary-Long_Beach_California.html,"Long Beach, California",attractions,5.0,4.0
Expensive,"Expensive and not impressive. Breakfast was not included and was a fortune. There was a big red stain on our carpet. Our shower did not work- took two calls to have it ""fixed"" and still did not work. Was comfortable and the staff was great. Great location to the convention center.",January 2020,The Westin Long Beach,https://www.tripadvisor.com/Hotel_Review-g32648-d218748-Reviews-The_Westin_Long_Beach-Long_Beach_California.html,"Long Beach, California",hotels,3.0,4.0
Slow and Not all that good,Super slow (we did have a large party however). The food was just ok. Two friends had pizza- that was good. I had the gluten free pizza- that was as good as you would expect. Three got sandwiches which they were disappointed in. They were not good (especially the cuban). I am not a beer drinker- but they seemed to enjoy the beer.,November 2019,TrAils to Ales Brewery,https://www.tripadvisor.com/Restaurant_Review-g52677-d14173555-Reviews-TrAils_to_Ales_Brewery-Franklin_Pennsylvania.html,"Franklin, Pennsylvania",restaurants,3.0,4.5
Fantastic,"Great, healthy food prepared fresh in front of you. amazing staff. They are super helpful suggesting and explaining the menu.",July 2019,Kornerstone,https://www.tripadvisor.com/Restaurant_Review-g47619-d12863820-Reviews-Kornerstone-East_Aurora_New_York.html,"East Aurora, New York",restaurants,5.0,4.5
