title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Wear good shoes,"The fortress and the church are not to be missed, but there is a good hike to get up to the old town. Try to go early in the morning to avoid the sun and heat. Check the hours of the church as you should not miss it!",October 2019,Monemvasia Fortress,https://www.tripadvisor.com/Attraction_Review-g285708-d10368678-Reviews-Monemvasia_Fortress-Monemvasia_Monemvasia_Municipality_Laconia_Region_Peloponnes.html,"Monemvasia, Greece",attractions,5.0,5.0
Incredible hotel and location,"Just as they noted, if you have a car you park outside the castle gates and unload your luggage as there are no cars. We parked on the road along with everyone else, and rolled our suitcases over the cobblestones to the central registry for this hotel a short walk from the gate. Another walk to our hotel, but what a room, what a breakfast and what a great location. We had a large room with a private terrace overlooking the water (room #4?). An easy walk to everything, but away from the main tourist areas.",October 2019,Malvasia Traditional Hotel,https://www.tripadvisor.com/Hotel_Review-g285708-d4917371-Reviews-Malvasia_Traditional_Hotel-Monemvasia_Monemvasia_Municipality_Laconia_Region_Peloponne.html,"Monemvasia, Greece",hotels,5.0,4.5
Sidewalk restaurant,Nice quiet local restaurant away from the main square serving authentic and very good Greek food. Service was very good and efficient.,October 2019,Kastro Karima,https://www.tripadvisor.com/Restaurant_Review-g319780-d2268237-Reviews-Kastro_Karima-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",restaurants,5.0,4.5
Great breakfast and hospitable staff,"We drove our car there, and parked up the hill outside an abandoned hotel and the old castle. Safe place to park and walk, but a little hooky nonetheless. The staff was very friendly, and our room was VERY brightly painted with lighting on the ceiling molding. We had no windows, but a door with a window that opened...also a little hooky. A short walk to all that you need to see, and the area is close by to a number of archaeological sites. The pedestrian area is AMAZING with numerous shops (silver jewelry, leather sandals and nice souvenir shops)",October 2019,Pension Marianna,https://www.tripadvisor.com/Hotel_Review-g319780-d573464-Reviews-Pension_Marianna-Nafplio_Argolis_Region_Peloponnese.html,"Nafplio, Greece",hotels,4.0,5.0
Get there early,"Very impressive, but to enjoy it you will need to get there early to avoid the crowds and the heat (even in October). There are many guides to seeing the Acropolis, and we used Rick Steves. The tour groups fly through the site, but we spend quite a bit of time as this was our first trip to Athens and any of the historic sites. You need to add the nearby Acropolis Museum to round out the history of the site.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Incredible,"We toured this site in October when it was cooler. The site is spread out and you will need a map of the site and some background to make the tour worthwhile. Seeing where they light the Olympic flame was amazing, not to mention the history of the site, the amount of reconstruction they have done, and the amount of artifacts just lying around.",October 2019,Archaeological Site of Olympia,https://www.tripadvisor.com/Attraction_Review-g189487-d243256-Reviews-Archaeological_Site_of_Olympia-Olympia_Elis_Region_West_Greece.html,"Olympia, Greece",attractions,5.0,4.5
Great hotel and location,"Wonderful hotel in the Plaka and a short walk to the Acropolis. Generous rooms, great staff, breakfasts and snacks during the day. Enjoyed the breakfast spread and the made to order eggs or french toast served on the terrace overlooking the Acropolis. They arranged hotel taxis which are a set price from the airport. Great restaurant recommendations, and they will also make a pizza for a dinner/snack.",September 2019,Home and Poetry,https://www.tripadvisor.com/Hotel_Review-g189400-d12389149-Reviews-Home_and_Poetry-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Lovely beach,"Rented beach lounges under an umbrella and stayed about 5 hours. Shower and toilets available and a very nice taverna up the hill. Beach does not have sand so wear water shoes or sandals. Clean beach with no.boats moored in front of you. Drink service available. About 45 minute walk from town, but worth it!",October 2019,Vlychos Beach,https://www.tripadvisor.com/Attraction_Review-g189493-d6351547-Reviews-Vlychos_Beach-Hydra_Saronic_Gulf_Islands_Attica.html,"Hydra, Greece",attractions,4.0,4.0
Highly recommended,"This restaurant specializes in meats (not the usual seafood) and we were recommended here by people we met. Extremely reasonable and generous servings. We shared a Drakos salad and grilled chicken, and had their walnut cake...soaked in honey for dessert.",October 2019,Giasemi,https://www.tripadvisor.com/Restaurant_Review-g189493-d17412648-Reviews-Giasemi-Hydra_Saronic_Gulf_Islands_Attica.html,"Hydra, Greece",restaurants,5.0,5.0
Great sunset view,"We stopped there for a sunset view and were not disappointed. The service, however was clearly not up to par. Our waiter was more concerned with an adjacent table, and we had to get up and leave and pay at the bar after waiting about 20 minutes.",October 2019,Sunset Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189493-d1895026-Reviews-Sunset_Restaurant-Hydra_Saronic_Gulf_Islands_Attica.html,"Hydra, Greece",restaurants,3.0,4.0
Hidden gem!,"A short 5 minute walk from the harbor in a residential area is the Phaedra Hotel. Spacious immaculate rooms (best shower we have had in Greece) accommodating host, and generous breakfast. Plenty of beaches within a easy walk and many...many restaurants and bars. We stayed in the Aphrodite suite which was large and overlooked the street.",October 2019,Phaedra Hotel,https://www.tripadvisor.com/Hotel_Review-g189493-d504679-Reviews-Phaedra_Hotel-Hydra_Saronic_Gulf_Islands_Attica.html,"Hydra, Greece",hotels,5.0,5.0
