title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Yummy!,"Good salad and mains for sharing amongst friends. Service was sufficiently fast and always around. Reservations recommended if you have dinner late, otherwise 7pm was fine.",September 2019,MIRONI Greek Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d14072280-Reviews-MIRONI_Greek_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Famous Ancient Greece!,It was a great way to start our Greek holiday. An introduction to ancient Greece! Do remember to wear proper shoes with grip coz they have marble and/or stone that had been smoothen out by the millions of visitors to the site.,September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Interesting!,A good ending after walking the Acropolis (and Parthenon) to see the statues taken down from the structures. Each frescos tell a story!,September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Good hotel but pity about the location,"Location location location goes the saying...

Without a doubt a very nice hotel. Staff and their service were top notch. Rooms were nice furnished. Bathrooms were spotlessly clean. Free large bottle of water upon checkin. Breakfast spread was good and with a fantastic view! Equally fantastic views for the evening drinks (same area). Pool? Nah dun bother. Gym? It was ok.

Did you feel safe walking around there at night? Well... maybe... maybe not... Safer in numbers. Loads of graffiti and shops that are closed and boarded up. It was alright going for a morning run at sunrise (7:30am) around the area. But it was just the evening walk back from Plaka and other dining areas that kinda bothered us a bit. Staying here would require you to walk some distance to the various sites or faster by train or taxi. Otherwise a good hotel!",September 2019,Wyndham Grand Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d10961869-Reviews-Wyndham_Grand_Athens-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Perfect pit stop in Heraklion Crete,Restful place in front of the fountain with parison style seating. They have 2 types of Bougatsa - sweet with cream or savory with cheese.,October 2019,Kirkor,https://www.tripadvisor.com/Restaurant_Review-g189417-d3598399-Reviews-Kirkor-Heraklion_Crete.html,"Crete, Greece",restaurants,3.0,4.5
Good and different unagi restaurant,"I'm not normally a unagi person, but their eel is definitely different from all the other restaurants. Definitely recommended to anyone who doesn't normally have unagi. Place is small though, so either go there really early or late.",March 2019,Man Man Japanese Unagi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g294265-d11777386-Reviews-Man_Man_Japanese_Unagi_Restaurant-Singapore.html,"Singapore, Singapore",restaurants,4.0,4.0
Great and satisfying brunch!,They have a wide spread brunch menu ranging from the usual eggs etc. But you really should try their buckwheat pancakes! And their beef & quinoa salad! Don't miss out!,March 2019,The Populus Coffee and Food Co,https://www.tripadvisor.com/Restaurant_Review-g294265-d9455083-Reviews-The_Populus_Coffee_and_Food_Co-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.0
"Friendly service, good food and great coffee!","Went for brunch and the friendly service manager, Marc, served us promptly.

This is actually the second time that I'd been to The Lokal, and once again the food and coffee did not disappoint. Today's brunch: Very good portion of ham and nicely melted cheese in their toastie.

Recommended to anyone for brunch, and lunch. Not sure if they have a dinner menu though.",May 2019,The Lokal,https://www.tripadvisor.com/Restaurant_Review-g294265-d6771259-Reviews-The_Lokal-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.0
Sounds like good value but....,"Always good to start here on the first day of a visit to Barcelona before you try out all the others. That way you’ll have a comparison between the so-so and the good and the really good.
But if you have limited time, don’t bother.",November 2018,El Drac de Sant Jordi,https://www.tripadvisor.com/Restaurant_Review-g187497-d6701583-Reviews-El_Drac_de_Sant_Jordi-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,2.0,3.5
Fun tapas place in a modern setting,Probably the best I’ve had on this trip! Food & wine selection were tops! Although it’s in a modern pub setting.,November 2018,Bilbao Berria,https://www.tripadvisor.com/Restaurant_Review-g187497-d997713-Reviews-Bilbao_Berria-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,5.0,4.0
