title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent Tour of Winter Park,"Highly recommend this wonderful tour of three lakes of Winter Park. Our tour guide David was very informative, thorough and funny. He was a safe driver through the narrow canals connecting the lakes. This is a “can’t miss” tour and be sure to request David.",July 2020,Scenic Boat Tour,https://www.tripadvisor.com/Attraction_Review-g34747-d318509-Reviews-Scenic_Boat_Tour-Winter_Park_Florida.html,"Winter Park, Florida",attractions,5.0,4.5
Fantastic food.,"Nice, quiet street setting. The bread basket was full of delicious choices. Service was good. bruschetta great waffantastic",October 2019,Trattoria La Madia,https://www.tripadvisor.com/Restaurant_Review-g187895-d1550796-Reviews-Trattoria_La_Madia-Florence_Tuscany.html,"Florence, Italy",restaurants,5.0,4.0
Delicious and Delightful,A wonderful dinner from beginning to end. The menu changes daily and there are several tables outside. I had the veal chop in cream sauce and black truffles - divine! The “Big Salad” was shared among 4 of us.,October 2019,Trattoria Cesarino,https://www.tripadvisor.com/Restaurant_Review-g187895-d2349422-Reviews-Trattoria_Cesarino-Florence_Tuscany.html,"Florence, Italy",restaurants,5.0,4.5
Located in Armpit of Athens,Too bad this location is so poor. It is unsafe to walk in the area. Hotel had lovely accommodations and the rooftop restaurant view and pool was wonderful. Staff arranged nice drivers. Staff very good.,October 2019,Wyndham Grand Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d10961869-Reviews-Wyndham_Grand_Athens-Athens_Attica.html,"Athens, Greece",hotels,3.0,4.0
Noisy - Smoky,Food is fine but the seating options are terrible. Tables line the sidewalk beside a very busy and noisy road. Also lots of smokers made it impossible to enjoy.,October 2019,Bread Factory,https://www.tripadvisor.com/Restaurant_Review-g189400-d11816586-Reviews-Bread_Factory-Athens_Attica.html,"Athens, Greece",restaurants,3.0,4.0
Complimentary Entry for wheelchairs,Breathtaking views. Easy access by car or taxi with not too many steps. Our friend in a wheelchair and her companion entered at no charge.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Fantastic,Lovely setting and quiet. All of our dishes were delicious. Garlic bread was outstanding. moussaka was home made and family recipe. Great service.,October 2019,Ippotikon,https://www.tripadvisor.com/Restaurant_Review-g635613-d1845557-Reviews-Ippotikon-Rhodes_Town_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",restaurants,5.0,3.0
Delightful and Delicious,Four of us stopped by for a lunch. The menu was very interesting. Our server was attentive and helpful. The kitchen was fast and well paced. We all tried different dishes and all were perfect. Very nice toilet too.,October 2019,Amalias Kitchen,https://www.tripadvisor.com/Restaurant_Review-g189417-d7134658-Reviews-Amalias_Kitchen-Heraklion_Crete.html,"Crete, Greece",restaurants,5.0,4.5
Convenient,Service was extremely slow but the calzone was wonderful. This is in a busy area but a little bit off the beaten path. Provided a little respite in the middle of a busy day.,October 2019,Wine On Tap,https://www.tripadvisor.com/Restaurant_Review-g189400-d16695735-Reviews-Wine_On_Tap-Athens_Attica.html,"Athens, Greece",restaurants,3.0,4.5
Great walking and shopping,This is a fun way to spend an afternoon. Lots of crowds and busy shops. Wonderful cafés. The atmosphere is delightful.,October 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
