title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
We went three times in one week!,"Magic Hands Massage is on the famous pedestrian-only Quinta Avenida (Fifth Avenue) in Playa del Carmen between Calle 10 and Calle 12 on the east (Caribbean beach) side.

Look for the tiny reception desk on the sidewalk by the “Playa del Carmen Official Store”; the massage spa is upstairs above the store under the palapa (grass) roof.

At the time of our most recent visit in early March, 2020 a two-hour massage was $50 US; of course we added a 20% ($10 US) tip. Our usual Playa del Carmen resort has great beachside massages and also massages indoors in a beautiful world-class spa. The downside is that they are $200 each for two hours.

Magic Hands is decidedly un-fancy: efficient rather than luxurious. The palapa roof admits quite a bit of Quinta Avenida street noise — pedestrian and vendor chatter, piped music from restaurants, an occasional strolling mariachi band, bird calls, etc. — but after a few minutes it becomes background “white noise”.

We were in Playa for seven days on our most recent trip in March, 2020. We indulged ourselves with THREE two-hour Swedish massages by Nory and Natalia on three different days during that time (and went home feeling like eels, oh so relaxed).

Appointments are recommended; you can send a message via the Magic Hands Massage Face Book page at Send Message.

Highly recommended!",March 2020,Magic Hands Massage,https://www.tripadvisor.com/Attraction_Review-g150812-d2352416-Reviews-Magic_Hands_Massage-Playa_del_Carmen_Yucatan_Peninsula.html,"Playa del Carmen, Mexico",attractions,5.0,4.5
Always outstanding,"We've visited Mahekal Beach Resort eight times in the past ten years; it has always been good and steadily gets better.

We fly out of Denver and touch down in Cancun. With a transfer from the airport in Cancun to Mahekal, we can breakfast at home in the morning and enjoy dinner at Mahekal in the evening.

We've explored the Yucatan over the years, renting cars and staying in various towns and cities, but we keep coming back to Mahekal.

The staff is great at Mahekal; many of them have worked at the resort longer than we have been visiting. We especially like to see out old friends including Ignacio, Jose, Marcos, Angel, Mariano, the irrepressible Rogelio, and our new friends Mario, Zuri, and Viarnay. They make Mahekal a very special place indeed.

The accommodations are wonderful, food is great (we had breakfast, dinner, and drinks at Fuego in addition to meals in the other two resort restaurants), and the structures and grounds are well-maintained.

Mahekal is safe with round-the-clock security at the entrance and on the beach and also patrolling the resort. The only downside we have ever experienced was external: Extremely loud all-night electronic dance music from a festival at the nearby Mamita's Beach Club a couple of years ago. (Mahekal staff was aware of the problem and apologetic but had no control over Mamita's.)

Enjoy two-for-one Happy Hour drinks from 5 to 6 pm!",March 2020,Mahekal Beach Resort,https://www.tripadvisor.com/Hotel_Review-g150812-d156853-Reviews-Mahekal_Beach_Resort-Playa_del_Carmen_Yucatan_Peninsula.html,"Playa del Carmen, Mexico",hotels,5.0,4.5
Quick and easy,"Pushed back a minute or two early and got into Denver about as early. Great crew! Crowded seating, of course. The aircraft was clean and fairly new.",March 2020,United Airlines,https://www.tripadvisor.com/Airline_Review-d8729177-Reviews-United-Airlines,World,flights,4.0,3.0
Lively and hip pizza place,A short walk from the landmark Syntagma Square is a energetic and popular pizza place. Salads are good and the thin-crust pizza pleases. Insider tip: Sit at a table on the sidewalk and take in the cool city vibes of Athens. Beautiful after dark!,October 2019,School Pizza Bar,https://www.tripadvisor.com/Restaurant_Review-g189400-d6754964-Reviews-School_Pizza_Bar-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
"Friendly, relaxed, good food","The Victory labels itself as a ""café - snack - bar"" but it is really more of a laid-back full-service restaurant. The tables just off the sidewalk under an awning are shielded just enough by plants that you don't mind the downtown Athens cars and traffic. The owners are super-friendly and the food is good, fresh, and plentiful. In the Plaka neighborhood, it is just a short walk from the Acropolis Museum and and the Acropolis.",October 2019,Victory Cafe,https://www.tripadvisor.com/Restaurant_Review-g189400-d12706875-Reviews-Victory_Cafe-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
A wonder of the world!,"We've been fortunate enough to visit some of the great manmade sites of the world -- Machu Pichu, Tulum, Paris, London, New York City, etc. -- and the Acropolis is a great addition to our list. Not to be missed!",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Worldclass museum!,"We visited the museum -- which is located just below the Acropolis -- after spending a few hours at the Acropolis itself. The museum gave us a great insight into what we had seen just minutes before.

Plan on two hours or so to really immerse yourself in this great contemporary experience.",October 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Good food, great friendly service","The ""White Horse"" café is a tiny hole-in-the-wall place near the Electra Palace Hotel in the Plaka neighborhood, well worth searching out for a friendly, informal lunch or dinner.

The attitude and attention of the charming owner were wonderful and the food was good. The clientele was truly international on the night when we at at Aspro Alogo and everying was having a great time.

Recommmended!",October 2019,Aspro Alogo,https://www.tripadvisor.com/Restaurant_Review-g189400-d1227879-Reviews-Aspro_Alogo-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
A gem!,"The Electra Palace is top flight.

Use your smartphone weather app to determine sunset and get a table at the rooftop restaurant about 45 minutes before sunset: You'll have a world-class view of the Acropolis. The sunset is actually best about 15 minutes before the sun goes down.

The sunset and an excellent dinner will make your day one to remember!

We asked for an Acropolis-view room and while it wasn't as spectacular as the rooftop view we watched a beautiful moonset, dramatic nighttime Acropolis lighting, and beautiful early-morning scenes as the sun rose from behind the hotel.

The staff is first-rate and the facility is clean and well-maintained. The rooftop restaurant buffet breakfast is sumptuous -- an insider tip: you can request custom espresso drinks -- the restaurant's bar is friendly, and service is great.

There is a small rooftop pool and a second small indoor pool on the lower spa level.

The location in the charming Plaka neighborhood is just a 15-minute walk from the Acropolis and there are myriad good non-franchise restaurants nearby. A short walk in the other direction gets one to Syntagma Square where you can grab one of the hop-on hop-off buses for an excellent overview of Athens without having to fight the inevitable big-city traffic.

Highly recommended!",October 2019,Electra Palace Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d228901-Reviews-Electra_Palace_Athens-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
The TripAdvisor reviews are spot on,"Of course there was a line outside when we got there but people were cordial and the complimentary hot chai was warming.

We stuck with the basics: Vegetable Samosas, Kachumber Salad, Raita, Naan Bread, and bowls of Black Daal. The Daal was so unbelievably that one of the first things I did when we got home was to search for a Dishoom Daal recipe. Unsurprisingly, it is a trade secret.

I found a recipe or two that seem to come close to the Dishoom recipe; the best one will be a ""keeper"" in my recipe file.

The only thing that I regret is that there in no Dishoom in our home town!",November 2018,Dishoom Covent Garden,https://www.tripadvisor.com/Restaurant_Review-g186338-d1863498-Reviews-Dishoom_Covent_Garden-London_England.html,"London, United Kingdom",restaurants,5.0,4.5
Superb!,"Beautiful contemporary property, great location, amazing staff. A truly fine hotel in a city known for excellent lodging. Wonderful variety of delicious restaurants within a block or two. Definitely make the short walk to Covent Garden, an energy magnet for eating, shopping, and people watching.",November 2018,ME London,https://www.tripadvisor.com/Hotel_Review-g186338-d2630895-Reviews-ME_London-London_England.html,"London, United Kingdom",hotels,5.0,4.5
"Fun, friendly and informal","While staying at the nearby (and newly-remodeled) Godfrey Hotel for just two days we managed to visit Whiskey Joe's three times, once just for drinks and twice for dinner.

It's a popular place and on weekend afternoons it's mobbed and the parking lot is full. There is overflow parking in the Godfrey Hotel lot but it is $10. Don't worry about a dress code: Heck, it's a beach bar: Think swimsuits and flip-flops.

All of our servers were friendly and professional. One low point was the server who stood near our table and loudly trashed a customer who just left for picking up his credit card but not signing the receipt and leaving a tip. ""It's not worth getting upset over $3,"" another server said to him. Conversations like that should be saved for private time out of the earshot of other customers.

Nevertheless, there are great local beers, good drinks, and respectable food. If we were going back to Tampa we would gladly visit Whiskey Joe's again (and stay at the Godfrey).",June 2018,Whiskey Joe's Bar & Grill - Tampa,https://www.tripadvisor.com/Restaurant_Review-g34678-d1371111-Reviews-Whiskey_Joe_s_Bar_Grill_Tampa-Tampa_Florida.html,"Tampa, Florida",restaurants,4.0,4.0
"Great atmosphere, excellent food","We stayed at the nearby and newly-remodeled Godfrey Hotel for a few nights and used TripAdvisor to find a few good restaurants within easy walking distance. The Rusty Pelican came highly recommended and did not disappoint.

Since I generally try to adhere to the Mediterranean Diet with salads and seafoods high in Omega-3's, my wife and I both decided on a salad with grilled Salmon. We placed our orders but were soon told by our server that the chef had rejected the day's Salmon delivery; would we accept a substitution of grilled Grouper for the same price? Why, yes, of course!

The Grouper was perfect and the Seasonal Mixed Greens salads with crinkle-cut pears, grapes, candied walnuts, Bleu cheese, and a subtle vinaigrette were delectable. We washed everything down with San Pellegrino sparking water and a bottle of reasonably-priced Ecco Domani Pinot Grigio white wine.

We were there for dinner relatively early and had a table by the windows with a great view of Pelicans, a very active Osprey, a mother with a procession of baby ducks, and of course the often-mentioned beautiful sunset.

Owen, our server, was gracious and professional without being overbearing. The dining room is beautiful in an upscale way without being pretentious.

The only thing that was a bit off-putting was the fact that there are no sidewalks so pedestrians have to walk in the street. I guess that's a Florida thing because we saw that in other areas as well including outside the main entrance of the Godfrey Hotel. It is not the fault of the businesses, of course, but a definite safety and convenience issue. If you are in a car, have no worries.

If we had another day in Tampa at the Godfrey, we would have revisited the Rusty Pelican.",June 2018,Rusty Pelican - Tampa,https://www.tripadvisor.com/Restaurant_Review-g34678-d465959-Reviews-Rusty_Pelican_Tampa-Tampa_Florida.html,"Tampa, Florida",restaurants,5.0,4.0
Easy-going kayak experience in Tampa Bay,"Since our Tampa hotel, the newly-remodeled Godfrey Hotel, was an easy walk to WhatSUP Paddle Sports, we planned a short kayak trip one afternoon. The afternoon we were there, both of the available solo kayaks were in use so we had a short wait for them to be returned. Apparently, that day there were only two solo kayaks and one two-person kayak available.

We took the kayaks out for two hours -- actually returning them in a little less than 120 minutes -- and found Tampa Bay to be nearly mirror-like with just a slight breeze. The kayaks were nearly new, clean, and in excellent condition.

Some food and drinks are available at the WhatSUP concession at Ben T. Davis Beach and it is only about a ten-minute walk from WhatSUP to the popular Whiskey Joe's Tampa Bar & Grill where we retired for Cuba Libré's after kayaking.

One can book kayaks and standup paddle boards (that's where the 'SUP comes from) online; it might be a good idea to do that in advance so the kayaks are ready when you are. WhatSUP also takes credit cards so the rental transaction is quick and easy.

A very friendly nature experience!",June 2018,WhatSUP Paddle Sports,https://www.tripadvisor.com/Attraction_Review-g34678-d4454788-Reviews-WhatSUP_Paddle_Sports-Tampa_Florida.html,"Tampa, Florida",attractions,5.0,5.0
A Boulder favorite,"Consistently a first-place winner in several restaurant categories in Boulder Weekly's annual ""Best of Boulder"", The Med is a vibrant tapas or small plate restaurant. The energy is high, the service amazingly fast, and prices reasonable. Outdoor seating on the patio is wonderful.",July 2017,The Mediterranean Restaurant,https://www.tripadvisor.com/Restaurant_Review-g33324-d381332-Reviews-The_Mediterranean_Restaurant-Boulder_Colorado.html,"Boulder, Colorado",restaurants,5.0,4.5
Where the locals go,"If you are staying at the amazing Hotel Boulderado and want a break from the high energy of Boulder's Pearl Street Mall and its associated restaurants -- don't get me wrong: many are very good indeed -- a ten-minute walk will take you to The Hungry Toad, a low-key locally-owned Boulder institution for some twenty-six years.

The food is ""pub grub"" to be sure but it all all good, fresh, and flavorful. We especially like the chicken tacos when they are available -- there is a different ""taco of the day"" on the weekdays-only Happy Hour menu -- and the Margarita's are great. The Pub Salad is a meal unto itself, the burgers are good and the hand-cut French fries are great.

A popular Brunch is served from 11 am to 2 pm on weekends. The Toad is child-friendly and, of course, being a pub the beer list is awesome. When we've driven to The Toad for dinner we've sometimes parked in the shopping center lot diagonally across from the restaurant and never been ticketed in the evening.

We live in North Boulder and often see our neighbors at The Toad. The stretch of Broadway from Pearl Street north to the Boulder city limits is becoming a bit of a Mecca for quality, non-franchise restaurants and The Toad is a much-appreciated ""anchor"" for this new culinary scene.",May 2017,Hungry Toad,https://www.tripadvisor.com/Restaurant_Review-g33324-d381436-Reviews-Hungry_Toad-Boulder_Colorado.html,"Boulder, Colorado",restaurants,4.0,4.0
"""Authentic"" keeps popping up ...","... and it will help if one has a basic feel for traditional Mexican menu items. Durango is a modest, clean place with friendly service. Great for families but you can get a Mexican beer here, too, though there is no bar. I had breakfast at Durango one morning while my motorcycle was being serviced at Rocky Mountain Kawasaki, a short walk away. Free chips and salsa, good coffee, and steamy tortillas. My breakfast -- with eggs, beans, rice, salsa, and a lettuce and tomato garnish came to $12.40. I'll be back!",June 2017,Durango Mexican Restaurant,https://www.tripadvisor.com/Restaurant_Review-g33527-d383506-Reviews-Durango_Mexican_Restaurant-Longmont_Colorado.html,"Longmont, Colorado",restaurants,4.0,5.0
A gem,"If in one's mind, one can substitute palm trees for the evergreens overgrowing the patio and see a white sand beach where Coffman Street runs in front, it is easy to sip a rum punch, nosh on plantain chips and salsa, and imagine a warm evening on a Caribbean beach.

The food -- mostly seafood and chicken but also some other meats -- and service are always excellent. The wine list is small but carefully chosen.

We make the trip to Longmont from our home in Boulder a couple of times a year; it is worth the thirty-minute drive. Located in a charming vintage ""Old Longmont"" house, Tortugas generally has plenty of parking along Coffman Street -- don't even think about parking in the lot of the auto repair business next door -- and we've seen customers park the U.S. Post Office lot across the street after hours.

The interior of the restaurant has a homey warmth but it is a real pleasure to sit on the patio; get there towards sunset and enjoy the white lights and colored globes draped above the tables.

Highly recommended!",May 2017,Tortugas,https://www.tripadvisor.com/Restaurant_Review-g33527-d383520-Reviews-Tortugas-Longmont_Colorado.html,"Longmont, Colorado",restaurants,5.0,4.5
