title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Impressive stone statues,"These statues are found in a short stop at the side of the road: between the Valley of the Kings and Karnak temple.
Today the statues demonstrate the impressive power of the ancient Egyptians.",February 2021,Colossi of Memnon,https://www.tripadvisor.com/Attraction_Review-g294205-d472001-Reviews-Colossi_of_Memnon-Luxor_Nile_River_Valley.html,"Luxor, Egypt",attractions,4.0,4.0
Incredible ancient Egyptian history,"Must visit Valley of the Kings.

We have a friendly and professional guide with us: Ahmed - Bon Voiage Shahin Tours. With him all day it was specially.

Besides the famous catacombs, there are dozens ... maybe hundreds. Inside, the drawings on the walls and the almost vivid colors are kept.

The guards are unprofessional and constantly beg for money.",February 2021,Valley of the Kings,https://www.tripadvisor.com/Attraction_Review-g294205-d321166-Reviews-Valley_of_the_Kings-Luxor_Nile_River_Valley.html,"Luxor, Egypt",attractions,5.0,4.5
Must visit,"The Mortuary Temple of Hatshepsut, also known as the Djeser-Djeseru (Ancient Egyptian: ḏsr ḏsrw ""Holy of Holies""), is a mortuary temple of Ancient Egypt located in Upper Egypt. Built for the Eighteenth Dynasty pharaoh Hatshepsut, who died in 1458 BC, the temple is located beneath the cliffs at Deir el-Bahari on the west bank of the Nile near the Valley of the Kings. This mortuary temple is dedicated to Amun and Hatshepsut and is situated next to the mortuary temple of Mentuhotep II, which served both as an inspiration and, later, a quarry. It is considered one of the ""incomparable monuments of ancient Egypt.""

The relief sculpture within Hatshepsut’s temple recites the tale of the divine birth of a female pharaoh – the first of its kind. The text and pictorial cycle also tell of an expedition to the Land of Punt, an exotic country on the Red Sea coast. While the statues and ornamentation have since been stolen or destroyed, the temple once was home to two statues of Osiris, a sphinx avenue as well as many sculptures of the Queen in different attitudes – standing, sitting, or kneeling. Many of these portraits were destroyed at the order of her stepson Thutmose III after her death.",February 2021,Temple of Hatshepsut at Deir el Bahari,https://www.tripadvisor.com/Attraction_Review-g294205-d318962-Reviews-Temple_of_Hatshepsut_at_Deir_el_Bahari-Luxor_Nile_River_Valley.html,"Luxor, Egypt",attractions,5.0,4.5
Lovely island,"Wonderful island with large beach and turqoaise clean water.
Giftung island are surely the perfect place to relax, swimming, spend quality time in vacation and best memories & photos.
The entrance on Paradise beach from Giftun island in February 2021: 5 €uro / person.
The prices from a beach bar are normaly (not economic, not expensive).
We have a best memories from this beautiful place. I highly recommended!",February 2021,Giftun Islands,https://www.tripadvisor.com/Attraction_Review-g297549-d553098-Reviews-Giftun_Islands-Hurghada_Red_Sea_and_Sinai.html,"Hurghada, Egypt",attractions,5.0,4.5
Nice evening place to walk,Evening place for walk in a couple or with friends; a place with restaurants with the fantastic view on Red Sea and incredible sunset. Very much beautiful boats and silence. The prices are similary with prices from Europe.,February 2021,Hurghada Marina,https://www.tripadvisor.com/Attraction_Review-g297549-d3806192-Reviews-Hurghada_Marina-Hurghada_Red_Sea_and_Sinai.html,"Hurghada, Egypt",attractions,3.0,4.5
Perfect holiday in February,"I’m from Bucharest (Romania). I and my husband choose the spent one “summer” holiday week in 14-21 February - when in our contry it’s cold winter. Good choose for us! Here in Hurghada it’s nice weather. :)

Our impression for this hotel:
Good value for money, spacious rooms, daily cleaning, friendly and professional sfaff, tasty fresh diversified cousine, many activities inside and outside.
True 5* stars for this reliable hotel.

We recommend !",February 2021,Steigenberger ALDAU Beach Hotel,https://www.tripadvisor.com/Hotel_Review-g297549-d647102-Reviews-Steigenberger_ALDAU_Beach_Hotel-Hurghada_Red_Sea_and_Sinai.html,"Hurghada, Egypt",hotels,5.0,5.0
Traditional romanian food,"Romanian traditional dishes with authentic taste, large portions, friendly service and polite staff, fair prices",October 2020,La Ceaun - Weiss,https://www.tripadvisor.com/Restaurant_Review-g295394-d5894848-Reviews-La_Ceaun_Weiss-Brasov_Brasov_County_Central_Romania_Transylvania.html,"Brasov, Romania",restaurants,4.0,4.5
Friendly suitable hotel,"If you want to venture into an urban experience or you are in Brasov for business meetings, Grand Hotel Belvedere is the most suitable.
The rooms have sensational views of the towering mountains. The room is equipped with LED TV, air conditioning, shower, hairdryer, bathroom hygiene products, safe, WI FI internet access and minibar.",October 2020,Grand Hotel Belvedere,https://www.tripadvisor.com/Hotel_Review-g295394-d12224128-Reviews-Grand_Hotel_Belvedere-Brasov_Brasov_County_Central_Romania_Transylvania.html,"Brasov, Romania",hotels,4.0,3.0
Modern bistro,"A well-deserved stop for a delicious dinner, hosted in a cosmopolitan atmosphere.
Polite service, tasty food. Fain bar!
I recommend Louis in Athena!",September 2020,Louis Bistrot,https://www.tripadvisor.com/Restaurant_Review-g189400-d20238443-Reviews-Louis_Bistrot-Athens_Attica.html,"Athens, Greece",restaurants,4.0,5.0
Very confortable hotel,"We stayed only 2 nights, but everything it was perfect. The room view is incredibile: ACROPOLIS in all its splendor.
The hotel is newly renovated in a minimalist, beautiful line.
The location is excellent near the streets with shops, taverns, restaurants.
I higly recommend.
It has its own parking, but also other neighboring parking lots.",September 2020,Central Athens Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d554815-Reviews-Central_Athens_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
