title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Cameo Earrings,"We stopped at Apa 1848 while on an excursion to Pompeii. We were able to see them making cameos and they explained the process. It is very delicate work.
There was no pressure to buy anything, but I couldn't resist since I had been wanting some cameo earrings. There are a variety of items in different price ranges so they can be affordable.
I have really enjoyed wearing my earrings since I returned and have received many compliments. Jewelry is always a good souvenir because each time I wear it, it brings back fond memories of our vacation!",August 2019,Apa 1848,https://www.tripadvisor.com/Attraction_Review-g1063524-d12653838-Reviews-Apa_1848-Torre_Del_Greco_Province_of_Naples_Campania.html,"Torre Del Greco, Italy",attractions,5.0,4.5
A Highlight of Our Trip!,"We visited Pompeii on a cruise ship excursion. Although it was listed as strenuous, we are in our 70's and found it very doable.
I found the area fascinating. It is hard to imagine that they had running water and sewers in 79 AD.
It is poignant to see the preserved body and other artifacts from an advanced society.
Be sure to have a guide because the complex is huge and they know which areas are best. Plus he explained about interesting things we would not even have noticed on our own.
In my opinion, Pompeii is not to be missed!",August 2019,Pompeii Archaeological Park,https://www.tripadvisor.com/Attraction_Review-g187786-d195477-Reviews-Pompeii_Archaeological_Park-Pompeii_Province_of_Naples_Campania.html,"Pompeii, Italy",attractions,5.0,4.5
Unbelievable Views!,"We visited Santorini and Fira on a cruise. We took a ship excursion which took us by bus up to Fira rather than by cable car. The views are stunning!
It is hard to describe how beautiful it is to look off the side of the mountain, where everything is perched, down into the caldera.
We spent our day wandering around the shopping area and enjoying the little sidewalk cafes. (Yum - gelato!) It was a very relaxing day.
We bought some jewelry made of orichalcum and lava stone from the artist- Emmanouelo in a little shop in the Fabrika. Meeting the artist, makes it a very special sourvenir.
We really enjoyed our day in Santorini and Fira.",August 2019,Three Bells of Fira,https://www.tripadvisor.com/Attraction_Review-g482942-d12900632-Reviews-Three_Bells_of_Fira-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",attractions,5.0,4.5
Relaxing Cruise Stop,"We visited Messina while on a Mediterranean Cruise. We decided to spend the day relaxing so we took a short walk from the ship to the Cathedral Square (Piazza Duomo).
There is a fountain and a 180 foot bell tower with the famous astronomical clock.
We enjoyed shopping in the little shops and with street vendors in the square. Don't forget to buy some lemoncello! There was even entertainment in the square!
We enjoyed our relaxing day!",August 2019,Duomo di Messina,https://www.tripadvisor.com/Attraction_Review-g187889-d195176-Reviews-Duomo_di_Messina-Messina_Province_of_Messina_Sicily.html,"Sicily, Italy",attractions,4.0,4.5
Well Organized and Informative Tour,"We took the ""Half-Day Bus Tour in Athens, Acropolis and Acropolis Museum Tour"" with Athens Tours Greece. The price included a guide, all entry tickets and transportation from our city center hotel and back.
Everything was well organized and happened on schedule.
We started with a tour around the city to see the Panathenaic Stadium, Hadrian's Arch, and Constitution Square among other things. Then we went to the Acropolis Museum.
The Museum is beautiful. Very clean, bright and modern. Our excellent guide explained all the things we were seeing. The Museum has a great view of the Acropolis. I loved the glass floor exposing excavations below.
We then walked up the Acropolis. This is not an easy climb but doable. We are in our 70's and made it to the top. The view of the City of Athens in breathtaking. The Parthenon (a temple to the Goddess Athena) and the Porch of the Maidens are a page from the history books.
We were very pleased we had booked a tour with Athens Tours Greece and would definitely utilize them again.",August 2019,Highlights of Athens Half-Day Tour with Transfers,https://www.tripadvisor.com/AttractionProductReview-g189400-d13548937-Highlights_of_Athens_Half_Day_Tour_with_Transfers-Athens_Attica.html,"Athens, Greece",activities,5.0,5.0
A Beautiful Museum,"The Acropolis Museum is beautiful with a modernistic design. It is bright with lots of natural light and wonderful displays.
As you enter the museum, you walk over a glass floor allowing you to view an excavation of artifacts below. There is a great view of the Acropolis from the museum.
The displays are artifacts from the temples on the Acropolis. A guide is very beneficial to explain the history of what you are seeing.
This museum is well worth seeing. Don't miss it!",August 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A Page From The History Books,"I loved Europe because I finally saw all the things I only studied about in books. The Acropolis is a perfect example of this. The Parthenon (the temple to the goddess Athena) on top of the Acropolis towers over the city and is visible from many locations including our hotel.
Nothing compares to actually climbing up and seeing it up close. A bonus is the spectacular view of Athens. It is not an easy climb especially in August. But we are over 70 and did it!
Don't wait until you are our age to experience this wonder of the world!",August 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Nice Newer Hotel,"We stayed for the first time at the Quality Inn and Suites in Sioux Falls. We chose it because of its proximity to I-90.
The appearance is nice and the staff is welcoming.
Our room was spacious with a seating area and in very good condition. The breakfast buffet offered a good variety of items.
We took advantage of the pool and hot tub area.
We will stay here again when we need a room in this part of town.",September 2019,Quality Inn And Suites,https://www.tripadvisor.com/Hotel_Review-g54805-d582292-Reviews-Quality_Inn_And_Suites-Sioux_Falls_South_Dakota.html,"Sioux Falls, South Dakota",hotels,4.0,4.5
Beautiful Hotel But Expensive Food,"We stayed at the InterContinental Athenaeum during our stay in Athens.
It is a very beauiful hotel with professional service. However, be prepared - food is very expensive.
We ate several meals in the Cafe Vienna. Service was excellent. Bread was served in a cute little bread box. We ate club sandwiches, chicken and rice soup etc. We drank the regular water. A club sandwich was about 20 Euro each. The soup was 12. One time we had two small bottled cokes and it was 15 Euro.
The breakfast buffet was included with our room. It was extensive with fresh fruit and meats but if it is not included with your room, the price is 38 Euro per person.
Our room was nice although our view was of an abandoned building. While we had free WiFi, we couldn't find any free TV. According to the screen, there was a charge so we didn't go further.
We enjoyed the tropical atmosphere of the outdoor swimming pool. A dip felt really refreshing after climbing the Acropolis.
While we enjoyed our stay, if we return to Athens, we will probably choose a different hotel.",September 2019,InterContinental Athenaeum,https://www.tripadvisor.com/Hotel_Review-g189400-d233052-Reviews-InterContinental_Athenaeum-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Nice Rooms but Confusing Layout and No Indoor Pool,"We spent two nights at the Crowne Plaza as part of a reunion event. Check-in was fine until I tried to find the elevator. I asked the desk clerk and she said turn and go down the hall. I couldn't figure out which hallway to turn into. Then I came to the elevators for the meeting rooms which did not go up to my floor. I asked three times before I finally found the elevator. A map and more signage would certainly help this situation.
Our room was nice and we had no complaints. We were disappointed there was no indoor pool or hot tub. The outdoor pool looked nice but we did not have nice weather. Considering how many months Illinois is cold, this doesn't seem like a very wise choice.
The meeting room and food were very good for our dinner and dance.
Breakfast was included with our room. Note this is not always the case. The breakfast buffet was very good with fresh fruits, scrambled eggs, bacon, etc. and we even had a waitier who brought us coffee and juice.
I expected more from a Crowne Plaza. We would probably not choose to stay here again unless it was for a meeting.",September 2019,Crowne Plaza Hotel Chicago - Northbrook,https://www.tripadvisor.com/Hotel_Review-g36464-d87923-Reviews-Crowne_Plaza_Hotel_Chicago_Northbrook-Northbrook_Illinois.html,"Northbrook, Illinois",hotels,3.0,4.0
Reunion Visit,"We visited Hackney's on Lake as part of a High School Reunion. We were in a small meeting room. We were served hors d'oervres which were delicious. I particularly remember the little quesadillas.
After the snacks, we weren't very hungry so instead of ordering a meal, we ordered the blooming onion. It was not very good.
We would return if we are in the area again.",September 2019,Hackney's On Lake,https://www.tripadvisor.com/Restaurant_Review-g36052-d509908-Reviews-Hackney_s_On_Lake-Glenview_Illinois.html,"Glenview, Illinois",restaurants,4.0,4.0
Irish Comfort Food,"We ate at the Dublin Bay Irish Pub while visiting a friend in Ames. It was a beautiful fall evening so we ate on the patio.
We started with Strawberry Lemonade Sangria.Then there is no better comfort food than a deliciious Shepherd's Pie. Don't pass up the yummy Bailey's Pie for dessert. It was big enough to share. Attached is part of the menu with some of the other options available.
We will definitely return when we are in the area.",September 2019,Dublin Bay Irish Pub & Grill,https://www.tripadvisor.com/Restaurant_Review-g29355-d415023-Reviews-Dublin_Bay_Irish_Pub_Grill-Ames_Iowa.html,"Ames, Iowa",restaurants,4.0,4.5
Nice New Hotel But No Hot Tub,"We stayed at the Comfort Inn ISU while traveling through Iowa. We were surprised to find it was a brand new hotel. Everything sparkled!
Check-in was fast and friendly. Our room was huge. I had inadvertently booked an accessible room and I think that is why it was so large. The bathroom was almost as big as some motel rooms. I was surprised it had a bathtub since it appeared to be a handicapped room with a lot of grab bars.
I assumed all Comfort Inns had hot tubs so we were disappointed after a long day of driving to find they didn't have one.
Breakfast was very good and included delicious homemade cinnamon rolls. Definitely a plus! Karina, the breakfast staff person, was very friendly, and we enjoyed visiting with her.
We were very pleased with our stay with the exception of no hot tub!",September 2019,Comfort Inn & Suites near ISU Campus,https://www.tripadvisor.com/Hotel_Review-g29355-d15810940-Reviews-Comfort_Inn_Suites_near_ISU_Campus-Ames_Iowa.html,"Ames, Iowa",hotels,4.0,4.5
