title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent!,"We ate here only once in our week on the island but wished we would’ve returned. Anogi had some of the best food at reasonable prices we had during our stay in Santorini. The service was top notch as well, highly recommended restaurant.",October 2019,Anogi,https://www.tripadvisor.com/Restaurant_Review-g635864-d2090736-Reviews-Anogi-Imerovigli_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Amazing in Every Way!,"What can I say about Anastasis Apartments that hasn’t been already said by other reviewers? Not much, it’s all been said and all the favorable reviews are spot on accurate.

This establishment has been on my travel bucket list for many years, and my wife and I had the absolute pleasure in experiencing it for ourselves a few weeks ago. I say experiencing it because that is exactly what Anastasis Apartments provides each and every guest, an experience.

For us, it was an incredible experience unlike anything else from any other hotel stay. My wife and I have been blessed with amazing hotel experiences from around the world, but none can compare to our stay here. From the personalized, attentive and friendliest of service from every staff member to the gorgeous facility itself, Anastasis Apartments exceedingly surpassed our expectations and provided us with the stay of our lifetime!

Despina, as I said to you while sadly on our way out your door, you’ve created a heaven on earth. Congratulations to you and the team for touching so many lives including ours. Until we undoubtedly meet again, thank you for the life long memories!

Hugs,
D & J",October 2019,Anastasis Apartments,https://www.tripadvisor.com/Hotel_Review-g635864-d324555-Reviews-Anastasis_Apartments-Imerovigli_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,5.0
Fantastic,"Worth every penny to visit this historic site. Incredible history here, not to mention to fabulous views of the City of Athens. Visiting in October, it wasn’t overly crowded but still had to maneuver through a good crowd of people. I couldn’t imagine the crowds during the summer months, I wouldn’t want to battle the heat with the crowds climbing those hills and steep steps.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Disappointing Room,"My wife and I stayed a single night while enroute to Santorini celebrating a 25 year anniversary. We were disappointed with our room. To begin, their room descriptions during the booking process online are incredibly vague. We were under the assumption the much more expensive city view deluxe rooms all have balconies, but you know what happens when you assume...

The deluxe room we received on the 3rd floor overlooked a busy intersection, was smaller than expected and dated to the point the faux wood laminate was peeling off the bathroom sink vanity. But worse of all, our room lacked an expected balcony afforded to many other rooms here. The gentleman assured us at check in our room “is a very nice room.” Beauty is in the eyes of the beholder. I was too jet lagged tired to initiate a possible room change.

GB Gardens restaurant on the top floor was fabulous. They took special care of us for dinner for our anniversary, many thanks to the crew there. The pool looked beautiful, although we didn’t use it. The concierge was helpful and friendly. The hotel’s location can’t be beat, close to everything worth visiting.

It would be beneficial for Marriott to list the rooms with balconies during the booking process. I have been informed by hotel management here, “our deluxe rooms vary in size, location and features.” Bottom line: you never know what you’re going to get! Just like a box of chocolates.

I was beginning to utilize Marriott for my business and leisure needs, I’ve decided to stick with Hilton. This was my first disappointment with a true 5* hotel accommodation.",October 2019,"Hotel Grande Bretagne, A Luxury Collection Hotel",https://www.tripadvisor.com/Hotel_Review-g189400-d198715-Reviews-Hotel_Grande_Bretagne_A_Luxury_Collection_Hotel-Athens_Attica.html,"Athens, Greece",hotels,3.0,4.5
Highly Recommended!,"Easiest and best airport transfer! Driver was at hotel prior to agreed time, extremely courteous and reliable service. Will use again, and will recommend to anyone.",July 2019,Easy Go Shuttle,https://www.tripadvisor.com/Attraction_Review-g187147-d7886944-Reviews-Easy_Go_Shuttle-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,5.0
"Avoid this place, they’re ripping off the tourists!","This place tries to lure you in with free samples and then do their best to upsell nougat that is exhorbitant in price. Be aware that a mere 2 inch thick slice of any of their nougat will cost you about €75 or $85 USD! If you think it’s worth it, go ahead and buy it. But you will find it cheaper elsewhere. Le Nougat de Montsegur...tu devrais être ashames!",July 2018,Le Nougat de Montségur,https://www.tripadvisor.com/Attraction_Review-g641883-d9807583-Reviews-Le_Nougat_de_Montsegur-Montsegur_sur_Lauzon_Saint_Paul_Trois_Chateaux_Drome_Auver.html,"Montsegur-sur-Lauzon, France",attractions,1.0,2.5
Incredible!!!,"Everything here is nothing short of delicious. We visit often for breakfast and we always end up leaving with a load of pastries. I love the Croquet Madame for breakfast here, and the almond croissants are just about the best things I have ever tasted. And the coffees are equally as good.

Recently voted by NJ.com as New Jersey’s best bakery...yup, they deserve the honor.",April 2018,Sweet Melissa Patisserie,https://www.tripadvisor.com/Restaurant_Review-g46562-d10387847-Reviews-Sweet_Melissa_Patisserie-Lebanon_New_Jersey.html,"Lebanon, New Jersey",restaurants,5.0,4.5
Excellent Disney choice,"The Hilton Bonnet Creek is an excellent choice over Disney hotels on Disney property. The hotel is extremely clean, hotel staff is always helpful and polite. While the pool is very nice with a lazy river, the hotel staff needs to enforce no saving of chairs. On busy days we estimated 2/3 of all the chairs had towels on them but nobody returned to use them. This made it extremely difficult finding a place to sit. All in all, excellent stay!",July 2017,Hilton Orlando Bonnet Creek,https://www.tripadvisor.com/Hotel_Review-g34515-d1308392-Reviews-Hilton_Orlando_Bonnet_Creek-Orlando_Florida.html,"Orlando, Florida",hotels,5.0,4.5
This amount of legroom should be illegal!,"I will NEVER fly this airline again. While the service was fine, the legroom you are provided is dangerously non-existent. I am appalled how their management could ever feel that cramping people into these seats is a good idea. This amount of legroom(seat pitch) is not only severely uncomfortable but also dangerous to ones health. Until they realize how greedy they've become by ignoring the comfort and safety of the people they serve and start providing a better experience, my family will never fly Iberia Express again.",April 2017,Iberia Express,https://www.tripadvisor.com/Airline_Review-d10823588-Reviews-Iberia-Express,World,flights,1.0,3.0
Wow!,"I love the food here, especially the baked pastries. The almond croissant is absolutely amazing!!! I've been recommending this place to everyone...the food is incredible!",February 2017,Sweet Melissa Patisserie,https://www.tripadvisor.com/Restaurant_Review-g46562-d10387847-Reviews-Sweet_Melissa_Patisserie-Lebanon_New_Jersey.html,"Lebanon, New Jersey",restaurants,5.0,4.5
