title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The view of the Acropolisis killer,The view of the Acropolis is stunning. The breakfast is both menu and buffet and very good. Great service. Dinner is lovely with the same killer bee inside for dinner or tar ace for cocktails.,January 2020,GB Roof Garden,https://www.tripadvisor.com/Restaurant_Review-g189400-d1048185-Reviews-GB_Roof_Garden-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Necessary if you see the Acropolis,A new building made to house the artifacts the British stole for safe keeping. Time to give them back,December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
The birthplace of western civilization,"When you consider that you are at the birthplace of western civilization, a few steps are not that great of a sacrifice. Try to book an archeologist guise in advance. Makes the event so rewarding.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
One of worlds best hotels,Great historic building. Fantastic location and very friendly and helpful staff. Nice restaurants and wonderful suites. Spa second to non in this urban setting. Comfortable but elegant. Great bathroom and amenities.,December 2019,"Hotel Grande Bretagne, A Luxury Collection Hotel",https://www.tripadvisor.com/Hotel_Review-g189400-d198715-Reviews-Hotel_Grande_Bretagne_A_Luxury_Collection_Hotel-Athens_Attica.html,"Athens, Greece",hotels,5.0,4.5
Great holiday trip,"This is an amazing place. It’s not four seasons if that’s what you want. For me it was better. Not more luxurious but more organic. It’s built onto the caves in the side of a caldera. Amazing. Views to die for. So are the steps to get there. Not for mobility impaired unless like me you have strong friends. The lady that’s runs it is phenomenal. Accommodating and kind. Of all the places I’ve stayed, this was the most unique. The service was impeccable I certainly recommend.",December 2019,Ducato Di Oia,https://www.tripadvisor.com/Hotel_Review-g482941-d10757294-Reviews-Ducato_Di_Oia-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
Great place. Nice people,Certainly one of the best. Newer and more trendy than next door Bellagio. Great art in public areas. Neat and trendy restaurants. Younger crowd but not obnoxious. Location and views can’t be beat. Many rooms have balconies. Nice pools and love the spa.,January 2019,"The Cosmopolitan of Las Vegas, Autograph Collection",https://www.tripadvisor.com/Hotel_Review-g45963-d1829539-Reviews-The_Cosmopolitan_of_Las_Vegas_Autograph_Collection-Las_Vegas_Nevada.html,"Las Vegas, Nevada",hotels,5.0,4.5
Great beach,These are man made sheltered beach and swimming areas. Very protected. Limited parking so go early or be prepared to wait. Just lovely open to the public,October 2018,Ko Olina Lagoons,https://www.tripadvisor.com/Attraction_Review-g60654-d629155-Reviews-Ko_Olina_Lagoons-Kapolei_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,5.0,4.5
Get more ink and relax,Great hotel. Best service and fantastic location. The spa can’t be beat. The atrium changes floral arrangement often. Great views. Get a view suite in the spa tower. Elevators direct to the pool. Good restaurants on property,September 2018,Bellagio Las Vegas,https://www.tripadvisor.com/Hotel_Review-g45963-d91703-Reviews-Bellagio_Las_Vegas-Las_Vegas_Nevada.html,"Las Vegas, Nevada",hotels,5.0,4.0
Relaxing,Relaxing and tattoo Enjoying the view the people watching and the food. Everything you want is here. Great getaway. Always something to do or just do nothing.,September 2018,Fountains of Bellagio,https://www.tripadvisor.com/Attraction_Review-g45963-d127003-Reviews-Fountains_of_Bellagio-Las_Vegas_Nevada.html,"Las Vegas, Nevada",attractions,5.0,4.5
What a thrill,Did the private tour. Just two in the helicopter. Very nice. Great views landed in the canton for lunch and champagne. Great pilot so much fun. Private expensive but way worth it,September 2018,Papillon Grand Canyon Helicopters,https://www.tripadvisor.com/Attraction_Review-g60881-d553004-Reviews-Papillon_Grand_Canyon_Helicopters-Boulder_City_Nevada.html,"Boulder City, Nevada",attractions,5.0,4.5
Best meatballs ever,Was looking for spaghettis d meatballs and found lavo. Meatballs are wagu. So huge and wonderful. Tried gnocchi and truffles. Fantastic food and a nice place.,September 2018,Lavo Restaurant,https://www.tripadvisor.com/Restaurant_Review-g45963-d1222186-Reviews-Lavo_Restaurant-Las_Vegas_Nevada.html,"Las Vegas, Nevada",restaurants,5.0,4.0
