title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Something to do,"If you r looking for something to do with the Kids, the aquarium is ok. Long line ups, so get your tickets on line. They have two separate line ups, so you can save some time. I felt a little vertigo when I was in there, but overall cool to see.",March 2019,Ripley's Aquarium of Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d5031404-Reviews-Ripley_s_Aquarium_of_Canada-Toronto_Ontario.html,"Toronto, Canada",attractions,3.0,4.5
What a View,"Fantastic View from 100's of meters in the air. Once the tallest structure in the world, this place will always satisfy. I've never found line ups and the ride in the elevator is an experience in itself. Try out the dinning at the top of the Cn tower. decent food for a decent price considering.",March 2019,CN Tower,https://www.tripadvisor.com/Attraction_Review-g155019-d155483-Reviews-CN_Tower-Toronto_Ontario.html,"Toronto, Canada",attractions,5.0,4.5
Italian food at its best,"What a place. I'm still raving about it a year later. They are amazing. A bit of background on how we found it and most families will appreciate it. My son really had to go to the bathroom, but we had been turned away from many places because we hadn't dined there or they didn't have a bathroom for guests.

Well, my wife to the little guy to Locale and they helped out and had no issues assisting us. I immediately made a reservation for dinner and came back the following night. What an experience. The food was more authentic then when I was in Rome. The customer service was amazing.

HIGHLY RECOMMEND IT!!",July 2019,Locale,https://www.tripadvisor.com/Restaurant_Review-g186338-d1389543-Reviews-Locale-London_England.html,"London, United Kingdom",restaurants,5.0,4.5
Fantastic Location,"Right be the London Eye attraction and located near a hop on hop off bus stop. We stayed here last summer and enjoyed every minute of it. Black out curtains to get rid of jet lag, fantastic restaurant and cafe to grab food and perfect drop off and pick up for airport transfers. Highly recommend it.",July 2019,Park Plaza County Hall London,https://www.tripadvisor.com/Hotel_Review-g186338-d672863-Reviews-Park_Plaza_County_Hall_London-London_England.html,"London, United Kingdom",hotels,4.0,4.5
Places to Visit in Athens,"Well is you dint visit this monument in Athens you are not one step closer to the Gods. It marks not only a wonderful spot in history, but also signifies the amazing engineering that went into building it. Great spot for photos while in Greece. Just DONT go there in the afternoon in the middle of summer. Visit early in the morning or late afternoon.",July 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must See,"Great place to visit after the acropolis. This area is at the base of the acropolis and has a lot of history. Great restaurants, nightlife and bars to cool down in the Athenian heat.",August 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
What an experience,"Love Greek cabbies. They now where their going and where to take you. Some are scammers, but what industry doesn't have bad apples.",August 2019,ATS - Athens Taxi Services,https://www.tripadvisor.com/Attraction_Review-g189400-d7856183-Reviews-ATS_Athens_Taxi_Services-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Crazy Street,"When you visit this monument, remember not to cross the street on your own and use the tunnels. Very important. Its a great spot for photos and to learn about its history.",July 2019,Arc de Triomphe,https://www.tripadvisor.com/Attraction_Review-g187147-d188709-Reviews-Arc_de_Triomphe-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.5
Watch the pick pockets,"Fabulous place to visit and have a picnic on the garden in front of the Eiffel Tower. Watch out for the pickpockets. They play a game and have you interact, while their friends pick your pockets. Don't bring valuables in this area and watch the kids. otherwise a must see when in Paris",July 2019,Eiffel Tower,https://www.tripadvisor.com/Attraction_Review-g187147-d188151-Reviews-Eiffel_Tower-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.5
Breath Taking,"This street is not only impressive in photos. but it takes your breath away in person. My family and I visited this spot on a number of occasions when we visited Paris.
Greta place for food, drinks and shopping. A must stop if your travelling Paris. Take in the sites and have a glass of wine and relax.",July 2019,Champs-Elysees,https://www.tripadvisor.com/Attraction_Review-g187147-d209760-Reviews-Champs_Elysees-Paris_Ile_de_France.html,"Paris, France",attractions,5.0,4.0
