title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great inner city farm,"Great local inner city farm, the cafe serves really good fun, street parking is available if you are lucky .",February 2020,Windmill Hill City Farm,https://www.tripadvisor.com/Attraction_Review-g186220-d212971-Reviews-Windmill_Hill_City_Farm-Bristol_England.html,"Bristol, United Kingdom",attractions,5.0,4.5
Best pizza for miles,"Heard many good things about this place so was dying to give it ago . It did not disappoint! The pizza sizes are massive and very yum . I just had ham and cheese, there was also cheese in the crust was a nice surprise! Will definitely be back for more .",September 2020,Pizzarova,https://www.tripadvisor.com/Restaurant_Review-g186220-d9559139-Reviews-Pizzarova-Bristol_England.html,"Bristol, United Kingdom",restaurants,5.0,4.0
Best Of Athens,"This is what Athens is all about and we were not disappointed. Sadly the place was full of tourists but that cannot be helped . But it was definitely worth the hike up the hill , the views are absolutely breathtaking.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Deep in history,Fantastic and very informative museum. This is perfect to visit after being up in the Acropolis for a few hours,December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great stay,Perfect walking distance to all the major attractions and restaurants around Athens . The hotel services excellent breakfast and fresh oranges juice which is spot on. Only down side is the rooms are slightly weird set up with the shower and toilet. The shower needs a proper draining system as it completely smells not very pleasant.,December 2019,B4B Athens Signature Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d13966134-Reviews-B4B_Athens_Signature_Hotel-Athens_Attica.html,"Athens, Greece",hotels,3.0,5.0
Fantastic find,"Recently found this wonderful place during a stay in the cotswolds out of the blue. What a great find it was . The pub host was very welcoming and the pub had a great atmosphere , would be lovely to stay during the winter as it had a proper open We both had the lasagna which was very meaty yum yum . Definitely visiting again .",October 2020,The Fox Inn,https://www.tripadvisor.com/Restaurant_Review-g1231794-d7239739-Reviews-The_Fox_Inn-Broadwell_Gloucestershire_England.html,"Broadwell, United Kingdom",restaurants,5.0,4.5
Great amphitheatre,Visited when it was pouring with rain not the best for photos but can't control the weather . Very impressive amphitheatre and the tour below the theatre was very informative.,November 2019,Pula Arena Amphitheater Admission Ticket,https://www.tripadvisor.com/AttractionProductReview-g295373-d14019347-Pula_Arena_Amphitheater_Admission_Ticket-Pula_Istria.html,"Pula, Croatia",activities,4.0,4.0
Great place for cocktails,Fully taken advantage of Happy Hour with a friend for birthday drinks. Self distance in full.operation and booking a head required.,September 2020,Turtle Bay,https://www.tripadvisor.com/Restaurant_Review-g186220-d4112292-Reviews-Turtle_Bay-Bristol_England.html,"Bristol, United Kingdom",restaurants,5.0,4.5
Great day down the farm,"Great few hours spent at this great farm, visiting the animals who you are able to stroke but not hold to covid.",October 2020,Cotswold Farm Park,https://www.tripadvisor.com/Attraction_Review-g1233666-d1735261-Reviews-Cotswold_Farm_Park-Guiting_Power_Cheltenham_Cotswolds_England.html,"Guiting Power, United Kingdom",attractions,5.0,4.5
Great day out,Fantastic day trip to see a large range of wild animal. Plenty of wild space to be able to self distance. Quite a few places closed off due to covid.,October 2020,Cotswold Wildlife Park and Gardens,https://www.tripadvisor.com/Attraction_Review-g186358-d1735252-Reviews-Cotswold_Wildlife_Park_and_Gardens-Burford_Cotswolds_England.html,"Burford, United Kingdom",attractions,5.0,4.5
Birthday Get Away,Fantastic hotel situated in a typical Cotswolds town. Within perfect driving distance of cotswolds attractions. The hotel is following all covid 19 guidelines and the staff are very friends and welcoming. The restaurant serves wonderful cocktails and food .,October 2020,Cotswold House Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187068-d214796-Reviews-Cotswold_House_Hotel_Spa-Chipping_Campden_Cotswolds_England.html,"Chipping Campden, United Kingdom",hotels,5.0,4.5
Standard,"Went during a busy Sunday lunch time, served was quick and food arrived very quickly, makes you think do they just warm it up in the microwave! Had duck in a plum sauce with pasta was tasty but could make it at home .",June 2019,Bella Italia,https://www.tripadvisor.com/Restaurant_Review-g6012865-d2011007-Reviews-Bella_Italia-Cribbs_Causeway_Gloucestershire_England.html,"Cribbs Causeway, United Kingdom",restaurants,3.0,3.5
Good find !,Went here recently for lunch with a friend . The food was awesome and delicious! Will definitely be back soon! The lunch time deal is definitely worth a try !,April 2019,Bambalan,https://www.tripadvisor.com/Restaurant_Review-g186220-d10350032-Reviews-Bambalan-Bristol_England.html,"Bristol, United Kingdom",restaurants,5.0,3.5
Adequate,"Went here for lunch with a group of friends , I ordered Chicken tikka curry , everyone else had a lasagna and chicken with waffles . Was ok for what we paid . Service was good until we had to wait more than 20 minutes for one dessert, the pub wasn’t even that busy ! Won’t be rushing back in a hurry.",May 2019,The Summerhouse,https://www.tripadvisor.com/Restaurant_Review-g191282-d1317711-Reviews-The_Summerhouse-Weston_super_Mare_Somerset_England.html,"Weston super Mare, United Kingdom",restaurants,3.0,3.5
Hotel beach was better.,"Visited this beach for a few hours as everyone raved about it, our hotel beach (Skiathos Princess ) was better . Quite a fair bit of rubbish on the beach which was sad , free toilets and decent restaurant, have to pay for sun beds mind.",May 2019,Koukounaries Beach,https://www.tripadvisor.com/Attraction_Review-g1191737-d2328510-Reviews-Koukounaries_Beach-Koukounaries_Skiathos_Sporades.html,"Skiathos, Greece",attractions,3.0,4.0
Fantastic beach,"Beautiful beach , very peaceful until the other tourist come. More pebbles than sand so can’t walk barefooted easily . Can only get to by boat ..",May 2019,Lalaria Beach,https://www.tripadvisor.com/Attraction_Review-g189499-d3498704-Reviews-Lalaria_Beach-Skiathos_Sporades.html,"Skiathos, Greece",attractions,5.0,4.5
Fantastic Hotel,"I can’t rate this hotel enough ! Absolutely fantastic beach , service and food is out of this world , only problem wasn’t here for long enough ! A week just isn’t long enough ! The staff can’t do enough for you , the food changes every day which was great , so much choice and variety Hotel is right on the beach which was quiet and very relaxing !",May 2019,Princess Resort,https://www.tripadvisor.com/Hotel_Review-g1744293-d315434-Reviews-Princess_Resort-Agia_Paraskevi_Skiathos_Sporades.html,"Skiathos, Greece",hotels,5.0,4.0
Good location for concert at Motorpoint,"Stayed here during trip to see Olly Murs at the Motorpoint. Hotel is across the road so excellent location. Hotel is very basic , get what you pay for . Hotel cost includes full English breakfast and WiFi , WiFi didn’t work for me , make fact too many people using it .",May 2019,Ibis Cardiff,https://www.tripadvisor.com/Hotel_Review-g186460-d219529-Reviews-Ibis_Cardiff-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",hotels,3.0,3.5
Excellent food,"Been here several times , always good service and selection of food. My fav being cinnamon pineapple",May 2019,Viva Brazil,https://www.tripadvisor.com/Restaurant_Review-g186460-d3618143-Reviews-Viva_Brazil-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",restaurants,5.0,4.5
Excellent find,"Went here on the way to a concert at The Motorpoint, had a tuna sandwich and pastry was very yum . Excellent service and very good value for money.",May 2019,The Little Man Coffee Company,https://www.tripadvisor.com/Restaurant_Review-g186460-d7253096-Reviews-The_Little_Man_Coffee_Company-Cardiff_South_Wales_Wales.html,"Cardiff, United Kingdom",restaurants,5.0,4.5
Tapas in oxford,"Was in oxford for the day and wanted to use our tastecard. Came across this tapas/bar which seemed very reasonable price. Nicely decorated inside and service was excellent, we ordered
The cheese board , meatballs , cheese croquets, Spanish omelette and halloumi and pomegranate Salad which was delicious! And the fresh orange juice was lovely too!",April 2019,The Lighthouse,https://www.tripadvisor.com/Attraction_Review-g186361-d7368875-Reviews-The_Lighthouse-Oxford_Oxfordshire_England.html,"Oxford, United Kingdom",attractions,5.0,4.0
Hidden Gem,"Went to oxford for the day when we came across this hidden little gem. Excellent food and service . Had avocado and prawns to start with was the biggest portion of prawns had as a starter out before. For main had lasagna was very yummy, plenty of mince and cheese . Absolutely loved the decor of the restaurant the map of Italy on the ceiling was superb. Well definitely be back when next in oxford.",April 2019,Gino's Spaghetti House,https://www.tripadvisor.com/Restaurant_Review-g186361-d787849-Reviews-Gino_s_Spaghetti_House-Oxford_Oxfordshire_England.html,"Oxford, United Kingdom",restaurants,5.0,4.0
Superbreak Stay,"Stayed here for two nights as part of a mini break. Ideal location as only 15 mins drive from Stratford Upon Avon. Breakfast was one of the best I have had , well plenty of variety. Hotel restaurant offers decent food in with lovely position sizes and staff are very efficient. The rooms could do with being updated as they are looking tiredness and the bathroom has seen better days. But decent enough for what you pay to say here.",March 2019,Ettington Chase Hotel,https://www.tripadvisor.com/Hotel_Review-g1213796-d210452-Reviews-Ettington_Chase_Hotel-Ettington_Stratford_upon_Avon_Warwickshire_England.html,"Ettington, United Kingdom",hotels,4.0,3.5
Wonderful,"Recently visited whilst trying to find somewhere for dinner , remembered the place had recently been under new management, so thought would give it ago . We certainly were not disappointed! Friendly staff , most excellent food , and most important dog friendly. We were so impressed we have booked to return on Mother’s Day .",February 2019,The Star Inn Tickenham,https://www.tripadvisor.com/Hotel_Review-g504119-d672763-Reviews-The_Star_Inn_Tickenham-Clevedon_Somerset_England.html,"Clevedon, United Kingdom",hotels,5.0,4.5
