title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good place for pre-flight drink,"The service was good, the wine of good quality but the only problem I had was finding somewhere to sit. There is a big area for eating but a relatively small area if you only want a drink which meant I had to stand up. Handy for a drink before boarding the flight.",October 2019,London's Pride,https://www.tripadvisor.com/Restaurant_Review-g186338-d6852731-Reviews-London_s_Pride-London_England.html,"London, United Kingdom",restaurants,4.0,3.5
Great pub,"I liked this place. It is tucked away down a quiet street and a good place to sit outside. I went for the sport on TV, especially the Rugby World Cup. The wine was good and the staff were very good, remembering what I was drinking. Would recommend it.",October 2019,The James Joyce Irish Pub & Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d2661414-Reviews-The_James_Joyce_Irish_Pub_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Full of history,It was only 5 Euros to get in and what a bargain. It is so impressive with the sun shing off the marble. It is so full of history being the venue for the opening and closing ceremonies of the 1896 Olympic Games. The Athens Marathon finishes here. It is quite a magnificent sight and great to walk around the seating. One of my favourite sights of Athens and well worth a visit.,October 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Unmissable,I visited in the afternoon as I hoped a lot of the tours from the cruise ships would have left plus the sunlight would be better for photos. The sun decided not make a show but it was still bright and clear. I entered at the second entrance which was a short walk from Acropolis Metro station and there was only one couple at the ticket office in front of me so sailed in for 20 Euros. The first stop was the Theatre of Dyonisus which was smaller than I was expecting. It is an even climb up to the Parthenon and neighbouring temples. Looking down onto the Theatre of Herod Atticus was a bit disappointing as they seemed to be setting up for a show and there were lots of lights and modern items ruining the view. At the Parthenon there was scaffolding at the front and other construction work going on. There are some wonderful views of the city from the top. All the temples are nearby - my favourite being The Erechtheion with its statues. I exited from the main entrance and turned right and headed down to another famous monument The Tower of Winds then ended up in Monasteraki for a meal.,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great value for money,"I had a great stay here although I had a few problems locating it at the end of the day! The self check in was good and I easily entered the place with the door code and found my key and manual located in a box in reception. The room was very spacious and clean with a balcony overlooking the street. There was a kitchenette
with fridge and microwave. It also had a sofa and flat screen TV. WiFi was good. Bathroom was clean with shower gel and shampoo. A little bit noisy with traffic in the morning being on a busy road. The lady on the desk was very friendly and helpful. Across the road was a lovely small locals' taverna. It was a bit further to the Acropolis than I expected to walk it, and without a decent map so walked down the road to the Omonia Metro station and alighted at the Acropolis Metro station which is right next to it. The bed was clean and comfortable and had no noise from any of the other rooms. Not a great deal of restaurants around but I usually ate in the Monasteraki area anyway. It was great value for money. I would stay there again if in Athens.",October 2019,Dima Rooms And Apartments,https://www.tripadvisor.com/Hotel_Review-g189400-d15642085-Reviews-Dima_Rooms_And_Apartments-Athens_Attica.html,"Athens, Greece",hotels,5.0,2.5
Interesting place,"Boasts 'Judith - the world's first airport distillery' and you can actually peer through the window to see it. Nice and spacious, the only drawback for me was the lack of real ale. If you don't like Greene King IPA (which I don't) you have had it. I went for a medium Altoritas Sauvignon at £5.25. A good stop before security.",October 2019,The Nicholas Culpeper,https://www.tripadvisor.com/Restaurant_Review-g191265-d10039664-Reviews-The_Nicholas_Culpeper-Horley_Surrey_England.html,"Horley, United Kingdom",restaurants,4.0,3.5
Not as good as it was,I enjoyed my last visit here but this time it was so noisy and after I had got my drink there wasn't anywhere to sit. I don't think it was a great send off before my flight so drank up and found a quieter place near to my gate. Service was good though considering a lot of people were ordering food.,October 2019,The Red Lion,https://www.tripadvisor.com/Restaurant_Review-g187051-d1998780-Reviews-The_Red_Lion-Crawley_West_Sussex_England.html,"Crawley, United Kingdom",restaurants,3.0,3.5
Better and quieter than the Wetherspoons in North Terminal,I was flying from the north terminal but made time to visit here first as it has a better atmosphere and not so noisy. I drank Lagunitas IPA which is good but a bit pricey at £4.60 a bottle. It is named after Gatwick's old Beehive terminal and is spacious and airy. A good stop before the flight. Shuttle bus to North Terminal only takes a few minutes so worth a visit.,October 2019,The Beehive,https://www.tripadvisor.com/Restaurant_Review-g187051-d3181690-Reviews-The_Beehive-Crawley_West_Sussex_England.html,"Crawley, United Kingdom",restaurants,4.0,3.5
Greatest choice of beers for miles,I'm glad we managed to find this place. It is truly a beer-lovers' paradise. So many to choose from although I found a pint of Hold the Line (7.2%) a little too expensive at £7.90 so I plumped for the Bull Walloper cider at 7.2% but only £4.20 a pint. It's not a big place and fills up fairly quickly but we visited on a Saturday afternoon which I think was a good time to visit. A must visit if in Gosport.,July 2019,The Four-Ale Taproom,https://www.tripadvisor.com/Restaurant_Review-g616264-d14903377-Reviews-The_Four_Ale_Taproom-Gosport_Hampshire_England.html,"Gosport, United Kingdom",restaurants,5.0,4.5
Good selection of beer and cider,I visit here quite a lot as there is always a nice atmosphere (in the afternoon at least) and there is always a good selection of beer and cider - Black Dragon being my favourite. Staff are great although sometimes there doesn't seem enough to serve at the bar and also clear the tables etc. One of my favourite pubs in town.,August 2019,The Sir John Baker,https://www.tripadvisor.com/Restaurant_Review-g186298-d6717692-Reviews-The_Sir_John_Baker-Portsmouth_Hampshire_England.html,"Portsmouth, United Kingdom",restaurants,4.0,4.0
