title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
AMAZING,Quite a hike up to the top but defintely worth it............ but prepared for crowds though and we were warned about pick pockets,December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent small hotel,"Great small, quaint hotel perfectly located for all the sites. Very welcoming staff with rooms cleaned/towels changed daily. Views of the Acropolis from a lot of the rooms. Would definitely recommend for all travelers",December 2019,Adams Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d235713-Reviews-Adams_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Short Break,"Travelled with my daughter and one year grandson...lovely area to stay, close to the beach, and the weather was very warm. The hotel was ok but not too keen on the food or the Spanish attitude.... but we managed to ignore and enjoy our time in Almeria",September 2019,Alua Golf Trinidad,https://www.tripadvisor.com/Hotel_Review-g644309-d265443-Reviews-Alua_Golf_Trinidad-Roquetas_de_Mar_Province_of_Almeria_Andalucia.html,"Roquetas de Mar, Spain",hotels,3.0,4.0
EXCELLENT HOTEL,"Stayed here for a few days to explore the city - this hotel has everything you could need ..... pleasant and very helpful staff, very clean quiet rooms, metro across the road although we walked into the centre every day through the Eduardo VII Park which was very close to the hotel, breakfast was lovely ... well done Hotel Principe Lisboa :)",June 2018,Hotel Principe Lisboa,https://www.tripadvisor.com/Hotel_Review-g189158-d206381-Reviews-Hotel_Principe_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,"Lisbon, Portugal",hotels,5.0,4.5
Wonderful,Stayed at this hotel on a spa break Sunday/Monday and had a great time...... please do not be put off by any negative reviews......... the whole package/all staff/spa and treatments/meals etc made the whole experience very enjoyable,February 2018,Muthu Belstead Brook Hotel,https://www.tripadvisor.com/Hotel_Review-g190725-d280562-Reviews-Muthu_Belstead_Brook_Hotel-Ipswich_Suffolk_East_Anglia_England.html,"Ipswich, United Kingdom",hotels,5.0,3.5
NILE CRUISE ABOARD MS MAYFAIR,Had the most wonderful week cruising the Nile aboard the MS Mayfair on 1st May 17.......... all the crew/excursions/boat/food was amazing. Our guide Omar was the best and we felt safe at all times........... an experience we will always remember....,May 2017,Nile River,https://www.tripadvisor.com/Attraction_Review-g294201-d472084-Reviews-Nile_River-Cairo_Cairo_Governorate.html,"Cairo, Egypt",attractions,5.0,4.5
VERY GOOD LONDON HOTEL,"Lovely clean hotel not far from Kings Cross/Euston Station.....excellent value for money with buffet style breakfast included...... quick efficient check, room well equipped.... would not hesitate to stay here again",November 2016,Hotel Tavistock,https://www.tripadvisor.com/Hotel_Review-g186338-d210745-Reviews-Hotel_Tavistock-London_England.html,"London, United Kingdom",hotels,4.0,3.5
Great.....,"Stayed here over the weekend, excellent location, large room and very clean. Staff very helpful and breakfast was enjoyable - no issues at all and will be staying again and recommending to family and friends",September 2016,The Euro Hotel,https://www.tripadvisor.com/Hotel_Review-g186338-d210746-Reviews-The_Euro_Hotel-London_England.html,"London, United Kingdom",hotels,4.0,4.0
Special,"Stayed here for a few days early September - ideal location for public transport and several tourist attractions within walking distance, loved the hotel and all it offers - will be recommending to family and friends",September 2016,Domus Sessoriana,https://www.tripadvisor.com/Hotel_Review-g187791-d277150-Reviews-Domus_Sessoriana-Rome_Lazio.html,"Rome, Italy",hotels,4.0,3.5
AMAZING,"Had the most amazing time completing the climb at the weekend - our guide, Adam, was excellent.......... will be recommending to friends and family - DO IT - fabulous!!!!",September 2016,Up at The O2,https://www.tripadvisor.com/Attraction_Review-g186338-d3263267-Reviews-Up_at_The_O2-London_England.html,"London, United Kingdom",attractions,4.0,4.5
