title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A comfortable and well placed Inn with quirky breakfast arrangements,"We enjoyed our stay at this conveniently situated hotel outside Cirencester during the covid epidemic and felt safe under well thought out arrangements eg one way systems. We received several useful updates via reception before arrival. Our room was accessed through the pleasant central courtyard and overlooked the river at the back of the property - and was a window into local wildlife. It and the roomy en suite were well appointed but now in need of some modernization. We only ate breakfast at the hotel and found the arrangements rather odd, with the full English breakfast not including toast and the continental breakfast allowing only two selections from the menu: rather spoiling the ship for a ha'porth of tar. The amounts of different food items also varied from day to day - apparently supplier problems were responsible. However, the table staff were very pleasant and obliging.",September 2020,The Crown of Crucis Country Inn and Hotel,https://www.tripadvisor.com/Hotel_Review-g2250961-d570985-Reviews-The_Crown_of_Crucis_Country_Inn_and_Hotel-Ampney_Crucis_Cotswolds_England.html,"Ampney Crucis, United Kingdom",hotels,4.0,4.0
Another great meal at the Aperfield,"Lunch here today and everything you could wish for in terms of social distancing and precautions. We enjoyed a tasty lunch with great service from Sara. As usual, the standard here is high.",September 2020,The Aperfield Inn,https://www.tripadvisor.com/Restaurant_Review-g7383680-d2516834-Reviews-The_Aperfield_Inn-Biggin_Hill_Greater_London_England.html,"Biggin Hill, United Kingdom",restaurants,4.0,4.0
Perfect venue for a family get-together,"We reserved a table for 11 people before Christmas mainly based on convenience of location for our party. We were very pleased when they offered us a private room, which suited us perfectly, and on our arrival the staff were very friendly and welcoming. Desite being very busy and three of our party being delayed, there was never any sense of hurrying us to order drinks or food. Our order was taken promptly once we were all settled in and everything arrived in good time and as ordered. We were in the main happy with our meals, although those who had ordered the steak pie found the meat in the middle was barely warm but chose not to complain. We had allowed two hours for our stay but we were given a useful extra hour as by then the restaurant had become less busy. The staff could not have been more helpful and everyone was pleased with the choice of venue. Would recommend and go again.",December 2019,The Bear,https://www.tripadvisor.com/Restaurant_Review-g504176-d969861-Reviews-The_Bear-Leatherhead_Surrey_England.html,"Leatherhead, United Kingdom",restaurants,4.0,4.0
A great preview to the Acropolis,This is a fantastic archive of the plethora of genuine artifacts from the Acropolis as well as impressive re-creations of many of its famous features such as the Parthenon's pediments. Coupled with well labelled exhibits (in Greek and English) it is an opportunity not to be missed and good value. We would suggest you go before visiting the Acropolis itself.,September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
A chance to wander through milennia of history,"Our visit to the Acropolis on a warm, late September day was terrific. One can wander through the various sights of interest at your own pace and marvel at the history and the ancient building skills - admittedly in the presence of many others, but the large site dilutes the numbers. The climb is via many steps but many far less mobile than us managed the ascent to the Parthenon and temples at the summit - and were rewarded with some memorable views, even with scaffolding. We echo advice we were given to visit the Acropolis Museum before this trip as there is a chance to see many of the original artifacts (rather than the replicas on the site itself) and to learn about their long history through well-labelled notes. The whole package is one for life's bucket list despite the typically chaotic queuing system at the quieter south entrance. Do it!",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"A beautiful ""boutique"" hotel","We have recently returned from a 4 night stay at the Nautilus Dome where we spent an enjoyable time sightseeing and relaxing by the pool (although the unpadded sunbeds can prove uncomfortable after too long!). The hotel itself is very modern and pretty in an attractive ""Santorini""-style set around the central pool which was always very peaceful. Although a little on the small side our room was very clean and well-equipped. As stated elsewhere, there is no breakfast room at the hotel but breakfast items are ordered the night before to your choice of time then brought to your room the next day. All rooms have their own patio with chairs and table. The menu itself was a little limited but the portions very generous. The hotel's position is on a very busy road just outside Thira but getting there and back is made easy with the shuttle to and from a convenient location thanks to Christos and Michael's excellent service. There are a a few shops including a bakery, banks and even a Lidl (!) a short walk from the hotel. The view of the caldera from the roof is stunning, especially at sunset when it can be truly be said to rival anywhere else on the island - even the much-advertised Oia (which is so crowded you have to queue up to take photos of the view!) The only negative point is of course the constant road noise as the front of the hotel is partly open to the road. There is a pleasant bar area looked after by the delightful Efi. We found all the staff to be very friendly and helpful in making sure we enjoyed our time at the Nautilus Dome. Particular thanks to Christos for his excellent advice and good humour!",September 2019,Nautilus Dome,https://www.tripadvisor.com/Hotel_Review-g482942-d949895-Reviews-Nautilus_Dome-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,4.5
Wouldn't go back!,"The place looked as if it needed an update and a good clean. The meal I ordered was shown as coming with roast potatoes, but I asked if chips could be substituted. Yes of course was the answer but I got the same rather soggy roast potatoes, accompanied by a mean salad covered in balsamic vinegar which didn't improve the potatoes either. However my partner was reasonably happy with his food. Service was not particularly friendly either. I am glad some other reviewers had a better experience!",September 2019,Kali Orexi,https://www.tripadvisor.com/Restaurant_Review-g642171-d14075320-Reviews-Kali_Orexi-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",restaurants,2.0,3.0
Very goodfood for all tastes!,"Recommend this restaurant for good choices of both Greek and ""Mediterranean"" style food. I had a vegetarian Moussaka which unlike some other places) was delicious and full of lovely assorted veggies. Gets very busy but the staff are very friendly and helpful and will find you a table.",September 2019,Aeoli,https://www.tripadvisor.com/Restaurant_Review-g642171-d2146652-Reviews-Aeoli-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",restaurants,4.0,4.0
Absolutely delicious fresh seafood,"So glad we found this lovely restaurant right opposite the beach. The food was the best we had during our stay and at a very modest price. Very friendly service and definitely worth a walk from the ""town"" end especially at sunset.",September 2019,Coralli,https://www.tripadvisor.com/Restaurant_Review-g642171-d2304081-Reviews-Coralli-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",restaurants,5.0,4.0
"Delightful hotel, delightful people!","We stayed 5 nights at the Paros Palace and it was a pleasure from beginning to end. Our room was very comfortable with all modern amenities and breakfast on the terrace, with its fine views of Parikia and the port area, is definitely 5*+! It is situated on a fairly busy road but that didn't intrude on our experience. It's a reasonable straight walk to the town but the road lacks pavements in places, so best to go down in daylight then call Stavros for a lift back. The owner Nana and Stavros couldn't have been more helpful and we thank to them for a delightful stay: highly recommended.",September 2019,Paros Palace,https://www.tripadvisor.com/Hotel_Review-g642171-d1741673-Reviews-Paros_Palace-Parikia_Paros_Cyclades_South_Aegean.html,"Paros, Greece",hotels,5.0,4.5
