title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Definitely 5* for this leg of our flight.,"For the final leg of our long journey, the third of the flights with Avianca, we were upgraded to business class, which was a pleasant surprise. Although we hold Platinum status as frequent flyers the opportunities for complimentary upgrades get less and less as airlines consolidate flights and often fly full. A real boost to a long journey sipping champagne to celebrate our return to the Galapagos - definitely 5* for this leg of our flight.",January 2020,Avianca,https://www.tripadvisor.com/Airline_Review-d8729028-Reviews-Avianca,World,flights,5.0,4.0
Great location for the early morning ferries.,"Located very close to the harbour we chose the hotel for an overnight stay to facilitate an evening arrival by ferry from one of the islands and the early morning ferry to another the following day. A previous stay, a couple of years ago, had been disappointing, but it best served our purpose this time around so booked anyway.
I am glad to report that the negatives found during our previous trip have been turned into positives. English speaking receptionist, assistance with luggage and a great breakfast served in time to catch the morning ferry. Fast check in and out - all just what we booked with no issues - great location for fast access to the ferries without the need for a taxis and of course being located close to the harbour, well located for shops and restaurants for evening entertainment.",January 2020,Hotel Ninfa,https://www.tripadvisor.com/Hotel_Review-g297533-d1182725-Reviews-Hotel_Ninfa-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",hotels,4.0,3.5
Just an all round great place to stay,"Having stayed here before we said we would return and so we did. Captain Max is an excellent host, keen to ensure all his guests get the most of their visit to the island. The accommodation is centrally located so all you need is within a short walk.
The rooms are lovingly arrange around a nautical theme with comfortable beds and air conditioning and come complete with a hammock if that 'rocks your boat'. Breakfast is served in the communal lounge / dining area where staff are on hand to ensure a good start to the day. Just an all round great place to stay and we are looking forward to our next visit.",January 2020,Capitan Max B&B,https://www.tripadvisor.com/Hotel_Review-g297533-d7094020-Reviews-Capitan_Max_B_B-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",hotels,5.0,5.0
A vibrant sculptural celebration,A landmark enroute to the Darwin Research Centre and a rather vibrant reminder and tribute to what this island group means to the world at large in our understanding of evolution based on the work of Charles Darwin.,January 2020,Monumento Darwin,https://www.tripadvisor.com/Attraction_Review-g297533-d13200730-Reviews-Monumento_Darwin-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",attractions,4.0,3.5
The central hub of any visit,"A long journey fro the UK, but worth every hour of the 29 hours spent getting there, door to door. Located in the centre of the island group it provides a good kicking off spot to explore the other islands. This island is the only one with a road running through it's centre, providing connection between Baltra island airport to the north and the port, which is Santa Cruz, to the south. The town is more established than the population settlements on the other islands and as such has one of the more developed tourist industry, providing numerous restaurants, accommodation, dive shops etc from which to plan your stay within the Galapagos. As such we chose to avoid the busy periods to get away from the crowds, although i understand the islands are implementing a policy of sustainable tourism by increasing the price to enter the region from $100 to $400 per person at some time in 2020 to assist in controlling the growth in the number of visitors. To experience this island we plan 3 to 4 days to visit the sights, having visited previously, before moving on to other islands within the group. If moving between islands you will likely pass through several times during your stay since some islands are only accessible by ferries from this port. To make the most of your visit to the Galapagos plan your visit in advance to make the most of the time available to you - this is a lovely island, but only one of many, with different wildlife on the islands and in the ocean, throughout the group, so traveling between the islands is an essential part of any visit.",January 2020,Santa Cruz Island,https://www.tripadvisor.com/Attraction_Review-g297532-d10841626-Reviews-Santa_Cruz_Island-Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",attractions,5.0,4.5
Walk into pure bliss,"The location is well signposted from the town, and although a bit of a walk it is well worth it. The path leads up a series of steps to a ranger station and on through the typical volcanic landscape of Opuntia cactus 'trees', with numerous small lizards scurrying to keep you company. The reward at the end of the path is a vast sandy beach, extending as far as the eye can see, speckled with a few people here and there, and of course iguanas sunning themselves as they absorb the heat of the day. Keep an eye on the flags to judge whether or not it is advisable to swim - safety is your own responsibility. There are no life guards on this beach.
Further along is the Tortuga Laguna where you are able to snorkel, swim and kayak, somewhat more protected by the bay and outlying reef.",January 2020,Galapagos Beach at Tortuga Bay,https://www.tripadvisor.com/Attraction_Review-g297532-d2511723-Reviews-Galapagos_Beach_at_Tortuga_Bay-Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",attractions,5.0,4.5
A lovely way to spend the afternoon - simply relaxation.,"Having crossed the bay by water taxis, with the beach area and boardwalk crowded will locals over the weekend break, we headed into this exclusive hotel to enjoy drinks in the shade by the side of the pool. That is we started with drinks and ended up with a late lunch, having been tempted by the menu and the friendly, helpful waiting staff. A lovely way to spend the afternoon - simply relaxation.",January 2020,Finch Bay Galapagos Hotel,https://www.tripadvisor.com/Hotel_Review-g297533-d495654-Reviews-Finch_Bay_Galapagos_Hotel-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",hotels,4.0,4.5
"Worth a visit, but not for long","Small but busy beach accessed of the roadway within the Darwin Research Centre, delineated by the bicycles parked at its entrance pathway. A generally rocky area with lava rock outcrops and of course the Iguana inhabitants - worth a visit, but not for long.",January 2020,Playa de La Estacion,https://www.tripadvisor.com/Attraction_Review-g297533-d10196268-Reviews-Playa_de_La_Estacion-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",attractions,3.0,4.0
"Location, location, location","Great views over the bay, but watch out for mosquito's. We stopped by for drinks on the way back from our trip to Playa de los Alemanes to make the most of our journey over the bay, prior to catching the return water taxis .",January 2020,Angermeyer Waterfront Inn,https://www.tripadvisor.com/Restaurant_Review-g297533-d1934877-Reviews-Angermeyer_Waterfront_Inn-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",restaurants,4.0,4.0
Sit a while to watch the comings and goings in the harbour area,A small park to sit and watch the comings and goings in the harbour area at the end of Charles Darwin Avenue.,January 2020,Parque San Francisco,https://www.tripadvisor.com/Attraction_Review-g297533-d13196991-Reviews-Parque_San_Francisco-Puerto_Ayora_Santa_Cruz_Galapagos_Islands.html,"Santa Cruz, Ecuador",attractions,3.0,3.5
