title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent,The room was amazing and it had a balcony with wonderful view.It was big and clean.The hotel was amzing they where very careful with the breakfast because of the coronavirus.We didn't go into the pool because the whole situation but they were cleaning it every day.,August 2020,Hermes Hotel Kissamos,https://www.tripadvisor.com/Hotel_Review-g1028265-d662075-Reviews-Hermes_Hotel_Kissamos-Kissamos_Chania_Prefecture_Crete.html,"Crete, Greece",hotels,5.0,4.0
Amazing water,"It is an amzing beach with blue crustal water, if you walk for a bit into the water you can go to a small island.The water is going to be on your knees.Generaly the sea doesn't have a lot of depth.We arrived at eleven o'clock and there was no umbrela so I advise you to bring an umbrela with you.",August 2020,Elafonissi Beach,https://www.tripadvisor.com/Attraction_Review-g1535800-d1536672-Reviews-Elafonissi_Beach-Elafonissi_Chania_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.5
A life expirience,It is a travel back to the ancient years and a life changing expierience.The buildings full of colors are amazing.,August 2020,The Palace of Knossos,https://www.tripadvisor.com/Attraction_Review-g13124727-d195896-Reviews-The_Palace_of_Knossos-Knosos_Crete.html,"Crete, Greece",attractions,5.0,4.0
Perfect,It was just amazing.Everyone was kind.The food was amazing even the bread was hot when they bring it to us.Everything was clean and the view was amazing.,August 2020,Palio Arhontiko,https://www.tripadvisor.com/Restaurant_Review-g1187586-d1896889-Reviews-Palio_Arhontiko-Kolymbari_Platanias_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
It is amazing,We went there with my family and it was perfect.Then we went to Likavitos and ancient shop.It was amazing,March 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing,"It is an amazing shop with many options.We get panckakes, one seazar salad and one with cocolate and biscuits.There are amazing.",December 2019,Flapjacks Brunch & Coffee,https://www.tripadvisor.com/Restaurant_Review-g4106785-d12696102-Reviews-Flapjacks_Brunch_Coffee-Ilion_Attica.html,"Ilion, Greece",restaurants,5.0,4.5
Horrible,"We don't have many chances in the food, the self in the bathroom was spoil but the stuff were very helpul and polite.The hair bryer was spoil and the air condision comes out cold air.It was dazzling dut it hasn't the basics.",February 2020,Wellness Santa Resort,https://www.tripadvisor.com/Hotel_Review-g2042466-d234310-Reviews-Wellness_Santa_Resort-Agia_Triada_Thessaloniki_Region_Central_Macedonia.html,"Agia Triada, Greece",hotels,2.0,3.5
Amazing,"It is a great expierience,it has a lot of fun and it is for all the ages.It is just amazing.You must go.",January 2020,The MindTrap Kolonaki,https://www.tripadvisor.com/Attraction_Review-g189400-d9717325-Reviews-The_MindTrap_Kolonaki-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent,It is amazing it has perfect bckground and desserts.Every week it change background.,December 2019,Cap Cap,https://www.tripadvisor.com/Restaurant_Review-g1772175-d6413407-Reviews-Cap_Cap-Egaleo_Attica.html,"Egaleo, Greece",restaurants,5.0,4.0
Amazing,"It is a fantastic cafe,it has many things and for vegans and it has a lot of things to choose.It is AMAZING!!!!!!!!!!!",January 2020,Grigoris,https://www.tripadvisor.com/Restaurant_Review-g3695541-d13123399-Reviews-Grigoris-Peristeri_Attica.html,"Peristeri, Greece",restaurants,5.0,4.5
FANTASTIC,"It is amazing,fantastic,excellent and a great view activiti.The London Eye has a grest view of big ben,Tamesis and parliament",August 2019,London Eye,https://www.tripadvisor.com/Attraction_Review-g186338-d553603-Reviews-London_Eye-London_England.html,"London, United Kingdom",attractions,5.0,4.5
Amazing,It has more to do and many to see if you are hear you must go.It is an amazing experience for childrens and adults,August 2019,Tower of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,"London, United Kingdom",attractions,5.0,4.5
It is amazing,it has excellent view and it go throw many villages.it is an amazing experience and if you go near you must do it.,August 2019,Pelion Railway,https://www.tripadvisor.com/Attraction_Review-g3228868-d8324167-Reviews-Pelion_Railway-Ano_Lechonia_Volos_Magnesia_Region_Thessaly.html,"Ano Lechonia, Greece",attractions,5.0,4.5
Amazing,it is an amazing place with a long story behind it.If you be near you must go and the stalactites and stalagmaites are amazing,August 2019,Cave of Dragon (Spilia tou drakou),https://www.tripadvisor.com/Attraction_Review-g315844-d3683565-Reviews-Cave_of_Dragon_Spilia_tou_drakou-Kastoria_Kastoria_Region_West_Macedonia.html,"Kastoria, Greece",attractions,5.0,4.5
Amazing,It was a great and calm island.It has amazing view and grafic.It was excelent.Anyone who was near must go,October 2019,Agios Achillios island,https://www.tripadvisor.com/Attraction_Review-g970277-d8770013-Reviews-Agios_Achillios_island-Prespes_National_Park_Florina_Region_West_Macedonia.html,"Prespes National Park, Greece",attractions,5.0,4.5
Amazing,It was a great place and the people there discribe you anything you want for the woulfs but we see only one white woulf because has many hot,October 2019,Arcturos Wolf Sanctuary,https://www.tripadvisor.com/Attraction_Review-g8785107-d8784448-Reviews-Arcturos_Wolf_Sanctuary-Agrapidies_Florina_Region_West_Macedonia.html,"Agrapidies, Greece",attractions,5.0,4.5
I hate it,When she make a coffe the lid of the plastic glasses fall down and she pout it on the coffe.When I show it I am soced,October 2019,O Navarchos,https://www.tripadvisor.com/Restaurant_Review-g3228813-d16813179-Reviews-O_Navarchos-Nymfaio_Florina_Region_West_Macedonia.html,"Nymfaio, Greece",restaurants,1.0,4.0
