title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Breakfast team and the location perfect,"The breakfast team are very friendly...their staff Hatice and Kenan are helpful...
The view during breakfast is perfect for anyone who enjoy the morning sunrise looking at the bosphurus sea and hagia Sophia
The room is decent but again the staff are so helpful",February 2020,The And Hotel Sultanahmet,https://www.tripadvisor.com/Hotel_Review-g293974-d296566-Reviews-The_And_Hotel_Sultanahmet-Istanbul.html,"Istanbul, Turkey",hotels,5.0,4.5
Best Turkish restaurant,"The service in this restaurant is one of the best in my visit to Istanbul..
Food is very good...they played a nice music while you are enjoying your food
The worker are friendly...nice ambience",February 2020,Beso Restaurant Bistro,https://www.tripadvisor.com/Restaurant_Review-g293974-d9851970-Reviews-Beso_Restaurant_Bistro-Istanbul.html,"Istanbul, Turkey",restaurants,5.0,5.0
Slow service,"The service is slow...I've ordered two dishes..but only one arrived...they forgot to make the other one...
Waited for the bill is so long..waiter didn't pay attention to the customers",February 2020,Faros Restaurant Old City,https://www.tripadvisor.com/Restaurant_Review-g293974-d1717850-Reviews-Faros_Restaurant_Old_City-Istanbul.html,"Istanbul, Turkey",restaurants,2.0,4.5
Monastiraki,"Center of everything in Athens...
Metro is there..restaurants and bars are there..
Easy for shopping and sightseeing",February 2020,Monastiraki,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Athens Adrian hotel,"Nice and decent hotel...very strategic area for visiting historical places in Athens all in walking distance
No need to worry about your food all kind of restaurants are close by from Greek food to Asian restaurants all within walking distance
Highly recommended for traveller's who don't mind of doing some walking to go to places that are known in Athens",February 2020,Adrian Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d260810-Reviews-Adrian_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Acropolis,"One of the best historical places I've visited
The view is extraordinary you can have the whole view of Athens from the top",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Best Indian food in Athens,"The food were amazing..staff are very friendly...
Service are quick..our favorite dish is chicken vindaloo
The restaurant have a good ambiance",February 2020,Indian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g189400-d2480324-Reviews-Indian_Kitchen-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Beautiful sunset view,"Nice view during sunset...crêpe was so tasty
Coffee is good while viewing the sunset in oia
Good experience",February 2020,Vitrin Cafe Creperie,https://www.tripadvisor.com/Restaurant_Review-g482941-d3640122-Reviews-Vitrin_Cafe_Creperie-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Satisfied customer,The food is excellent...the service is good..workers are very friendly...on our last day dinner my wife was given a free baklava..we visited this restaurant the whole three days of our stay in oia,February 2020,Lotza,https://www.tripadvisor.com/Restaurant_Review-g482941-d1802303-Reviews-Lotza-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.0
Caldera Santorini,"We had a great time here..the staff are friendly..easy access..restaurant and shops are walking distance..the view from our room are amazing we can view the sun rise from the room..
Wifi are good...great experience here",February 2020,Caldera Villas,https://www.tripadvisor.com/Hotel_Review-g482941-d573432-Reviews-Caldera_Villas-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.0
Cave hotel,"It's a nice hotel in gore me Cappadocia..located on a high place where you can get a beautiful view day and night
Very friendly staff in this property..they can help you to organize your activities here such as the most popular hot air balloon ride",February 2020,Vezir Cave Suites,https://www.tripadvisor.com/Hotel_Review-g297983-d1523367-Reviews-Vezir_Cave_Suites-Goreme_Cappadocia.html,"Goreme, Turkey",hotels,5.0,5.0
Coffee shop,"Nice evening coffee and desserts...their banana pancake is delicious
Very cozy shops..this two ladies are very friendly",February 2020,King's Coffee Shop,https://www.tripadvisor.com/Restaurant_Review-g297983-d15355039-Reviews-King_s_Coffee_Shop-Goreme_Cappadocia.html,"Goreme, Turkey",restaurants,5.0,5.0
Hot air balloon,"Very good service from this company and highly recommended for a good hot air balloon experience
They are very organized and friendly",February 2020,Hot Air Balloon Flight,https://www.tripadvisor.com/AttractionProductReview-g297983-d19446489-Hot_Air_Balloon_Flight-Goreme_Cappadocia.html,"Goreme, Turkey",activities,5.0,5.0
