title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Fresh & Vibrant,"Went to Dante’s with the family (2 adults, 3 teenagers) after a long days hiking - we’d built up an appetite! Dante’s didn’t disappoint. The food was superb - fresh, uncomplicated, tasty and plenty of it. Burgers are so good, the Inferno pizza will wake up every part of your body. But save room for the loaded fries!
Staff were attentive and friendly. The soundtrack was top quality and created a vibrant atmosphere. We will certainly be back.",October 2020,Dante’s Armagh,https://www.tripadvisor.com/Restaurant_Review-g186474-d19876207-Reviews-Dante_s_Armagh-Armagh_County_Armagh_Northern_Ireland.html,"Armagh, United Kingdom",restaurants,5.0,5.0
Above Average,"Good food, great staff, nice view from beer garden. Only down side is the limited menu before 5pm. We saw the online menu and this is why we chose here, but most of it wasn’t available before 5pm. Calamari chunks were great, pizza decent, but chicken and avocado sandwich was lackluster.",August 2020,Austies Pub & Kitchen,https://www.tripadvisor.com/Restaurant_Review-g186635-d1937601-Reviews-Austies_Pub_Kitchen-Sligo_County_Sligo_Western_Ireland.html,"Sligo, Ireland",restaurants,3.0,4.5
Worth a visit,"Ate here with family of five (three teenagers). Overall the food was good, particularly the burgers and the Asian street food which was packed full of prawns and chicken. Chicken Alfredo was also a hit.
At €29 the steak was going to have to be really good, but it didn’t live up to the price tag. I’ve had better and much cheaper. Also we had tempura chicken and chicken strips as starters, while generous portions both tasted of fish - maybe fry the fish in a separate frier.
The staff and the scenery were lovely. COVID measures were excellent. It was also the best pint of Guinness I had in Sligo.
Worth a visit.",August 2020,Harrison's Bar and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1925970-d1553949-Reviews-Harrison_s_Bar_and_Restaurant-Cliffoney_County_Sligo_Western_Ireland.html,"Cliffoney, Ireland",restaurants,4.0,4.5
Don’t be the idiot,"Knocknarea is a beautiful way to spend a few hours. Go early to ensure a parking space and enjoy the walk up. It’s steep enough but manageable for both young and old. The cairn at the top, the legendary burial place of Queen Maebh, the bull thief is a sight to behold. A significant figure in Irish folklore, and an ancient tomb, it is clearly marked that it should not be climbed. However when we were there at least two separate people felt the need to ignore the signs and disrespect this cultural monument. The first person was a man in his forties who was doing an ultra-run challenge. He videos himself on top and became abusive with his faux Dublin south side accent to those who asked him to come down. The second was a woman in her late twenties, who decided to throw stones off the top! Both idiots. Plenty of teenagers on the top were dismayed at the two idiots and asked them to come down.
There a number of short paths on the top which are well worth exploring. They offer breathtaking views across Connacht and Ulster. Take your time and enjoy it, then treat yourself to an ice cream in Strandhill and look up to where you were - breathtaking. But don’t be the idiot!",August 2020,Knocknarea,https://www.tripadvisor.com/Attraction_Review-g186635-d216739-Reviews-Knocknarea-Sligo_County_Sligo_Western_Ireland.html,"Sligo, Ireland",attractions,5.0,5.0
"Great pizza and burgers, but","Great pizza and burgers, but try the loaded fries. All washed down with a fresh pint of Perroni. Great food, atmosphere and staff. We’ve been back several times.",July 2020,Dante’s Armagh,https://www.tripadvisor.com/Restaurant_Review-g186474-d19876207-Reviews-Dante_s_Armagh-Armagh_County_Armagh_Northern_Ireland.html,"Armagh, United Kingdom",restaurants,5.0,5.0
Magnificent,"What an experience and privilege to be able to visit such a historic place. My teens did a lap of the stade.
It truly is breathtaking. Make sure to go up the tunnel and see all the posters and Olympic torches.
Bring water!",October 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Lovely place,"Really nice place. Good traditional Greek food, music and atmosphere. The staff were very pleasant.
Stuffed vine leaves, lamb in lemon sauce and cheese pie are all recommended.
There are lots of places to eat in the area, but Stamatopoulos stood out for all good reasons.",October 2019,Stamatopoulos Tavern,https://www.tripadvisor.com/Restaurant_Review-g189400-d1465538-Reviews-Stamatopoulos_Tavern-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Really Poor,"Our party of eight arrived after a ten kilometer hike. We were in good form and had worked up an appetite. We had originally planned to eat next door at Yiasemi which had good reviews, but we couldn’t get a table.
Despite not being very busy, we waited twenty minutes before being able to get the waiter to come near us. He seemed annoyed that we wanted to order a drink before food.
The food when it did come was poor in comparison to similar restaurants in the area. The mushroom risotto was cold and inedible, the calamari wasn’t much better. When this was pointed out to the waiter, he shrugged and took the dish away but did not bring an alternative or offer an apology or explanation.
When the mains arrived the waiter disappeared, no opportunity to order more drinks. As we left we looked to find someone to pay and complain to. Eventually we found an old man behind a till downstairs who was screaming abuse at the waiting staff.
Bad atmosphere, bad service, bad food. There are plenty of places to eat in the area, avoid this one!",October 2019,Old Taverna Kritikou,https://www.tripadvisor.com/Restaurant_Review-g189400-d6903161-Reviews-Old_Taverna_Kritikou-Athens_Attica.html,"Athens, Greece",restaurants,1.0,3.5
Truly magnificent,"What a stunning place. Whether from the inside, a local rooftop terrace or just walking around this will blow you away.
I would recommend the 5 day, multi venue ticket.
Probably the best place to view it from is the top of Filopappou Hill.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Must see!,"We came across Tazza by chance. Disappointed not to get a table outside, we were shown inside. Mind blown! If you come, insist on sitting inside. The decor was amazing, the food above average and the staff very friendly.
This will sound strange, but the best bit about it all was the toilets - visit them often!",October 2019,Tazza,https://www.tripadvisor.com/Restaurant_Review-g189400-d7806282-Reviews-Tazza-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
