title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Need an upgrade!,"Oh this place remind me home (this is what i was thinking when i bit the pizza fritta - a traditional fried pizza from napoli).
But unfortunately isn't just that on the menu.. like the arancini, unsalted and bland, ore the crocchette, same reason..
Or when we ordered some pizzas and they give us different (we deal with the waiter and tell him was fine, cause we was hungry ahahah) ... but as i say, that bit of pizza was legendary, we will come back for super and hopefully the things are getting better, cause it's a new opening and we understand.",March 2020,Pizza Fritta 180,https://www.tripadvisor.com/Restaurant_Review-g255060-d20355555-Reviews-Pizza_Fritta_180-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,3.0,4.5
Oooh that curry!,"A surprising lunch in this place a few days ago! We had 2 different curry for have a look of the menu and the quality.. well, let's say those chef know there job!! One of the best in newtown!!",April 2020,Bangkok Bites,https://www.tripadvisor.com/Restaurant_Review-g8572746-d8735418-Reviews-Bangkok_Bites-Newtown_New_South_Wales.html,"Newtown, Australia",restaurants,4.0,4.0
Best Pad thai,"Been here with my girlfriend few days ago.
Such a long time a don't a pad thai like this.. complete and full of flavour.. happy and for sure i will come back.",April 2020,Home Thai Restaurant,https://www.tripadvisor.com/Restaurant_Review-g255060-d2520051-Reviews-Home_Thai_Restaurant-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.5
Crispy and good,"A good meal deal between beers and chicken in different flavour. For sure this place make happy a lot of mates group!
Anyway, nice tasting of the bites, sweety or spicy.. good meal deal in the area",April 2020,Chicken V,https://www.tripadvisor.com/Restaurant_Review-g255060-d13171041-Reviews-Chicken_V-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,3.5
A nice break,"Been here with my mate few days ago, service 8/10, smiling faces and happy place (cause of the beers maybe).
The food 8/10 dumplings and takoyaki balls really internet flavours.
And of course the amount of different beers it's a good point.
We really enjoyed",April 2020,Harajuku Gyoza Beer Stadium Darling Harbour,https://www.tripadvisor.com/Restaurant_Review-g255060-d15217542-Reviews-Harajuku_Gyoza_Beer_Stadium_Darling_Harbour-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.0
Love it!!,"Such a lovely yummy tasting of the dishes!! Literally everything was really good..unsatisfied only about the service and the waitress, make us a bit uncomfortable, maybe cause of the language or, well, wherever.. the kitchen doing really well!",April 2020,Chat Thai Haymarket,https://www.tripadvisor.com/Restaurant_Review-g255060-d866763-Reviews-Chat_Thai_Haymarket-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.0
"Miss something, like the love in the plate","We been here for a good sweety fatty breakfast and we left really disappointed...
Let's say, tge service was 10/10, the waitress was really kind and professional, the order come true as we ask, but..
We order 2 different pancakes to have a look and try, but in the end was just chocolate topping and some fruit, the pancakes wasn't tasting good, missing flavour for sure.. luckily the smoothies we had, save hour morning",April 2020,Pancakes On The Rocks,https://www.tripadvisor.com/Restaurant_Review-g255060-d757128-Reviews-Pancakes_On_The_Rocks-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,3.0,4.0
Best dumpling ever!!,"In the chinatown heart, close to the cbd of sydney, there is this small place, with a classic Chinese menu, but the tasting of the dishes ita literally yummy!!",April 2020,Chinatown Noodle King,https://www.tripadvisor.com/Restaurant_Review-g255060-d3525944-Reviews-Chinatown_Noodle_King-Sydney_New_South_Wales.html,"Sydney, Australia",restaurants,4.0,4.5
Ding Dong all night!,"The title mean abot the bell the chef smash all night and unfortunately all the customers outside hear for all night!

But forget about that, infact i give 4/5
- for the service first, because the waiters was super gentil and professional and make our dinner comfortable!
- and for the food second, tuna tartare nice, sweet and soft, but miss some flavour like mint and lime for example.
And the linguine Vongole, sweet and tasting (but, if was me, chef, try the emulsion before to add the pasta otherwise the linguine are super oily) (im an italian chef so i know what im talking about when i recognize the old school plate).. but in the end without this small details, the place and the service deserve!",September 2019,Trattoria Al Riccio,https://www.tripadvisor.com/Restaurant_Review-g1159305-d7933963-Reviews-Trattoria_Al_Riccio-Santa_Maria_al_Bagno_Nardo_Province_of_Lecce_Puglia.html,"Santa Maria al Bagno, Italy",restaurants,4.0,4.0
Tasty Lobster,"First time we been here, located behind covent garden, you can try a nice butter lobster o different meat offer like pork or burger. Famous for the fried shrimps on Tuesday! Not to high price! Nice for what u eat",July 2019,Big Easy Bar.B.Q & Lobstershack,https://www.tripadvisor.com/Restaurant_Review-g186338-d6404967-Reviews-Big_Easy_Bar_B_Q_Lobstershack-London_England.html,"London, United Kingdom",restaurants,5.0,3.5
