title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
The worst seafood,"We ate here for dinner one night and it was one of the worst, if not the worst, seafood dinners we have ever had. We ordered the special as a starter ‘6 prawns in garlic’ -the prawns were overcooked and mushy and an odd brown colour -needless to say we didn’t finish them and sent them back. Hoping the mains would be better we ordered the lobster (which was actually very small crayfish) and calamari. The crayfish was similar to the prawns and very overcooked and mushy and the fried calamari was soggy. We suspect that none of the seafood was fresh and was all frozen and very badly cooked by a terrible chef. We left without eating as the food was so bad (definitely a first for me!). There are not too many restaurants in town but avoid this one!",December 2019,Portuguese Fisherman,https://www.tripadvisor.com/Restaurant_Review-g316112-d15614325-Reviews-Portuguese_Fisherman-Luderitz_Karas_Region.html,"Luderitz, Namibia",restaurants,1.0,4.5
Excellent tour,"Urban hike: I went on the new urban hike that Dlala Nje are doing- incredible views of the city, excellent guide, very informative and a great way to see a different side of Jo’burg. Would definitely recommend this walk and can’t wait to do some of their other tours!",September 2019,Dlala Nje,https://www.tripadvisor.com/Attraction_Review-g312578-d6163716-Reviews-Dlala_Nje-Johannesburg_Greater_Johannesburg_Gauteng.html,"Johannesburg, South Africa",attractions,5.0,5.0
Lovely local fish restaurant,Miller’s Thumb is a great local restaurant. We had the mussels and calamari to start then the kingklip and prawns- all of the seafood was well cooked and fresh. Simply cooked but excellent. Would definitely recommend and will be back when next in Cape Town!,September 2019,Miller's Thumb,https://www.tripadvisor.com/Restaurant_Review-g312659-d1353342-Reviews-Miller_s_Thumb-Cape_Town_Central_Western_Cape.html,"Cape Town Central, South Africa",restaurants,5.0,4.5
Huge disappointment,"The Acropolis is best viewed from afar. Up close, the place is a building site where they are rebuilding the monuments...! The columns have been rebuilt using a mis-match of materials and look terrible - I’m not sure why they haven’t left it all as was when excavated. As expected it’s a huge tourist trap and not an enjoyable experience. Also there are no facilities at the entrance so you have to walk all the way to to top to use the toilets - pretty bad for Athens top tourist attraction.

Fortunately we had a multi site ticket and the other lesser know sites were much better and enjoyable to visit.",April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,1.0,4.5
Excellent food,This local restaurant in an old school is a bit outside the centre of town however it is well worth the taxi ride. The food was excellent -traditional Greek with a modern twist. Would definitely recommend you eat here.,April 2019,Ama Lachei at Nefeli's,https://www.tripadvisor.com/Restaurant_Review-g189400-d6437392-Reviews-Ama_Lachei_at_Nefeli_s-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Ruined by the service,"We booked a lunch for 4 people via email at 2pm. On arrival the restaurant was quite quiet. We ordered off the lunch set menu but were not given a wine list. After inquiring we were told it was on an iPad and the battery was low...(slightly bizarre excuse!). The waiter then recommend some pairing wines by the glass which we ordered. The food came out promptly and the time between courses was non existent. After the main we were told we had to order dessert straight away as the restaurant was now closed. No offer of any further drinks either.
Overall the food was lovely and would rate it 5 stars but our expectation of a long lunch over a nice bottle of wine was thwarted by the rushed service and basically being thrown out of the restaurant just after 3pm.
Why did they take a 2pm booking if they wanted to close early?!? Very disappointing.",March 2019,Atelje,https://www.tripadvisor.com/Restaurant_Review-g274873-d698786-Reviews-Atelje-Ljubljana_Upper_Carniola_Region.html,"Ljubljana, Slovenia",restaurants,3.0,4.5
Great morning SUP through the city,"We had a great paddle through the city with Spela. Being off season we had the river to ourselves which was lovely and peaceful. The weather was perfect and wetsuits were provided - this is not just a summer activity, would definitely recommend from now onwards.
Spela was a fab guide- patient, full of interesting facts about the city and very fun! Definitely a highlight of our trip",March 2019,Bananaway - Stand Up Paddle Tour in Ljubljana,https://www.tripadvisor.com/Attraction_Review-g274873-d7135052-Reviews-Bananaway_Stand_Up_Paddle_Tour_in_Ljubljana-Ljubljana_Upper_Carniola_Region.html,"Ljubljana, Slovenia",attractions,5.0,5.0
Great cassoulet,"Although the restaurant decor hasn’t changed much since the 80’s it was quite charming and the food was worth it. The menu is limited but if you come here you must have the cassoulet -served in a big pot for the table, the portion sizes are huge! They have a very good inexpensive red wine list too. Finished off with a tarte tatin, a good value meal all round.",March 2019,La Cave au Cassoulet,https://www.tripadvisor.com/Restaurant_Review-g187175-d929007-Reviews-La_Cave_au_Cassoulet-Toulouse_Haute_Garonne_Occitanie.html,"Toulouse, France",restaurants,4.0,4.0
Very Disappointing!,"This restaurant was our only disappointment while visiting Barcelona.
Both the restaurant and menu looked interesting, but unfortunately the food was ordinary and the service charmless.
The one star is based on the fact that we ordered an ice cream as dessert, this came in a tiny glass container, frozen absolutely solid, it needed an ice pick instead of a spoon, so of course we immediately pointed this out to the waitress (by the name of Sonia according to the bill), but she couldn’t or wouldn’t grasp the fact that it was inedible, she just kept repeating that it was ice cream! Finally she snatched up the ice cream and gave it to someone in the kitchen to thaw, five minutes later it came back in need of a straw rather than a spoon, just as inedible. No apology, no offer of an alternative dessert, not even the menu.",January 2019,Restaurante Tantarantana,https://www.tripadvisor.com/Restaurant_Review-g187497-d947706-Reviews-Restaurante_Tantarantana-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,1.0,4.0
Nice Seafront Tapas Bar,"Seafront bar with very good tapas.
Great to sit outside on a sunny day, even in January!
A nice place to spend a leisurely lunchtime.",January 2019,El Pacífico,https://www.tripadvisor.com/Restaurant_Review-g187497-d8423306-Reviews-El_Pacifico-Barcelona_Catalonia.html,"Barcelona, Spain",restaurants,4.0,4.0
