title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Good beer, average food","We went here earlier in the summer for beer and apps and were very impressed. The main menu looked really good so we returned last night. The beer was still great but were disappointed in the main course food, except the mashed potatoes were great. Ribs were cold and chicken club was dry. A good place for drinks and apps but if you want a good meal, go elsewhere.",September 2019,Abe Erb Kitchener,https://www.tripadvisor.com/Restaurant_Review-g181747-d12594665-Reviews-Abe_Erb_Kitchener-Kitchener_Region_of_Waterloo_Ontario.html,"Kitchener, Canada",restaurants,3.0,3.5
Craft beer available,My partner and I each enjoyed a flight of beer. Also had lots of seasonable craft beers available that sparked our interest but we didn’t try (was a bit pricey for these seasonal options). Cool vibe and good service.,July 2019,The Townhouse,https://www.tripadvisor.com/Restaurant_Review-g154971-d3474392-Reviews-The_Townhouse-Antigonish_Nova_Scotia.html,"Antigonish, Canada",restaurants,5.0,4.5
Good food,Coffee was weak and disappointing but the food was good. Built my own omelette. Reasonably priced. All day breakfast available.,July 2019,Justamere Cafe and Bakery,https://www.tripadvisor.com/Restaurant_Review-g154971-d2262170-Reviews-Justamere_Cafe_and_Bakery-Antigonish_Nova_Scotia.html,"Antigonish, Canada",restaurants,4.0,4.0
Delicious,Family run restaurant. One of the best Caesar salads I’ve ever had. Delicious pizza. Very much recommended.,June 2019,Le Cascate Pizzeria & Caffe,https://www.tripadvisor.com/Restaurant_Review-g154998-d11892772-Reviews-Le_Cascate_Pizzeria_Caffe-Niagara_Falls_Ontario.html,"Niagara Falls, Canada",restaurants,5.0,4.5
Great atnosphere,"On the waterfront, had heaters going while we visited so it was nice and warm. Mussels with mustard sauce were average, came with a lot of sauce. Friend got grilled veggies with haloumi cheese salad which came with balsamic dressing and was very good. Excellent complimentary frozen creamsicle for dessert.",April 2019,Island Basket,https://www.tripadvisor.com/Restaurant_Review-g2184506-d7119457-Reviews-Island_Basket-Artemida_East_Attica_Region_Attica.html,"Artemida, Greece",restaurants,4.0,4.5
Wonderful!,"Found this place on Trip Advisor under cheap eats. Definitely the best value we’ve found in Greece so far with very delicious food. The tzatziki was amazing, although quite garlicky (the waiter did warn us to his credit!). Decided to try fava here and were not disappointed. Originally ordered a Greek salad but the waiter suggested Cretan as an alternative which was very similar but with a creamier cheese and sweeter dressing. Were happy with our choices. Wine only 2 euros a glass! Complimentary dessert and shots. Clearly a family run place and so delicious. Would return!",April 2019,Ta Meraklikia tou Boureksi,https://www.tripadvisor.com/Restaurant_Review-g189415-d4860280-Reviews-Ta_Meraklikia_tou_Boureksi-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
Unmatched service,"Were recruited off the street, took their coupon then returned later in the evening. Given complimentary wine and dessert (pear and apple slices with honey). All 3 servers upstairs were extremely attentive. Nice balcony seating. Main meals were average.",April 2019,El Greco Taverna,https://www.tripadvisor.com/Restaurant_Review-g482942-d2157688-Reviews-El_Greco_Taverna-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,3.5
Tasty,"Excellent service. Good chocolate donut, drinks were a bit sweet but delicious. Nice atmosphere. Would return.",April 2019,Coffee Lab,https://www.tripadvisor.com/Restaurant_Review-g482942-d14065478-Reviews-Coffee_Lab-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,5.0
Poor customer service,"Barista was talking to someone (not another customer nor a colleague) while making our loose leaf tea, to the point where she would walk away from the tea to talk to him. When she served us the tea, it was only 3/4 filled with water. I asked her to fill it up all the way and she added a small amount more, still not near full, and laughed.",April 2019,Coffee Island Coffee Roasters,https://www.tripadvisor.com/Restaurant_Review-g189433-d10366249-Reviews-Coffee_Island_Coffee_Roasters-Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,2.0,4.5
Get a guide,Online tours were sold out so we arrived and noted a “licensed tour guide” right by the ticket booth. Well worth the 30 Euro per person charge to have a semi-private group (4 people) tour with our knowledgeable guide Maria. Has been doing tours for 47 years! Spoke very good English.,April 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
