title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Excellent fine dining restaurant,"The setting is close to the shore line, only a green promenade separates it from the ocean.
As a result: no traffic, very peacefull environment.
The food is amazing, well prepared, the plates beautifuly presented.
This is fine dining how it should be, with friendly personel.
In high season, it is preferable to make a reservation to be certain to have a table.
The wine menu is short with an interesting selection of Portugese wines.
A glass of excellent Portugese bubbles is included when dining.",October 2020,Cris's,https://www.tripadvisor.com/Restaurant_Review-g189167-d8360615-Reviews-Cris_s-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
Nice Spanish retaurant,"The restaurant is situated in a straat with bars, restaurant and hotels one next to the other.
The place is at half an hour walking from the center of Funchal, but there is a bus stop close to the restaurant.
Good and friendly personel.
The menu gives you an large choice of different tapas. Be carefull: the protions are very large.
The food is very well prepared and is comparable with the tapas in Spain.",October 2020,Tapas y Copas Funchal,https://www.tripadvisor.com/Restaurant_Review-g189167-d12524440-Reviews-Tapas_y_Copas_Funchal-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,4.0,4.0
Very nice seafood restaurant,"The restaurant is located across the street of hotel ""Baja Azul"" outside the center of Funchal.
It is a small restaurant with possibility of outside eating.
Excellent and friendly service.
The seafood is well prepared and very fresh.
The portions are quite large, so be garefull when ordering.
Nice wine menu (only Portugese wines), the prices are budget friendly.",October 2020,Monumental Grill,https://www.tripadvisor.com/Restaurant_Review-g189167-d2177465-Reviews-Monumental_Grill-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.0
The restaurant is excellent,"I didn't stay at the hotel, but had dinner in the hotel restaurant.
The setting is very beautiful, outside next to the garden.
Friendly personnel.
The food is nice, well prepared with rather large portions.
The menu isn't extensive, but there is still ample choice.
Try the local sea food dishes",October 2020,Quinta Da Penha De Franca,https://www.tripadvisor.com/Hotel_Review-g189167-d196077-Reviews-Quinta_Da_Penha_De_Franca-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",hotels,4.0,4.5
Magnificent !,"End of October, these gardens do not show anymore the splendor and abundance of spring flowers.
Still, it is absolutely worth visiting especially for any botanical enthusiast.
Part of the garden is decorated with Asian statues, pergola and other garniture that makes the garden complex even more beautiful. Add small streams, waterfalls and ponds and you might wonder if you arrived in a fairy tale park.
I cannot begin to image what the abundance of flowers might add to this magnificent garden.",October 2020,Madeira Botanical Garden,https://www.tripadvisor.com/Attraction_Review-g189167-d196085-Reviews-Madeira_Botanical_Garden-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",attractions,5.0,4.0
A magnificent ancient convent turned into a wine lodge,"The entire premises are beautifully restored. It breaths very old times, with a narrow street and old objects.
You have a large variety of Madeira wines to taste and by. The tasting room is in the old buildings, wich makes it cosy and nice",October 2020,Blandy's Wine Lodge,https://www.tripadvisor.com/Attraction_Review-g189167-d271927-Reviews-Blandy_s_Wine_Lodge-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",attractions,4.0,4.5
Magnificent old church in the old center of Funchal,"The facade is magnificent, so is the typical Jesuit interior of the church.
Drop in when you are in the neighborhood, it is worth the effort",October 2020,Colégio dos Jesuítas do Funchal,https://www.tripadvisor.com/Attraction_Review-g189167-d4060002-Reviews-Colegio_dos_Jesuitas_do_Funchal-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",attractions,5.0,4.5
Very professional and friendly dive center,"Very friendly and helpful staff, speaking speaking Portugese, German and English.
The house reef access isn't always easy because of the swell, and the boot doesn't moor at the pier. Wich means a bit of swimming when going out for a boat dive.
The marine life at the house reef is more interesting during night dives.
Abundant marine life is met after a short boat trip to the natural reserve. It is spectacular, worth every effort.
Nitrox 32 is available, and renting equipment is no problem at all.
Dressing rooms and shower are also available.
2 dives a day (or 3 when night diving) are possible, or just 1 dive at your personal interest.",October 2020,Madeira Divepoint,https://www.tripadvisor.com/Attraction_Review-g189167-d3387952-Reviews-Madeira_Divepoint-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",attractions,5.0,5.0
Having a drink or a bite in a timeless setting,"End of October, the temperatures are still high enough to enjoy sitting outside.
The facade is magnificent with its balcony and well preserved azulejos in tipical blue, representing scenery from 19th century.
Nice menu at surprisingly affordable prices.
Excellent and friendly staff.
Enjoy the setting: across the street a park and next door an old fortress.",October 2020,The Ritz,https://www.tripadvisor.com/Restaurant_Review-g189167-d3753218-Reviews-The_Ritz-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,4.0,4.0
Very nice hotel with a spactacular ocean view,"The hotel is less than 10 minutes from the center of Funchal by public transportation.
It is a big hotel with fitness, indoor and outdore heated swimming pools, several restaurants and a bar with a terras with ocean view.
Very good and extensive breakfast, helpfull and friendly personel :""you are at home sir"".
Free shuttle bus to the center of Funchal and the airport.
Lots of nice bars and restaurant around the hotel, so just take bed and breakfast.
Tui personel is often present and very helpfull.
The rooms are large, with a modern bathroom (with hair dryer).
The beds are very comfortable. The rooms are very clean.
The rooms have a small terras.
The rooms in the back of the hotel don't have ocean view, but street view. Try to avoid these rooms.",November 2020,Baia Azul,https://www.tripadvisor.com/Hotel_Review-g189167-d264796-Reviews-Baia_Azul-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",hotels,4.0,4.5
A must for sea food lovers,"Situated close to the shore in the south of Funchal.
You can choose between outdore or indore dining.
The choice in sea food is so extensive, you need some time to pick the ones you want to enjoy.
Everything is fresh at interseting prices. Only the lobster (as about everywhere on Madeira) is very expensive.
The portions are large, so don't over order.
Extensive wine menu at affordable prices. Only Portugese wines.",October 2020,Marisqueira O Barqueiro,https://www.tripadvisor.com/Restaurant_Review-g189167-d1630519-Reviews-Marisqueira_O_Barqueiro-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,4.0,4.0
"In the old center, in front of the marina, to enjoy fine dining","In the very center, this restaurant is next to the promenade in nicely retored old house.
You can eat inside or on the terras outside with a view on the marina or more protected.
The food is excellent, I tried the lunch menu, wine included at a very acceptable price.
The food is modern Mediterranean style with fresh ingredients.
The service is friendly and excellent",November 2020,il Vivaldi Mediterranean Cuisine,https://www.tripadvisor.com/Restaurant_Review-g189167-d13206180-Reviews-Il_Vivaldi_Mediterranean_Cuisine-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,5.0,4.5
An interesting place to visit,"The cathedral has been renovated recently, which gives the old building an aspect of too clean. You wouldn't believe it is that old.
But it is still worth the effort to visit. As many other tourist attractions in Luxembourg City, you get a detailed overview of the history of the building and the country in general.",August 2020,Cathédrale Notre-Dame,https://www.tripadvisor.com/Attraction_Review-g190356-d313263-Reviews-Cathedrale_Notre_Dame-Luxembourg_City.html,"Luxembourg City, Luxembourg",attractions,3.0,4.0
