title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Belated Valentine's Day dinner,"Couldn't get a reservation until Sunday so enjoyed a belated dinner. I had the 8 oz. filet, my husband ordered 12 oz. ribeye and we shared au gratin potatoes and grilled asparagus. I had banana cream pie for dessert while hubby had raspberry sorbet, with decaf in a French press for both of us. Good bread to start. My steak was perfect but my husband's medium arrived stringy and well done. We summoned the server who immediately wisked it to the kitchen for a replacement. The new steak was thicker, juicy and perfectly cooked. The manager delivered it personally. He even offered to have a new one cooked for me so that we could eat together but I assured him that wasn't necessary. It is unfortunate that a piece of meat was wasted, but we were pleased with the prompt attention to our complaint. The ambiance is lovely, the service excellent and problem-solving immediate. We will definitely dine here again.",February 2020,Ruth's Chris Steak House,https://www.tripadvisor.com/Restaurant_Review-g49092-d1533091-Reviews-Ruth_s_Chris_Steak_House-Durham_North_Carolina.html,"Durham, North Carolina",restaurants,5.0,4.0
Elegant environment and gourmet food,"This was our first visit to Cielo and we were very impressed with the lovely ambience, the music and the outstanding food. It was the most elegant meal we've ever enjoyed on Sanibel Island.",January 2020,Cielo,https://www.tripadvisor.com/Restaurant_Review-g34616-d2518752-Reviews-Cielo-Sanibel_Island_Florida.html,"Sanibel Island, Florida",restaurants,5.0,4.5
Great fried oysters and chowder,"Timbers is a wonderful family restaurant with a large menu that always delivers a quality meal. We love their fried oyster dinner which comes with a salad, a starch and a vegetable. It is an excellent value. The spacious dining room is nicely divided to provide dining privacy. We also buy lots of fish from their fish market during our stay on Sanibel because it is of the highest quality.",January 2020,Timbers Restaurant and Fish Market,https://www.tripadvisor.com/Restaurant_Review-g34616-d401981-Reviews-Timbers_Restaurant_and_Fish_Market-Sanibel_Island_Florida.html,"Sanibel Island, Florida",restaurants,5.0,4.0
Small restaurant near beach with good food,"I was on a mission to try new restaurants on Sanibel and as this one is near our vacation rental on the west end I decided to go for lunch. It was around 1 pm and there was only one other couple there. It is a small casual, slightly dark restaurant that is part of the West Wind Resort. I ordered a Philly Cheese Steak sandwich and key lime pie. Both were delicious! More customers arrived during my meal. It wasn't a wow experience but still a good meal.",January 2020,Normandie Seaside Cafe,https://www.tripadvisor.com/Restaurant_Review-g34616-d3588659-Reviews-Normandie_Seaside_Cafe-Sanibel_Island_Florida.html,"Sanibel Island, Florida",restaurants,4.0,4.0
Coconut Grouper Cheeks appetizer,"I treated my daughter to lunch here to give her a break from little kids :) She had the crab cake sandwich while I had the coconut grouper cheeks appetizer which was covered in tasty Chinese noodles. She loved her sandwich and my food was good, too, but I wish I had ordered a salad or sandwich instead so I would have had lettuce and tomato. Maybe they could serve it on a small amount of lettuce? The taste was fine, however.",December 2019,Cip's Place,https://www.tripadvisor.com/Restaurant_Review-g34616-d1998675-Reviews-Cip_s_Place-Sanibel_Island_Florida.html,"Sanibel Island, Florida",restaurants,4.0,4.5
Yummy fried chicken!,"Not having had fried chicken recently I caved thanks to all the great reviews and ordered the four piece meal with fried okra and a biscuit. I took it back to the condo and ate the biggest breast ever and it was sooo good that I ate the leg, too. I refrigerated the rest for the next day and heated it in the oven and it was equally good. If you have a hankering for fried chicken, there's is great! And they deliver :)",January 2020,The Pecking Order Fried Chicken & Pies,https://www.tripadvisor.com/Restaurant_Review-g34616-d7282363-Reviews-The_Pecking_Order_Fried_Chicken_Pies-Sanibel_Island_Florida.html,"Sanibel Island, Florida",restaurants,5.0,4.5
"Casual, child-friendly Cafe","I took my three year old granddaughter on a ""date"" to the playground and to lunch at Rosie's. She chose chicken fingers and chocolate milk, followed by chocolate ice cream. I had a Caribbean pulled pork sandwich on a kaiser roll with onion rings and a scoop of chocolate ice cream. Everything was hot, fresh and tasty. We both enjoyed our lunches. The servers were very nice and helpful to a Grandmother dining with a restless small child.",December 2019,Rosie's Cafe & Grill,https://www.tripadvisor.com/Restaurant_Review-g34616-d3699484-Reviews-Rosie_s_Cafe_Grill-Sanibel_Island_Florida.html,"Sanibel Island, Florida",restaurants,4.0,4.5
Wanted fried oysters but only raw or Rockefeller so had grouper salad,I was hungry for fried oysters so based on the name I decided to try this restaurant while shopping at Bell Tower. They only had raw oysters or baked Oysters Rockefeller so I chose the Grouper Berry Salad which I enjoyed very much. The accompanying bread was hot and delicious and my salad was fresh and tasty. I sat on the patio and enjoyed watching the world go by. My server Margaret was very nice and efficient.,January 2020,Blue Pointe Oyster Bar & Seafood Grill,https://www.tripadvisor.com/Restaurant_Review-g34230-d941891-Reviews-Blue_Pointe_Oyster_Bar_Seafood_Grill-Fort_Myers_Florida.html,"Fort Myers, Florida",restaurants,4.0,4.0
Intimate Fine Dining Experience,"Duval's reviews were very good so we made a reservation for Friday night. We started with the Wonderful Wedge salad, had Garden Fresh Gazpacho then the Fresh Catch Entree of grouper, sauteed spinach and oven roasted potatoes. Everything was excellent with the exception of the potatoes, most of which were over-coooked, dry and hard. We shared an apple tarte tatin for dessert. If it weren't for the potatoes I would have given them a five.",December 2019,Duval's Fresh. Local. Seafood.,https://www.tripadvisor.com/Restaurant_Review-g34618-d2444827-Reviews-Duval_s_Fresh_Local_Seafood-Sarasota_Florida.html,"Sarasota, Florida",restaurants,4.0,4.5
Mabel's Tour,"I took Mable's Tour, consisting of 1st and 2nd floor. John's Tour covers 3rd and 4th floors. The house was build to resemble a palace in Venice, Italy, complete with marble floors, imposing columns, gold leaf ceilings, and very ornate furniture. I found the story of the Ringlings very interesting. Our guide brought their personalities to life through the anecdotes he shared. The house is set on the water and has an enormous outdoor terrace. They entertained grandly in this imposing estate.",December 2019,Ca d'Zan,https://www.tripadvisor.com/Attraction_Review-g34618-d199890-Reviews-Ca_d_Zan-Sarasota_Florida.html,"Sarasota, Florida",attractions,5.0,4.5
