title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Flying,"It a good airlines , friendly staff, good ground service, but the flight delayed , however the seats were good",January 2020,AEGEAN,https://www.tripadvisor.com/Airline_Review-d8728985-Reviews-AEGEAN,World,flights,4.0,4.0
Flying,"It is a very nice airline, very friendly staff and helpful , very strict to time . But the space between seats are very tight, very good flight services and food .",January 2020,Oman Air,https://www.tripadvisor.com/Airline_Review-d8729127-Reviews-Oman-Air,World,flights,4.0,3.5
Lunch,"It’s a unique of it’s kind , different kind of food very special, nice place to be , very friendly staff, and reasonable prices",January 2020,Le Dolci Terre,https://www.tripadvisor.com/Restaurant_Review-g1079908-d12157564-Reviews-Le_Dolci_Terre-Serravalle_Scrivia_Province_of_Alessandria_Piedmont.html,"Serravalle Scrivia, Italy",restaurants,4.0,4.0
Visit,"Very nice site , all brand goods, it is outdoor unfortunately, but still very nice experience, the restaurants and cafes are very little and not good quality food , no good quality food quart their.",January 2020,Serravalle Designer Outlet,https://www.tripadvisor.com/Attraction_Review-g1079908-d1973627-Reviews-Serravalle_Designer_Outlet-Serravalle_Scrivia_Province_of_Alessandria_Piedmont.html,"Serravalle Scrivia, Italy",attractions,5.0,4.0
Riding,"We took the bus from Milan to Serravalle outlet it was very nice ride, on time but they change their time from their site without notice.",January 2020,Serravalle Outlet Luxury Bus Shopping Tour from Milan,https://www.tripadvisor.com/AttractionProductReview-g187849-d19773144-Serravalle_Outlet_Luxury_Bus_Shopping_Tour_from_Milan-Milan_Lombardy.html,"Milan, Italy",activities,5.0,5.0
Lunch,"Very nice food , Greek food and all other kind of food , it has good taste , the site is very nice, very friendly staff , if you want to eat Greek food it is recommended.",January 2020,Senso Cafe,https://www.tripadvisor.com/Restaurant_Review-g189400-d8766960-Reviews-Senso_Cafe-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Dinner,"It’s a nice restaurant , the food was ok , the service was bad some of the staff was rude, some orders was delayed after we finish eating, but the visit whole was good .",January 2020,Biffi,https://www.tripadvisor.com/Restaurant_Review-g187849-d1541347-Reviews-Biffi-Milan_Lombardy.html,"Milan, Italy",restaurants,3.0,3.5
Visit,"This square is very nice , different people from different nationality’s, ice cream is very tasty, small souvenirs shops , just beautiful.",January 2020,Duomo di Milano,https://www.tripadvisor.com/Attraction_Review-g187849-d195239-Reviews-Duomo_di_Milano-Milan_Lombardy.html,"Milan, Italy",attractions,5.0,4.5
Visit,"It’s ok but boring, their are a nice garden nearby which is very nice you can spend time in their , listening to music and eating some chestnut.",January 2020,Il Cenacolo,https://www.tripadvisor.com/Attraction_Review-g187849-d314197-Reviews-Il_Cenacolo-Milan_Lombardy.html,"Milan, Italy",attractions,3.0,4.5
Visit,"Very nice place to visit and shop , allthough it’s expensive, the restaurants their are very rude may be because of the big number of customers.",January 2020,Galleria Vittorio Emanuele II,https://www.tripadvisor.com/Attraction_Review-g187849-d194342-Reviews-Galleria_Vittorio_Emanuele_II-Milan_Lombardy.html,"Milan, Italy",attractions,4.0,4.5
Visit,"Very nice views of Athens, nice cafe and restaurant, one of kind experience of cable cars , and very nice natural surroundings .",January 2020,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Dinner,"Excellent food , friendly staff, nice place, delicious taste, best taste you could find in Athens, I strongly recommend.",January 2020,Indian Kitchen,https://www.tripadvisor.com/Restaurant_Review-g189400-d2480324-Reviews-Indian_Kitchen-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
