title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Inconsistent customer service,"I am giving the 3 stars review because while flight itself was short and unremarkable, but the customer service surrounding was not good. First, make sure you read a small print of your tickets. They charge extra fee, if you do not come with the downloaded online check-in. We were having trouble getting check in online, so the customer service gave us a break. However, here where inconsistency were: on the flight Athens-Santorini we got free baggage check in. On the flight back (with the same bags) we were told that we had to pay for the checked in baggage and could not take them with us. While we were standing on the security line (which was very chaotic) I noticed people with bags, which were the same size as ours and even bigger and heavier. They all got in and got they bags taken for check in for free while we boarding. It gave me impression that check in might be a subject to the agent's mood (the guy who was doing our check in on the Santorini-Athens flight was unpleasant to everyone in that line).",September 2019,Volotea,https://www.tripadvisor.com/Airline_Review-d10533097-Reviews-Volotea,World,flights,3.0,3.0
Drinks on the sunset,"Had drinks with the sunset in this place. The drinks were pretty good (I had sangria) and the view was great. Waiters are nice and the owner, Nick, was pretty chatty. Nice atmosphere. A great stop to make.",September 2019,Nektar Lounge,https://www.tripadvisor.com/Restaurant_Review-g482942-d14142451-Reviews-Nektar_Lounge-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,5.0
Great way to spend a day,"This tour honestly exceeded expectations. All of us on our small group shared that notion (the group was only 6 people). You can check the stops on the tour description they give on this website. Unlike other tours I've been to, this one was quite well paced and relaxing. We met our guide Nicholas at the Thira bus station, he already had a sign with our names on it. He was most gracious host and created fun atmosphere. He seemed as a person who is genially proud of this place and strove to share it with us. He also was super helpful picking angles for photos and offered to take pictures. The only thing I wished for is that he had a microphone, because with roads being quite rocky, sometimes there are a lot of rattle and it is hard to hear what guide was saying. Regardless, it was great time. Highly recommend. And thank you Nicholas!",September 2019,Santorini Highlights Tour with Wine Tasting from Fira (small group up to 10),https://www.tripadvisor.com/AttractionProductReview-g189433-d12472010-Santorini_Highlights_Tour_with_Wine_Tasting_from_Fira_small_group_up_to_10-Santori.html,"Santorini, Greece",activities,5.0,5.0
"Adorable, comfortable and affordable","We stayed there for only three nights and I wish it was more. Location is super convenient: in a two min walk from the beach and restaurants and shops; a bus to the Thira is across the street. The hotel also has a pool and bar, where you can get drinks and food. I had breakfast there: Greek yogurt with fruits and it was very good. They provide free towels for the beach too. The building itself is super cute. Rooms
were clean and comfy. I think all of them have balconies. Things I was not prepared for were: roosters early in morning and local dogs, who made quite a noise as well. So, if you are a light sleeper, get yourself ear plugs. The airport is close enough too and sometimes you can hear them pass by, but this is true for the entire village of Kamari. Staff at the hotel is beyond friendly and helpful. Very lovely people.",September 2019,Hotel Matina,https://www.tripadvisor.com/Hotel_Review-g658914-d234322-Reviews-Hotel_Matina-Kamari_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,4.0,4.5
"Great views, average tour",The temple and surroundings are breathtaking. The tour itself is average at best. The information that was provided was mostly basic (with the exception of history of the temple). I would treat this tour as a form of transportation to the temple and back.,September 2019,Cape Sounion and Temple of Poseidon Half-Day Trip from Athens,https://www.tripadvisor.com/AttractionProductReview-g189400-d11448503-Cape_Sounion_and_Temple_of_Poseidon_Half_Day_Trip_from_Athens-Athens_Attica.html,"Athens, Greece",activities,3.0,4.0
Never cease to amaze,"This was my time here and I could not wait to get there. It is a magnificent creation that withstood thousands of years. If you are traveling at the end of the tourist season, you do not need to worry about major crowds (they still be there, but not as much). If you are traveling during hot time of the year, then get there earlier. We got a guide who was soliciting clients at the gate and paid 30 euros for entry and tour (entry itself is 20 euro). The tour was uneven in a quality: the guide was not taking us up to the temple itself, but she talked about history of Athens and building of the temple. However, in my opinion it went on too long. Enjoy the grounds and roam around. Pro tip: find out when the cruise ships come into town: on those days the lines are hours long.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Beautiful,"The estate is located a bit far away from the main action, however it totally worth the drive. A copy of a British architecture with a Czech flare. It was quiet and not overrun by tourists. Check out the yard and gardens.",November 2018,Hluboka Nad Vltavou Castle,https://www.tripadvisor.com/Attraction_Review-g676771-d277833-Reviews-Hluboka_Nad_Vltavou_Castle-Hluboka_nad_Vltavou_South_Bohemian_Region_Bohemia.html,"Hluboka nad Vltavou, Czech Republic",attractions,5.0,4.5
A nice place to take a break while sightseeing,"It is located in what seems to be a newer part of the city. It looks unassuming from outside, but it is really good. Inside you can pick from several restaurants. I had arctic char from Skal and it was delicious. Washed it down with some Icelandic ale. Perfect lunch. Place provides you with a welcoming break from busy day of sightseeing.",May 2019,Hlemmur Matholl,https://www.tripadvisor.com/Restaurant_Review-g189970-d17624403-Reviews-Hlemmur_Matholl-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",restaurants,4.0,4.5
You got to be nature fanatic,"It is a tiny island in the bay. You got to take a little boat to get there (5 min ride). The island itself has almost nothing on it, except a several small houses, which were a part of a farm once upon a time. There is nothing to do. You got to be nature fanatic or photo enthusiast to truly enjoy it. It is not worth the time.",May 2019,Videy Island,https://www.tripadvisor.com/Attraction_Review-g189970-d1526196-Reviews-Videy_Island-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",attractions,2.0,4.5
Great food with a personal touch,"Had a fish and chips dinner there: fresh and delicious! The place is tiny, but totally worth the visit. It would be great for either lunch or light dinner. The staff was super friendly (which seems to be a trend in Iceland). Prices are quite affordable.",May 2019,101 Reykjavik Street Food,https://www.tripadvisor.com/Restaurant_Review-g189970-d16720175-Reviews-101_Reykjavik_Street_Food-Reykjavik_Capital_Region.html,"Reykjavik, Iceland",restaurants,4.0,5.0
