title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Clean, modern and satisfying","I loved the hotel, they have a great service and clean rooms. The WiFi is great. The serve a good breakfast and free coffee and tea.
They have a parking if you have a car.
The staff is very friendly and polite.",February 2020,Hypnos by bed N' mix,https://www.tripadvisor.com/Hotel_Review-g190383-d13944385-Reviews-Hypnos_by_bed_N_mix-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",hotels,4.0,5.0
"Big portion, gd Quality","The portions were big with a good taste
We ordered zucchini balls, Greek salad, chips, feta pie and octopus plate.
Tasteful and delicious.",February 2020,To Elliniko Ouzomezedopoleio,https://www.tripadvisor.com/Restaurant_Review-g190383-d8486697-Reviews-To_Elliniko_Ouzomezedopoleio-Nicosia_Nicosia_District.html,"Nicosia, Cyprus",restaurants,4.0,4.5
"Not bad, good price","The food is not bad comparing to the price
The salad is tasteless
Fries is good
Close to the beach ..",July 2019,Souvlaki.gr,https://www.tripadvisor.com/Restaurant_Review-g190379-d6952042-Reviews-Souvlaki_gr-Larnaca_Larnaka_District.html,"Larnaca, Cyprus",restaurants,3.0,4.5
"5 euros bed and umbrella, free parking","I loved the place
Crowded but nice
A lot of youth people
The water is really clean
Toilets are free
Shower by 1 euro",July 2019,Nissi Beach,https://www.tripadvisor.com/Attraction_Review-g262055-d1519581-Reviews-Nissi_Beach-Ayia_Napa_Famagusta_District.html,"Ayia Napa, Cyprus",attractions,4.0,4.5
"Calm, clean & average price","The hotel is clean, rooms are big
We took one suite with two bed rooms
It is good for couples and families
Close to aya Napa beaches
Nissi beach is like 15 min walking and 5 min by bus (1,5 euro)
The breakfast is not bad",July 2019,Mon Repos Design Hotel,https://www.tripadvisor.com/Hotel_Review-g262055-d552654-Reviews-Mon_Repos_Design_Hotel-Ayia_Napa_Famagusta_District.html,"Ayia Napa, Cyprus",hotels,4.0,4.5
"Great location, close to the center","The hotel was really good , close to everything including the amazing restaurant and the downtown

The hotel also has a great breakfast buffet and a nice outdoor setting

Try to book very early so you can take a good price",June 2019,NH Torino Santo Stefano,https://www.tripadvisor.com/Hotel_Review-g187855-d596329-Reviews-NH_Torino_Santo_Stefano-Turin_Province_of_Turin_Piedmont.html,"Turin, Italy",hotels,5.0,4.5
"Amazing food, small portion","The pasta was really fresh and delicious, although the portion was really small
The pizza was good as well
The prices are average",June 2019,Ristorante Flipper Di Alborno Libero E C. Snc,https://www.tripadvisor.com/Restaurant_Review-g194900-d2212881-Reviews-Ristorante_Flipper_Di_Alborno_Libero_E_C_Snc-Sanremo_Italian_Riviera_Liguria.html,"Sanremo, Italy",restaurants,4.0,4.5
"Delicious food, pick salad","The food was good, for me the salad was amazing comparing with the pizza
The price was really good
I think it will be max 20€ for one person",June 2019,Casa Leya,https://www.tripadvisor.com/Restaurant_Review-g187234-d13320168-Reviews-Casa_Leya-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,4.0,4.5
Amazing place to take pictures,"The place were really nice, good and positive vibes with very variety of nationalities
The place was really incridable",June 2019,Old Town,https://www.tripadvisor.com/Attraction_Review-g187234-d254286-Reviews-Old_Town-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",attractions,5.0,4.5
"Big portion, tasteless food","The dishes were really big and the presentation was very good. But the taste of the food was really poor
Although the prices were not expensive",June 2019,La Voglia,https://www.tripadvisor.com/Restaurant_Review-g187234-d784000-Reviews-La_Voglia-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"Nice, France",restaurants,3.0,4.0
"Good coffee, good price 3€","The frappe is good comparing to the price which is 3€
The location is very nice, in the middle of the street you can set and see the walkers around you",March 2019,Fontana - Living Well,https://www.tripadvisor.com/Restaurant_Review-g189400-d6681108-Reviews-Fontana_Living_Well-Athens_Attica.html,"Athens, Greece",restaurants,3.0,4.5
"Good location, friendly stuff","The location is very close to everything, you can go by walk to Pláka and psyri.
The receptionist is very friendly, he gave us a lot of restaurants and places recommendations.
The internet is a little bit slow.
The room is well clean and it smells good",March 2019,Athens Mansion Luxury Suites,https://www.tripadvisor.com/Hotel_Review-g189400-d13826069-Reviews-Athens_Mansion_Luxury_Suites-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.5
"artificial flavors, good concept","If you want to taste some artificial flavors
You can try this place.
For me it was a great one time experience with the pinky box not more
The ice cream is like 3€ but it worth 0.5€",March 2019,Chillbox Frozen Yogurt,https://www.tripadvisor.com/Restaurant_Review-g189400-d14475338-Reviews-Chillbox_Frozen_Yogurt-Athens_Attica.html,"Athens, Greece",restaurants,2.0,3.5
"Big portion, average price","The food was good, but you should know what to order
The Rose wine was terrible, I recommend the Greek salad, Mashroom appetizer, frensh fries and souvlaki plate",March 2019,Tzitzikas kai Mermigas,https://www.tripadvisor.com/Restaurant_Review-g562636-d812107-Reviews-Tzitzikas_kai_Mermigas-Chalandri_Attica.html,"Chalandri, Greece",restaurants,3.0,4.0
