title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
See this,"It doesn't take long to see the remains of the Temple of Zeus, but it is well worth the visit. The remaining columns and the one that has fallen over are massive. This was a huge building from 2500 years ago. Pretty much every rock in the shadow of the Temple of Zeus was something significant at one time. There are remains of ancient bath houses, cisterns, and homes there.",December 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Not much to it,"This is where the modern Olympics began. It was pretty much just a stadium. I'm glad I saw it, but it would be way down on my list of recommended priorities in Athens.",December 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
"It's one thing to see the Acropolis from afar in Athens, but it's quite another thing to walk among it. The walkway to","It's one thing to see the Acropolis from afar in Athens, but it's quite another thing to walk among it. The walkway to the top was constructed using rubble from other remains. It is a beautiful, easy walk to the top. The view of Athens from the top is incredible. You can see the Agean sea from there, too.",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
New Acropolis museum,"The construction of the museum reveals under glass layers of Athens they found as they excavated. The top floor of the new building is canted compared to the other floors to display the top remains of the Pantheon in the same exact size and compass orientation as it is on the Acropolis outside. From the ground floor you view remnants found at lower levels, and then the top level shows what had been at the top of the building. You get to the upper floors by ramps, not steps, which I appreciated.
This museum is incredible and I don't usually enjoy museums.",December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"If breakfast was improved slightly, it would be perfect here!","The front desk was great. Business center computers worked. Room was very clean and comfortable. Manager's reception had tasty snacks including potato salad, which was a first. Cocktails were mixed fine, but server didn't realize when I asked for whiskey on the rocks, that whiskey is a particular liquor. She thought Tequila was whiskey. She probably thought I meant liquor, when I said whiskey. It was funny once we figured out how that happened. Breakfast would be better if the pancakes could be made to order, and if bacon was available every day. If that change was made, this hotel would be perfect, and I've stayed at a lot of Embassy Suites.",January 2018,Embassy Suites by Hilton Salt Lake/West Valley City,https://www.tripadvisor.com/Hotel_Review-g57168-d3529176-Reviews-Embassy_Suites_by_Hilton_Salt_Lake_West_Valley_City-West_Valley_City_Utah.html,"West Valley City, Utah",hotels,4.0,4.5
"Excellent location, definitely recommend","I couldn't think of anything they could have improved upon at the hotel, except I'd like a different selection of pillows. Gayle at the desk was friendly and helpful. I'd definitely stay there again if going to Six Flags, Cowboy Stadium, or a Rangers Game.",April 2017,Hampton Inn & Suites Dallas-Arlington North-Entertainment District,https://www.tripadvisor.com/Hotel_Review-g30183-d1382444-Reviews-Hampton_Inn_Suites_Dallas_Arlington_North_Entertainment_District-Arlington_Texas.html,"Arlington, Texas",hotels,5.0,4.0
"large $8 margarita's & fabulous food, but liked the old location better","We visited on a very busy night. The place was packed by the time we finished. From the dining area you can see the cooks making the food. Although our food sat on the counter waiting for the last plate to be prepared before it was all served to us, it was still surprisingly served hot. The manager told us he'd remake it or drop it from our bill, but there was no need. The food was terrific. The margaritas were good too! Water-glass sized margaritas were just $8. The beef steak Churrasco was perfectly cooked and tender. It had delicious chimichurri on it. The Parrallida Mixta was excellent with beef, chicken, pork, and lots of chimichurri. My daughter said she would have liked the Shrimp Moqueca (curry) to have been spicy, but she didn't ask for it that way.
We couldn't get espresso after dinner because a live band made the espresso machine inaccessible to the staff. Note: the old location was larger.
The background music (even before the band arrived) was too loud. My son-in-law asked them to turn it down, and they did, but then they almost immediately turned it up loud again.",December 2016,Azuca Nuevo Latino Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60956-d437262-Reviews-Azuca_Nuevo_Latino_Restaurant-San_Antonio_Texas.html,"San Antonio, Texas",restaurants,5.0,4.0
Beautiful after dark! Great family park!,"The renovated park is fabulous! There are climbing sets with soft rubber matting under them. There are water features. There is artwork, a swing set and a playhouse. There are indoor restrooms and outdoor changing booths. There are ping-pong tables, too. They are bringing in vendors who have paletas, pizza and others. They also have a park activity director who has great activities. One night he had a downtown scavenger hunt for the kids. He gave me one of the sheets to find places, and it was great. It is beautiful at night, but it is great during the day, too. Some evening, just take a 30 minute stroll through there. It is awesome!",December 2016,Hemisfair Park,https://www.tripadvisor.com/Attraction_Review-g60956-d108030-Reviews-Hemisfair_Park-San_Antonio_Texas.html,"San Antonio, Texas",attractions,5.0,4.5
"functional, but needs renovation","I can see that it is being renovated. That is great. There needs to be more elevators, or at least have them all functioning with someone who wants to help people. For the AlamoBowl one of the elevator operators only allowed 5 people on at a time. The line was ridiculous to get onto the elevator. The steps are very difficult for some people, and if you think you'll just give it a try to get to a higher level, be prepared. There are probably 40-50 steps between floors.
Staff was efficient at letting people in the doors. Staff pointing us to our seats were friendly. Elevator staff were curmudgeons. Vendors were friendly. Would like to see more vendors so the lines wouldn't be so long.",December 2016,Alamodome,https://www.tripadvisor.com/Attraction_Review-g60956-d106369-Reviews-Alamodome-San_Antonio_Texas.html,"San Antonio, Texas",attractions,3.0,3.5
"Yikes $16 margarita, but very friendly staff","We went for a bowl game. The sound system was not very good. We could not understand the referee or the announcer for penalties.
The bartender selling $16 well drinks and margaritas was very friendly. All of the staff getting us into the arena was very efficient and friendly. The only time we had a problem was when we left the Club level to visit friends elsewhere, and the staff would NOT give us a stamp on our hand so we could return. We had Club level tickets, and were told we had to have the stamp, but we couldn't find the person with the stamp.
On the main level, a vendor was giving out samples of the prime rib (for sandwiches) and it was as good as any I have ever tasted!
It's a nice stadium. The seats in Club level are very comfortable. They are padded and wider than in some of the other sections.
Parking at the arena was fine, but signage for the R lot could be a lot better.",December 2016,Jacksonville Veterans Memorial Arena,https://www.tripadvisor.com/Attraction_Review-g60805-d6948864-Reviews-Jacksonville_Veterans_Memorial_Arena-Jacksonville_Florida.html,"Jacksonville, Florida",attractions,4.0,4.5
