title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great view,Really good view. The food was just okay and over priced. The service was good but was close to feeling a bit long.,July 2020,Hula Grill Waikiki,https://www.tripadvisor.com/Restaurant_Review-g60982-d548001-Reviews-Hula_Grill_Waikiki-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",restaurants,4.0,4.5
ELOTE,Great place to grab a bite to eat that is delicious and will make you satisfied. The elots corn is the highlight. Super tasty! Pricey side but as to be expected. Right in the Grabd Bazaar Shops by Ballys,February 2020,Dirt Dog,https://www.tripadvisor.com/Restaurant_Review-g45963-d13392911-Reviews-Dirt_Dog-Las_Vegas_Nevada.html,"Las Vegas, Nevada",restaurants,4.0,4.5
Great,Friendly staff! Quick service. Take out took avout 7 mins. They have great combo deals! Yam tempura roll kindof fell apart though.,July 2020,Sushi Mania Japanese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g154943-d3562430-Reviews-Sushi_Mania_Japanese_Restaurant-Vancouver_British_Columbia.html,"Vancouver, Canada",restaurants,4.0,4.5
Super delicious,"Had a wonderful dinner here. The carrot spread they serve with their bread was surprisingly a highlight. We enjoyed their French onion soup, beef wellington, and sirloin. Very good experience!",April 2020,Mon Ami Gabi,https://www.tripadvisor.com/Restaurant_Review-g45963-d422629-Reviews-Mon_Ami_Gabi-Las_Vegas_Nevada.html,"Las Vegas, Nevada",restaurants,4.0,4.5
Dirty sheets and linen,"This hotel is located in the middle of the strip! Great location! Long checkin line and process. We specifically booked online to have mini fridge brought up as we needed it for mediciation. It wasn't ready when we arrived. Took more than 1 hour for it to arrive to our room. We couldn't leave the hotel until we put the meds away.

We went with 3 people in two separate rooms. Our room had stains all over the bedding. Our friends room had a random pillow sitting on the floor without a pillow case. The other pillows on the bed also didn't have any cases. We called to get these problems fixed and again had to wait about another hour. The cleaner who came brought only what she needed and when she put on the new sheet, the ""new"" sheet had another huge stain on the it. She had to leave and come back again adding to more time wasted. Overall it was not worth what we paid. Wont be coming back. Pay the same about of money and stay at Ballys or TI. Way better experiences there.",April 2020,Harrah's Las Vegas Hotel & Casino,https://www.tripadvisor.com/Hotel_Review-g45963-d114889-Reviews-Harrah_s_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html,"Las Vegas, Nevada",hotels,3.0,4.0
Location!,Its perfectly located right on the Strip! Right beside a CVS and the Grand Bazzar. Everything is walking distance. We accidently booked a w/c accessible room not realizing and upon arrival we confirm we didnt need that style of room and they offered an upgraded to a fountain view for only 5 dollars and waived our early check in fee. Very open concept room. Lots of space for your stuff. Clean and friendly staff. Easy check in and out process. The room had a mini fridge. The casino is a bit dated compared to others on the strip but the prices are always cheaper and its all about location!!,February 2020,Bally's Las Vegas Hotel & Casino,https://www.tripadvisor.com/Hotel_Review-g45963-d121312-Reviews-Bally_s_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html,"Las Vegas, Nevada",hotels,5.0,4.0
Arrive early,"One of the MUST dos in London at least once, this place was a joy to explore. We took about 4 hours to feel like we explored enough of the grounds about 85%. We really enjoyed the crown jewels. Truly breathtaking. Tip, arrive before opening to get in line. If you have an e ticket purchased through trip advisor or Get your Guide for example, you'll still need to line up in a separate line to obtain a physical ticket.They don't inform you until you're at the gate so beware. We waited in 3 separate lines before we finally got in to the right one with the right form of ticket. More signage could really avoid this. No photos of the crown jewels allowed but you can stay as long as you like. Again another pro tip, go straight to the crown jewels upon entering as a separate line will form quickly for that building alone.",October 2019,Tower of London,https://www.tripadvisor.com/Attraction_Review-g186338-d187547-Reviews-Tower_of_London-London_England.html,"London, United Kingdom",attractions,4.0,4.5
Worth a walk,A very nice place for a stroll to walk and people watch. It's filled with businesses and restaurants and bustles with activity. Close to chinatown and the tube.,October 2019,Covent Garden,https://www.tripadvisor.com/Attraction_Review-g186338-d189047-Reviews-Covent_Garden-London_England.html,"London, United Kingdom",attractions,5.0,4.5
Pretty good,"Really great experience. Small area and tables which is understandable for this location. We had to wait about 20 mins on a Sunday night. The service was polite and prompt. Highlight were the truffle edamame. Prices were around average and up. As for the ramen, I would say about 8.5/10.",October 2019,Kanada-Ya - Panton Street,https://www.tripadvisor.com/Restaurant_Review-g186338-d10168606-Reviews-Kanada_Ya_Panton_Street-London_England.html,"London, United Kingdom",restaurants,4.0,4.0
So convenient but small cars,Really easy to use and understand. Everything is clearly labeled. For the most part all the platforms and trains were clean during our 3 day stay. Only complaint are the heights of the cars. If you're tall. You'll most likely have to tilt you head if yiu stand to the side.,October 2019,London Underground,https://www.tripadvisor.com/Attraction_Review-g186338-d187536-Reviews-London_Underground-London_England.html,"London, United Kingdom",attractions,4.0,4.5
What you expect,Very grand. Very toruristy. So expect crowds. There's a nice park beside the Palace that is alot quieter and less crowded. There's a beautiful monument for lost Canadian Troops. The Big Bus stop is beside and across the street from the Palace. There are not many foos options in this area so plan your meals accordingly.,October 2019,Buckingham Palace,https://www.tripadvisor.com/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html,"London, United Kingdom",attractions,3.0,4.5
