title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Very convenient place to eat at Newcastle Airport,Our family of 9 persons had a lovely snack and drinks at Greggs on our way out of Newcastle airport before making our way home and it was most enjoyable.,October 2019,Greggs,https://www.tripadvisor.com/Restaurant_Review-g652384-d4371929-Reviews-Greggs-Woolsington_Newcastle_upon_Tyne_Tyne_and_Wear_England.html,"Woolsington, United Kingdom",restaurants,4.0,4.0
Great place for a meal when leaving from Newcastle Airport,"Our family of 9 persons visited the Wheatsheaf Farm for lunch before we checked in for our flight at Newcastle Airport. This is a lovely place with a wide choice of food, including Carvery Lunch. The food was lovely and plentiful and I would highly recommend this place.",October 2019,Wheatsheaf Farm - Farmhouse Inns,https://www.tripadvisor.com/Restaurant_Review-g186394-d12969305-Reviews-Wheatsheaf_Farm_Farmhouse_Inns-Newcastle_upon_Tyne_Tyne_and_Wear_England.html,"Newcastle upon Tyne, United Kingdom",restaurants,4.0,4.0
Not to be missed while in Edinburgh,Princes Street Gardens are very popular with Tourists all year round. The Gardens are a great place to have a picnic and to view Edinburgh Castle from below.,July 2019,Princes Street Gardens,https://www.tripadvisor.com/Attraction_Review-g186525-d187695-Reviews-Princes_Street_Gardens-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,4.5
Edinburgh's Airport Link,Airlink - Lothian Buses start at Waverly Bridge (near Waverley Station) and link with Edinburgh Airport. This service runs throughout the day on a regular basis.,April 2019,Airlink - Lothian Buses,https://www.tripadvisor.com/Attraction_Review-g186525-d8453772-Reviews-Airlink_Lothian_Buses-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,4.5
Edinburgh's Most Famous Landmark,"If standing in Princes Street, look up and you will see Edinburgh Castle perched up high. It is most famous for the One o'clock Gun which goes off each day. Also where the Edinbugh Tattoo is held each autumn.",July 2019,Edinburgh Castle,https://www.tripadvisor.com/Attraction_Review-g186525-d187653-Reviews-Edinburgh_Castle-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,4.5
A lovely place to take children to visit.,The National Museum of Scotland is just off George iV Bridge and has very many different activities inside to keep children occupied for hours.,July 2019,National Museum of Scotland,https://www.tripadvisor.com/Attraction_Review-g186525-d2359701-Reviews-National_Museum_of_Scotland-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,4.5
One of the most famour Streets in Edinburgh,"The Royal Mile is fairly long and has many Scottish Gift Shops, Bars and Restaurants. Holyrood Palace and the Scottish Parliament are at the bottom of the Royal Mile.",July 2019,Royal Mile,https://www.tripadvisor.com/Attraction_Review-g186525-d188788-Reviews-Royal_Mile-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,4.5
Very worth while a visit,"Edinburgh Old Town is a very busy area of central Edinburgh with many shops, bars etc. A good meal can be had in this area.",July 2019,Edinburgh Old Town,https://www.tripadvisor.com/Attraction_Review-g186525-d188785-Reviews-Edinburgh_Old_Town-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,4.0,4.5
A lovely place to spend the day,Arthur Seat is most famous for people climbing on May Day to wash their face in the dew. It attracts many visitors all year round from all over the world.,July 2019,Arthur's Seat,https://www.tripadvisor.com/Attraction_Review-g186525-d195211-Reviews-Arthur_s_Seat-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,4.0,4.5
Lovely little Tapas Bar,"Our family of eight persons went to Boteco Do Brasil to celebrate our Grand-daughter's Graduation which had taken place at McEwan Hall, opposite. We decided to share Tapas and we each chose different plates which were placed in the middle of the table. We were then given an individual plate from the lovely Waitress and could help ourselves so that we had a taste of each Tapa.",July 2019,Boteco Do Brasil,https://www.tripadvisor.com/Restaurant_Review-g186525-d5569313-Reviews-Boteco_Do_Brasil-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",restaurants,4.0,3.5
