title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Love this small museum,"Great place for a walk, the open air museum is privately owned has many interesting artefacts depicting the history of the Islands inhabitants from very early times.

Really well laid out, well landscaped a beautiful and quiet place with so much to see and close to many of the hotels in the Hersonissos, Sissi, Malia area.",August 2020,Lychnostatis Open Air Museum,https://www.tripadvisor.com/Attraction_Review-g503710-d668769-Reviews-Lychnostatis_Open_Air_Museum-Hersonissos_Crete.html,"Crete, Greece",attractions,5.0,4.5
Great place to take the kids,"You need a car to get here but we popped in on our way from Hersonissos to Plaka via the Lassithi Plateau with plans to visit Spinalonga, the Plateau and Elounda, we managed all 4 planned visits with time to spare and thoroughly enjoyed our day out and trip high into the Mountains",August 2020,Labyrinth Theme Park,https://www.tripadvisor.com/Attraction_Review-g503710-d4601679-Reviews-Labyrinth_Theme_Park-Hersonissos_Crete.html,"Crete, Greece",attractions,5.0,4.5
Great place and cheap,"No change from previous visits over many years, nothing has really changed nothing really needs to change, a little more distance between the sunbeds and that is all we noticed.
The watersports opportunities are up and running during Covid rules, the pools, masses of outside areas, eating facilities, something for all ages.",August 2020,Star Beach,https://www.tripadvisor.com/Attraction_Review-g503710-d668766-Reviews-Star_Beach-Hersonissos_Crete.html,"Crete, Greece",attractions,5.0,4.5
Great little Cafe/Bar/Restaurant,"Called in here for a light snack and drinks while walking through Hersonissos main street, located right on that main drag with both interior and exterior seating available, very friendly staff and a good choice of both snacks and main meals on the menu we enjoyed our visit here.

Used a lot by locals which is a sure sign of quality for us when those same locals have options of at least 50 other places to eat and drink within a short distance.

Those sitting outside (including ourselves) are not required to wear face masks in accordance with the current rules.",August 2020,Sweet Home,https://www.tripadvisor.com/Restaurant_Review-g503710-d4344970-Reviews-Sweet_Home-Hersonissos_Crete.html,"Crete, Greece",restaurants,5.0,4.5
"large, great food great choice","Our second visit in just a few days, we always enjoy popping in here either for some of the excellent food or just drinks with a shisha pipe",August 2020,No Name - Restaurant,https://www.tripadvisor.com/Restaurant_Review-g503710-d3538483-Reviews-No_Name_Restaurant-Hersonissos_Crete.html,"Crete, Greece",restaurants,5.0,4.5
excellent for eats and views,"Just popped in for drinks when we were visiting the nearby Amazones Villas hotel but will be sure to call in for food soon, such a lovely spot with a mouth watering menu and reasonably priced",August 2020,Romantic Corner Tarverna,https://www.tripadvisor.com/Restaurant_Review-g644210-d2360712-Reviews-Romantic_Corner_Tarverna-Stalis_Crete.html,"Crete, Greece",restaurants,5.0,4.5
"Amazing, Luxurious, for pampering and sunshine","pricey for just sunbeds, but go on indulge yourselves, go and get pampered, enjoy the sun and the pool in luxury view the beach from the near as infinity pool or walk on the rocky beach.",February 2020,Buddha-Bar Beach,https://www.tripadvisor.com/Restaurant_Review-g503710-d20007927-Reviews-Buddha_Bar_Beach-Hersonissos_Crete.html,"Crete, Greece",restaurants,5.0,5.0
Top class 5* star hotel and resort,"We did not stay overnight at this hotel but booked sunbeds by the pool for the day and therefore got to see the rooms from the outside, the hotel areas and outside areas.

Tastefully decorated both inside and out.

On arrival security at the entrance checked our reservation and TEMPERATURES before allowing us to proceed to reception.

We had booked 5 sunbeds and the reception staff promptly arranged for a 6 seater 'chariot/gold transport' to take us to the pool area outside and overlooking the sea with it's almost infinity pool.

Sunbeds had been spaced further apart for social distancing but there were still enough for everyone, ours allowed us to dip our toes in the water surrounding the large swimming pool.

There are 2 types of beds, individual ones that can be moved around to suit groups and the fixed position platforms with 2 bes on each raised platform, the beds were equipped with towels and ""fitted cover towels"" which were in sealed bags on the beds ready and waiting for the user.

Now the confusion started, we had phoned the night before to book sunbeds and were quoted 15 euros per bed from 10:1 to pm (ish) s 75 euros for the beds, when were allocated our beds we were quoted 200 euros but told that included food and drinks on an 'all inclusive' basis which seemed fair enough.

We had drinks consisting of 1 Bacradi and Coke, a number of Mythos Lagers for my partner, a number of soft drink and a few Alcohol Free cocktails, for a snack we had 5 portions/plates of vegetable Spring Rolls, 3 portions of cheese cake and a chocolate fudge cake.

When we left the bill was 314 euros, so my confusion is firstly why we had to go all inclusive instead of the option we had booked and why the 200 euro all inclusive package turned into 314 euros, I am sure there is a valid explanation but before we return in the future I would like to know the exact price options and exactly what is and isn't included, 2 of the friends we went with live in Hersonnisos nearby so would like to return quite often.

The staff were attentive and extremely polite though drinks did take quite a long time to arrive after ordering with at least 2 orders being forgotten altogether and having to re-order more than once on each occasion.

The pool is amazing, the grounds beautiful and the rest of the hotel immaculately clean. the rooms with the small 'plunge' style pool looked very nice and inviting with an area for sitting/sunbathing outside on the sun loungers.

There was a DJ operating in the bar/dining area by the pool and he played some cool sounds but not so loud that anyone might find it too much.

There was a second kitchen area by the sunbeds and perhaps this is where the confusion started, this kitchen seemed to be more about preparing food to be delivered by the waiting staff, perhaps we were supposed to order from that kitchen but this was not explained to us and we were only told that food and drinks were all inclusive and that we could download the menu to our phones as under Covid regulations the menus had been removed.

We WILL return for more days in the sun and the pool but please explain the pricing structures to us.",August 2020,Abaton Island Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g503710-d12921531-Reviews-Abaton_Island_Resort_Spa-Hersonissos_Crete.html,"Crete, Greece",hotels,5.0,4.5
Not sure why it is called Spinalong beach,"Spinalonga itself is lovely and steeped in history but as for a beach, perhaps not, a selection of rocky areas, large rocks where treading carefully you can negotiate your way into some small areas for bathing, not the kind of place you can sunbathe at all really, no sand, lot's of rocks and hundreds of people getting on and off the tour boats from nearby villages and towns.",August 2020,Spinalonga Beach,https://www.tripadvisor.com/Attraction_Review-g189416-d12854686-Reviews-Spinalonga_Beach-Elounda_Lasithi_Prefecture_Crete.html,"Crete, Greece",attractions,3.0,4.5
Another pleasant visit,"5th visit to this Island and former leper colony though it should be remembered for much more than just the colony, a former fortress that protected the approaches to Plaka, Elounda and Agios Nikoliaos. we always find something new to look at when we take friends there as we do every year.

The history is interesting not least for it's role in exporting to places as far as The Ottoman Empire and Russia.

Best access if you have a car is from Plaka where the boats to the island are frequent allowing you to visit for a short trip or longer meander around the ruins, it is a bit of a hike so be prepared for that and only wheelchair accessible in certain areas if you have a strong person to assist you around.

There is a small but nice café on the island for snacks and drinks as well as souvenirs and many more shops/restaurants in Plaka or indeed all the villages and towns where you can start tours to the Island",August 2020,Spinalonga (Kalydon),https://www.tripadvisor.com/Attraction_Review-g189416-d547593-Reviews-Spinalonga_Kalydon-Elounda_Lasithi_Prefecture_Crete.html,"Crete, Greece",attractions,3.0,4.5
