title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Decent location but business hotel,"I stayed here for a leisure trip and wanted a brand I was familiar with. I found the hotel quiet, convenient enough to the sites and historical areas, and with plenty of good eats nearby and a good rooftop bar for late drinks. But the hotel seems to cater to a professional/business clientele; didn’t feel like a tourist type place to me. I did have some waits at the lobby desk too, which were daily since my key card didn’t work each evening. Nice place overall, but there are a lot of smaller ones in the area that looked good too.",September 2019,Novotel Istanbul Bosphorus,https://www.tripadvisor.com/Hotel_Review-g293974-d8547177-Reviews-Novotel_Istanbul_Bosphorus-Istanbul.html,"Istanbul, Turkey",hotels,3.0,4.5
Fantastic views,The base of the trail is about a half-hour walk from central Athens and it’s another 20 mins or so to the top. Well worth it for the panoramic views of the city!,October 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
The original Olympic stadium,"Worth a visit just to see how large the stadium is—quite a feat for its time. The ticket is extra though, not included in the 7-site pass.",October 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Worth a visit just for its scale,It's hard to appreciate how grand the Parthenon is until visiting and walking around it; I'd seen plenty of photos but they don't do it justice. And they're doing a good job with the renovation by keeping it low-key (not a bunch of scaffold obstructing views) and making the new pieces a lighter color so it's easy to tell what's original vs. added. Great work!,October 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Lives up to the hype,"It's the Acropolis, what really needs to be said...but this lived up to its popularity. Lots of trails around the slopes make for good exploring and seeing the sights from different angles, though it's a shame some were roped off when I went.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
New museum with amazing city layout underneath,"Good layout, with plenty of space and well-lit exhibits. There were a lot of people entering all day but it never felt too crowded. As good as the inside exhibits are, the ancient city layout underneath is really worth plenty of time and was my favorite part of the museum.",October 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Highly recommend, great stay","Great hotel! I stayed a few nights and booked last-minute, so I wasn't too sure what I was getting into. But I could hardly have been happier with the room and location; it's one of my all-time best hotel finds. My room was the size of a large studio apartment and with all the amenities, which I did not expect. The owners were great and took time to explain the hotel and area, and they took time to discuss the various island tour options, which was helpful--and I'm glad I took their advice. (Definitely do the 3-island day cruise, btw.) One of the main restaurant strips is the next street up, so meals and snacks are super easy to walk to. The Acropolis, museum, and main sights are only several minutes walk away, such that I could go back to my room for lunch breaks and rest.

I tend to be a light sleeper and am sensitive to noise, so I was a little concerned about staying next to a busy street and near several restaurants--but this hotel opens onto a quiet side street and I heard no noise during my stay save the rare door closing from the neighbor. And I was even on the ground floor!",October 2019,Acropolis Stay,https://www.tripadvisor.com/Hotel_Review-g189400-d12606994-Reviews-Acropolis_Stay-Athens_Attica.html,"Athens, Greece",hotels,5.0,5.0
Great hotel in downtown Fujairah,"Fantastic hotel! I stayed just one night, and having never been to Fujairah, I wasn't sure what to expect. But the area and the hotel both impressed me.

Staff was friendly and fast, never had to wait in a line for anything. Rooms were comfy and quiet, never heard any outside noise during my evening, and spacious--I was upgraded to a king bed suite that was larger than apartments I've lived in. It's on a main road so it's easy to find, and the 24-hr gas station next door is convenient for grabbing small items. There's also a small cafe and restaurant in the lobby. Overall, the hotel is small but had the basics, and I didn't have to walk 10 kilometers or up and down mazes of hallways to get to my room.

Perhaps the one drawback I can find is that the pool closed at 8 pm, just before I arrived, but I think that's common for wintertime anyway.

Rotana hotels have always taken good care of me and this one was no exception. I'd stay here again for sure!",December 2018,Nour Arjaan by Rotana - Fujairah,https://www.tripadvisor.com/Hotel_Review-g311321-d1905202-Reviews-Nour_Arjaan_by_Rotana_Fujairah-Fujairah_Emirate_of_Fujairah.html,"Fujairah, United Arab Emirates",hotels,5.0,4.5
Interesting parts but crowded,"Yes, the queue moves fast, but that's still a pretty long queue and lots of time spent standing if you go mid-morning like I did. Seeing the military processions and the reverence Ho Chi Minh is treated with was interesting though. I only spent a short time here as part of a day tour, so there are parts of the museum I didn't get to see.",November 2018,Ho Chi Minh Mausoleum,https://www.tripadvisor.com/Attraction_Review-g293924-d311064-Reviews-Ho_Chi_Minh_Mausoleum-Hanoi.html,"Hanoi, Vietnam",attractions,3.0,4.0
Interesting Vietnam university history,"Good for a short visit to learn about Vietnamese university history, how the first one started in the 11th century, etc. It was a bit crowded when I visited though, so it's not a great place to take a lot of photos.",November 2018,Temple of Literature & National University,https://www.tripadvisor.com/Attraction_Review-g293924-d311083-Reviews-Temple_of_Literature_National_University-Hanoi.html,"Hanoi, Vietnam",attractions,4.0,4.5
