title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Gluten-free fish with no flavor at all.,"We ordered scrod, prepared gluten-free. Our view of the harbor was pleasant. We were each served a piece of fish baked in a HOT porcelain dish. It had no flavor whatsoever. The steamed vegetables were perfect, the fries excellent. As for the fish, it tasted like plain unembellished tofu. This cook could use a dose of culinary imagination.",April 2021,Brax Landing,https://www.tripadvisor.com/Restaurant_Review-g41601-d384750-Reviews-Brax_Landing-Harwich_Cape_Cod_Massachusetts.html,"Harwich, Massachusetts",restaurants,3.0,4.0
Breathtaking,"Having driven over the bridge occasionally over the years, we had never stopped to enjoy the gorge. This time we planned a day trip, with some hiking.

We found breathtaking views from the bridge, which we walked several times, then took a 0.4 mile trail south, downhill to the bottom of the gorge, and came back up.

The trail is broad and gentle, easy for anyone who likes to walk (we’re 74 and fit). Along the way there are occasional benches for rest, and places to view the gorge from the safety of a chain link fence above it. The surrounding woods are peaceful.

At the bottom, one can scramble down to the rocky gorge base, wade in the water, and enjoy the sunshine.

Additional trails go off to the north, and in the other side of the bridge one can walk 100 yards to the Nature Center and its Canopy Walk, but we will save that venture for another day.",October 2020,Quechee Gorge,https://www.tripadvisor.com/Attraction_Review-g57371-d104261-Reviews-Quechee_Gorge-Quechee_Hartford_Vermont.html,"Quechee, Vermont",attractions,5.0,4.5
A true joy.,"When we planned a day trip to Quechee we sought a lovely restaurant for lunch. Simon Pearce became our clear choice, but it required advance reservations, and the on-line system had no slots available for another week. Then we called the restaurant directly, 24 hours in advance, and found an available table. (Even after we arrived there, the couple ahead of us cancelled their own reservation and opted for take-out, so there is always hope.)

We found the restaurant sunny and beautiful, above the waterfall, in a restored old mill building, in rooms adjacent to a showroom that glittered with glass on display.

Our gluten-free needs were met with ease. We enjoyed hot rolls, outstanding butternut squash bisque, and leg of duck atop collard greens flavored with bacon, pearl onions, and a delicious creamy sauce.

Lunch was a joy, truly lovely.",October 2020,Simon Pearce,https://www.tripadvisor.com/Restaurant_Review-g57371-d518028-Reviews-Simon_Pearce-Quechee_Hartford_Vermont.html,"Quechee, Vermont",restaurants,5.0,4.5
What a lovely discovery! And gluten-free as well.,"What a lovely discovery! For lunch we were ushered to a table at sunny front window, in a room with a high ceiling and well-spaced tables. (Outdoor dining was also an option.) We ordered the cod, prepared gluten-free, with mashed potatoes and broccoli. Oh my! The potatoes were outstanding, the fish was done perfectly, and the abundant broccoli arrived bright green and hot. Our meal was colorful, delicious, and plentiful. For dessert my friend ordered crème brûlée, which turned out to be a large serving, accompanied by a huge dollop of whipped cream. She was delighted! The Duck is a perfect place to find a good, hot, tastefully prepared meal (with plenty of vegetables).",September 2020,The Duck,https://www.tripadvisor.com/Restaurant_Review-g41854-d1372307-Reviews-The_Duck-Sturbridge_Massachusetts.html,"Sturbridge, Massachusetts",restaurants,5.0,4.0
Gluten-free whole-belly fried clams!!!,"Gluten-free whole-belly fried clams? Abundant! We had heard about this place and tried it while on vacation. Wow! We even returned the next night for GF fried fish and coleslaw. They had outdoor seating available away from the building, and my dining companion could get her glass of wine on the way to it. Two issues were disappointing. I picked up our tray at the window and carried it some distance to the outdoor seating, during which time a breeze cooled our meals more than we would wish. We sat down to eat, only to realize that our tray held no napkins, utensils, or salt and pepper—apparently customers need to ask for such items before leaving the window. Second, the credit card paperwork, which required no signature, had no option to pay a tip, which on a $70 check would be significant. There were tip buckets for cash, but many people don’t carry much cash anymore. Finally, we appreciated the cashier’s suggestion that we could order a small portion of clams or fish, as my friend has a tiny appetite and found the smaller amount worked better for her. We enjoyed our meals while watching the sunset.",September 2020,Woodman's of Essex,https://www.tripadvisor.com/Restaurant_Review-g41561-d322503-Reviews-Woodman_s_of_Essex-Essex_Cape_Ann_Massachusetts.html,"Essex, Massachusetts",restaurants,5.0,4.0
Large portions and flavorful meals!,"We are gluten free and had lunch here one day and breakfast the next. Gluten-free sliced bread was the only clear GF option, but our GF lunches of Cobb salad and roast turkey dinner were superb, and our breakfasts of Eggs Benedict and vegetable omelet outstanding. Portions are generous, well-prepared, and flavorful. This is a wonderful place for brunch!!!",September 2020,Nick And Andy's Breakfast And Lunch,https://www.tripadvisor.com/Restaurant_Review-g41519-d16131300-Reviews-Nick_And_Andy_s_Breakfast_And_Lunch-Danvers_Massachusetts.html,"Danvers, Massachusetts",restaurants,5.0,5.0
Sweet Hotel,"This hotel was selected by our travel agent and was comfortable, with a great sea view from both our balcony and the breakfast room. Our room air conditioner proved pesky at first, but staff from the front desk stayed with it and got it to work. Traffic noise from out front was eliminated by closing the balcony door. Breakfast was great! We tried to use the rooftop hot tub but found its (European standard) temperature of about 84°F. cold! We had hoped it would be closer to (American standard) 100°F. and were disappointed. Our room had a refrigerator and bottled water, and staff were kind and helpful, even leaving a plate and silverware in the room when they noticed leftovers in our fridge. The hotel location across from a seaside walkway and tram was most welcome.",October 2019,Coral Hotel Athens,https://www.tripadvisor.com/Hotel_Review-g3695532-d227383-Reviews-Coral_Hotel_Athens-Paleo_Faliro_Attica.html,"Paleo Faliro, Greece",hotels,4.0,4.0
Outstanding Travel Agency!,"A friend and I just returned from an amazing two weeks in Greece, the centerpiece being two days in and near Athens and four nights on a cruise to Greek islands and a port in Turkey. Separately we had arranged our own flights and hotels for the beginning and the end of our vacation, but in between we placed ourselves in the capable hands of Fantasy Travel of Athens. What a great decision! I had harbored concerns in advance about dealing with a travel agent who is so far away, but I trusted the reviews I saw on line and went ahead and booked. Well, right from the beginning all of my questions were answered promptly, the itinerary included exactly what we wanted, and the price was perfect. We were met at the Athens airport by an agent and driver, really nice young men (who chatted with each other in English as a courtesy to us!), were driven straight to our very beautiful hotel on the waterfront, and given our travel vouchers. After breakfast the next morning a taxi driver picked us up and drove us to the meeting place for our (G.O. Tours) tour bus. Ditto on the following day for our all-day trip to Delphi. On the third day a taxi drove us to the port and connected us with a Fantasy Travel rep, who led us through the ship’s embarkation process. On our massive ship we met passengers from all over the world, on a truly fine cruise. Upon disembarkation at the cruise’s end, we were met once again by a Fantasy Travel rep, who accompanied us back to the airport and escorted us to the meeting place for our continued journey on our own. At each step, Fantasy Travel had arranged every detail and we found ourselves in capable, professional hands. I can’t say enough about this fine travel agency. If there are particular things you want to see and do in Greece, whether as a sole traveler, a couple, or a group, get in touch with them on line and have them make your arrangements. They can be trusted to deliver, to take very good care of you, and to escort you through every potentially confusing step from start to finish. We are most satisfied with our experience with Fantasy Travel!!!!!",October 2019,Fantasy Travel,https://www.tripadvisor.com/Attraction_Review-g189400-d2442390-Reviews-Fantasy_Travel-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Dream of a Lifetime,"On a stunning October morning we climbed to this ancient place. The crowds were moderate and consisted mostly of younger people. One has to be in reasonable shape to climb so many steps, most without handrails. At the top the view is magnificent, though footing is uneven and tricky over the rocky surface. A hiking pole is useful, as is someone’s arm to hang onto. Visiting the Acropolis is the dream of a lifetime, well worth the effort.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Where’s the Meat?,"We stopped in here for a late lunch, impressed by the Trip Advisor logo at the entrance. Seated outdoors, we ordered lamb chops, which came with rice OR salad. The “chops” turned out to be more like spare ribs, tasty but short on meat. They were almost entirely bone and fat! When a meal costs 13 euro, one should expect more than a trace of meat inside all that fat. We were disappointed.",October 2019,Smile Cafe Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1902225-Reviews-Smile_Cafe_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,2.0,4.5
