title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Walked to it,Admired this from my hotel room. Walked to it mert some nice person to share history with me. Nice location close to center.,September 2019,Temple of Olympian Zeus,https://www.tripadvisor.com/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Picture time,"Panoramic picture of the city. Beautiful scenery going up and down. Fresh air at the top, nothing like sitting at the top of the world.",September 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Hanging out,Nice atmosphere with friends lots to do and choose from. History in area is great if your into that. Friendly people around everywhere if you need help getting from place to place,September 2019,Monastiraki,https://www.tripadvisor.com/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.0
Shopping,Everyone likes to shop and eat. Love the options available in store and restaurants. The atmosphere is awesome busy and fun.,September 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Piece of history,"I have been to Acropolis many times, it's very beautiful. Although as a kid growing up the image is so different. Every year I return there is something new being done to renovate it, to much can take away what one has learned. Do not get me wrong this is beautiful. Be back next year!",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Never enough history,"Been here several times, still think i have seen everything but something attracts my eye. History is important because that is who make us and one's culture. Mythology is where it all started.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Stadium adventures,"Awesome stadium to know it still gets some use. History is awesome, flags waving in air. Can friendly people operating it",September 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Making new memories at 50,"Here I am again in Greece, Theodore had to his hands full trying to figure out a tour for me, since I have been traveling to Greece for 5yrs. New scenery Cape Sunio never been image that! Homer will be played by Mel Gibson in a upcoming movie. Swam at a great beach at Astir hotel, clear waters to enjoy r/r. Plenty of pick ups and drop off with different people accompanying me. FIRST, new coffee shop near Acropolis,ZONARS awesome baklava, and view of Parthenon. He scored me reservations at Herodion roof top to hear some of Andrea Bocelli, then to fill in my last 2 days a drive to most serene place for little bit of prayer and sunset at Grand Meteora. Stayed in nice guest house where he arranged lodging. A first again, Holy Trinity long walk down and up but good for soul. Along way back to Athens stopped along sea side for lunch. A female traveling a lone felt very safe. Theodore has a great since of humor, and is very knowledgeable of his country. You travel in style Benz drive safe, and a BIG Thank YOU from bottom of my heart!! GOD BLESS.",September 2019,Athens Taxi Tour 360°,https://www.tripadvisor.com/Attraction_Review-g189400-d13336029-Reviews-Athens_Taxi_Tour_360-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Canadian girl's trip,"Thank you Fotis and Ilianna, we had a great time Greece. Appreciated patience in scheduling our trip due to multiple changes. Delphi,Meteora, and southern part of Greece. History put chills down our spines. Awesome sunrises and sunsets each night with awesome weather. Multiple days at the sea, We give Fotis credit for being with 4 women for 5 days. Our friend's that referred Fotis to us was right he allows time to explore each site, provided a schedule for each day, and awesome Greek authentic dining. Ilianna, Fotis speaks very highly of you assisting him with his daily schedule. Both of you do fanstic job providing great hospitality and respect to strangers. Again, if I would return back to Athens, I would call you up for a great tour.

God Bless",August 2017,Athens Tours Fotis Kolliris,https://www.tripadvisor.com/Attraction_Review-g189400-d3592643-Reviews-Athens_Tours_Fotis_Kolliris-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Hungry,"Faster service and food still hot compared to last visit. Staff demonstrated their own job in a prompt manner. I said months ago I would not return, caved and gave a 2nd Chance. Kudo's.",September 2017,Panera Bread,https://www.tripadvisor.com/Restaurant_Review-g50448-d3572665-Reviews-Panera_Bread-Holland_Ohio.html,"Holland, Ohio",restaurants,5.0,4.0
Day out,"Enjoyed the choices of sandwiches. Homemade bread and salads. Friendly staff, location very quaint, with outdoor seating. Staff very helpful to keep dining areas clean, especially outside. Many people standing in line to get orders complete. Home town/college town community.",July 2017,Zingerman's Delicatessen,https://www.tripadvisor.com/Restaurant_Review-g29556-d416774-Reviews-Zingerman_s_Delicatessen-Ann_Arbor_Michigan.html,"Ann Arbor, Michigan",restaurants,5.0,4.5
