title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Absolutely worth a visit!,"We have visited several museums in Athens and this one was our favourite. It is much smaller than for example, Archeoligical museum, which makes it easier to go through. The collection of Cycladic artefacts is unique! Ancient greek collection is a overview of what you can see in Archeological musem, Cypriotic art is a pretty interesting colleaction too. Besides that, this museum unlike others has interactive activities and a couple of movies about ancient every day life, ceremonies, languages and so on. We visited in mid November and there were just a few people inside, no need to worry about buying tickets online (another reason is that then you have to pay full price instead of 50% discount which you get in november).
In general, if you have very limited time in Athens or can just visit one museum, this one would be the right choice.",November 2019,Museum of Cycladic Art,https://www.tripadvisor.com/Attraction_Review-g189400-d198712-Reviews-Museum_of_Cycladic_Art-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Acropolis visit mid November,"We travelled to Athens 18-23 of November and timing could not be better1 Still warm during the day (ca.20 degrees), but no heat and no crowds whatsoever! we arrived to buy tickets at 10 and there was 0 people queque. Up the hill we were not along of course but still could watch all the sites relaxedly without being pushed by people waiting behind. A tip before your trip: make sure you know the exact place to enter and to buy tickets, as it is located downside the hill (nearby Acropolis metro station).",November 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Can be easily skipped,"While travelling through Europe, we usually take hop on hop off bus to get to know the city. This one in Athens happens to be the one which could easily be skipped. 2 reasons:
-not enough information provided during the route, most of the time you just hear Greek music in your earphones, which is nice, but not that much, and while it can be easily substituted by some greek mythology or legends, the country has plenty of them.
-most of the route is not picturesque at all. You will pass the highlights like Syntagma square, Acropolis, National library and a few others but for the rest is just passing the Athens streets, which are not nice to see, wasting time on traffic lights and traffic jams.
We tried all of suggested routes, Athens Riviera is not interesting at all, you almost dont see the sea shore, as there are trees and tram rails inbetween the road and the coastline, so dont waste your time.
Pireus line is better.
To be fair, I d like to say that the Athens line is also the cheapest one (12 euro pp for 2 days) and the drivers are all very friendly.
To conclude, i would suggest just to take a 9 euro public transport ticket for 5 days and visit all the sites by yourself, combining with online/youtube audio guides which are now plenty available and much more informative.",November 2019,Athens Piraeus and Glyfada Hop on Hop off Tour,https://www.tripadvisor.com/AttractionProductReview-g189400-d11455988-Athens_Piraeus_and_Glyfada_Hop_on_Hop_off_Tour-Athens_Attica.html,"Athens, Greece",activities,3.0,3.5
Very comfortable stay,"If you are searching for a spacious place for a comfortable stay, then this is the right place to be. Separate living room, 2 tv's (in bedroom and living room), bath tub and separate shower, kitchenette, equipped with everything needed (even the cutlery is of WMF and Sola!) and a washing machine - a super handy device when you travel for longer period as laundry service is usually quite pricy in all hotels. they provide an amount of washing powder as well, so you dont need to buy a complete pack. Lots and lots of space for your clothing. Drinking water provided every day to your room or is available in the gym. Coffee and tea you can get 24 hours a day in the lobby area.
the pool is fantastic, great view, clean and trendy.
Yes, as is mentioned in many reviews, the breakfast room is tiny and choices of breakfast is very basic, we visited in november so didnt experienced a que, but afterall, serviced suites (in Europe is usually called Aparthotel) is a bit different as a Hotel, mostly they dont even provide the breakfast possibilities, so see it as an extra, and if not willing to wait, you can always enjoy breakfast in your own room, the fully equipped kitchenette is at your disposal.",November 2018,"Pan Pacific Serviced Suites Beach Road, Singapore",https://www.tripadvisor.com/Hotel_Review-g294265-d4310988-Reviews-Pan_Pacific_Serviced_Suites_Beach_Road_Singapore-Singapore.html,"Singapore, Singapore",hotels,5.0,4.5
"Fantastic stay, Parkroyal Pickering street","The design is very impressive, original, the hotel is covered with plants and surrounded with many fountains. It also supports the ""green"" idea, you have brochure in your room, explaing, how the hotel is efficient and eco friendly. The interior of the rooms is made in natural colours, with as many as possible wooden details.
We took a deluxe room, as it has a bath, which was huge - easy to fit for 2 persons. On the photos it looks like an open bathroom, but there is actually a sliding door in between, which is much better of course. Toiletries include besides a standart set also a toothbrushes with toothpaste and shaving set.
the location is also the best so far, comparing to other places where we stayed in Singapore. Walking distance to the center, really close to metro, Chinatown, which is full of dining options and the best shops for gifts (chinese spcialties like health and beauty products, chinese traditional pastry and so on).
very firendly and helpful stuff.
Extensive breakfast.
Try to get a room with park view, if possible.",November 2018,Parkroyal hotel,https://www.tripadvisor.com/Restaurant_Review-g294265-d5997028-Reviews-Parkroyal_hotel-Singapore.html,"Singapore, Singapore",restaurants,5.0,5.0
"Great dinner, client-oriented service!","We went to this place on the last evening of our vacation and enjoyed every minute. The variety of food is superb, easy to find something for anyone: sushi, sea food, meat, italian, local (fresh prepared specially for you in some minutes). Nice atmosphere and plenty of space to be seated with enough privacy.
I would also like to specially mention the waitress who helped us, Voyce, she was very attentive, prompt, friendly and professional! tip for the management of the restauarant - dont lose this girl!
With thanks for good service and great evening,
family Veenman",November 2018,Edge,https://www.tripadvisor.com/Restaurant_Review-g294265-d3567913-Reviews-Edge-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.5
Truly disappointing,"After reading the reviews we drove 40 minutes to this restaurant, which turned out to be a big disappointment.I would be ashamed to charge nearly 20 euro for a dry piece of fish with some vegetables from deep-freeze package. The dish of my husband was enormously spicy, almost not eatable, and I understand, there are maybe some people who like it but there are also some, who don't, so it is at least decent to inform client about it and not just take the order without any caring. Both dishes were prepared and served with 0% of effort or any chef's talent. None of the waiters ever asked us how was our food. I definitely will not be back again, and what even worse for the place, i for sure will not reccommend it to my clients who rely on my unbiased opinion and travel around the island.",November 2017,Restaurante Club Nautico Ca'n Picafort,https://www.tripadvisor.com/Restaurant_Review-g580284-d7598322-Reviews-Restaurante_Club_Nautico_Ca_n_Picafort-Ca_n_Picafort_Majorca_Balearic_Islands.html,"Majorca, Spain",restaurants,1.0,4.5
Not bad but also not fantastic,"I was always curious about ypical jewish quisine, so in one of our trips to lodz i booked a table in Anatewka. The interior design is very specific, but I liked it. It consists of several rooms, for me, I would suggest to make a reservation in the first room (where the bar is), as it is lighter, bigger and with more space between tables. In the second room where we were sitted, I found it a bit too close to each other. First we took soups, out of which goose was the best, and from our main courses all were quite good (we took different dishes from duck and goose). Rotshild's duck is huge! it is really half a duck on your plate! The service could be more attentive, we had to ask several times for our drinks.. and please, don't order gin-tonic there, it is not their strong side.",November 2016,Anatewka,https://www.tripadvisor.com/Restaurant_Review-g274837-d749996-Reviews-Anatewka-Lodz_Lodz_Province_Central_Poland.html,"Lodz, Poland",restaurants,4.0,4.5
A good value and a pleasant stay,"My husband has already stayed 3 times in this hotel and for me it was the first. It has everything, what we needed during our business trips to Chojnice: central location, parking nearby, freandly and English-speaking staff. The room is not big, that is true, but clean, lately refurbished and equipped with tea/coffie facilities. A choclate on the pillow I found a very nice gesture!
The breakfast was prepared specially for us, eggs, omelet, yoghurts etc.",January 2015,Hotel Ratuszowy,https://www.tripadvisor.com/Hotel_Review-g946522-d5420647-Reviews-Hotel_Ratuszowy-Chojnice_Pomerania_Province_Northern_Poland.html,"Chojnice, Poland",hotels,4.0,4.0
"Nice stay, mostly suitable for business","I chose this hotel during our visit to the Warsaw Boat Show. The reasons to do so were:
- realitively close to the boat show
- out of city center (so no problems with traffic and no bustle of any city center)
-we have stayed before at Double tree Lodz and enjoyed

For our reasons it was a good choice. If you still would like to go out or do something in the evening, please keep in mind, that there is absolutely nothing around the hotel and the center is not in walking distance.
For the rest, the hotel is good, big room, nice modern interior, big and free parking nearby, wi-fi in the room, bathrobe and sleepers, tea/coffie making facilities.
Breakfast was full of choices, however the taste (pastry and eggs) was OK. Just to compare, the breakfast in Double tree Lodz was better.
Another moment: the hotel has only 3-4 floors, but it is long! so, if your room is in the end of the corridor you will have to walk quite some time to reach it. Not handy if you forget something in the room and have to go back:) But, in regard to this, if you have problems with legs, better mention it while booking and ask a room nearby the elevators.",January 2015,DoubleTree by Hilton Hotel & Conference Centre Warsaw,https://www.tripadvisor.com/Hotel_Review-g274856-d5986800-Reviews-DoubleTree_by_Hilton_Hotel_Conference_Centre_Warsaw-Warsaw_Mazovia_Province_Central_Po.html,"Warsaw, Poland",hotels,5.0,4.5
