title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Wonderful stay, great room, great food","We stayed in the Tower room, right at the top of the castle for one night. Room was wonderfully themed and comfortable in all aspects. Only book this room if you want to climb around 6 flights of stairs though!
The restaurant meal was delicious. Friendly waiting staff too. Would definitely return.",October 2020,Langley Castle Hotel,https://www.tripadvisor.com/Hotel_Review-g5256857-d209990-Reviews-Langley_Castle_Hotel-Langley_on_Tyne_Hexham_Northumberland_England.html,"Langley-on-Tyne, United Kingdom",hotels,5.0,4.5
"Over-priced room, but great view, great staff and food","We stayed for one night in a castle view room at £180 B and B.
The room had a great view but was tired. It smelt when we first entered and we had to air it for a while. Fixtures and fittings were tired, Eg. Fraying carpet and no grout in bathroom floor tiles. The shower had previous occupants hair in it. Would have expected more for £180.
However, restaurant staff and food were both top notch. Dinner and breakfast were delicious. The waiter Macually was happy, pleasant and couldn’t help enough.
Completely Covid safe (despite previous comments). We have only marked as average purely on price.",October 2020,The Victoria Hotel,https://www.tripadvisor.com/Hotel_Review-g504035-d251675-Reviews-The_Victoria_Hotel-Bamburgh_Northumberland_England.html,"Bamburgh, United Kingdom",hotels,3.0,4.0
Another great visit 😁,"Our second stay here, this time in the King James Suite. We had an offer to include afternoon tea, dinner and breakfast (we paid a little extra to stop in the suite).
Afternoon tea was delicious and plentiful. Staff were helpful.
Dinner was superb and our raised dining area fantastic. Food was faultless as were the staff.
Breakfast the next day provided everything we wanted to eat. All table service re Covid, but we wanted for nothing. Would recommend anyone to stay here for a slightly different hotel experience in a castle dating back to the 1300’s.",October 2020,Lumley Castle Hotel,https://www.tripadvisor.com/Hotel_Review-g190832-d192891-Reviews-Lumley_Castle_Hotel-Durham_County_Durham_England.html,"Durham, United Kingdom",hotels,5.0,4.0
Definitely worth a visit,"An impressive castle well worth the visit. Plenty of indoor rooms with antiques, coats of armour etc to look at, and lots of outdoor areas to explore. We spent 3.5 hours here, it did help we had a wonderful sunny, dry day, but well worth the entrance fee.",October 2020,Bamburgh Castle,https://www.tripadvisor.com/Attraction_Review-g504035-d261433-Reviews-Bamburgh_Castle-Bamburgh_Northumberland_England.html,"Bamburgh, United Kingdom",attractions,4.0,4.5
"Delicious food, attentive service",We stayed at the hotel and enjoyed dinner in Black Knights. We found the staff very attentive and helpful. Delicious food and wine. Will return when next in the area.,October 2020,Black Knight Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1156051-d2622080-Reviews-Black_Knight_Restaurant-Chester_le_Street_County_Durham_England.html,"Chester-le-Street, United Kingdom",restaurants,5.0,4.0
"Clean, value for money hotel","We stayed for one night in a room with a balcony. Newly fitted out, perfectly adequate.
Nice bar on site, great Wi-fi (for watching sports on iPad!), although they do have sky sports too!
Lovely on site Thai restaurant.
Great value for money.",October 2020,Highfield Hotel,https://www.tripadvisor.com/Hotel_Review-g1208081-d1203969-Reviews-Highfield_Hotel-Houghton_le_Spring_Tyne_and_Wear_England.html,"Houghton-le-Spring, United Kingdom",hotels,4.0,4.0
Good fun great challenges,Our first escape room and really good fun. Challenging but not too much so you can’t proceed through the rooms. Thanks to Alisha who was really helpful.,October 2020,Escape Rooms Durham,https://www.tripadvisor.com/Attraction_Review-g190832-d8566842-Reviews-Escape_Rooms_Durham-Durham_County_Durham_England.html,"Durham, United Kingdom",attractions,5.0,5.0
So much to do,A great place with so much to see and do. Gets a bit crowded but seems to be one of the main attractions. A must when in key west.,January 2020,Mallory Square,https://www.tripadvisor.com/Attraction_Review-g34345-d104133-Reviews-Mallory_Square-Key_West_Florida_Keys_Florida.html,"Key West, Florida",attractions,4.0,4.5
Plenty to do,"A lovely port with lots of shopping opportunities. Plenty of restaurants and bars too.
There are dolphins pools where you can have a dolphin experience and flamingoes to view and photograph. Plenty to do if you don’t want to go on an excursion.",December 2019,Costa Maya Port,https://www.tripadvisor.com/Attraction_Review-g499450-d647108-Reviews-Costa_Maya_Port-Mahahual_Costa_Maya_Yucatan_Peninsula.html,"Mahahual, Mexico",attractions,4.0,4.0
Very large and a little dated,"The casino is really very large with lots of slots and tables. A great place to explore and lose some money! My partner found one table (two members of staff) very rude. It was though they didn’t want him to play, didn’t want his bets and queried his bets! For this reason we would take our money to another casino. What a shame!",January 2020,Atlantis Casino,https://www.tripadvisor.com/Attraction_Review-g147417-d310839-Reviews-Atlantis_Casino-Paradise_Island_New_Providence_Island_Bahamas.html,New Providence Island,attractions,3.0,4.0
Lots of choice!,"A great location full of shops, restaurants etc. Lots of choice and no pushy selling from anyone. Worth a look.",January 2020,Port Lucaya Marketplace,https://www.tripadvisor.com/Attraction_Review-g147420-d149314-Reviews-Port_Lucaya_Marketplace-Freeport_Grand_Bahama_Island_Bahamas.html,Grand Bahama Island,attractions,4.0,3.5
Tubing on the white river,"We can not recommend this enough! So much fun to be on the river for around an hour. The hosts were helpful and cheerful and the whole excursion was safe and well organised. Do not hesitate, book!",December 2019,White River,https://www.tripadvisor.com/Attraction_Review-g147312-d1645961-Reviews-White_River-Ocho_Rios_Saint_Ann_Parish_Jamaica.html,Jamaica,attractions,5.0,4.5
Beautiful scenery,We took a trip by boat around a section of the lake and saw a variety of birds and animals. Beautiful setting and so much to see.,January 2020,Gatun Lake,https://www.tripadvisor.com/Attraction_Review-g294480-d301172-Reviews-Gatun_Lake-Panama_City_Panama_Province.html,"Panama City, Panama",attractions,4.0,4.5
Take an excursion,Take an organised tour. Colon seems a very sad town (seen through the bus windows only passing through to our excursion area) that looked derelict in many areas. Doesn’t seem to have had investment which is a shame given the number of cruise passengers arriving at Colon.,December 2019,Colon Panama,https://www.tripadvisor.com/Restaurant_Review-g298428-d5785847-Reviews-Colon_Panama-Colon_Colon_Province.html,"Colon, Panama",restaurants,2.0,3.0
Impressive,"Old and impressive. Worth a photo stop but not sure about the walk to the top, although great views we were told if you do. Lots of vendors trying to sell their souvenirs and a very busy area with so many tourists.",January 2020,Castillo de San Felipe de Barajas,https://www.tripadvisor.com/Attraction_Review-g297476-d315386-Reviews-Castillo_de_San_Felipe_de_Barajas-Cartagena_Cartagena_District_Bolivar_Department.html,"Cartagena, Colombia",attractions,4.0,4.5
"Nice old town, lots to see","This was a lovely old town with lots of narrow streets full of restaurants, bars and shops. Easy to spend hours just taking in the hustle and bustle. Definitely worth wandering around in the heat!",January 2020,Walled City of Cartagena,https://www.tripadvisor.com/Attraction_Review-g297476-d555214-Reviews-Walled_City_of_Cartagena-Cartagena_Cartagena_District_Bolivar_Department.html,"Cartagena, Colombia",attractions,4.0,4.5
Great Location,"We stayed for one night mid cruises. The employee who greeted us kindly checked us in slightly early - thank you. We had a room overlooking the cruise terminals and bay. It was the best view.
The room was tired, but everything was clean and tidy and we would stay again purely for location. It is a 2 minute walk to Bayside shopping and restaurants, and 5 minutes to some banks/shops (including Ross clothes store).
Breakfast was great with a big selection and great fresh fruit.",January 2020,Holiday Inn Port of Miami Downtown,https://www.tripadvisor.com/Hotel_Review-g34438-d80275-Reviews-Holiday_Inn_Port_of_Miami_Downtown-Miami_Florida.html,"Miami, Florida",hotels,4.0,3.5
Slow service,"We went for drinks and intended to have food too, but the service was slow so we moved on. We were served drinks in glasses which you take home with you, but without being asked first. Obviously this comes with a large extra charge. It was a bit of a trouble getting it taken off the bill.",January 2020,Bubba Gump Shrimp Co.,https://www.tripadvisor.com/Restaurant_Review-g34438-d518084-Reviews-Bubba_Gump_Shrimp_Co-Miami_Florida.html,"Miami, Florida",restaurants,3.0,4.0
"Good location, good price","We stayed for 3 nights in a room with a large balcony. Good room but little light. Only lamps and ‘mood lighting’. The flooring was ‘different’, not carpet or tile, but a plastic covering type, like a wipeable placemat?
Bathroom was large, modern and clean. We had everything we needed in the room and were comfortable in it. The continental breakfast was more than adequate and the room never packed full, which was good. Good fresh fruit options, lots of berries.
Close to the Bayside shopping/restaurants, so no hire car needed. On location only would stay again, but good price and helpful staff help.",December 2019,"The Gabriel Miami, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g34438-d8871407-Reviews-The_Gabriel_Miami_Curio_Collection_by_Hilton-Miami_Florida.html,"Miami, Florida",hotels,4.0,4.0
