title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A place to time travel...fantastic!,"When we went we did not feel that it was overly crowded - there was room to take pictures and plently of places to get away from the people and sit and admire the history in every direction.

Good shoes recommend and take time to look down at the ""streets"" as they are amazing and bit of a trip hazard.

You really do feel transported here and it is a must see when in Rome.",September 2019,Palatine Hill,https://www.tripadvisor.com/Attraction_Review-g187791-d190996-Reviews-Palatine_Hill-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Excellent Value.,"This was a very good tour that was efficiently run with loads of great information. Everything was well paced with plently of time for photographs and to take in the sites. Our guide was very engaging and really knew her stuff, she spoke clearly and had supporting documents in her folder that really built the picture around the remaining bones.

At the end of the time our guide passed on other information about other things to see and do, places to eat and how to get home. All very much appreciated.

Would highly recommend this tour as you woudl not get this all done on your own.",September 2019,Skip the Line: Colosseum Small Group Tour with Roman Forum & Palatine Hill,https://www.tripadvisor.com/AttractionProductReview-g187791-d11449756-Skip_the_Line_Colosseum_Small_Group_Tour_with_Roman_Forum_Palatine_Hill-Rome_Lazio.html,"Rome, Italy",activities,5.0,4.5
Excellent - Very Well Run,"Firstly, I have no religion so for me this was a history / art tour (before we started) afterwards I had to admit that it is indeed a very spiritual experience to be in these amazing places.

Our guide was Oscar and he was amazing - very informative, happy to have a laugh and to answer questions. It must be a tough gig to keep people on track, in sight and happy in a place that is so interesting (so many places to wander off), and teeming with people. Well done to him!

I could have stayed in the Museum for about a year - there is that much to see! I was rendered speechless by the collections and the enormity of it all. That happens well...never! I got a sore neck from looking up and trying not to miss anything to the sides or even on the floor.

The Sistine Chapel was lovely but so crowded - of course though it is a must see and I am very glad that we took the time to appreciate this stunning and famous site.

St. Peter's was deeply touching - such a grand and glorious building that makes you feel very humble and thoughtful. I wish I could have stayed here longer - but in silence. Just beautiful and very moving.

A great tour - very well done! Highly recomend it.",September 2019,"Faster Than Skip-the-Line: Vatican, Sistine Chapel and St. Peter's Basilica Tour",https://www.tripadvisor.com/AttractionProductReview-g187791-d11449807-Faster_Than_Skip_the_Line_Vatican_Sistine_Chapel_and_St_Peter_s_Basilica_Tour-Rome.html,"Rome, Italy",activities,5.0,4.5
Beautiful - Great People Watching,"We come here to start a tour and luckily we were very early so we had a chance to really appreciate this stunning area of the city. Near to museums and some lovely places to eat the Piazza is open and has beautiful fountains and statues.

A nice spot to sit and drink you coffee and watch the world go by.",September 2019,Piazza del Popolo,https://www.tripadvisor.com/Attraction_Review-g187791-d191110-Reviews-Piazza_del_Popolo-Rome_Lazio.html,"Rome, Italy",attractions,4.0,4.5
Magical - Take Your Time,"The Forum was just a magical place to be - the history and the archeology are so ""real"" here like you have been transported back to time long past. Be prepared to take your time and take it all it - there is a lot to see and lots of people seeing it with you; but if you are patient you find a quiet spot every now and again and it all just is incredible.

Make sure to climb high to take in the views and apprecaite the size of the site - you can also get some great pictures of the Colosseum from here.

Good shoes help and take care not to trip over the street stones. Read up or get a good guide as it makes all the difference. There are drinking fountains in the Forum so fill up for free.

Dont miss it!",September 2019,Roman Forum,https://www.tripadvisor.com/Attraction_Review-g187791-d2154770-Reviews-Roman_Forum-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Icon of History,"Magnificent - but you really need a great guide or have read extensively on the subject to really get the most from your visit. A skip the line ticket is an absolute must as is a firm but polite demeanor to get through all the trinket / guide sellers out the front and on the main roads leading in.

Once inside it is a little sureal and a good opportunity to seperate the facts from the fiction regarding what went on here and who the gladiators actually were and were not.It is a testament to the Romans of the time that this was built and remains standing - it is a magnifent structure and naturally a must see when in Rome.

There is often other exhibits going on inside that can be really interesting - take the time to seek them out and learn a little more.",September 2019,Colosseum,https://www.tripadvisor.com/Attraction_Review-g187791-d192285-Reviews-Colosseum-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Very beautiful but overcrowded,"The fountain itself is very beuatiful but the massive overcrowding, pushing and shoving and trying to step over the poor people begging was a little oppressive. I found it very sad that people were that absorbed with getting a picture that they were literally falling over the beggars.

Stayed for all of five minutes before I figurered there were nicer palces to be - and in Rome there most certainly is.",September 2019,Trevi Fountain,https://www.tripadvisor.com/Attraction_Review-g187791-d190131-Reviews-Trevi_Fountain-Rome_Lazio.html,"Rome, Italy",attractions,4.0,4.5
Friendly and welcoming,"We were staying about 200 meters away from this little gem and had some lovely snacks, drinks and even lunch here over the week of our stay. The service was great (very friendly, sort of like you were extended family).

There was always a great atmosphere in this little space - day or night. The cocktails were great and the food was very nice. They were also happy to do takeway for us which was great after some long, long days touring around the city.

We really enjoyed it eveytime we walked in the door and would highly recommend!",September 2019,404 Name Not Found,https://www.tripadvisor.com/Restaurant_Review-g187791-d11688866-Reviews-404_Name_Not_Found-Rome_Lazio.html,"Rome, Italy",restaurants,5.0,4.5
Fantastic Neighbourhood,"We stayed in this neighbourhood during our time in Rome and it was delighful, captivating and we loved it. Always a cafe to stop at, a shop to explore, people watching to die for and tiny streets to get lost in.

Walking around is safe and easy - although the streets can get you a little turned around. Treat it as an adventure and it will be grand.

There is so much to see and do, eat and enjoy. When we return to Rome we will stay again for sure.",September 2019,Trastevere,https://www.tripadvisor.com/Attraction_Review-g187791-d190123-Reviews-Trastevere-Rome_Lazio.html,"Rome, Italy",attractions,5.0,4.5
Excellent - Thanks Migle!,"What a wonderful day we had with the amazing Migle as our guide - a lovely young lady who is a credit to herself and an asset to the City Wonders Team.

We left on time (I love this!) and were given a very detailed game plan for the day which was much apprecited. Bus was comfortable and well appointed and the driver very skilled (anyone who can get that much bulk up and down Vesuvius without a scratch is a legend!).

We had a short break both on the way down and back for a toilet stop and a snack which was great. It is a very long day so a leg stretch is great (and of course coffee!)

Our firs stop was Mt Vesuvius which was wonderful and you had time to make it to the top and do pictures without any issues. Migle was informative and had a great quick wit - she was a delight. It is a bit croweded at times and good shoes are really a must as it can be rather slip and slide in parts.

Next onto a lovely lunch in Naples - a bit rushed but the food was good and there was plently of it.

Pompeii was magical and all that we had hoped it would be - I dont think you could ever spend enough time here but the time we had was well used. The guide we got for this section was also a very clever young lady and she really knew her stuff. It was a great experience and a must do. Even out Master 14 had a great time and really enjoyed seeing what he had learnt at school ""come to life"".

After exiting Pompeii there is plenty of places to grab a drink but if you need to use the toilets line up right away as the line is long at all times.

A wonderful day out and an experience we will never forget!",September 2019,Pompeii Ruins & Mt Vesuvius Volcano Day Trip from Rome,https://www.tripadvisor.com/AttractionProductReview-g187791-d11449818-Pompeii_Ruins_Mt_Vesuvius_Volcano_Day_Trip_from_Rome-Rome_Lazio.html,"Rome, Italy",activities,5.0,4.5
