title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Good food with great views,"Had lunch over at Skai Restaurant at Swissotel. Located at the 70th floor, the restaurant comes with a commanding view of the Singapore skyline. Food is excellent and a great place to entertain guests.",February 2021,SKAI,https://www.tripadvisor.com/Restaurant_Review-g294265-d15123886-Reviews-SKAI-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.5
Great food and nice ambience,Went to Akira Back for a birthday dinner. Service was impeccable and food was excellent. A nice place to go for that special evening out.,February 2021,Akira Back,https://www.tripadvisor.com/Restaurant_Review-g294265-d11890575-Reviews-Akira_Back-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.5
Delicious paper wrap chicken!,"The restaurant ambiance is nice and understated luxury. More importantly, it’s their food that is the star of the show. A must try is their paper wrapped chicken. Very delicious!",November 2020,Po,https://www.tripadvisor.com/Restaurant_Review-g294265-d12102163-Reviews-Po-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.5
Excellent food and service!,Went there to celebrate my cousin’s birthday. The food and service did not disappoint. The crispy hor fun and the London duck was most memorable. Restaurant staff Jude who looked after us was most attentive as well. All in all a good restaurant and will return.,August 2020,Jia He Restaurant Pte Ltd,https://www.tripadvisor.com/Restaurant_Review-g294265-d19629995-Reviews-Jia_He_Restaurant_Pte_Ltd-Singapore.html,"Singapore, Singapore",restaurants,5.0,4.5
Great food and excellent service,Had the Sukiya Steamboat and we opted for the premium option which has a free flow of wagyu beef. It was worth the money as the beef was very tasty. The manager at the branch Eddie was very friendly and welcoming and we enjoyed our visit to the restaurant. Thanks Eddie for the wonderful evening,February 2020,Tajimaya Yakiniku,https://www.tripadvisor.com/Restaurant_Review-g294265-d1181349-Reviews-Tajimaya_Yakiniku-Singapore.html,"Singapore, Singapore",restaurants,5.0,3.5
Gem of a place! Your private hideaway in Fira!,The hotel is a cave hotel and very exclusive. It has cave rooms and each level comes with a pool. The property overlooks the sea and you get very nice views of the caldera. It is also close the the city centre. Antonio was friendly and helpful and made our stay a very memorable one. Thank you Antonio!,December 2019,Day Dream Luxury Suites,https://www.tripadvisor.com/Hotel_Review-g482942-d9462950-Reviews-Day_Dream_Luxury_Suites-Fira_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,5.0
Amazing views from the city walls,A walk around the city walls around Dubrovnik old town is a must. The walls take you around the old city and rewards those who walk the walls with spectacular views of the Adriatic Sea.,December 2019,Walls of Dubrovnik,https://www.tripadvisor.com/Attraction_Review-g295371-d522915-Reviews-Walls_of_Dubrovnik-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",attractions,5.0,4.5
Great food and great view!,Went up to panorama restaurant to catch the view of Dubrovnik old town. It did not disappoint. The view was breathtaking and the food was delicious which was a bonus. Restaurant staff was also friendly and patient as we were not familiar with which Croatian wines to order.,December 2019,Panorama Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g295371-d4586995-Reviews-Panorama_Restaurant_Bar-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",restaurants,5.0,4.5
Breathtakingly Beautiful!,Dubrovnik old town is breathtakingly beautiful. It’s entire city wall is intact and you can do a walk around the wall. You would also love the walk along the streets and just marvel this gem of the ancient city. You would just fall in love with this city. Tip: try to catch the sunset from one of the high vantage point. It’s beautiful.,December 2019,Dubrovnik Old Town,https://www.tripadvisor.com/Attraction_Review-g295371-d17782671-Reviews-Dubrovnik_Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"Dubrovnik, Croatia",attractions,5.0,4.5
Amazing Lounge!,Transited in Istanbul and visited the Turkish Airlines Star Alliance Gold Lounge. The lounge was simply amazing. It was huge and spacious and comes with live cooking stations. The drinks were well stocked and they had a mini “hotel” within the lounge where they provide bedrooms for their business class passengers. Turkish Airlines have certainly up the game in terms of lounge facilities for star alliance gold card members!,December 2019,Turkish Airlines Lounge Departures,https://www.tripadvisor.com/Attraction_Review-g293974-d17380593-Reviews-Turkish_Airlines_Lounge_Departures-Istanbul.html,"Istanbul, Turkey",attractions,5.0,4.0
