title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
I was in Seoul for 2 weeks,"I was in Seoul for 2 weeks and craved some Vietnamese food since I am of Vietnamese descent.

A little hard to find but it’s basically right around the corner. At first, I was looking for the restaurant inside the building with all the stores but quickly realized they weren’t located inside.

The staff here is friendly and helpful. I ordered a bowl of Pho and vermicelli. It came with a few side pickled vegetables which is typical to Korean meals, but I didn’t eat them since I wanted to eat Vietnamese food.

Eating here was almost like mom’s cooking. It was tasty and worth the trip. The broth was rich and savoury. The noodles and vermicelli were well cooked. Everything was excellent.",April 2020,Pham Thi Chinh Pho,https://www.tripadvisor.com/Restaurant_Review-g294197-d8385355-Reviews-Pham_Thi_Chinh_Pho-Seoul.html,"Seoul, South Korea",restaurants,5.0,4.5
"Expensive bowl of ramen, not","Expensive bowl of ramen, not enough noodles but good portion of meat and nice half cooked egg. The broth was very salty and I didn’t find their spiciest ramen spicy, just a little heat but I would’ve liked a lot more spicy. Service was excellent.

I’ve had some very good ramen in bigger portions in Japan at about half price.",March 2020,Ramen Isshin,https://www.tripadvisor.com/Restaurant_Review-g181733-d19322470-Reviews-Ramen_Isshin-Brossard_Quebec.html,"Brossard, Canada",restaurants,3.0,3.5
Friendly and efficient staff,"We stayed here a couple of nights and enjoyed it.

Our room wasn’t the fanciest but it was decent and thoroughly cleaned everyday. The staff at the hotel and restaurant were extremely friendly and helpful, this was a huge plus to our trip to Santorini. Breakfast was also included and it was delicious. They cook their eggs in different ways everyday and offer a nice variety of bread, vegetables and other food. The pool was always clean and was a nice place to hang out on warmer days.

In conclusion, I highly recommend this hotel/villa.",October 2019,Anemomilos Hotel And Villas,https://www.tripadvisor.com/Hotel_Review-g482941-d634360-Reviews-Anemomilos_Hotel_And_Villas-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",hotels,5.0,4.5
Good coffee,"I ordered an iced cappuccino but the gelato looked good. They have a nice variety of flavours.

My coffee was excellent. Strong and bold.",October 2019,Lolita's Gelato,https://www.tripadvisor.com/Restaurant_Review-g482941-d4221812-Reviews-Lolita_s_Gelato-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,4.5
Tasteless,"I ordered a chicken gyros and didn’t like it. The tzatziki was tasteless and the fries were overly salted. The bread was decent but the chicken didn’t look fresh.

This is definitely a tourist trap. I do not recommend",October 2019,PitoGyros Traditional Grill House,https://www.tripadvisor.com/Restaurant_Review-g482941-d6691018-Reviews-PitoGyros_Traditional_Grill_House-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,2.0,4.5
Good food and service,"Service was friendly and food was above average. Taste was there but portion just a bit small for me.

Beer is a bit cheaper than Athens.

There are many restaurants in Oia so a little hard to compare",October 2019,Skala Restaurant,https://www.tripadvisor.com/Restaurant_Review-g482941-d1487712-Reviews-Skala_Restaurant-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,4.0
Great staff,"We stayed at this hotel for 4 nights and really enjoyed it. The staff working at this location made our trip easier as they were extremely helpful.

The staff working at this Best Western Plus are the best that I’ve been to this chain of hotel. Breakfast was included and was excellent. Breakfast here is 100% times better than most hotels in North American even compared to the 4-5 stars hotels. It offers more vegetables and real eggs, not liquid eggs. The 2 waitresses we had here were very nice and polite.",October 2019,Best Western Plus Amazon Hotel,https://www.tripadvisor.com/Hotel_Review-g189400-d260275-Reviews-Best_Western_Plus_Amazon_Hotel-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Decent price for Oia,"We ordered a drink, Mythos beer and 2 small pizzas to share (marguerita et greek). Very good pizza and decent prices for the place",October 2019,SKIZA Cafe,https://www.tripadvisor.com/Restaurant_Review-g482941-d2252827-Reviews-SKIZA_Cafe-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,4.0,4.0
ATTENTION,"Be aware that when you order as take-out, you pay about 3 euros less than if you sit in.

We came in this restaurant and looked at dessert. They were 3.40 euros each. We wanted to sit in and share a baklava and mascarpone. We looked at the menu and realized they were charged 3 euros more on the menu if you eat at the restaurant. I asked the server why the difference and he said take is cheaper.

Needless to say that we ordered it as take-out and sat somewhere nice outside to the sunset. Better than the restaurant!

BE AWARE THAT YOU WILL BE OVERCHARGED IF EATIBG THERE.",October 2019,Melenio,https://www.tripadvisor.com/Restaurant_Review-g482941-d1550044-Reviews-Melenio-Oia_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,2.0,4.0
Go early,Arrived early and try not to be behind those tours. They are annoying and bunch of people who dress up just for pictures... pathetic,October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,2.0,4.5
