title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Must Visit!,"I would recommend a visit to Pearl Harbour, especially the U.S.S Arizona Memorial. We purchased online next day tickets for $1 a ticket to visit the memorial. There are various packages but they sell out fast so be sure to go in at 7:00 AM Hawaii time the day before you want to visit. There are other ways to get tickets as well but I can't speak to that.
Once we arrived, it took several minutes to find parking but it was quick and easy to get our tickets afterwards. You cannot bring purses or bags onto the site unless they are clear so we just carried our phones, camera and money. We had some time to walk around the property before meeting our group at the theatre for a 30 minute film about Pearl Harbour and the war. The film was very informative. Next, it was a short boat ride to the memorial site, where we had about 15 minutes to walk around, reading displays, viewing the memorial wall and of course viewing the sunken battleship from above. Upon our return to shore, there was a great souvenir shop and more displays to see. The tour itself takes 75 minutes but you will want some more time either before or after to explore the area.",February 2020,USS Arizona Package,https://www.tripadvisor.com/AttractionProductReview-g29222-d12955290-USS_Arizona_Package-Oahu_Hawaii.html,"Oahu, Hawaii",activities,4.0,4.5
Nice store!,"We stopped here to shop in the store, which offers free samples of Kona coffee and their food products, including flavoured macadamia nuts, nut butters, hot sauces, etc. Delicious! We had to buy some to bring home! This is a great place to buy other souvenirs as well. I cannot comment on the farm tour itself but it is located in a very scenic area of the island, close to Kualoa Ranch.",February 2020,Tropical Farms Macadamia Nut Farm and Farm Tour,https://www.tripadvisor.com/Attraction_Review-g60653-d1059208-Reviews-Tropical_Farms_Macadamia_Nut_Farm_and_Farm_Tour-Kaneohe_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,4.5
Best spot on the leeward side of the island!,"We found this beach at the end of the road on the leeward side of the island. The whole area is beautiful with mountains on one side and the ocean on the other. The waves were huge the day we visited and boogie boarders were loving it! It was a bit scary to go swimming but we enjoyed watching the waves and the people playing in them. It was a weekend so there were lots of people, including locals, having picnics and hanging out. The beach is so long we had a decent amount of space to ourselves.",February 2020,Yokohama Bay,https://www.tripadvisor.com/Attraction_Review-g6437170-d153925-Reviews-Yokohama_Bay-Makaha_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,5.0,4.5
Beautiful Lagoon # 2,"My husband and I visited lagoon # 2, which was beautiful, with clear, calm water and a sandy beach. Great area for swimming and for families with kids. I snorkeled here and there were a few fish to see, but it wasn't as good as other areas on the island. Parking can be difficult to find. Not too far from Waikiki. There are restrooms here.",February 2020,Ko Olina Lagoons,https://www.tripadvisor.com/Attraction_Review-g60654-d629155-Reviews-Ko_Olina_Lagoons-Kapolei_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,4.5
"Beautiful, quiet beach on the north shore","Near Hau'ula, this beach is large, sandy, and just beautiful! We swam here, although the waves were pretty big. What I liked best was that there were very few people on this beach.",February 2020,Kokololio Beach Park,https://www.tripadvisor.com/Attraction_Review-g60648-d1898746-Reviews-Kokololio_Beach_Park-Hauula_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,4.5
Yummy Mexican food & drink,"We walked by this place when we arrived in Waikiki. It looked inviting, with brightly coloured lights, and outdoor patio seating. The nachos were good and the mango margarita was excellent! We enjoyed the atmosphere and the service was good. It was a bit expensive but probably normal for the area.",February 2020,La Cucaracha Mexican Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g29222-d433990-Reviews-La_Cucaracha_Mexican_Bar_Grill-Oahu_Hawaii.html,"Oahu, Hawaii",restaurants,4.0,3.0
Nice touristy place to visit,"Yes it's very touristy BUT we still enjoyed seeing where Dole grows its pineapples and other crops, as well as learning about this process. We paid $11.50 each and waited a half hour to take the 22 minute train tour of the fields. There was also a commentary so we learned lots. You can also take a garden tour, but it didn't seem worth it and a maze tour, which was closed the day we visited. We enjoyed the Dole whip, which was the best pineapple-flavoured soft serve! The restaurant serves various food and drinks and the store sells many pineapple themed (and other) products and souvenirs. It's not a cheap place to visit but I'd still recommend visiting for a couple of hours.",February 2020,Dole Plantation,https://www.tripadvisor.com/Attraction_Review-g60659-d105817-Reviews-Dole_Plantation-Wahiawa_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,3.5
Great views of Kaneohe Bay!,"Drive to the lookout for great panoramic views of Kaneohe and it's Bay. You will have to pay $3 to park here, which seems a bit steep for the quick stop you will make. It is however worth it for the view. It can be very windy and cool here!",February 2020,Nu’uanu Pali,https://www.tripadvisor.com/Attraction_Review-g29222-d319414-Reviews-Nu_uanu_Pali-Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,4.5
Nice beach,"My husband and I visited this beach at Turtle Bay Resort a couple of times and found the beach to be nice and the water relatively calm compared to other north shore beaches this time of year. Anyone can visit the beach, not just the resort guests and it is free. Kids played in the water and I was even able to go snorkeling, although there are better places to snorkel on the island (Shark's Cove and Hanauma Bay). Nice place to relax and swim and great for families. There is a restaurant and restrooms near the beach as well.",February 2020,Turtle Bay Beach,https://www.tripadvisor.com/Attraction_Review-g60651-d2079980-Reviews-Turtle_Bay_Beach-Kahuku_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,4.0,4.5
Awesome Evening!,"My husband and I enjoyed this small group luau with 40 of us, including a wedding party! We were welcomed by our hosts, given a lei made from nuts and 2 complimentary drinks for the night per person (additional drinks for a small fee). The mai tai was great!
We were provided with a lot of information about Polynesian cultures and the beautiful Nutridge Estate, which overlooks Honolulu. There were 3 beautiful female dancers and 3 male entertainers, including the hilarious cousin Reno, the fun Boggie Boogie and the talented Koko. They danced for us, taught us a hula dance, and a Polynesian bowling game, made us bracelets & headbands out of leaves and prepared us a delicious meal! We also had the opportunity to participate in preparing sweet potatoes to eat!
Overall, the entertainment was great, the food was yummy and the people were the best!",February 2020,Experience Nutridge,https://www.tripadvisor.com/Attraction_Review-g60982-d14927858-Reviews-Experience_Nutridge-Honolulu_Oahu_Hawaii.html,"Oahu, Hawaii",attractions,5.0,5.0
