title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Brilliant experience,The VR escape room was unreal! I have done many escape rooms in the past - this was the best by far! I visited here this evening with three friends. We did the Prison Break escape room and it was absolutely fantastic!! The professionalism of the team and VR systems was fabulous! We will definitely be back asap! Thank you so much guys for such a good experience!,October 2020,DNA VR Battersea Power Station,https://www.tripadvisor.com/Attraction_Review-g186338-d21381339-Reviews-DNA_VR_Battersea_Power_Station-London_England.html,"London, United Kingdom",attractions,5.0,5.0
delicious!!,"The food is great! We had garlic cheesey pizza bread, calamari, carbonara and seafood linguine! The fopd was delicious! We finished off with desserts which were a little too creamy but tasty. The service was great too! On October, they are doing 50% off meals Monday-Wednesday. We will be back",October 2020,Al Forno Restaurant,https://www.tripadvisor.com/Restaurant_Review-g504175-d1905221-Reviews-Al_Forno_Restaurant-Kingston_upon_Thames_Greater_London_England.html,"Kingston upon Thames, United Kingdom",restaurants,5.0,4.0
Great,This bar is great fun!!! I loved it for my birthday. They have cocktail deals too. The service is great and I would definitely return.,September 2020,Sugar Cane bar,https://www.tripadvisor.com/Restaurant_Review-g186338-d4910537-Reviews-Sugar_Cane_bar-London_England.html,"London, United Kingdom",restaurants,5.0,4.5
fantastic,We had a great time at the bottomless brunch. The food was delicious and all staff were friendly. The staff were a little slow with pouring the prosecco. That is the one negative I have. I would definitely return. Thanks guys,September 2020,Three Little Birds,https://www.tripadvisor.com/Restaurant_Review-g186338-d14055566-Reviews-Three_Little_Birds-London_England.html,"London, United Kingdom",restaurants,4.0,4.5
great fun,I went here for my birthday. It was great fun. The drinks and food are great. I would say the drinks are a little expensive...£15 for a double vodka seems a bit steep. Chopse a gin cocktail for £8 The goats cheese salad is a must!!!,September 2020,The Old Frizzle,https://www.tripadvisor.com/Restaurant_Review-g186338-d3765636-Reviews-The_Old_Frizzle-London_England.html,"London, United Kingdom",restaurants,4.0,3.5
great,Great drinks and service. All staff were friendly and I will be back soon! The strawberry gin here is sooo good!,September 2020,The Grove,https://www.tripadvisor.com/Restaurant_Review-g1752250-d4299474-Reviews-The_Grove-Surbiton_Kingston_upon_Thames_Greater_London_England.html,"Surbiton, United Kingdom",restaurants,5.0,4.0
Fantastic,the rices for under 2s were great...there were so many! We got there at a good time so there were no queues.,September 2020,Chessington World of Adventures Resort - 1 Day Admission Ticket,https://www.tripadvisor.com/AttractionProductReview-g580409-d16823217-Chessington_World_of_Adventures_Resort_1_Day_Admission_Ticket-Chessington_Surrey_E.html,"Chessington, United Kingdom",activities,5.0,3.0
fantastic,"Amazing!!! We had the best time ever here!!! The food was great...drinks were a little slow. Our starters arrived before the mains. Other than that, it was fab. The lavender loaf is an absolute must!",September 2020,The Florist,https://www.tripadvisor.com/Restaurant_Review-g186220-d13486053-Reviews-The_Florist-Bristol_England.html,"Bristol, United Kingdom",restaurants,4.0,4.0
Great,This is a super interesting place! The historical aspect of it was amazing. It was a shame that we didn't have an audio guide. We used and app called Rick Steves Audio Europe. It is free and takes you through step by step giving interesting information. We visited the museum after which was also good.,August 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Great,We visited rhe museum after visiting the Acropolis itself. It is an interesting museum - lots of artifacts and explanations. I wouldn't say all children would enjoy it - it's not very interactive.,August 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
