title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Flew Delta Airlines International and it was GREAT,"I contacted Delta airlines reference my points. The customer service representative worked with me setting up a perfect vacation flight to Greece for 3-weeks. On my time schedule. Everything was great. Flights were all on time. The aircraft and attendants were helpful and courteous. Comfortable seats. I paid a little extra for the Comfort+. I highly recommend Delta for both domestic and international trips. Yes, I travel a lot!!!!",October 2019,Delta Air Lines,https://www.tripadvisor.com/Airline_Review-d8729060-Reviews-Delta-Air-Lines,World,flights,5.0,4.0
Worth every moment,"I wrote an excellent review for the Acropolis, which included the two theaters in the beginning and then all the structures above. If you enjoy history and the wonders of the world then you want to visit this location. I took a guided tour because there is so much to hear and learn. Truly amazing! Visit the Acropolis Museum to truly understand the beauty and ancient artifacts. It is a modern and comfortable museum.",October 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
AMAZING! Both day and night.,"Who doesn’t want to see the most amazing ancient temple in the world? So much history here and it is hard to comprehend how it was achieved. The climb was steep, but just take your time. Make sure you have good shoes with traction. The marble can be slippery. Wet or dry. I used a guide for this one. Just too much history to miss. “Athens Walking Tours” is excellent. They have a large variety of tours and are inexpensive. I took the “5-hour” tour for 99 Euro. 30 of that covered the tickets. It covered parts of Athens (Plaka), Changing of the Guard for the Tomb of the Unknown Soldier at Parliament, National Garden, Acropolis, the Museum, and other sites. Worth every penny. Just check their website carefully to make the right selection for you. Make sure you visit the Acropolis Museum afterwards so you can truly understand the splendor of the ancient Acropolis. This incredibly spacious, modern, and comfortable museum houses wonderful artifacts and also explains the reconstruction efforts.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Worth every moment,"I toured the Acropolis and almost skipped the museum. I am so glad I decided to go inside. It seemed too busy, but the entry was timely and easy. The entire staff was friendly and even humorous at times. I really enjoyed the entrance way movie. The building and layout was beautiful and well maintained. Very spacious. The artifacts were incredible. It really helped me visualize the true ancient Acropolis. I also enjoyed the restaurant and outside balcony where I could again observe the Acropolis. Great job, Greece!!",October 2019,Skip the Line: Athens New Acropolis Museum Ticket,https://www.tripadvisor.com/AttractionProductReview-g189400-d12835132-Skip_the_Line_Athens_New_Acropolis_Museum_Ticket-Athens_Attica.html,"Athens, Greece",activities,5.0,4.5
Excellent guided tour.,"I usually visit sites in my own, but I felt this 5 hour tour of the Acropolis, Acropolis Museum, Changing of the Guard at the Tomb of the Unknown Soldier and other sites in Athens would be worth it, and it was. After all, this is a big part of history for our western civilization. The 99 eu tour included 3 tickets valued at 36 eu. Athens Walking Tour was very accommodating and our group did not encounter any problems. We actual had a good time together.

Our tour guide was Evita (I hope I got that right.) and she was wonderful. Very knowledgeable and personable. She spoke very loudly and clear. Her sense of humor was awesome. She turned this into more than a sight seeing tour. It was a trip through history.",October 2019,Athens Walking Tours,https://www.tripadvisor.com/Attraction_Review-g189400-d644888-Reviews-Athens_Walking_Tours-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent Turkish & Mediterranean Food,"We have been to this cozy restaurant in Cary, NC several times. The food is excellent right along with the service. They use perfectly blended spices and herbs on their grilled kabobs, meats, and chicken. Try the lamb and Gyros. I read a review that said the food is bland. It is not. It is perfectly seasoned. Even the salads. This is coming from a traveler who has eaten local foods throughout several Mediterranean and Middle Eastern countries. This is a stylish restaurant where you can go to eat and relax. Feel free to dress casually. My favorite is the Cigar Bourek as an appetizer and the Mixed Grill Kabob followed by perfect Baklava. Not too sweet. The salads and bread are delicious. Did I say, bread. Careful not to fill up before your order arrives. It is addictive. Have some hot Turkish tea instead of coffee. The menu is very descriptive, but don’t be shy about asking your server how each dish is prepared. Enjoy! We do.",October 2019,Bosphorus Restaurant,https://www.tripadvisor.com/Restaurant_Review-g49007-d595190-Reviews-Bosphorus_Restaurant-Cary_North_Carolina.html,"Cary, North Carolina",restaurants,5.0,4.5
Fun Place for Our Grandchildren,"We have been taking our grandchildren here for years. So much to see and do, and everything is well done and clean. Entry cost is minimal and security is tight. Plus they have added new attractions such as the mini golf play area. There has been a drastic improvement in the restaurant. The food was always okay, but now it is fairly delicious. The gift shop is rather large and fantastic. Let the kids test their science skills and taste buds. Occasionally, we will go to the adjoining IMAX movie theater. They have super sized movies for both children and adults. Day and night. Each of the unique play areas are closed in and offer children different realistic and colorful challenges.

Across the street is the newly renovated Moore’s Square. A great place to run around. You can also visit the nearby NC Museum of Natural History. There are also a few highly rated restaurants within walking distance.",August 2019,Marbles Kids Museum,https://www.tripadvisor.com/Attraction_Review-g49463-d149465-Reviews-Marbles_Kids_Museum-Raleigh_North_Carolina.html,"Raleigh, North Carolina",attractions,5.0,4.5
Worth the Visit - Delicious,"This is your traditional Greek restaurant, but stylish. Nice relaxing atmosphere and our waitress was very friendly and helpful. The food was delicious. If you think you have had a good Gyro wrap you might want to try one here. My wife loved her Pastitsio (Greek lasagna) and sautéed vegetables. The Baclava cheesecake was insane. Calamari was pretty good. I loved the sauce. The Greek Sangria includes brandy. It will grow on you after the second glass. We will be back to try other dishes.",October 2019,Taverna Agora,https://www.tripadvisor.com/Restaurant_Review-g49463-d444938-Reviews-Taverna_Agora-Raleigh_North_Carolina.html,"Raleigh, North Carolina",restaurants,5.0,4.5
Nasty location,"Man, is this place nasty. Typical KFC food that was okay. Service was good. However, it was 3:00pm and only a handful of customers. Most every table was dirty, to include the floor. The trash receptacles were overflowing, and the bathroom was filthy. There was even trash in the parking lot. I noticed the same conditions when I was there several months ago. I can’t imagine what the back kitchen area is like. I’ll skip this location in the future.",September 2019,KFC,https://www.tripadvisor.com/Restaurant_Review-g49153-d4398343-Reviews-KFC-Garner_North_Carolina.html,"Garner, North Carolina",restaurants,1.0,2.5
Great Seafood & Service,"This is some seriously delicious seafood. The King crab legs were incredible. The meat was firm and sweet. The shrimp, sausage, potatoes and corn were perfect. All in a big bag with our choice of spices and heat. We got the cajun, garlic, butter and lemon mixed with medium heat. They thought medium was hot. We didn’t. I was also surprised at the cheesecake. Who would have thought it would be that good in a rugged looking seafood restaurant. The service was outstanding. The manager even came over and helped one of us break and clean the crab legs. What a sweetheart. We will be baaaack.",September 2019,Raleigh Crab House,https://www.tripadvisor.com/Restaurant_Review-g49463-d14267808-Reviews-Raleigh_Crab_House-Raleigh_North_Carolina.html,"Raleigh, North Carolina",restaurants,5.0,4.5
Great Food & Service,We go here several times a year. The menu is of course unique but more importantly everything is delicious. All the servers are friendly and helpful. Prices are reasonable. It is also located in an interesting part of downtown Raleigh. Well worth the visit. You will want to come back.,September 2019,Sitti,https://www.tripadvisor.com/Restaurant_Review-g49463-d1216446-Reviews-Sitti-Raleigh_North_Carolina.html,"Raleigh, North Carolina",restaurants,5.0,4.5
Excellent Atmosphere & Food,"We just tried both of the main soups and they were okay. It is just us. Give them a try since they are popular entrees. Surprisingly, the chicken wings were incredible. Large, twice fried and the sauces were out of this world. We like the unique ambiance and the servers are very helpful and friendly. A big plus. We have eaten there in the past and enjoyed both meals. This is one of the restaurants you visit and it becomes memorable. If you are not there for lunch or dinner within the first 15 minutes they open you might want a reservation. A lot of people love this place. We do. After eating, take a stroll around the remodeled park and relax.",September 2019,Bida Manda,https://www.tripadvisor.com/Restaurant_Review-g49463-d3471247-Reviews-Bida_Manda-Raleigh_North_Carolina.html,"Raleigh, North Carolina",restaurants,5.0,4.5
Incredible food and service for a local restaurant,"We have been going to this new location since they opened. The unique dishes, service, and atmosphere are always excellent. This is a surefire place to go for fun and food. Or just to have a drink and relax. As a couple or with a small group. There is outside sitting as well.",May 2019,Simple Twist,https://www.tripadvisor.com/Restaurant_Review-g49153-d6673341-Reviews-Simple_Twist-Garner_North_Carolina.html,"Garner, North Carolina",restaurants,5.0,4.5
Excellent location for food and fun,"We have been going to the White Oak location for several years. The food, service, and atmosphere are always excellent. The few times there was a problem, the servers or the managers made it right. Ignore the negative comments. Nothing is perfect. But, this is as close as you can get. Time after time. This is a surefire place to go for fun and food. As a couple or with a large group.",May 2019,Buffalo Wild Wings,https://www.tripadvisor.com/Restaurant_Review-g49153-d882660-Reviews-Buffalo_Wild_Wings-Garner_North_Carolina.html,"Garner, North Carolina",restaurants,5.0,3.5
Excellent food and service,"If you want an experience, or show off for your friends, go there. Lunch or dinner. The buffet alone is incredible, but we enjoy having them come to our table every several minutes with different meats. All cooked to perfection. It can be a little expensive, but like the Angus Barn, worth every penny. Treat yourself.",December 2018,Brasa Brazilian Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g49463-d840048-Reviews-Brasa_Brazilian_Steakhouse-Raleigh_North_Carolina.html,"Raleigh, North Carolina",restaurants,5.0,4.0
"Excellent food, service and atmosphere","I heard a lot about the Angus Barn and we finally stopped in. First, you get to experience a very unique decor. Then comes some of the best service and food you will find in the Raleigh area. The steaks areveverything you hear about... Delicious! The service is first rate and the prices are far lower than I expected. This was a great dinning experience for a night out or a family get together.",December 2018,The Angus Barn,https://www.tripadvisor.com/Restaurant_Review-g49463-d444972-Reviews-The_Angus_Barn-Raleigh_North_Carolina.html,"Raleigh, North Carolina",restaurants,5.0,4.5
Excellent atmosphere and food.,We went there twice and sat in the decorated garden by the outside bar. Great food and service. The camel and the beef were delicious. Service and prices were just as welcomed.,March 2019,Cote Jardin,https://www.tripadvisor.com/Restaurant_Review-g293823-d6654344-Reviews-Cote_Jardin-Niamey.html,"Niamey, Niger",restaurants,5.0,4.0
