title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
1st visit since lockdown,"This was my first visit after lockdown. Have been looking forward to this treat since before lockdown and my daughters and I were not disappointed. Still the great quality that we expect from Cup. They did everything right to protect their customers and staff. Hand sanitiser temp check as you enter and tables socially distanced. Well done Cup. As always your staff were lovely, well organised and a credit to your organisation. Thank you. We will be back",August 2020,Cup Tea Rooms,https://www.tripadvisor.com/Restaurant_Review-g186534-d3140044-Reviews-Cup_Tea_Rooms-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.5
Well organised,"We visited the West Kirk on Sunday night. The changes that have been put in place to mitigate the effects of Covid 19 are working well and have been well thought out. With hand sanitiser at the entrance, one-way system of entry, staff wearing facemasks and contact details taken when we ordered the food. We felt safe in the knowledge that the staff were working well to safeguard our health and their own making our visit safe and relaxed. Well done West Kirk I will be back again.",July 2020,The West Kirk,https://www.tripadvisor.com/Restaurant_Review-g186574-d1929319-Reviews-The_West_Kirk-Ayr_South_Ayrshire_Ayrshire_Scotland.html,"Ayr, United Kingdom",restaurants,5.0,3.5
Good atmosphere,"Lovely comfortable surroundings, The staff are very helpful and the food is great. It has a well stocked bar and well worth a visit if you are in Funchal",January 2020,The Prince Albert Pub,https://www.tripadvisor.com/Restaurant_Review-g189167-d1751904-Reviews-The_Prince_Albert_Pub-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",restaurants,4.0,4.0
Great place for a holiday,"I went to the Casino Park to celebrate my birthday. I had a fatastic time. The staff were lovely, welcoming and very well trained. The Hotel is an iconic building designed by renowned architect Oscar Niemeyer. It has the most amazing infinity pool and gardens. The breakfast buffet is one of the best I have seen. It is well placed for the centre of Funchal. I would also like to thank the staff for making my birthday special. The hotel sent me a bottle of Champagne to celebrate with and the gift was much apprciated. So please Casino park thank you for making my holiday so very special. Your staff are exemplary.",January 2020,Pestana Casino Park,https://www.tripadvisor.com/Hotel_Review-g189167-d240878-Reviews-Pestana_Casino_Park-Funchal_Madeira_Madeira_Islands.html,"Madeira, Portugal",hotels,5.0,4.0
First visit to the Hard Rock,"First visit to the Hard Rock Cafe in Athens although I have been to a few other. The staff were welcoming and helpful. We had the local legend burger which was very tasty. This a great place to drop into if you have had a busy day sightseeing. Replenish your fluids with one of their beers, they are cool and refreshing and as with all the Hard Rock Cafes the music is good",December 2019,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g189400-d7786368-Reviews-Hard_Rock_Cafe-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Great to be back,We first visited the Acropolis many years ago when you could still walk inside the Parthenon. It was great to see how the site is being restored. The views from the Acropolis are stunning especially if you are there when the sun begins to set. Amazing place well worth a visit,December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing place,This museum is well worth a visit for the artefacts alone but don’t miss the restaurant it has great views and great food. The staff were friendly and helpful. This place is a must for anyone visiting Athens,December 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Crazy decor,"What can I say, crazy Christmas decor but great food and welcoming staff. Really enjoyed ourselves and sometimes you have to try something new",December 2019,Little Kook,https://www.tripadvisor.com/Restaurant_Review-g189400-d9710322-Reviews-Little_Kook-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
Amazing place,"I have to say I was well impressed with the HRH Tenerife. The hotel was everything I expect of a Hard Rock Hotel. The staff were amazing and nothing was too much trouble for them. The hotel was clean, comfortable and welcoming. You made our holiday great. Thanks",April 2019,Hard Rock Hotel Tenerife,https://www.tripadvisor.com/Hotel_Review-g315919-d4341700-Reviews-Hard_Rock_Hotel_Tenerife-Adeje_Tenerife_Canary_Islands.html,"Tenerife, Spain",hotels,5.0,4.5
No Complaints,Long flight but we were well entertained with the videos on board. Truth be told the flight was so smooth I slept a big part of the way so no complaints from me,December 2018,British Airways,https://www.tripadvisor.com/Airline_Review-d8729039-Reviews-British-Airways,World,flights,5.0,3.5
