title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great holiday apartments,"Had a fabulous 10 days here. Managing to check out 2 rooms cheekily! Room 1 was a Seaview apartment, open plan bed/kitchenette and a bathroom. It was lively and clean with everything you could need for a stay. With a balcony overlooking the sea it couldn't get better! The 2nd room we had was perfect! A living/kitchenette area, seperate bathroom and bedroom. Again nice and clean and balcony was great for an evening just chilling with the noise from the front dulled down enough to enjoy but not intrude. Best showers I've had in the area power and temperature wise! Property is in the best location, easy to get to and from with shops, bars, tavernas right on the step! I can't wait to go back there!",September 2020,Alkionides Boutique Apartments,https://www.tripadvisor.com/Hotel_Review-g13199545-d8035654-Reviews-Alkionides_Boutique_Apartments-Polychrono_Kassandra_Halkidiki_Region_Central_Macedon.html,"Polychrono, Greece",hotels,5.0,4.5
Favourite place in the world,"I first visited this place 11 years ago. Its so good, if I'm in the area I always eat here! Nikos and Yiannis are the owners and such a pair of chilled out, laid back dudes! If you're lucky you may get one of Yiannis' 2 parrots to pose with you for pictures whilst waiting for your food! The bourgiourdi is the BEST I've ever had anywhere and the food on the whole is great. Staff are lovely and friendly and the place is just fabulous! Steak is awesome! Mind you, I've never had a bad meal or experience there!",September 2020,Flegra Tavern,https://www.tripadvisor.com/Restaurant_Review-g13199545-d3321909-Reviews-Flegra_Tavern-Polychrono_Kassandra_Halkidiki_Region_Central_Macedonia.html,"Polychrono, Greece",restaurants,5.0,4.5
What a find!,"OK, so I already googled the best place to eat in Afytos and knew this was number 1. I didn't try and find it though, so when we accidentally happened upon it whilst just mooching about i was super happy! The food was just beautiful. The staff brilliantly amazing. A must order is the Mediterranean salad, the mozzarella balls were DELICIOUS! We also had the fried courgette and a chicken dish whose name escapes me but it was sautéed with mushrooms! All utterly fabulous and such a bargain price. We weren't rushed at all and left to it, although that could have been because everywhere in the area was super quiet. I wish I could eat here every day and will definitely return next time we're in the area! Stay fabulous!",September 2020,The Old Remezzzo (To Palio Rementzo),https://www.tripadvisor.com/Restaurant_Review-g663143-d12502179-Reviews-The_Old_Remezzzo_To_Palio_Rementzo-Afitos_Kassandra_Halkidiki_Region_Central_Mac.html,"Afitos, Greece",restaurants,5.0,4.5
Surprise birthday song,Loved this little place. Food was flavour some and tasty. We had set menu A I think which was 3 courses for 16£ which is bargainous! The staff were super friendly and helpful! Not only that but they sang me happy birthday and I got icecream with a candle in it!! Fabulous night!,February 2020,New Treasure City,https://www.tripadvisor.com/Restaurant_Review-g186332-d8673015-Reviews-New_Treasure_City-Blackpool_Lancashire_England.html,"Blackpool, United Kingdom",restaurants,4.0,4.5
You might die of thirst,"This place is a brilliant building but it needs an overhaul of 90% of the staff. After waiting an age for a drink (20 mins I think) as there was not enough staff, the ones that were there were more interested in chatting to each other than serving the customers. I appreciate it was busy but even so.

I know wetherspoons is cheap but the service really left a lot to be desired.",February 2020,The Velvet Coaster,https://www.tripadvisor.com/Restaurant_Review-g186332-d8054577-Reviews-The_Velvet_Coaster-Blackpool_Lancashire_England.html,"Blackpool, United Kingdom",restaurants,3.0,4.0
Best place I've stayed,"This little gem is tucked away just of the seafront, but loads further north than I would normally stop. Happy we chose how we did! The place is clean, more modern than any other bnb I've stayed in. Not only that, everything worked! Shower had great pressure and hot water! Breakfast was included also and delicious! I'd 100% recommend here! The owners were so friendly, nothing was a problem or too much trouble!

This is why we are going back again later this year!!",February 2020,The Middleton,https://www.tripadvisor.com/Hotel_Review-g186332-d589974-Reviews-The_Middleton-Blackpool_Lancashire_England.html,"Blackpool, United Kingdom",hotels,5.0,5.0
Great chinese food,"Lovely Chinese restaurant. Clean, friendly staff who were very willing to assist (although it might have been as they were quiet!). Averagely priced we thought but portions were massive! Everything was freshly cooked and so utterly tasty it was a pleasure to eat there!",December 2019,Wabi Sabi,https://www.tripadvisor.com/Restaurant_Review-g189400-d8085059-Reviews-Wabi_Sabi-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Delicious!,"Loved this place! Open late we didn't get there until about 11pm, so we were grateful! Food was cheap and so tasty and the service was fantastic!",December 2019,Gefstiki Gonia,https://www.tripadvisor.com/Restaurant_Review-g189400-d4794359-Reviews-Gefstiki_Gonia-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
AWESOME,"Just mind blowing really. I loved wandering around this place as it just oozes history and to watch the people still working on it, excavating and rebuilding was magic",December 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Very interesting,"Just mind blowing really. I loved wandering around this place as it just oozes history and to watch the people still working on it, excavating and rebuilding was magic",December 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
