title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Sound of the waves helps the appetite,We had several meals [and drinks] at Mariners and found the service to be good and the meals tasty and good value. Pretty standard beach front menu. I would recommend their Prawn Curry. The real attraction of Mainers is the relaxed ambiance one only finds on the beach.,November 2020,Mariners Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1755057-d1755058-Reviews-Mariners_Restaurant-Marina_Beach_KwaZulu_Natal.html,"Marina Beach, South Africa",restaurants,4.0,4.0
not up to expectations,"We had noticed the lodge on several occasions and decided to stop over on our way back from the coast. First impression was good but the so called luxury two bedroom cottage did not live up to expectation. Rooms are cramped but a large bathroom. Unfortunately the shower was below standard. Not good value for the money.
The Bar has some unique wood features and the barman was helpful. Unfortunately the bar stools are extremely uncomfortable. Nice vibe overall.
We had dinner, my wife having the Chicken Pie while I had the Eisbein. Both were really very good.
It was raining at the time and the walk back to the Rondavel was unpleasant. Very poor lighting and we came close to falling on the uneven surface.
Unfortunately the noise from the N3 is very intrusive.",November 2020,Lala Nathi Country Guesthouse,https://www.tripadvisor.com/Hotel_Review-g661422-d660861-Reviews-Lala_Nathi_Country_Guesthouse-Harrismith_Free_State.html,"Harrismith, South Africa",hotels,3.0,4.5
Not your usual Eisbein.,"We were a group of four for dinner. Setting overlooking the lagoon created a peaceful relaxed ambiance. All meals were perfectly prepared but I must make special mention of their Eisbein. Now, forget anything you know about traditional German style Eisbein because this was something special.
It was as if the Chef was given a challenge to prepare the Pork Shank in a unique way tossing aside the recipe book.
Its hard to describe but it was prepared in much the way one would slow roast a lamb shank; soft, delicious with unique herbs and spices yet retaining the crisp crackling.
Superb interpretation of a popular dish.",November 2020,Lagoon Resaurant,https://www.tripadvisor.com/Restaurant_Review-g1441360-d22774235-Reviews-Lagoon_Resaurant-Southbroom_Margate_KwaZulu_Natal.html,"Southbroom, South Africa",restaurants,4.0,3.0
magnificent setting,Accommodation [three bedroom villa] was excellent. All rooms had their own en suite bathroom. Well equipped kitchen area and a large patio with braai facilities. The gardens and golf course are exceptional. We had breakfast/lunch at the Club house on several occasions and found the the food to be of a high standard and very reasonably priced.,November 2020,San Lameer Villa Rentals 2908,https://www.tripadvisor.com/Hotel_Review-g1187823-d854997-Reviews-San_Lameer_Villa_Rentals_2908-San_Lameer_KwaZulu_Natal.html,"San Lameer, South Africa",hotels,5.0,4.0
These are 'wild' animals; not a Zoo.,"Sadly the tar roads have deteriorated even further with some rather deep potholes that could immobilise a vehicle. Overall still a wonderful wild life experience. Driver/tourist education really does need serious attention especially when it comes to blocking both sides of the road and not leaving escape routes; we are dealing with dangerous animals. At one stage a Rhino and her calf felt threatened by the cars surrounding her and she reacted by ramming our car.
It's hard to describe how powerful these creatures are and if she had not been dehorned we would have been in serious trouble.",October 2020,Pilanesberg National Park,https://www.tripadvisor.com/Attraction_Review-g312652-d2561640-Reviews-Pilanesberg_National_Park-Sun_City_Moses_Kotane_Local_Municipality_North_West_Pro.html,"Sun City, South Africa",attractions,4.0,4.5
such a pity that Covid has put a damper on things..,"We arrive a little early and because of Covid regulations had to have drinks at the pool area while waiting to be seated. As a small group we had prawns, Kingklip and what I think was dorado as main courses. All cooked perfectly. The starters were tasty and the crumbed deep fried prawns were superb. Good service; enjoyable evening.",October 2020,Ocean Basket Sun City,https://www.tripadvisor.com/Restaurant_Review-g312652-d8817766-Reviews-Ocean_Basket_Sun_City-Sun_City_Moses_Kotane_Local_Municipality_North_West_Provinc.html,"Sun City, South Africa",restaurants,4.0,4.0
Impressive..,we dropped in for breakfast. Service was prompt and attentive. Our breakfasts were served without any delays and were exactly as requested. Surprisingly inexpensive for such a well run place. The view form the terrace is exceptional. Well worth a visit [or two].,October 2020,The Gary Player Country Club Restaurant,https://www.tripadvisor.com/Restaurant_Review-g312652-d1725867-Reviews-The_Gary_Player_Country_Club_Restaurant-Sun_City_Moses_Kotane_Local_Municipality_.html,"Sun City, South Africa",restaurants,4.0,4.0
Supposed to be 'the' eatery at Sun City Hotel,"We were a party of four during the week. We had booked but found the place was only partially full. Initial service was inexplicably on the slow side and we had to wait for drinks to arrive. Two ordered the half chicken peri-peri with a side of vegetables. The chicken was perfectly cooked and juicy and the vegetables done to perfection.
The order of oxtail was a bad mistake. Served without any form of gravy , dry and not adequately cooked.
The lamb curry, while really tasty, had too many poorly cut pieces of meat with sharp edges. I eventually caught the attention of the waiter and explained that the rice was cold. I was told ""oh, I'll tell the chef"".
We tried ordering more drinks and finally gave up and asked for the bill. It took nearly thirty minutes and arrived as we were about to walk out.
You cannot charge upmarket prices and pay so little attention to customer needs and expectations.",October 2020,Legends,https://www.tripadvisor.com/Restaurant_Review-g312652-d9828212-Reviews-Legends-Sun_City_Moses_Kotane_Local_Municipality_North_West_Province.html,"Sun City, South Africa",restaurants,2.0,3.5
What Pilgrim's Rest used to be....,"Haenertsburg is a tiny village close to Magoebaskloof lined with several eateries and curio shops. There are a number of old wood and iron mine houses that can be rented. Unlike Pilgrims Rest you are not harassed by 'car guards' so strolling around the village is pleasant. The Iron Crown Pub was our choice as they serve a good craft beer called Zwakala. They serve some quite exotic Burgers and the smell of the curries being eaten at a nearby table had me salivating.
Clearly popular with visitors from the surrounding areas.",March 2020,The Iron Crown Pub & Bistro,https://www.tripadvisor.com/Restaurant_Review-g312615-d6593938-Reviews-The_Iron_Crown_Pub_Bistro-Haenertsburg_Magoebaskloof_Limpopo_Province.html,"Haenertsburg, South Africa",restaurants,4.0,4.0
Magnificent setting,"The Hotel is one of those strange establishments we find hidden in out of the way places in South Africa. Old world charm, great pub, stunning views. We spent three days relaxing and visiting the area and could not have chosen a better place. Staff are old school, polite, attentive and genuinely proud of their Hotel.
It does have some faults. Bedrooms, while comfortable and clean, do need upgrading. Towels are past their sell by date.
Menu is good but a bit pretentious. The manager, Jayden, went out of his way to ensure that our stay was enjoyable and promptly attended to the few minor hitches we encountered.
Great place for a relaxing stay.",March 2020,Magoebaskloof Hotel,https://www.tripadvisor.com/Hotel_Review-g1511524-d1163133-Reviews-Magoebaskloof_Hotel-Magoebaskloof_Limpopo_Province.html,"Magoebaskloof, South Africa",hotels,4.0,4.0
not up to expectation,"We had read many favourable reviews visited Beaver Creek. The coffee, for which they are well known, is provided in self serve pump urns and did not do the various brews any justice. I personally don't like tepid coffee. Service was below par and the breakfast was bland and average at best.",February 2020,Beaver Creek Coffee Farm,https://www.tripadvisor.com/Attraction_Review-g950941-d3654325-Reviews-Beaver_Creek_Coffee_Farm-Port_Edward_KwaZulu_Natal.html,"Port Edward, South Africa",attractions,3.0,4.0
Pity its not closer to home!,"Amazing choice of home style delicacies displayed over a large area. You'll be really spoiled for choice. They seem to have sourced Jams, Pickles from all over the country. Price a touch on the high side but quality is apparent. They serve a very good breakfast. Efficient, prompt service. Highly recommended.",February 2020,Mac Bananas,https://www.tripadvisor.com/Restaurant_Review-g950941-d12448213-Reviews-Mac_Bananas-Port_Edward_KwaZulu_Natal.html,"Port Edward, South Africa",restaurants,4.0,4.0
Old style country hotel,The Hotel is old and it shows; but that's part of its attraction. The Pub has the right welcoming feel as has the dining room. We have eaten there many times over the years and were disappointed on this occasion but hopefully this this was an aberration. The regular travelers who use the hotel as their pit-stop have created a unique atmosphere and the donkey that visits the Pub in the evening is a great focal point. Management and staff are friendly and helpful.,February 2020,Green Lantern Inn Hotel & Gardens,https://www.tripadvisor.com/Hotel_Review-g1593205-d3299812-Reviews-Green_Lantern_Inn_Hotel_Gardens-Van_Reenen_KwaZulu_Natal.html,"Van Reenen, South Africa",hotels,4.0,4.5
Wonderful setting.,"We had a two bed roomed unit in Tortuga for a week and would definitely go back again. Comfortable, clean unit set in a very pleasant garden setting with access to a swimming pool. Furniture and TV need updating and unfortunately Wi-Fi is non existent. The estate gardens are immaculate and the walks to the river and the beach take you through the lush coastal foliage. Short drive to the Wild Coast Casino.
Staff , on all levels, were efficient and professional.",February 2020,Caribbean Estates,https://www.tripadvisor.com/Hotel_Review-g950941-d14450690-Reviews-Caribbean_Estates-Port_Edward_KwaZulu_Natal.html,"Port Edward, South Africa",hotels,5.0,4.0
Probably the best in Port Edward,"We ate there on two occasions and were impressed by the general 'feel' of the place and the good service. They have a Pub area, a dining area and an outside area with a wood fired Pizza oven. Food was good and inexpensive by City standards. Lamb curry was enjoyable but one of the peri-peri liver starters was a let down as it had a curry base. We had only one gripe and that was because the Pub area [which I favoured] allowed smoking. I queried this but it appears that smoking is condoned by management.",February 2020,Spuds Pub & Grill,https://www.tripadvisor.com/Restaurant_Review-g950941-d14149459-Reviews-Spuds_Pub_Grill-Port_Edward_KwaZulu_Natal.html,"Port Edward, South Africa",restaurants,4.0,4.5
Grubby offset by excellent service,"Pub that is clearly popular with the locals and an outside deck with a view. The young man who served us was really very good; attentive and helpful. I'm sorry I can't remember his name. Food is traditional ""pub"" style with generous portions. It's just a pity that their house-keeping is not up to standard. Scruffy fans and generally dusty and in need of a good scrubbing. They deserve a better rating.",February 2020,Dolphin Pub & Grill,https://www.tripadvisor.com/Restaurant_Review-g3501821-d10083185-Reviews-Dolphin_Pub_Grill-Glenmore_Beach_Port_Edward_KwaZulu_Natal.html,"Glenmore Beach, South Africa",restaurants,3.0,4.0
Wish there was a rating for 'Good',"We enjoyed our visit and definitely would rate it as being 'good' but not deserving of ""very good'. The upper deck requires placing drinks orders at the Bar so service can't really be rated. Good crowd and a pleasant family vibe. Meals are served on the deck but after a few drinks we opted to eat downstairs. The toilet facilities on the deck need sprucing up. Service was prompt and efficient and the 'jumbo' hake lived up to expectations. Worth visiting.",February 2020,Blue Lagoon Restaurant,https://www.tripadvisor.com/Restaurant_Review-g661609-d3404382-Reviews-Blue_Lagoon_Restaurant-Ramsgate_Margate_KwaZulu_Natal.html,"Ramsgate, South Africa",restaurants,4.0,4.0
Deck with views of the beach,Nice setting and while the place was not full it had a pleasant vibe. The food being served at around our table looked good and seemed to be well received by the patrons. That's the good side. We finally attracted the attention of one of the many waiters and asked for menus and drinks and were told that 'our' waiter would be with us shortly. And so it went. Service was abysmal and what should have been a pleasant lunch time turned into a disaster. Possibly the worst service we had on the South Coast.,February 2020,Vertigo's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g312605-d17461567-Reviews-Vertigo_s_Restaurant-Scottburgh_KwaZulu_Natal.html,"Scottburgh, South Africa",restaurants,2.0,4.0
GREAT OVERVIEW OF ATHENS,The best way of getting a general 'feel' of the City. Recommend that you study the route map before hand so that you know the stops at the points you find interesting. Would give an excellent rating but for two faults. 1. The sign writing on the windows obscures the view and 2. the sound system was inaudible.,October 2019,City Sightseeing Athens & Beach Riviera Hop-On Hop-Off Bus Tour,https://www.tripadvisor.com/AttractionProductReview-g189400-d11448070-City_Sightseeing_Athens_Beach_Riviera_Hop_On_Hop_Off_Bus_Tour-Athens_Attica.html,"Athens, Greece",activities,4.0,4.0
more of a baggage carrier..,"The airline allows 23KG in economy plus carry on luggage. We have never seen so many passengers blatantly carrying oversize luggage and forcing it into the overhead load areas. The crew allowed some passengers to put bags under the seats!
The seats were cramped and on some of our flights had faulty adjustments. Cabin crew were surly.
Ground crew in Cairo were very rude and not at all helpful. We will rather pay bit more and select another carrier.",October 2019,EGYPTAIR,https://www.tripadvisor.com/Airline_Review-d8729067-Reviews-EGYPTAIR,World,flights,2.0,3.5
most beaches are private,"We live in South Africa where paying to use our [magnificent] beaches is unknown so the European norm is alien to us. Fortunately the better Hotels have private sections of the beach allocated for their use. Warm,clear water with not a wave in sight.",October 2019,Stegna Beach,https://www.tripadvisor.com/Attraction_Review-g1175544-d6922977-Reviews-Stegna_Beach-Archangelos_Rhodes_Dodecanese_South_Aegean.html,"Rhodes, Greece",attractions,3.0,4.5
