title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great way to get to the airport.,We scheduled our ride with Aris the evening before we left and our driver was on time and had a vehicle that was big enough for the three of us and our luggage. It was also a very comfortable vehicle.,September 2019,My Athens Transfers,https://www.tripadvisor.com/Attraction_Review-g189400-d9846275-Reviews-My_Athens_Transfers-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Wonderful place to visit,It is amazing that things have been there this long. It is very crowded and you need to be very careful because the walkway is mostly old marble stones and very slippery.,September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Nice new museum,The museum is very large and you really needs a guide to enjoy it. There is some much there but unless you are very knowledgeable about the local history it is overwhelming. It is also very crowded.,September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Nice Hotel,The staff was very friendly and helpful. The food was good but expensive. The view from the roof restaurant was beautiful at night but partially blocked. Why do Europeans not have wash cloths in the bathrooms ?,September 2019,Divani Palace Acropolis,https://www.tripadvisor.com/Hotel_Review-g189400-d230391-Reviews-Divani_Palace_Acropolis-Athens_Attica.html,"Athens, Greece",hotels,4.0,4.0
Great way to see Athens in a day,Stavros was our driver and he was great. He was on time to pick us up and was very informative. My only disappointment was that when we visited the Acropolis Museum we really needed a tour guide.,September 2019,Olive Sea Travel,https://www.tripadvisor.com/Attraction_Review-g189400-d12858625-Reviews-Olive_Sea_Travel-Athens_Attica.html,"Athens, Greece",attractions,4.0,5.0
Very Convenient,We had all day to kill time in Tampa and it was rainy and a Sunday but we found out that the Tampa Airport Marriott has a day rate that is good up until 6PM. So we had a room with 2 beds and a view of the planes on the runways and a TV and Wifi plus we were right at the airport so we could keep track of our flight and it was very easy to check-in from where we were.,February 2018,Tampa Airport Marriott,https://www.tripadvisor.com/Hotel_Review-g34678-d85906-Reviews-Tampa_Airport_Marriott-Tampa_Florida.html,"Tampa, Florida",hotels,5.0,4.5
I couldn't believe my eyes,We were at the airport and looking for a place to eat lunch when we saw the Hard Rock. It had a Rock Shop and the menu had everything a normal Hard Rock would have.,February 2018,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g34678-d10745359-Reviews-Hard_Rock_Cafe-Tampa_Florida.html,"Tampa, Florida",restaurants,4.0,3.5
Check-in early or you lose,"Thank goodness it was a short flight, I was busy 24 hours before my flight and got a high boarding number so I ended up with a middle seat.",August 2017,Southwest Airlines,https://www.tripadvisor.com/Airline_Review-d8729156-Reviews-Southwest-Airlines,World,flights,3.0,4.5
Great Location but TINY bathroom,The hotel is located in a great location and the room was clean and comfortable but the bathroom should be in a TINY house. There was nowhere to put anything on the sink and the shower had a shower curtain because there wouldn't have been room for the toilet if it had walls. The outside noise came right trough the windows and doors and it is a noisy area. But overall it really wasn't too bad.,August 2017,Hotel Union Square,https://www.tripadvisor.com/Hotel_Review-g60713-d81520-Reviews-Hotel_Union_Square-San_Francisco_California.html,"San Francisco, California",hotels,3.0,4.0
Good food at a reasonable price,The restaurant is not a typical looking place but the food is good and the prices are reasonable. I ate both breakfast and dinner at the restaurant and was happy with the food and the service. I would consider this a good place to eat. It is not fancy but good.,August 2017,Tad's Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g60713-d378168-Reviews-Tad_s_Steakhouse-San_Francisco_California.html,"San Francisco, California",restaurants,4.0,4.0
