title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Full of beautiful Delphi artefacts,Entrance is included with the Delphi ticket. A museum full of artefacts that have been unearthed from the Delphi site. Lots of information as you walk around and sometimes lots of tour groups that just take over but you can get away from them if you want. Staff were very friendly and very helpful. Look at the way the statues and pediments were created - the workmanship is unbelievable considering how long ago they were created.,September 2019,Delphi Archaeological Museum,https://www.tripadvisor.com/Attraction_Review-g189408-d199057-Reviews-Delphi_Archaeological_Museum-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,5.0,4.5
Temples and Scenery PLUS,"I did an organised tour which included Delphi - home of The Oracle - and our guide was excellent and very informative. The temples and the scenery are spectacular - and as she told us the history and stories that went with it, my imagination took off and Delphi came back to life. It is a bit of a hike up through the ruins but if you take your time it's fine. The Theatre is further up the hill and then the Stadium is further up lots of stairs. There is a museum before the entrance at the bottom and that has the famous Charioteer of Delphi. The museum is included in the ticket price. We did not hike down the hill to see the Temple of Athena - but after viewing it from afar I would suggest that if you are not on a tour take the time to visit.",September 2019,Delphi,https://www.tripadvisor.com/Attraction_Review-g189408-d523823-Reviews-Delphi-Delphi_Phocis_Region_Central_Greece.html,"Delphi, Greece",attractions,5.0,5.0
Incredible history,"Incredible, magnificent, unbelievable - what more can you say? Definitely a must see if you plan on visiting Athens but try and avoid the hot times of the day and most of the crowds. Early morning or late afternoon is best. It is a long climb up but totally doable - there are plenty of places to rest so take your time - venture off the path to get a birds eye view of the Odeon. Once you go up the stairs - be careful climbing over the tourist groups who just stop and sit on the steps - past the Monument of Agrippa and through the magnificent Propylaea, you are greeted by the magnificent Parthenon. You can see the restoration that has been happening as this is shown as the white marble. Wear shoes that can grip the ground and try not to walk on parts of the path that are marble as they are very slippery - find the sides of the path or the gaps with lots of pebbles. The toilet block is basic but adequate and the water from the dispenser outside is refreshing. The former museum has now been emptied and its treasures now reside in the New Acropolis Museum. The Caryatids on site are copies and most of the originals are in the New Museum which is at the bottom of the Acropolis before you enter and start the climb. Do some research before you go - this place just begs to be admired but respect it by not climbing over the ropes or smoking which a lot of tourists seem to do until the officials start blowing whistles. Also - please do not touch the marble columns - they are not magic and you will not get a thrill!",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
An incredible museum with Olympic artefacts,A wonderful museum situated in the Olympia complex that is well worth the visit. So many pieces that are familiar if you love history. Do some online research and you will enjoy every minute. Take your time and just wander around - some tour groups but they tend to head for the 'big name' items. There is a lot more to see if you look - -,September 2019,Archaeological Museum of Olympia,https://www.tripadvisor.com/Attraction_Review-g189487-d243257-Reviews-Archaeological_Museum_of_Olympia-Olympia_Elis_Region_West_Greece.html,"Olympia, Greece",attractions,5.0,4.5
History PLUS imagination,"An amazing site to walk around and imagine the Olympic Games in action. So many incredible places that are familiar through the media - do lots of research so that you can enjoy at your leisure - there are lots of information plaques around to help you out. The only down part were some tour groups who were on a tight schedule pushed and shoved and talked over the guides who were doing their best, but the place is so big you can get away from them. Every now and again sit under the trees and imagine being there in ancient times. The stadium is pretty sparse except for the starting blocks and the track and it always has those souls who want to run the length. Definitely a place for history - and then visit the on site museum.",September 2019,Archaeological Site of Olympia,https://www.tripadvisor.com/Attraction_Review-g189487-d243256-Reviews-Archaeological_Site_of_Olympia-Olympia_Elis_Region_West_Greece.html,"Olympia, Greece",attractions,5.0,4.5
A huge complex,There is more to Epidaurus than just the famous theatre. The Sanctuary of Asklepios - God of Medicine and Healing - is huge and is situated outside the Theatre. Read the signs and information placards that are situated at the major points of interest. There is a small museum full of artefacts that have been discovered around the sanctuary and is well worth a visit. Another place of wonderful history.,September 2019,Sanctuary of Asklepios,https://www.tripadvisor.com/Attraction_Review-g815573-d11917603-Reviews-Sanctuary_of_Asklepios-Epidavros_Argolis_Region_Peloponnese.html,"Epidavros, Greece",attractions,5.0,4.5
Take a seat - and listen,The Great Theatre is only one place of interest at the great site of Epidaurus. It looks bigger in photos and film but it did not seem to be that big in real life. Don't get me wrong it is still a big complex and maybe it was the intimacy of the place and the way the seating is arranged that made it seem smaller. The steps to the top are slippery and there are no handrails but if you are careful and take your time you should be OK - just go slow. Stand on the marker and test the acoustics - they are incredible. Tour groups and their leaders always give a rendition of something.,September 2019,The Great Theatre of Epidaurus,https://www.tripadvisor.com/Attraction_Review-g815573-d198893-Reviews-The_Great_Theatre_of_Epidaurus-Epidavros_Argolis_Region_Peloponnese.html,"Epidavros, Greece",attractions,5.0,5.0
A definite visit,Some would say there is nothing to see - it is just an empty structure but what to see is the incredible inside and the way it was built. The Treasury of Atreus or the Tomb of Agamemnon is a short walk from the main Mycenae complex. There are no artefacts inside - just a huge area but it is full of history when you realise it was built around 1250 BC. Be careful when you step inside - it is very dark so your eyes have to adjust.,September 2019,Citadel and Treasury of Atreus,https://www.tripadvisor.com/Attraction_Review-g189486-d243267-Reviews-Citadel_and_Treasury_of_Atreus-Mycenae_Argolis_Region_Peloponnese.html,"Mycenae, Greece",attractions,4.0,4.5
History revealed,Mycenae - legendary kingdom of Agamemnon - is a place of unbelievable history. In reality what place in Greece is not? With Mycenae there is the Lions Gate and the grave circles where those golden treasures were discovered - most of which are now in the Archaeological Museum in Athens. Walk around the graves and imagine the gold that was buried within. With any ancient site there is a lot of rubble but there is a lot of information on the walkways so you will have to read up and use your imagination but it is definitely a place to visit. The pathway up to the palace is steep and not the best to walk on a hot day. There is a wonderful little museum full of interesting artefacts and well worth the visit. On another note the toilets are clean and well maintained.,September 2019,Archaeological Site Mycenae,https://www.tripadvisor.com/Attraction_Review-g189486-d522565-Reviews-Archaeological_Site_Mycenae-Mycenae_Argolis_Region_Peloponnese.html,"Mycenae, Greece",attractions,5.0,4.5
Very interesting,"A hot day to explore ancient Corinth - maybe not a good idea. Some research prior to visiting would not go astray and that will help you when you are looking at the ruins. The Temple of Apollo is impressive - as is Temple E, otherwise known as the Temple of Octavia. The complex covers a large area and is totally walkable but sometimes the ground is uneven so wear suitable shoes. If you are interested in St Paul, you can stand in front of the Rostra and Bema where he was tried, and thankfully found not guilty. Acrocorinth is situated on the high plateau - too much of a climb for me so I admired from afar.",September 2019,Ancient Corinth (Archaia Korinthos),https://www.tripadvisor.com/Attraction_Review-g189484-d243253-Reviews-Ancient_Corinth_Archaia_Korinthos-Corinth_Corinthia_Region_Peloponnese.html,"Corinth, Greece",attractions,5.0,4.5
