title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Pleasant bar,"Great bar to meet with friends for a casual drink. Has a big table at the back for large groups. You can bring your own food to eat there. They have a lot of beers, as well as other drinks. Also have a selection of board games to play. Nice interior.",August 2020,Metafoor,https://www.tripadvisor.com/Restaurant_Review-g188669-d3599522-Reviews-Metafoor-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,5.0,4.5
Good Belgian Brasserie,"A good place to go if you are looking for ""standard"" Belgian food - pasta, steak, lasagna, etc. Used to be my go-to place when eating with large groups.",July 2020,notre dame quasimodo,https://www.tripadvisor.com/Restaurant_Review-g188669-d814152-Reviews-Notre_dame_quasimodo-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,4.0,3.5
Good Mexican Takeaway,"Simple and limited choice, but tasty and decently priced Mexican food. Definitely worth a try if you are looking for budget-friendly Mexican cuisine.",September 2020,Donki,https://www.tripadvisor.com/Restaurant_Review-g188669-d4139523-Reviews-Donki-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,4.0,4.0
Interesting Concept,"Great place to try out if you're looking for something different. Combine a pizza with another dish/cuisine - nachos, curry, vol au vent, ... Although a tasty and fun experience, I still prefer a standard pizza or a standard curry (for example), so I would not go there often.",March 2020,Otomat,https://www.tripadvisor.com/Restaurant_Review-g188669-d14004629-Reviews-Otomat-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,4.0,4.5
Leuven's Best Burgers,"Here you can find Leuven's best burgers for an affordable price. The Lucifer is the best, followed by the Thunder.",September 2020,Babo's,https://www.tripadvisor.com/Restaurant_Review-g188669-d11235984-Reviews-Babo_s-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,5.0,4.5
Mediocre burgers,"The burgers here are okay, but you can get a cheaper and tastier burger at other locations nearby in Leuven.",March 2020,Ellis Gourmet Burger Leuven,https://www.tripadvisor.com/Restaurant_Review-g188669-d7907520-Reviews-Ellis_Gourmet_Burger_Leuven-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,3.0,4.0
Pleasant visit,"I especially liked the collection displaying work from several different artists, as they had more of a story to them, and had more variation from room to room. The larger exhibitions were less interesting to me, but that's because I am not *that* big a fan of photography, so that's not the museum's fault.",January 2021,FOMU - Foto Museum,https://www.tripadvisor.com/Attraction_Review-g188636-d3406231-Reviews-FOMU_Foto_Museum-Antwerp_Antwerp_Province.html,"Antwerp, Belgium",attractions,4.0,4.0
Bookshop or museum?,"You can find the vast and diverse TASCHEN collection here, with beautiful books of all sizes covering a diverse range of topics. In the back the big, special copies are on display, resembling an art gallery or museum. Surprisingly affordable, with a standard sized wonderfully illustrated hardback costing only €15, and even the massive, majestic books often only costing €50.",January 2021,TASCHEN Store Brussel,https://www.tripadvisor.com/Attraction_Review-g188644-d8067199-Reviews-TASCHEN_Store_Brussel-Brussels.html,"Brussels, Belgium",attractions,5.0,4.5
Lots to explore,"An impressively large forest on the edge of Brussels. There are many different walks starting from many different locations. I have lived pretty much in the middle of it (Tervuren) for my entire life, and still sometimes stumble upon new paths or entire swathes of forest.",December 2020,Sonian Forest,https://www.tripadvisor.com/Attraction_Review-g188644-d314029-Reviews-Sonian_Forest-Brussels.html,"Brussels, Belgium",attractions,5.0,4.5
Best falafels in Leuven,"A great selection of falafel meals, tasty and affordable. A little out of the center, but doesn't take long to walk there.",August 2020,Alfalfa,https://www.tripadvisor.com/Restaurant_Review-g188669-d13381445-Reviews-Alfalfa-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,5.0,5.0
Perfect way to explore Mechelen,Lovely walk all along the river. Perfect way to walk into the city from the station and then branch out to the other streets and locations.,October 2020,Dijlepad,https://www.tripadvisor.com/Attraction_Review-g188637-d4985743-Reviews-Dijlepad-Mechelen_Antwerp_Province.html,"Mechelen, Belgium",attractions,5.0,4.0
"Impressive tower, bright interior","Quite unique tower that can be seen from all around (and outside of) the city. Inside is lighter and airier than most churches, which I usually find rather dim and creepy.",October 2020,St. Rumbold's Cathedral,https://www.tripadvisor.com/Attraction_Review-g188637-d561867-Reviews-St_Rumbold_s_Cathedral-Mechelen_Antwerp_Province.html,"Mechelen, Belgium",attractions,4.0,4.5
The reason you visited Athens,"As it is the reason you visited Athens, definitely worth a stop. Unfortunately scaffolding somewhat ruined our view, but still a pretty cool historic site.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
A must see if town halls are your thing,"One of the world's most beautiful town halls to see. Living in Leuven, I have grown somewhat immune to it, but I can still appreciate it if I stand still for a moment.",September 2020,Town Hall (Stadhuis),https://www.tripadvisor.com/Attraction_Review-g188669-d547651-Reviews-Town_Hall_Stadhuis-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",attractions,4.0,4.5
Great half-day trip,"A lot of spots to explore when climbing Namur citadel. Nice (half) day trip for anyone really, but probably even more so if you're a history buff.",August 2020,Citadelle (Citadel),https://www.tripadvisor.com/Attraction_Review-g188663-d536242-Reviews-Citadelle_Citadel-Namur_The_Ardennes_Wallonia.html,"Namur, Belgium",attractions,4.0,4.5
Unique student restaurant,"A budget student restaurant with a fun concept and tasty food. Also has a ""dessert wall"" where you can get super yummy afters out of a machine.",February 2020,De Werf,https://www.tripadvisor.com/Restaurant_Review-g188669-d850525-Reviews-De_Werf-Leuven_Flemish_Brabant_Province.html,"Leuven, Belgium",restaurants,4.0,4.0
