title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Comfortable property,It's comfortable property in the middle of the city which is convenient. At the same time during the day neighborhood is very crowded and noisy. Rooms are comfortable and good size. It's an old guest house of old ex ruler of Gilgit. It's a small property but has beautiful lawns and gardens. Due to Covid we had to eat in the veranda at night and in the lawn but they provided fire place next to the table. During our afternoon tea service was super slow and waiter was kind of rude. I had to remind him that we are guest. After that service improved. Food was average for dinner and very limited choice for breakfast buffet and not very good either. Since there is very limited choice of nice hotels there so we would go back even though it's not the best.,December 2020,Swat Serena Hotel,https://www.tripadvisor.com/Hotel_Review-g608517-d304435-Reviews-Swat_Serena_Hotel-Saidu_Khyber_Pakhtunkhwa_Province.html,"Saidu, Pakistan",hotels,3.0,4.0
Group,It’s conveniently located on highway but very far from Balakot. Rooms are very spacious and comfortable. It has good size lawn and lot of parking. Even though it has Inventor AC but manger wouldn’t turn it on. We had four rooms but he only turn on only one and when we asked to turn on others he asked us to turn off first one. After lot of Hassling manager turned on three. When we needed the most at night manger turned them off. Also they didn’t have chef so restaurant was closed. We had to go out for dinner in very cold. And we had to leave without breakfast. I wouldn’t recommend. It seems Managment is cheap.,November 2020,Hotel Demanchi,https://www.tripadvisor.com/Hotel_Review-g4366523-d13996402-Reviews-Hotel_Demanchi-Abbottabad_Khyber_Pakhtunkhwa_Province.html,"Abbottabad, Pakistan",hotels,2.0,2.5
Group Tour,Property is located on the lake. Beautiful view from the rooms. Rooms are spacious and comfortable. Bathrooms have always hot water. Property is still under construction so you have to be careful waking around. Restaurant seems not ready to serve. Breakfast had very limited selection. Food prices are over price. Also rooms are way over price. On top of all it seems management is professionally unethical. We had paid in advance for several rooms. Collegue of two rooms had to leave early for one night. We requested the Management to refund if those rooms get occupied. They agreed and the rooms did get occupied. When we requested the refund they refused. We tried to contact for several days but they kept refusing and finally quit taking our calls. Doesn’t matter how great a property I will never stay at such place or recommend anyone.,August 2020,Luxus Hunza Attabad Lake Resort,https://www.tripadvisor.com/Hotel_Review-g469409-d17795067-Reviews-Luxus_Hunza_Attabad_Lake_Resort-Hunza_Gilgit_Baltistan.html,"Hunza, Pakistan",hotels,2.0,3.0
We have heard about it and,"We have heard about it and it’s walnut cake. We walked 15 minutes to get there. It was nothing but disappointing experience. To start with people taking orders were not friendly at all. When we mentioned we heard about ur place, they didn’t even bother to smile or acknowledge. We only ordered cake and tea. It took a such a long time that I had to go and remind them. And the cake was dry, also nothing special about it. Then wooden stairs were slanted. My wife almost slipped couple of times. Please don’t waste ur money.",September 2020,Cafe De Hunza,https://www.tripadvisor.com/Restaurant_Review-g469409-d1152684-Reviews-Cafe_De_Hunza-Hunza_Gilgit_Baltistan.html,"Hunza, Pakistan",restaurants,1.0,4.5
Family House,It’s family house and they converted three rooms for guests. Rooms are clean and airy. It’s very close to Adam’s Peak. Entrance Thanks is dangerously steep. I had to beg them to give half an hour more for check out 12:00 which is norm most of the places. At check in they didn’t believe I had the reservation since I turn out to be Asian not Caucasian because I am US citizen.,March 2020,Daffodils Hotel,https://www.tripadvisor.com/Hotel_Review-g608524-d6936494-Reviews-Daffodils_Hotel-Nuwara_Eliya_Central_Province.html,"Nuwara Eliya, Sri Lanka",hotels,3.0,3.5
Nothing like this place,For Muslims it is the place to visit. Some people save all their life to visit. It’s a incredible place. Very peaceful and harmonious. At the same time it’s modern and spacious. You could spend hours here. At the same time markets and washrooms are right outside the gate. Every time we visit we don’t want to leave and love to keep coming back. Now again hoping for quick return.,February 2020,Al Masjid an Nabawi,https://www.tripadvisor.com/Attraction_Review-g298551-d319516-Reviews-Al_Masjid_an_Nabawi-Medina_Al_Madinah_Province.html,"Medina, Saudi Arabia",attractions,5.0,5.0
Great location & excellent service,"As always Medina Hilton is incredible with great location and excellent customer service. Staff is very professional and attentive to all the needs. House keeping is very prompt. Manager Imran at restaurant is great. He is very caring for all the needs. Once in the morning my wife wasn’t feeling well, Imran called later to ask her & then sent tea in the room for her. Amazing service.",January 2020,Madinah Hilton,https://www.tripadvisor.com/Hotel_Review-g298551-d301968-Reviews-Madinah_Hilton-Medina_Al_Madinah_Province.html,"Medina, Saudi Arabia",hotels,5.0,4.5
Amazing place,"We had booked two rooms and one was upgraded automatically and other wasn’t but was connected. So it was good for the family to stay together. Also upgraded room had great view facing the Harram. Room service was excellent whenever we needed. Both rooms were very comfortable. Washrooms were very spacious. Breakfast buffet had great selection. Again customer service was wonderful. Manager at breakfast, Rashid went out of his way to serve us. And the waiter, Nasir was superb. He gave us one of the best customer service and every day. We had great stay. Love to come back, hopefully soon.",January 2020,Conrad Makkah,https://www.tripadvisor.com/Hotel_Review-g293993-d8726105-Reviews-Conrad_Makkah-Mecca_Makkah_Province.html,"Mecca, Saudi Arabia",hotels,5.0,4.5
"Great View, on the beach","It’s right on the beach and beach is very beautiful. There are swimming area, bike and walking lane for exercise. Room has great view of the ocean. Buffet has very good selection even though due to holiday no meat was available. Overall customer service was good accept staff was very very busy due to holiday.",October 2019,Hilton Tel Aviv,https://www.tripadvisor.com/Hotel_Review-g293984-d301944-Reviews-Hilton_Tel_Aviv-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",hotels,4.0,4.0
Amazing historical place,"I have been reading about Greek civilisation from very age. Finally I got the chance to visit. First I was in awe that actually I was there. Second it was more amazing than I imagined. We had very little time in Athens, I wish we had more time so we could truly enjoy and absorb this historic landmark. Also we didn’t have time to see new museum either.",October 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Some staffs Discriminate,"It’s a beautiful property with a very good location. Lobby is huge. Breakfast buffet has good verity. Staff at breakfast was very attentive. Unfortunately staff at executive lounge needs to be educated how to treat all guest equally. At check in lady was very rude even though we are Diamond members. Also she didn’t bother to explain anything about the facilities at this property. At the same time at checkout when I came to executice lounge there was another lady who was putting glasses on snack area. I informed her I wanted to check out. Then as usual I asked her how she is doing, she abruptly responded I should go to front desk for checkout. It’s very unfortunate we experience such discrimination at prestigious brand as Hilton.",October 2019,Hilton Athens,https://www.tripadvisor.com/Hotel_Review-g189400-d198932-Reviews-Hilton_Athens-Athens_Attica.html,"Athens, Greece",hotels,2.0,4.5
Great View,I went up most of it by foot early morning. It was not crowded at all. Only people there on the top hikers and one cyclists. Got to capture sunrise which was one of the best sunrise. Love to do it again.,October 2019,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Excellent location without service,Golden Walls has excellent location. It was five minutes walk from the gate. Rooms were reasonable size. Breakfast buffet had good selection. At the same time there was no customer service. We were there for five nights and they didn’t change our sheets for four days. Finally we had ask for it. Sometimes they didn’t do much cleaning or replacing towels. For one thing we had to ask several times.,October 2019,Golden Walls Hotel,https://www.tripadvisor.com/Hotel_Review-g293983-d301977-Reviews-Golden_Walls_Hotel-Jerusalem_Jerusalem_District.html,"Jerusalem, Israel",hotels,3.0,4.0
Best Free Walking Tour,"My wife, my daughter and I had one of the best tour in our life. Eleni was extremely knowledgeable with enthusiasm. When we asked any question she was willing to listen and respond. She was always ready and willing to help. We had our special daughter with us. Due to her we had to slowed down a lot but she didn’t complain. Most of the time she had to slow down and kept all of us together. At the same time she didn’t push her. We were able to see some hidden places, out of main path. Then she gave us extra information where to go and eat. We enjoyed greatly. Love to do it again and recommend her highly.",October 2019,Athens Free Tour,https://www.tripadvisor.com/Attraction_Review-g189400-d5257070-Reviews-Athens_Free_Tour-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
Beautiful property and great service,It’s a beautiful property. Recently renovated. It gives good feeling as you enter. Executice floor staff at check in and check out were very courteous and professional. Room was very spacious and facing the park so we could keep the curtains. Breakfast buffet had very good selection and staff was very good. House keeping staff was very prompt.,October 2019,Conrad Istanbul Bosphorus,https://www.tripadvisor.com/Hotel_Review-g293974-d294658-Reviews-Conrad_Istanbul_Bosphorus-Istanbul.html,"Istanbul, Turkey",hotels,5.0,4.5
Gorgeous Property,It's five star property with rates of two stars. Beautiful place to stay. Lobby is huge and rooms are very spacious. Washrooms are huge and very luxurious. Breakfast buffet had very extensive variety. I enjoyed the stay very much. It's shame it was only for one nigh. Love to go back and enjoy it again.,August 2019,Parsian Azadi Hotel,https://www.tripadvisor.com/Hotel_Review-g293999-d3236279-Reviews-Parsian_Azadi_Hotel-Tehran_Tehran_Province.html,"Tehran, Iran",hotels,5.0,4.0
Good location but average hotel,Location of the property was good. Close to everything including famous Chahar Bagh Boulevard. Rooms were average and washroom was very tight. When you take shower water was all over the floor. Breakfast buffet didn't have much choices and waiters weren't very friendly.,August 2019,Safir Hotel,https://www.tripadvisor.com/Hotel_Review-g295423-d321472-Reviews-Safir_Hotel-Isfahan_Isfahan_Province.html,"Isfahan, Iran",hotels,3.0,3.5
Not up to par with Hilton name,Location is very good. Breakfast buffet is good. Since there are so many Muslim travelers I wish there are Halal choices at breakfast. Facility is in good condition since it’s relatively new property. Staff at front desk is not very accommodating. Kind of cold and mechanical. On the other hand bus boys are much more helpful.,September 2019,DoubleTree by Hilton Hotel Yerevan City Centre,https://www.tripadvisor.com/Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html,"Yerevan, Armenia",hotels,3.0,4.5
