title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Moderate hotel,"First time visited the village and i get surprised by the sea view. We like very much the swimming pool area, especially the kids and that outside of the room is full of grass and they could play. We got halfboard and the buffet was good enough, so as the drinks from pool bar. The drinks prices were very reasonables. The best in the hotel was the behavior and the kindness of all the staff. The only negative is that the room are not very clean, full of insects and some furniture needs to change.",August 2020,Akamanthea Holiday Village,https://www.tripadvisor.com/Hotel_Review-g190388-d1007637-Reviews-Akamanthea_Holiday_Village-Polis_Paphos_District.html,"Polis, Cyprus",hotels,3.0,3.5
Coffee by the sea,The restaurant are just next to the sea and is wonderful. Specially if you visited at night and sit under the trees. Here you can watch football matches and close by is a kids plauground so is ideal for families. The food is ok not the best.,August 2020,La Plage Restaurant,https://www.tripadvisor.com/Restaurant_Review-g190388-d4497225-Reviews-La_Plage_Restaurant-Polis_Paphos_District.html,"Polis, Cyprus",restaurants,3.0,3.5
Bad service,We visited the restaurant few days ago. We order 3 steaks and one Burger. They brought the steaks and after half hour the Burger didn't Come. We ask for it and they brought after 40 min. We asked them for ketchup 3 times and because they didn't bring we borrow one from the next table. The same with beers... wait for them for over 30min even we 've told the waiter twice. Asking the waiter why is that happening he answer us that they are only 2 waiters for 70 persons...so bad servise,August 2020,Tis Pizza's Mezeklikia,https://www.tripadvisor.com/Restaurant_Review-g2667232-d10747446-Reviews-Tis_Pizza_s_Mezeklikia-Prodromi_Paphos_District.html,"Prodromi, Cyprus",restaurants,2.0,4.5
Great as always,We visited again this summer as we do every year. The kids have fun as every time but as i see some of the toddlers rides had higher price.,July 2020,Parko Paliatso Luna Park,https://www.tripadvisor.com/Attraction_Review-g262055-d3511557-Reviews-Parko_Paliatso_Luna_Park-Ayia_Napa_Famagusta_District.html,"Ayia Napa, Cyprus",attractions,4.0,4.0
Average pub,Not bad traditional english pub. I got a coctail drink not the best one. Their prices are reasonable and you can watch athletic matches here.,July 2020,Cheers Bar,https://www.tripadvisor.com/Restaurant_Review-g667803-d4470782-Reviews-Cheers_Bar-Protaras_Paralimni_Famagusta_District.html,"Protaras, Cyprus",restaurants,3.0,4.0
Good with friendly staff,We get there for a night drink. They offered lot of choices in alcohool drinks but also in coffees. The prices are reasonable. Recommended,July 2020,Limanaki Restaurant,https://www.tripadvisor.com/Restaurant_Review-g262055-d4724964-Reviews-Limanaki_Restaurant-Ayia_Napa_Famagusta_District.html,"Ayia Napa, Cyprus",restaurants,3.0,3.5
Ideal for families,We love our stay in this hotel with our boys 4 and 7yrs. The pools are amazing especially for kids and the waterslides were open specific hours with lifeguards on duty. The hotel staff waw polite and friendly especially with the children. Our room was clean and big enough. We had half board and the buffet was delicious.,July 2020,Adams Beach Hotel,https://www.tripadvisor.com/Hotel_Review-g262055-d263853-Reviews-Adams_Beach_Hotel-Ayia_Napa_Famagusta_District.html,"Ayia Napa, Cyprus",hotels,4.0,4.0
We enjoy it,"We visited pizza express at westfield mall and because all the other areas were too crowned we sat here. We enjoy the food, we try three different pizzas and lasagna. The pizzas were big ang we really like them. The staff was helpfull and polite. For the kids they had drawing pages and crayons. Reasonable prices",December 2019,Pizza Express - White City Westfield,https://www.tripadvisor.com/Restaurant_Review-g186338-d2516395-Reviews-Pizza_Express_White_City_Westfield-London_England.html,"London, United Kingdom",restaurants,3.0,2.5
New one,"We visited Platres to stay just for one night. They were only 2 restaurants open for the night so we decided to try this one. We went at early evening so we sit next to the log fire. The decor inside is not very good. We had a mixed local starters for two, mexican burger, pork steak, spagghetti bolognese and two kids pasta. Everything was excellent and fresh from the salad, the meat and.....the chips. No frozen chips for sure.The kids pasta were as big as the adults one. The portions are big enough for sure. The prices are reasonable and the owner gave us the drinks for free (no alcoohol). They also had cartoon on tv and that was the best for kids. As we learn they just open the place so keep up the good work.",January 2020,International Restaurant & Cafe,https://www.tripadvisor.com/Restaurant_Review-g3546113-d19508794-Reviews-International_Restaurant_Cafe-Pano_Platres_Limassol.html,"Pano Platres, Cyprus",restaurants,4.0,3.5
All under one roof,"Visit the mall for second time as tourist at Christmas...this year wasn't decorated as good as other years but ok you can shop everything under one roof, a lot of cafe, restaurants etc. Easy to access with public transportation",December 2019,Westfield London,https://www.tripadvisor.com/Attraction_Review-g186338-d12035544-Reviews-Westfield_London-London_England.html,"London, United Kingdom",attractions,3.0,4.5
