title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
It's ok,"Nice restaurant located a few meters from the Metaxourghio metro station. Friendly and welcoming staff, punctual service. The pork souvlaki was not bad but I ate better ones in Greece. Average prices.",September 2020,Alexander the Great Greek Restaurant,https://www.tripadvisor.com/Restaurant_Review-g189400-d1076442-Reviews-Alexander_the_Great_Greek_Restaurant-Athens_Attica.html,"Athens, Greece",restaurants,4.0,4.5
Amazing,"Spectacular place where you can breathe the history of ancient Greece.
Entrance fee is 20€
Once in Athens you can't miss it.",September 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Amazing,"Spectacular place where you can breathe the history of ancient Greece.
Entrance fee is 20€
Once in Athens you can't miss it.",September 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Great meal,"nice restaurant in the Monastiraki district, just a little way out of the tourist spots. Friendly and welcoming staff and prompt service. You can choose the fixed menu for 12 €. Really tasty food at cheap prices. Homemade dessert at the end of the meal. Go there and you won't be disappointed.",September 2020,To Kyklamino,https://www.tripadvisor.com/Restaurant_Review-g189400-d17624206-Reviews-To_Kyklamino-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Good experience,"Characteristic little restaurant in the heart of Monastiraki. Typical dishes of Greek cuisine. Efficient service, young, friendly and polite staff. Good food and complimentary sweet dessert at the end of the meal. Affordable prices.",September 2020,Bandiera,https://www.tripadvisor.com/Restaurant_Review-g189400-d10445516-Reviews-Bandiera-Athens_Attica.html,"Athens, Greece",restaurants,4.0,5.0
Good experience,"Very elegant cafe / restaurant right on the old Venetian harbor. Venue for tourists but also frequented by locals. Punctual and efficient service, professional and attentive staff, tasty food and average prices of the other restaurants in the area.",September 2020,Remezzo,https://www.tripadvisor.com/Restaurant_Review-g189415-d3462673-Reviews-Remezzo-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,4.0,3.5
Good,"Elegant restaurant on the seafront of Nea Chora with tables also on the marina. Attentive and punctual service, professional and kind staff. Choice between typical Cretan dishes and fish dishes. Tasty food and prices higher than average prices.",September 2020,Portes,https://www.tripadvisor.com/Restaurant_Review-g189415-d1066709-Reviews-Portes-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,4.0,4.5
It's ok,"Clean and tidy fast food/restaurant in the downtown of Chania. The pork gyros wasn't bad and the portion was generous. Friendly staff, quick service and affordable prices.",September 2020,Tasty Souvlaki Place,https://www.tripadvisor.com/Restaurant_Review-g189415-d4136270-Reviews-Tasty_Souvlaki_Place-Chania_Town_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,4.0,4.0
Awesome,"One of the best restaurants in Kissamos. Located on Mavros beach this venue serves typical Cretan and Greek cuisine, often freshly caught fish available. The food is delicious and the prices are affordable. Free sun beds and umbrellas are available on the beach if you order just a drink from the restaurant. The owner, Themis, is a great guy, he makes you feel at home and treats you like a friend, not a customer. Thanks for everything Themis and best wishes to you and your family from Massi the bomber.",September 2020,Plaka Beach Restaurant,https://www.tripadvisor.com/Restaurant_Review-g1028265-d10359877-Reviews-Plaka_Beach_Restaurant-Kissamos_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
Stunning place,"spectacular beach about 30 km from Kissamos. Clear and crystalline water, it seems to be in the tropics. Possibility to rent a sunbed and umbrellas at a cost of € 10. Not to be missed.",September 2020,Elafonissi Beach,https://www.tripadvisor.com/Attraction_Review-g1535800-d1536672-Reviews-Elafonissi_Beach-Elafonissi_Chania_Prefecture_Crete.html,"Crete, Greece",attractions,5.0,4.5
It's worthy,"Nice, clean and tidy fast food/restaurant along the main road of Kissamos. Quick service, friendly staff and tasty food such as pita gyros at paltry prices.",September 2020,Pikantiko,https://www.tripadvisor.com/Restaurant_Review-g1028265-d4503613-Reviews-Pikantiko-Kissamos_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
Simply amazing,"nice location right on the seafront. Very attentive and friendly staff, normal service. The meat dishes are truly stunning and at a paltry price. You cannot miss this place.",September 2020,Roubini MezeSnackBar,https://www.tripadvisor.com/Restaurant_Review-g1028265-d12622240-Reviews-Roubini_MezeSnackBar-Kissamos_Chania_Prefecture_Crete.html,"Crete, Greece",restaurants,5.0,4.5
