title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Instagrammable, Panoramic Spot!","Must go at least once in your lifetime. Beautiful scenic drive along this road which leads to Lord Arch Gorge and 12 Apostles.

For those who do not drive and do not wish to be on the big bus tours, there are travel agents who cater for transport in smaller vehicles such as mpv or van which proves to be more exclusive for the family.

My family and I engaged a similar tour and travelled on an mpv for the 6 of us comfortably without having to wait for the other tourists such as those big bus tour operators. Choice is yours though .",December 2019,The Great Ocean Road,https://www.tripadvisor.com/Attraction_Review-g261667-d4092377-Reviews-The_Great_Ocean_Road-Torquay_Victoria.html,"Torquay, Australia",attractions,5.0,4.5
A laidback and enjoyable stay for 3 generations,"We came in for 3D2N as 6 pax with oldeat being 67 year old and youngest being 13.

Everyone is still talking about the enjoyable time we had in the Lavender Cottage. The property had no wifi but had all the activities that a modern country lack of. Coming from Singapore, we are always into farmstays and have done such stays in other countries too. This, by far has superseded any other experiences that we have had. The tractor ride on Sunday morning at 9 am sharp was informative. Bicycles were provided for guests to roam around the property and feed the animals anytimes they like with available fruits and vegetables. It was a definitely therapeutic experience for us. As the cottages are self-catering, we made it a point to load ourselves with food and groceries prior to the stay so we do not need to be making trips out unnecessarily. Understand that there are nearby shops too within 10-15 mins drive, if you so wish to dine out.

Dont forget to collect fresh farm eggs (available daily) when you are there. Most importantly, take a back seat and enjoy the view, the pace and the vicinity full of farm animals, kangaroos even their pet kangaroo roaming around the main house!",December 2019,Freshwater Creek Cottages,https://www.tripadvisor.com/Hotel_Review-g261667-d4176428-Reviews-Freshwater_Creek_Cottages-Torquay_Victoria.html,"Torquay, Australia",hotels,5.0,5.0
Sep is still hot!!!,"Get the €30 tickets where you can explore over 5 days several ruins applicable under this ticket - all of which within the vicinity.

Just be prepared to do alot of walking, hiking and climbing though. Wear reasonable walking shoes as the stones leading to the area gets slippery even when its not wet.

When we there on 14 Sep, it was pretty scorching hot but windy. The kind of wind that will blow away not just hats and caps, tourists inclusive . Quite a number of tourists slipped and fell. We did too while trying to cross to another spot.

Reminder not to climb onto any part of the ruins as this is not allowed supposedly to continue with preservation efforts which is understandable of course. There will be staffs roaming to ensure and tell u to refrain from doing so, using their whistle on hand.

Good luck with the visiting and enjoy loads of instagrammable moments!",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Anniversary Dinner,"It was an excellent restaurant that met our needs at every level

1. Quiet environment unlike the touristy places in Oia
2. Excellent seafood at a fraction of the price compared to Oia and the other parts of santorini
3. Superb customer service
4. Restaurant was more than willing to send and get u from the Monolithos beach bus stop in case you are headed there without vehicle. Let them knoe your plans early.

Totally recommended. Warm and nice staff and owners alike. A must go!",September 2019,Mario No 1,https://www.tripadvisor.com/Restaurant_Review-g644213-d1105695-Reviews-Mario_No_1-Monolithos_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
Love Plaka for its Scenery and Atmosphere,"A must go for insta enthusiast. Cheapest place besides monasteraki market for souvenirs shopping.

If you are headed to any islands, finish souvenir shopping here or any parts of Athens as it is definitely 2 or 3 times cheaper than the islands.

We were warned by friends and this was indeed true. Hope its of use to new visitors too!",September 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing time : UP CLOSE & PERSONAL,"Omg...we had such fabulous time especially with the proximity of the animals in their natural habitat.

Needless to say that trip left us in awe. The other entertainment such as the theme park and animal show were just amongst the pluses. We couldn't get enough of it actually. Will return.

We shall let the photo speak for themselves!",August 2015,Indonesia Safari Park Cisarua,https://www.tripadvisor.com/Attraction_Review-g644045-d1186882-Reviews-Indonesia_Safari_Park_Cisarua-Cisarua_West_Java_Java.html,"Cisarua, Indonesia",attractions,5.0,4.5
Money flow like water in Watertown...Great buys!,"The place was located pretty near northbridge area on James St where we stayed. It took us 15-20 mins walk which we did our last day in Perth and shopping was never enough. Here, tons of shops on clearance. So, you guessed it right! We never had enough despite spending half a day here. Everythimg seemed to be on sale..sale..SALE. Seriously! We could have spent our fortune here simply because its almost dirt cheap but the buys were simply great.

Factorie, Puma, Cotton On, Esprit, Dotti...in and out we go for comfortable wear selling as cheap as $2-$5 for spag top and bermz to relatively $14.90 -19.90 only for gorgeous blouses and pants!

For thw family members who are not fazed by shopping, there are starbucks or was it coffeebean and some cafes around. For Muslims, there is a Turkish cafe in the middle section of the shopping outlet. Anyways, in and out we go with a shopping spree but eventually with a heavy we left, not able to cover the humongous area after much exploring. If not for our departure flight, we would have shopped til they sspre If we are ever in Perth again, Id bring extra cash to apend there again. This time ready for a whole day - inclusive of lunching withing the premises",June 2015,Watertown Brand Outlet Centre,https://www.tripadvisor.com/Attraction_Review-g255103-d2520842-Reviews-Watertown_Brand_Outlet_Centre-Perth_Greater_Perth_Western_Australia.html,"Perth, Australia",attractions,4.0,3.5
Halal Indo Dining,Great Hospitality by the people at the Cafe. Food was reasonably indo good. Feel closer to home when dining there given not much halal dining arnd. It is a bit of a walk only from Perth Mosque. Good frew wifi from govt with good reception indoors within the cafe. Thumbs Up!,June 2015,Manise Cafe,https://www.tripadvisor.com/Restaurant_Review-g255103-d3294390-Reviews-Manise_Cafe-Perth_Greater_Perth_Western_Australia.html,"Perth, Australia",restaurants,4.0,4.5
A Holiday Rental and Attraction ALL-IN-ONE!!!,"From start to end, Katherine who fronted the reservations was so helpful, friendly and informative.

It began with our query to get to Lavendale Farm (1.5 hours from Perth Airport) over June 15 holidays given that we are not driving. Initially, Katherine did offer to fetch us from the train station in Midland. However, she shared that she was unable to arrange pick up as our group was a big one. Still, Katherine did not process our deposit for fearing that our transport may be an issue for us. Eventually, it was also her who managed to arranged a transport company to fetch us from the Airport and to proceed to Belmont to purchase groceries since Lavendale is self-contained and we needed halal sources. That came as a SUR PLUS for us and wonderful gesture from the host side.

When we arrived, we were greeted by the lovely Katherine and was led to the our Aussie Bush Cabin. This was meant for 5 pax but Katherine arranged for an extra bed to accommodate all 6 of us in the conducive yet peaceful chalet. We were allowed to check-in as soon as we arrived. Once we were settled, we then went to head down to the farm area to witness and experience the feeding session. The kids totally enjoyed the personal experience.

The days that followed, we were kept occupied with other activities such foosball, table tennis and such in the entertainment shed. The bbq pit within the chalet grounds was great for bonding. The most rewarding experience was to light the fireplace maually with cut up logs and branches provided to us daily. As it was winter, it was crucial to maintain the heat so as to last us til morning considering that noght there can be freezing!!!

In the morning, we made another trip to the farm for unofficial feeding of the farm animals. There, it was Katherine's husband, Merv, who shared with us alot of useful information pertaining to the animals. We even went with him on his rounds to do his daily chores and boy, that was an eye-opener!

Totally will return as this has been a wonderful experience for us all. We wish the couple and their farm all the best in their future undertaking. Thank you for the fantastic experience and been such great hosts to us!",June 2015,Lavendale Farm,https://www.tripadvisor.com/Hotel_Review-g495089-d1389634-Reviews-Lavendale_Farm-York_Avon_Valley_Western_Australia.html,"York, Australia",hotels,5.0,4.5
Soak in the Sights only,"The market may be overrated as the wares sold are basically the typical wet market and normal home wares. Although there are aboriginal artifacts sold, the other items are pretty normal finds. We ended up buying cupcakes and milk shakes while we sat to enjoy them in a nice artistic corner coupled with the fact that there were busking activities to entertain us.

For souvenirs, best to head to E-Shed instead. Nothing much to see in Fremantle Market and you may want to give it a miss if strapped for time. Check out my other review on Fremantle Prison.",June 2015,Fremantle Markets,https://www.tripadvisor.com/Attraction_Review-g285726-d317951-Reviews-Fremantle_Markets-Fremantle_Greater_Perth_Western_Australia.html,"Fremantle, Australia",attractions,3.0,4.0
