title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
SKIP and head over to Diva Pizza,"My friend and I made a beeline for this place after complaining to a friend that we haven't found good in Athens since having arrived 3 days earlier. She had recommended Piadina Lumbro because her friends, who are locals, took her here during her visit. Based on those two facts, my friend and I had high hopes for this place.

We both ordered the Margherita Pizza each. When it arrived, the presentation was there; it was a piping hot, thin crust pizza. However, after the first bite we both looked at each other and said, ""Why is it bland?!"" It literally tasted like nothing. I knew I was eating bread with cheese and sauce but I didn't taste it. I get it, I'm from NYC; it's difficult to compete with NYC pizza. But after 3 days of bland food in Athens, all we wanted was some. kind. of. FLAVOR.

My friend then asked for garlic powder but we were face with a language barrier. As anyone else would, she googled the term and showed it to the waitress and cook. They both had the Eureka moment but then wrongly assumed that we wanted chopped garlic! So my friend pointed to the salt shaker and said, ""Powder."" And she was met with, ""Ohhhh. No!"" To make matters worse, as soon as my friend walked away, the waitress and cook started laughing! I guess bland pizza would be funny to me too if my friend and I haven't been met with disappointment upon disappointment when it comes to food in Athens.

I say SKIP THIS PLACE. If you want pizza or food with FLAVOR, head over to Diva Pizza. Better service and even better food!",March 2020,Piadina Lumbro,https://www.tripadvisor.com/Restaurant_Review-g189400-d13385532-Reviews-Piadina_Lumbro-Athens_Attica.html,"Athens, Greece",restaurants,1.0,4.5
I would come back to Athens just for this!,"WOW. I don't even know where to begin.

This place is an oasis in a sea of tourists. Upon stepping over the threshold, I was engulfed in calm. The space is serene in every detail, from the tasteful decor to the attentive staff. It's also very, very clean. All members of the staff wear Crocs, similar to doctors and nurses. In addition, visitors are asked to wear shoe covers before they enter the changing area. The shoe covers are soon replaced by terry cloth slippers after visitors change out of street clothes.

The changing area is just as sterile and tastefully decorated as the reception area. Each visitor receives their own locker stocked with a bathrobe, terry cloth slippers, and undies (should you choose to change out of your own).

Re: quality of the service...I originally signed up for the bamboo massage but since they weren't offering it at this time, I opted for the 90 minute hot stone instead. I won't bore you with the details of the treatment but I will say that I have never ever EVER felt more relaxed in my entire life! (If I had this treatment once a week, I would be a completely different person.)

After 15 minutes on the massage table, I noticed that my breathing became less and less shallow. Enter relaxation and calm. As a native New Yorker, I am never relaxed; I am always ready to attack the next ""to do"" on my list. Relaxing during vacation is perpetually on my wishlist. Thanks to Old City Hamam & Spa, I am finally RELAXED. So much so that before I left, I booked the same treatment for my last full day in Athens.

Thanks so much for everything!",March 2020,Old City Hamam & Spa,https://www.tripadvisor.com/Attraction_Review-g189400-d14087864-Reviews-Old_City_Hamam_Spa-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
YUMMY!,"Finally!!! We found a tasty place to eat in Athens. It has taken over 4 days to find a place that has flavors upon flavors. Before finding this haven, all we found was bland food, if not horrible. Our craving for Italian food became that much more immediate because of it.

Then enters Diva Pizza. Their Tartufo Pizza is out of this world! I was soooo STUFFED but I couldn't stop eating. The pizza was that good! It was fortunate that we had a 20 minute walk back to the AirBnB to help me walk it off.

Kudos to the classic touches like gazpacho soup before our meal and limoncello ice after dinner.

Lastly, the service was great! We were given adequate time to order, and more importantly, we enjoyed our meal in peace.

Thank you so much, Diva Pizza. You will be hearing from us again soon! If not in person, we will be ordering takeout during our time in Athens.",March 2020,Diva Pizza,https://www.tripadvisor.com/Restaurant_Review-g189400-d2155324-Reviews-Diva_Pizza-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
It's not that bad...,"I had read the previous reviews as my friend and I sat in the cafe ""Skybar"". I was mortified at what I saw! But after having sat there for 2 hours, it wasn't bad. We both had 2 glasses of Cabernet Sauvignon each at 6EU for each glass. I didn't think that was terribly overpriced. The food menu is limited but after finding Greek food to be bland, we decided to save our calories for drinking. The waiters did bring peanuts to the table, along with our glasses of wine, which was nice.

Overall, my friend and I didn't experience any rudeness from the staff. My friend and I were taken aback when the waiter told us that he would like to close us out since there was a shift change but it wasn't so farfetched that it took away from our experience lol. My friend and I were both appreciative that despite only having 4 glasses of wine total in two hours, we weren't rushed out of the place. They are very accommodating of people who just wanted to relax and enjoy the views. (There were plenty of people who were there before us and who stayed after us who didn't have anything at their table.)

All in all, I would say, go and enjoy. Have a drink. Skip the food.",March 2020,Cafe Lycabettus,https://www.tripadvisor.com/Restaurant_Review-g189400-d4097679-Reviews-Cafe_Lycabettus-Athens_Attica.html,"Athens, Greece",restaurants,4.0,3.5
Great trek to the top!,"From the base of the hill, it took us about 20 mins to walk to the top. It wasn't a steep incline but more gradual. I didn't find it strenuous, but I definitely broke a sweat. I wasn't taking a stroll; I was walking to get to the stop.

I would NOT recommend bringing little kids on the walk/hike. There are ZERO safety precautions from the edge. Even if a tree or bush broke one's fall, it will hurt very very much and will more than likely cause permanent injury.

The views on the walk up were pretty spectacular! It was a clear and sunny day and one could see all the way to the Acropolis and beyond. In general, the hill provides a 360 degree view of Athens.

A LOT of people watch the sunset from Lycabettus Hill but I didn't think it was that great. I was expecting a show stopper and for some reason the sun's colors were hidden by clouds. Not sure how that works since visibility was all the way to the sea.

Re: dress...I had on sneakers, loose pants, and a tank top and I was sweating as I trekked up the winding hill. Once we sat at the cafe at the top, it got really windy. Thank goodness I had my scarf to wrap around my upper body! Otherwise, I would have been miserable. The wind at the top is very unforgiving.",March 2020,Mount Lycabettus,https://www.tripadvisor.com/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Why wouldn't you?,"Not sure why people would come to Athens and not bother with the Acropolis, unless they've seen it before. It truly is a marvel! I only wish that the construction was a lot further along so that I can see more of its previous splendor. However, what's left of it is still cool to see and experience.

I didn't research the venue before my visit but because of how truly great the structures were, it encouraged me to educate myself on the subject afterward. It made me wonder why the restoration was taking so long; why the roofs have all blown off; what the space was originally used for; and the list goes on.

As one of the main attractions of Athens, it makes me wonder why it closes so early (3pm). Even if it's for safety reasons (the grounds are very uneven), surely they can extend hours to 5pm. NOTE: My friend and I got there at 8am and had the place to ourselves for a solid hour until all the tour groups started coming in in droves.

If history or architecture is not your thing but you were dragged to the Acropolis by family, then at least enjoy the 360 degree view of Athens.",March 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Godsend,"It it wasn't for this bakery, I would be starving during my vacation in Athens. Not only is everything yummy, but they are made daily on the premises. If you come in before 8am, you will see condensation on the display case since the baked goods have literally just come out of the oven.

I would also like to commend the people who work here. They are always friendly and upbeat. There is a woman in particular, who is probably one of the kindest souls I've come across in my travels. She's the type of person who really enjoys what she does for a living.

Thank you Thiseio Bakery for making delicious eats on a daily basis!

My recommendations: spinach triangle; apple fritter; salmon sandwich.",March 2020,Thissio Bakery,https://www.tripadvisor.com/Restaurant_Review-g189400-d18190116-Reviews-Thissio_Bakery-Athens_Attica.html,"Athens, Greece",restaurants,5.0,5.0
Free Guided Tour!!,"I didn’t even know about the free tours until I started researching the Greek National Opera. During my last trip to Europe I really enjoyed the tour at the Vienna Opera House and was looking for a similar experience in Athens. Come to find out the cultural complex houses two of my favorites - an opera house and a beautiful library.

I’m so grateful to have stumbled on the information. I’m even more grateful that I got to take advantage of the tour. My group was a total of six; the cap is 25. The website wasn’t clear about the meeting point - “Public PC Lobby”. I popped in the library prior to the tour and double checked with one of the security guards where the meeting point was located. (PC = Personal Computer.) If you head in the direction of the ground floor public “computer lab”, you’ll see an information desk before you get to the computers.

You’ll have to check in at the desk for the free tour. The person behind the desk will then confirm your online reservation and you’ll be handed a badge to wear for the duration of the tour.

The tour consists of the ground floor of the library, as well as the 2nd floor, which had limited access since it was Clean Monday. The tour continues to the Greek National Opera afterwards. Again, we started at the ground floor. After comparing both lobbies, library and opera, we were guided to one of the smaller stages, where it was being prepped to debut a show. We headed to the main stage soon after. Both stages were very intimate and contemporary.

We also got to see two rehearsal studios. One of them actually had a member of the orchestra. He was practicing but didn’t mind our brief interruption. We were also granted access to the 5th floor of the main stage, where we came to appreciate that even the “cheap seats” had great views of the stage!

We wrapped up the tour at The Lighthouse, where our guide continued to educate us on the sustainability practice of the complex.

The 90 minute tour was worth every second. So glad there were only six of us! Otherwise, we would have lost too much time just trying to corral everyone.

Thanks again for such a great tour! I wish everyone was as generous as SFNCC.",March 2020,Stavros Niarchos Foundation Cultural Centre,https://www.tripadvisor.com/Attraction_Review-g262046-d10494339-Reviews-Stavros_Niarchos_Foundation_Cultural_Centre-Kallithea_Attica.html,"Kallithea, Greece",attractions,5.0,4.5
"Thank you, Max for ruining my bday dinner. THANK YOU.","I mistakenly chose Max to celebrate my birthday with five of my girl squad. This is based on our past experience at their original location around the corner. Hard. Lesson. Learned.

My girl friends were there at 5pm racking up a tab at the bar since our reservations were at 6pm. I strolled in at 6:30 just after appetizers arrived. As a New Yorker, we all know 6pm is EARLY for dinner and sure enough, the restaurant was half empty when I arrived. Our waiter was nice enough, but I noticed that he was rushing us to order. Fine. We ordered. Our plates literally came out five minutes later! If you know Max, their claim to fame is that food is fresh and made to order. But five minutes? Seriously?

By the time our dinner arrived, it was around 6:55. I know because the table next to us started filling up. In fact, one of girls at the table was oblivious to how close the tables were from each other that her butt knocked my entire glass of water into my lap! So yes, I was very much aware of time.

After that debacle, I kept a close eye on the other table afraid they would knock my wine over too! Max definitely overbooked because there were six girls at a table for four. Violation, much? Let’s just say if there was a fire, I would have burned since there was no clear path for me to exit my seat, let alone the restaurant.

But that’s not the icing on my rotten birthday cake. After I had only taken four bites of my dinner, two bites of soapy-tasting spaghetti and two bites of bland eggplant parmesan, the manager (55-yr old, long stringy blond hair, and oversized black-rimmed glasses) took our plates away. She didn’t ask, “Are you finished?” Instead, she asked, “Would you like that wrapped?” Um, sure lady. Thanks.

After the manager came back with my dinner-to-go, my girl friends and I inquired about dessert. She verbally delivered the dessert menu, started taking our orders and then said, “To be honest, I can’t serve you dessert because you were late.” Ex-squeeze me?! My girl friends were quick to remind her that they had been at the bar since 5pm! The manager retorts, “Exactly! That’s why you were late!” We then asked for the check and as we waited, she continued to argue with us about why we were rushed our of the restaurant. I have so many words re: the manager’s IQ level and lack of business acumen, but I will spare you, dear reader.

All you have to know is that Max Tribeca is done. It’s not the same and it shall never be. The food is bland at best, and the service? The manager working on Feb 11, 2020 needs to be let go. Even by NY standards, she’s a vile and toxic person who should not be anywhere near the service industry.

Please spare yourselves the trouble and go elsewhere. It was 7:25pm when my girl friends and I headed over to Primo’s for cocktails and dessert. As their name implies, the service was primo! Max could learn something from Primo’s. Or Max can spare us all and just close shop.",February 2020,Max,https://www.tripadvisor.com/Restaurant_Review-g60763-d874212-Reviews-Max-New_York_City_New_York.html,"New York City, New York",restaurants,1.0,4.0
I Abhor Amtrak,"Why is Amtrak the absolute worst? Is it because Amtrak has a monopoly? I have traveled on premium train service in Europe and first class tickets are always cheaper AND the service far exceeds that of Amtrak on their best day! Why is that?

It’s not even like I’m traveling from one unknown city to another. New York to Boston and New York to Baltimore are popular routes! Yet still, Amtrak cannot get it together. It is so obvious that they don’t care because they have a monopoly on said routes as far as rail systems are concerned. The higher the fare, the worst the service.

I wish that some foreign entity will buy them out. Since standards are higher abroad, Amtrak will be improved.",December 2019,Amtrak,https://www.tripadvisor.com/Attraction_Review-g60745-d8457318-Reviews-Amtrak-Boston_Massachusetts.html,"Boston, Massachusetts",attractions,1.0,3.5
