title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Amazing Experience,"When we decided to visit Maramures, we were looking for a place just like this one. A traditional wooden house. I really recommend choosing an accommodation like this one when visiting Maramures, rather than a modern hotel. It's part of the experience.
Our host was amazing and the best part was the food. Really recommend choosing to eat at ""La Gorgan"".
The rooms were clean, warm and traditionally decorated.
We will definitely return.",October 2020,Pensiunea La Gorgan,https://www.tripadvisor.com/Hotel_Review-g1030734-d9813004-Reviews-Pensiunea_La_Gorgan-Vadu_Izei_Maramures_County_Northwest_Romania_Transylvania.html,"Vadu Izei, Romania",hotels,5.0,4.5
Amazing Experience,"I really enjoyed the first experience that i had with MAT. This restaurant was recommended to us by a friend.
The tacos were amazing. A bit pricy but amazing and the staff was very friendly.
I really recommend this place",December 2020,M.A.T Restaurant,https://www.tripadvisor.com/Restaurant_Review-g294458-d21084099-Reviews-M_A_T_Restaurant-Bucharest.html,"Bucharest, Romania",restaurants,5.0,4.5
One of the best burgers,"I love them. I have found Coffee shop and Burger when i moved nearby. Since then, i have eaten there and ordered especially, a lot. The Burgers are amazing. I really recommend going there. I have even sent there so many friends. They also had an amazing experience.",October 2020,Coffee Shop & Burger,https://www.tripadvisor.com/Restaurant_Review-g294458-d17675376-Reviews-Coffee_Shop_Burger-Bucharest.html,"Bucharest, Romania",restaurants,5.0,5.0
Amazing Experience,"I really enjoy coming here. The garden is so beautiful and quiet. It's the perfect place for a good breakfast, or a nice dinner with some friends.
Me and my husband even organized a small event here. It was amazing.",August 2020,Suento,https://www.tripadvisor.com/Restaurant_Review-g294458-d14165411-Reviews-Suento-Bucharest.html,"Bucharest, Romania",restaurants,5.0,4.0
A nice place to have a delicious breakfast,We searched a lot for a place to have breakfast when we were in Sibiu. After a while we found this nice place that opens early. The food was delicious. We will definitely return,August 2020,Local,https://www.tripadvisor.com/Restaurant_Review-g295393-d17430632-Reviews-Local-Sibiu_Sibiu_County_Central_Romania_Transylvania.html,"Sibiu, Romania",restaurants,5.0,5.0
Best burger ever !!!,"Best burger ever. I was amazed by how good was the food.
The stuff was very friendly and the food arrived in no time.",July 2020,Pirouette Bistro,https://www.tripadvisor.com/Restaurant_Review-g295396-d14543337-Reviews-Pirouette_Bistro-Constanta_Constanta_County_Southeast_Romania.html,"Constanta, Romania",restaurants,5.0,4.5
"Amazing food, Amazing location","We went there because it was close to us, to the beach we went that day. It was our first time there and we were amazed. The place is so peaceful and quiet. The food was absolutely delicious and the stuff was friendly. We already recommended the place to some of our friends and we will definitely return.",July 2020,Cherhana Bosoanca,https://www.tripadvisor.com/Restaurant_Review-g11893701-d14048415-Reviews-Cherhana_Bosoanca-Vadu_Constanta_County_Southeast_Romania.html,"Vadu, Romania",restaurants,5.0,4.5
Good food but bad service,"We went today for the first time at Tasaul. The place was recommended to us by a friend. We arrived at 14:00 ordered a starter and A main course. We were starving. The starter arrived in 40 minutes. It was good, but very small. After that we waited and waited for the main course. The food arrived at 16:00. They apologized by saying it is Sunday and the place in crowded but in the time that we sat and waited for the food, lots of people arrived, were served and were leaving, having same dishes as we did. We were a small table (only 2 people) and didn’t order a lot.
The food was good but not marvelous.",July 2020,Cherhanaua Tasaul,https://www.tripadvisor.com/Restaurant_Review-g1956122-d8606117-Reviews-Cherhanaua_Tasaul-Navodari_Constanta_County_Southeast_Romania.html,"Navodari, Romania",restaurants,2.0,3.5
Amazing Experience,"We went there in January. The weather was perfect. Not to hot, not to cold, but sunny.
There were not so many people, not so crowded.
You have to walk a little to get to the top but it's pleasant.
The view from there it's absolutely stunning.

I love that they are restoring it.",January 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Great place, Great food","The place is near the city center, near Acropolis, is great for lunch and dinner.
We had sea food and it was delicious.
The servings was great and fast.",January 2020,Piato El Greco,https://www.tripadvisor.com/Restaurant_Review-g189400-d10765706-Reviews-Piato_El_Greco-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
