title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Very informative, but no audio guide",Take your time walking around and reading the information. But as I titled this I was disappointed that they offered no audio guide. Maybe there's something on the web.... but without such a guide unless your a history buff you'll zone out after 25%.,February 2020,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
Very impressive,"Very well worth a look. In my opinion this is the nicest and most impressive structure around the Acropolis.... and that's probably because you come across it from above and it is jaw-droppingly impressive. And clearly it was even more impressive when fully built 2,000+ years ago.",March 2020,Herod Atticus Odeon,https://www.tripadvisor.com/Attraction_Review-g189400-d242840-Reviews-Herod_Atticus_Odeon-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Spend an hour or two here and you'll be delighted,"It's a bit of a walk to get to the Acropolis, but worthwhile. Watch your footing on the smooth marble - as that can be quite slippy. Be prepared that many of the structures are in ruins - it is 2,500 years old after all! My favourite was the view down to the Herod Atticus Odeon - an hemispherical amphitheater intended to accommodate 5,000 people. While the Parthenon is the main attraction, there's also the impressive Propylaia columned structure that you walk through to get up to the top, and another smaller structure, called the Erechthelon, that reasonably intact. It's also a great place to get views of the city.",February 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
"Pricey, but a superb treat",Had pigeon for starter. That was a first for me. Tasty. Had venison for mains - not an overly generous amount of meat (Not that I'm a savage... but go for a steak if you want something big to sink your teeth into). Enjoyed a nice bottle of Chilean wine. Wife enjoyed her dinner too... but I just can't recollect what she had!! Seating & ambiance was good. Recommend for a romantic dinner.,January 2020,Reed Restaurant at Ferrycarrig Hotel,https://www.tripadvisor.com/Restaurant_Review-g2661135-d1935859-Reviews-Reed_Restaurant_at_Ferrycarrig_Hotel-Ferrycarrig_Wexford_County_Wexford.html,"Ferrycarrig, Ireland",restaurants,4.0,4.5
"Nice hotel, long corridors","Stayed for a pleasant weekend. Changed rooms several times. Once due to heating being way to high (& you can't adjust the radiators). Next due to faulty TV. Staff were very understanding & accommodating... buy I'd rather there had been no issues. Breakfast was good, with a lovely view of the river. We did the fine dinning on Sat evening- pricey, but a lovely experience. There's construction right outside the lobby, so parking was often a bit of a walk.... which isn't so much fun with bags.",January 2020,Ferrycarrig Hotel,https://www.tripadvisor.com/Hotel_Review-g2661135-d212713-Reviews-Ferrycarrig_Hotel-Ferrycarrig_Wexford_County_Wexford.html,"Ferrycarrig, Ireland",hotels,4.0,4.5
Well worth visiting and well worth the guided tour fee,"Definitely go see this. It's about a 25 min tram ride out of the city, eastwards. This was a prison block established by the Soviets right after WW2. The a few years later when the GDR government was formed, it became the main prison for the Stasi. You can only visit this place via a guided tour. For us it was in English, and lasted 90mins. You're brought through the lower (older) prison cell corridors (pretty rough!), up along more modern ones. Then we were brought along to see the interrogation ""interview"" rooms. A few thousand people were incarcerated here.",October 2019,Berlin-Hohenschonhausen Memorial,https://www.tripadvisor.com/Attraction_Review-g187323-d313983-Reviews-Berlin_Hohenschonhausen_Memorial-Berlin.html,"Berlin, Germany",attractions,5.0,4.5
Good quality Vietnamese food,"3 of us ate there Wednesday evening. I thought it was a bit expensive. Restaurant was quiet... not much atmosphere. Perhaps that's Wednesdays! Food was good. We shared 2 starter, and had a main each. I can't remember what we each ate... but all 3 of us loved the food. And I think you could randomnly pick anything off the menu and it'd be good. Also, this was the only place I found had Diesel beer during this trip to Berlin - very nice beer!",October 2019,Ngon Restaurant Berlin,https://www.tripadvisor.com/Restaurant_Review-g187323-d12839094-Reviews-Ngon_Restaurant_Berlin-Berlin.html,"Berlin, Germany",restaurants,4.0,4.5
Fantastic accomodation,"Stayed in a regular room (Deluxe studio). Fantastic. The king sized bed was super comfortable. Floor to ceiling windows (granted not a pleasant view - a disused site / car park!). Good bathroom - shower (no bath in this grade of room), with super hot water. Bathrobes & slippers!! Flatscreen TV with several English channels (though BBC didn't work - must be Brexit related!!). But the best thing was the fridge, kettle, microwave, and all the mini-kitchen equipment. This meant we could shop in the supermarket across the street and make our normal breakfasts! Awesome!",October 2019,Capri by Fraser Berlin,https://www.tripadvisor.com/Hotel_Review-g187323-d12419465-Reviews-Capri_by_Fraser_Berlin-Berlin.html,"Berlin, Germany",hotels,5.0,4.5
Eerie atmosphere,"It's all about the building. I mean the shape of the corridors, the angles, the criss-crossing corridors, minimal signage - all intended to slightly disorient you. It's not meant to be pleasant nor easy to follow. It's not entertainment. The aim is to get you to experience discomfort as you think about what happened to the Jews in Germany leading up and during WW2. Worth visiting.. but not with young children.",October 2019,Jewish Museum Berlin,https://www.tripadvisor.com/Attraction_Review-g187323-d190519-Reviews-Jewish_Museum_Berlin-Berlin.html,"Berlin, Germany",attractions,4.0,4.0
Trendy restaurant with a good selection of healthy food,"Three of us went their Thursday evening around 8pm... quite busy. Splashed out and had the ""Dinner with Friends"" meal for €38... 2 of us had it with drink for €54 (I think). Had all sorts of delicious vegitables, shrimps, cous cous, enormous rib, fish,... and the beer kept coming & coming! No the easiest restaurant to find - but worth it!",October 2019,Night Kitchen Berlin,https://www.tripadvisor.com/Restaurant_Review-g187323-d12611886-Reviews-Night_Kitchen_Berlin-Berlin.html,"Berlin, Germany",restaurants,5.0,4.5
Very pleasant ambiance,"Get a seat by the big bay window and watch the world go around! Staff were very friendly, smiling and accommodating. My wife & I stopped off just to have an afternoon coffee/tea, but once we saw all the interesting things on the menu we expanded our plans! I had a delicious avocado beetroot-hummus eggs benedict thing. Not massively filling - but probably just as well as I had had a HUGE breakfast. Missus had some interesting chicken sandwich in a toasted bap with fries. Really savored our visit. We were the last to leave and got a gift of 2 scones on the way out!",October 2019,Hook & Ladder Sarsfield Street,https://www.tripadvisor.com/Restaurant_Review-g186621-d6825601-Reviews-Hook_Ladder_Sarsfield_Street-Limerick_County_Limerick.html,"Limerick, Ireland",restaurants,5.0,4.5
good value 3 course dinner for €22,"Good music from the 70s & 80s! 3 course dinner was €22 each... so you can't argue with that price. Caesar salad with prawns starter - excellent! Wife had a scampi starter with side salad - but I reckon that was actually prawns. I had a fish & chips for mains... okay, but wouldn't go for it again...just not a big fan of battered things (my mistake). Wife had chicken thing (can't remember name) - but nicer looking. Deserts - choc cheese cake (yum!), organic apple pie with custand & ice-cream (also yum!),",October 2019,McGettigan's Limerick,https://www.tripadvisor.com/Restaurant_Review-g186621-d6888951-Reviews-McGettigan_s_Limerick-Limerick_County_Limerick.html,"Limerick, Ireland",restaurants,4.0,3.5
Comfortable double room. Nice visit,"Had a comfortable double room on 5th floor with view of the river. Double bed was a little narrower that I'm used to (so not a King-sized!), but comfortable mattress and pillows. Nice thing is the window could be opened and left on tilt... so fresh air! Bathroom was a little small.... bath itself was the shallowest and possibly shortest one I've even been in.... but not a problem, more an experience! Tea & coffee making facilities, iron and reasonable size flat screen TV in the room. Overall happy with the room for the price and 3 star level. Breakfast was fairly nice too - with a good selection of all the usual hot & cold buffet items. Staff were friendly.",October 2019,Limerick City Hotel,https://www.tripadvisor.com/Hotel_Review-g186621-d239551-Reviews-Limerick_City_Hotel-Limerick_County_Limerick.html,"Limerick, Ireland",hotels,4.0,3.5
Magnificent gilted decorations and artwork,"What a feast for the eyes. Very nicely restored/maintained. A magnificent altar and backdrop, with a half-dome of gilt painted religious figures above. Very high ceiling. Several interesting side alters and shrines to various saints. Big organ at the back. Well worth seeing.",October 2019,Redemptorist Church,https://www.tripadvisor.com/Attraction_Review-g186621-d6585880-Reviews-Redemptorist_Church-Limerick_County_Limerick.html,"Limerick, Ireland",attractions,5.0,4.5
Beautiful interior,Well worth popping in to see. Well maintained/restored. Dark marble pillars and very ornate arches supporting the high ceiling.,October 2019,Augustinian Church,https://www.tripadvisor.com/Attraction_Review-g186621-d216452-Reviews-Augustinian_Church-Limerick_County_Limerick.html,"Limerick, Ireland",attractions,4.0,4.0
Depressingly good!!,Well worth the €5 admission. But hurry it's closing for good end of October (due to lack of funding). A volunteer guide gave 4 of us a tour. Spent 90 mins of so there. There's a classroom - where Frank when to school - and LOTS of memorabilia to look at & read. There's also a mock up of one of the places Frank lived in with his family. Must have been miserable growing up in that poverty and squalor!,October 2019,Frank McCourt Museum,https://www.tripadvisor.com/Attraction_Review-g186621-d2619000-Reviews-Frank_McCourt_Museum-Limerick_County_Limerick.html,"Limerick, Ireland",attractions,5.0,4.5
Very nice tranquil park... with interesting paths and hollows,"Lovely park... not to far off the size of a Stephen's Green...(let's call it an Irish city block!). Interesting places to sit. Visited it on a quiet sunny Sunday morning - perfect place for such a day. Interesting hollows, and windy paths. Not a boring flat park! Contains a kiddies play area too.",October 2019,People's Park,https://www.tripadvisor.com/Attraction_Review-g186621-d191235-Reviews-People_s_Park-Limerick_County_Limerick.html,"Limerick, Ireland",attractions,5.0,4.5
What an excellent guided tour,Visited this on Saturday with my wife. €7.50 in each. Spent about 90mins there. Met a volunteer guide in the 1st room - Brendan - and a young art student (Siobhan?). Brendan accompanied us around the entire museum and brought the whole place alive. He added soooo much to the experience. It was the highlight of our weekend.,October 2019,Hunt Museum,https://www.tripadvisor.com/Attraction_Review-g186621-d191034-Reviews-Hunt_Museum-Limerick_County_Limerick.html,"Limerick, Ireland",attractions,5.0,4.5
Superb beach,"This is a very long beach.... close to 2 km long, We were there for 5 days in August. Sand was lovely and clean. Not too crowded (even for early August), but more than enough people to create a great atmosphere. You can rent deck chairs under umbrellas. It is a very gentle gradient beach... so there is quite a difference between high and low tide. Life-guards were there from 11am-7pm. Water sports activities available. But it's a great beach to just chill and relax on. The water in early August was a pleasant temperature. There were some jelly fish washed up occasionally.... but nothing dangerous.",August 2019,Plage de la Grande Conche,https://www.tripadvisor.com/Attraction_Review-g207350-d12707913-Reviews-Plage_de_la_Grande_Conche-Royan_Charente_Maritime_Nouvelle_Aquitaine.html,"Royan, France",attractions,5.0,4.0
nice clean and efficient ferry,We took ferry from Point de Grave to Royan. One way (car plus 2 people) was ~€35 or thereabouts. About a 30minute journey. No need to book in advance. We had a 20 minute wait as the ferry arrived and they let everyone off before boarding started. Perfectly comfortable ferry. You can get hot & cold drinks on board.,July 2019,Bac de Royan,https://www.tripadvisor.com/Attraction_Review-g207350-d10696008-Reviews-Bac_de_Royan-Royan_Charente_Maritime_Nouvelle_Aquitaine.html,"Royan, France",attractions,4.0,4.0
"Delightful hotel, excellent room, friendly staff","Had a double room on 3rd floor facing the sea. Comfortable room, lovely bed, great shower. Not a large room but the quality of the furnishings and the view made up for that. Small balcony - but one where we ate breakfast on most mornings. We paid for the buffet breakfast (which you can have brought up to your room). Room also had a small refrigerator - and we were able to borrow a kettle from reception. Reception staff were very friendly and made us feel very welcome. Stayed for 5 nights out of a 18 day trip to West coast of France - both of us wished we had planned to stay longer in this hotel.",August 2019,Family Golf Hotel,https://www.tripadvisor.com/Hotel_Review-g207350-d1465468-Reviews-Family_Golf_Hotel-Royan_Charente_Maritime_Nouvelle_Aquitaine.html,"Royan, France",hotels,5.0,4.5
3 enjoyable nights,"Clean modern rooms with comfortable beds. Note the rooms are small... and while there is no air conditioning, we could borrow a fan from reception. The reception staff were very friendly and some could speak English. Breakfasts were very nice. The hotel is ~15 mins stroll from a nice beach - Plage Les Dames. Very happy with our stay. Watch out for mosquitos at night!",July 2019,La Chaize,https://www.tripadvisor.com/Hotel_Review-g425088-d1900853-Reviews-La_Chaize-Noirmoutier_en_l_Ile_Ile_de_Noirmoutier_Vendee_Pays_de_la_Loire.html,"Ile de Noirmoutier, France",hotels,5.0,4.5
Busy evening restaurant by the beach,Had a great priced set menu... ~€16 for 3 course (weekday evenings). Had a buffet salad as starter - great! A minced salmon with pasta main - okay. Chocolate tart desert - yum. Wife had a large Caesar salad - very good. Busy restaurant - expect to wait a bit for service etc. Happy to go back.,August 2019,Le Tiki,https://www.tripadvisor.com/Restaurant_Review-g207350-d2221153-Reviews-Le_Tiki-Royan_Charente_Maritime_Nouvelle_Aquitaine.html,"Royan, France",restaurants,4.0,3.0
Steak & burger restaurant,"Good selection of burger options and steaks. Set menu options are reasonable too. We were happy such that we went twice! It stays open till 11pm on Saturdays (which is hard to beat in this local area!). Don't go for ""bien cuite""... it's just way too dry / over-done.",August 2019,Restaurant La Boucherie Royan,https://www.tripadvisor.com/Restaurant_Review-g207350-d6617638-Reviews-Restaurant_La_Boucherie_Royan-Royan_Charente_Maritime_Nouvelle_Aquitaine.html,"Royan, France",restaurants,4.0,4.0
