title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
A very different Vegan experience....,"A very different Vegan experience....

It’s not your typical vegetarian restaurant, it’s not trying to save the planet, nor is it filled with self-righteous people eating vegetables. This is a place where the chef makes a real effort to transform basic vegetables into a gourmet experience. I actually loved how I didn’t know what was coming next, and I didn’t know what to expect over many courses. It was fun, it was an adventure (albeit an expensive one), but well worth it.

And a special thank you for your ability to accommodate all of my special allergy requirements - that too was a treat!",February 2020,Dirt Candy,https://www.tripadvisor.com/Restaurant_Review-g60763-d1236468-Reviews-Dirt_Candy-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
"Interesting to view, but not outstanding","It’s an interesting stadium that can be viewed from the exterior. It’s a site, not anything brilliant, but worth a look. I wouldn’t go out of my way to view it, but if you pass by stop and take a look, it’s worthwhile.",September 2019,Panathenaic Stadium,https://www.tripadvisor.com/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
The best Jewish tour of Athens possible! Discover 2500-year history of Jewish life in Greece,"A friend recommended that I try out this tour and I was not disappointed at all. It was outstanding. Throughout one tour we discovered the 2500 year history of Jewish life in Greece, its highlights and its low points. Daniel is an outstanding tour guide, he is knowledgeable, articulate, full of knowledge, and is eager to share his unique personal Jewish history. If one is traveling to Athens and is seeking an informative Jewish tour, do not look elsewhere.",September 2019,Jewish Heritage Tours,https://www.tripadvisor.com/Attraction_Review-g189400-d5568555-Reviews-Jewish_Heritage_Tours-Athens_Attica.html,"Athens, Greece",attractions,5.0,5.0
An amazing find!,"I loved the attention to detail in this hotel, in all parts of it. There is something unique going on here, there is an actual feeling you get being transported to another time, yet still remaining very much 21st century NYC.

It is a beautifully appointed room, filled with amenities, comforts, and luxury. Superbly comfortable bed, wonderful bathroom (that has to be one of the best showers in a hotel), soft and large towels, top of the line products, and overall a sense of comfort.

We stayed in this area to be close to our daughter who lives nearby, but no matter what, I would still return.

Thank you for an excellent stay! You will see us again!",November 2019,The Bowery Hotel,https://www.tripadvisor.com/Hotel_Review-g60763-d634696-Reviews-The_Bowery_Hotel-New_York_City_New_York.html,"New York City, New York",hotels,5.0,4.5
OUTSTANDING!,"OUTSTANDING! Perhaps the finest Kosher restaurant anywhere. The setting, the decor, the menu, the service, it’s a real 10/10. For those looking for outstanding Kosher cuisine, this is the place to go to!",November 2019,Reserve Cut at The Setai,https://www.tripadvisor.com/Restaurant_Review-g60763-d5429901-Reviews-Reserve_Cut_at_The_Setai-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
"Great location, huge rooms, a little tired...","The location of this hotel is really outstanding. If you need to be in midtown and at a distance from the madness of Times Square, this is a great option.

I think the rooms are a little tired, but they are so large that it makes up for the look. I’d love to see what the hotel will look like when the rooms get an upgrade.

Good gym, even while it was all under construction.

But time for new mattresses, modern bathrooms, and a chic update of the rooms. When that occurs, you will get a 5 Star!!",November 2019,Lotte New York Palace,https://www.tripadvisor.com/Hotel_Review-g60763-d126260-Reviews-Lotte_New_York_Palace-New_York_City_New_York.html,"New York City, New York",hotels,4.0,4.5
Just a really nice boutique hotel,"You can’t beat the location if you want a short getaway to Tel Aviv. My wife and I had a wonderful stay, just one night, but more would have been good too. I really liked the room we chose, large and with a balcony, very comfortable, and just a nice warm feeling.

It’s a small hotel, charming, clean, exceptional staff, and a nice place to stay.

It would have been nice if the breakfast was Kosher, but you can’t have everything, and since they are right next to one of my favorite (Kosher) steak places in Tel Aviv, I can’t really complain.",November 2019,Fabric Hotel Tel Aviv - an Atlas Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g293984-d14416788-Reviews-Fabric_Hotel_Tel_Aviv_an_Atlas_Boutique_Hotel-Tel_Aviv_Tel_Aviv_District.html,"Tel Aviv, Israel",hotels,5.0,5.0
Tiny but nice...,"Cute hotel in an area I needed to stay in. The room is very minuscule, well-appointed, but it is not big enough for more than one person, and should you have a large suitcase, such as I did, the room was really too small for one person.

The decor is nice, it’s a funky vibe, no lobby, no real place to sit or meet people, and it was fine. For a 2-night stay it was okay, certainly very clean and the room was nice, but its tiny size would make me reconsider going again.

They certainly try hard and the service is excellent, but I would have preferred more room to breath.",September 2019,"The Standard, East Village",https://www.tripadvisor.com/Hotel_Review-g60763-d1149402-Reviews-The_Standard_East_Village-New_York_City_New_York.html,"New York City, New York",hotels,3.0,4.5
Once again Le Germain does it well!,"It was just a one-night quiet stay in the hotel and it was excellent. I had wanted to stay in this hotel since it opened recently and the wait was worth it. I didn’t experience much besides the night in the hotel, but the corner room with views of the city and the large and beautifully laid out space made for a wonderful evening. The bed is fantastic.

I am a fan of Le Germain and this one did not disappoint. Well done!",September 2019,Le Germain Hotel Ottawa,https://www.tripadvisor.com/Hotel_Review-g155004-d13962693-Reviews-Le_Germain_Hotel_Ottawa-Ottawa_Ontario.html,"Ottawa, Canada",hotels,5.0,5.0
"A must-see, but...","Yes it’s an important site, and yes it’s impressive, but it does not rock your world. Totally worth a visit, but I wouldn’t run to Athens with this as my sole purpose of visiting unless of course there was a need to connect with Ancient Greek history.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
