title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Clean, Beautiful, a Great Place to Wander!","Plaka is very clean compared to much of Athens and there is a distinct lack of graffiti compared to many areas. The shops are many and interesting, and generally the feel of the area is that it is safe.",October 2019,Plaka,https://www.tripadvisor.com/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Amazing!,"Awe inspiring and intriguing, but needed the knowledge and enthusiasm of a tour guide to fill in all the details not provided in the monument.",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Beautiful and Timeless!,"An awe-inspiring monument which demonstrates the intelligence of the folk at the time in being able to build such columns etc. It does help to have a guide though, to fill in all the missing details not available around the monument.",September 2019,Parthenon,https://www.tripadvisor.com/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html,"Athens, Greece",attractions,4.0,4.5
Interesting Detail,"A number of interesting exhibits, many of which had been restored so that the viewers could see it's original state rather than only what remained. Needs a guide to fill in the gaps of the stories though.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,3.0,4.5
A Great Learning Experience!,"Costas our tour guide was a wealth of knowledge and his English was superb. His knowledge of Greek history and mythology was exceptional and made for an outstanding tour. Without the knowledge and insight of guides like Costas much of the city is columns and ruins without explanation, so you've no clue as to what you are looking at. There were a few welcome stops throughout the day, but it's a pretty full-on five hours, be prepared to walk! In this particular case, it's not called a walking tour for nothing!
My only negative was the timing. The walk up to the Acropolis is not easy and there are many steps which we were climbing at about 12:30, reaching the top at about 13:00 I think, so making it to the highest point at nearly the hottest point of the day - a time at which should only be enjoyed by mad dogs and Englishmen, don't they say?! I feel the Acropolis Museum could have been visited before the Acropolis itself as then we would have been climbing a bit later as the afternoon cooled.",September 2019,"The Acropolis, Athens Walking City Tour and Acropolis Museum",https://www.tripadvisor.com/AttractionProductReview-g189400-d13225356-The_Acropolis_Athens_Walking_City_Tour_and_Acropolis_Museum-Athens_Attica.html,"Athens, Greece",activities,4.0,5.0
Interesting!,"Not too much to look at in reality, but worth a climb to the top ramparts for the view if you have a few spare minutes to fill.",September 2018,Essaouira Ramparts,https://www.tripadvisor.com/Attraction_Review-g298349-d479062-Reviews-Essaouira_Ramparts-Essaouira_Marrakech_Safi.html,"Essaouira, Morocco",attractions,4.0,4.5
Don't be Fooled by the Pretty Pictures on TripAdvisor!,"This place is filthy, smelly and generally a real let-down. Don't be fooled by the pictures of the pretty brightly-coloured blue fishing boats on here, the reality is nowhere near the same!",September 2018,Essaouira Fishing Port,https://www.tripadvisor.com/Attraction_Review-g298349-d479064-Reviews-Essaouira_Fishing_Port-Essaouira_Marrakech_Safi.html,"Essaouira, Morocco",attractions,2.0,4.5
Amazing Food!,"My husband and I chose the set menu and had the Moroccan soup to start, the beef tenderloin for our main and fruit salad for dessert. The food was amazing and the beef was indeed very tender! The restaurant was extremely busy with a queue at 20:00 waiting to be seated, then a further queue waiting until 22:00! Even so, we didn't feel rushed to eat and were able to enjoy our meal. Due to the fact that as many tables as possible are fitted into the restaurant and everyone is very close together, my husband in particular did get quite hot and we were relieved to get out into the fresh air. Negotiating your way through the tables is quite difficult if you need to use the convenience once you've been seated, it requires coordination with the next table to get through, but other than that it was perfect.",September 2018,Restaurant Adwak,https://www.tripadvisor.com/Restaurant_Review-g298349-d5994887-Reviews-Restaurant_Adwak-Essaouira_Marrakech_Safi.html,"Essaouira, Morocco",restaurants,5.0,4.5
Wonderful Bikes!,"We arranged to hire bikes through our hotel - Villa Quieta, and they were delivered the next day at 10:00 as arranged. They were both fantastic bikes, brand new and extremely easy to use it terms of gears. They were both Giselle bikes, one male and one female and were really comfortable providing for a sitting upright posture instead of having to lean forward which personally gives me backache. My husband and I had a great time riding up and down the promenade in Essaouira, we also went into the Medina and had a coffee in the square before then cycling to the supermarket to stock up on a few snacks for the next day and our flight home, before then returning to the hotel where we left the bikes for collection again that evening! Very good efficient service, I would not hesitate to recommend Essaouira e-bikes.",September 2018,Essaouira E-bikes,https://www.tripadvisor.com/Attraction_Review-g298349-d15097063-Reviews-Essaouira_E_bikes-Essaouira_Marrakech_Safi.html,"Essaouira, Morocco",attractions,5.0,5.0
Amazing Toubkal!,"Our Riad in Marrakech arranged this day trek for us, we were collected by our walking guide in Imlil. Our guide was so lovely, he spoke very good English which he said he'd had to take himself off to Marrakech to learn. The first part of the walk was quite steep and it had been a while since I had done anything like it, but we were allowed to go at our own pace, our guide was very patient and even carried my handbag to alleviate the drag from me! It was a really memorable day and we talked about many things to do with his village, housing, Marrakech amongst others. The waterfalls he took us to see were spectacular and I conquered my fear of heights somewhat climbing up to his village. On the way back down we were treated to a superb chicken tagine with vegetables and bread along with water and mint tea, followed by fruit. An amazing day, which I couldn't recommend enough.",September 2018,Toubkal Guide,https://www.tripadvisor.com/Attraction_Review-g293734-d2141452-Reviews-Toubkal_Guide-Marrakech_Marrakech_Safi.html,"Marrakech, Morocco",attractions,5.0,5.0
