title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
"Gourmet pizza, great salads and super starters","Started off with calamari, meatballs and salads. So good. We ordered so we could do family style. The gnocchi was incredible! My fav. Pizzas were great. But I was almost full by the time pizza came! My son and his friends loved the place and the cool vibe. Great service.",April 2021,Ribalta Pizza,https://www.tripadvisor.com/Restaurant_Review-g60763-d3158813-Reviews-Ribalta_Pizza-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
"Excellent steaks, sides and salads","I took my Gators for a great celebratory dinner. My college kids were excited for a great meal...and it certainly was! It started off with a choice of tasty bread slices. We had the incredible prime filet mignon flatbread. The porterhouse steaks were excellent. I was pleasantly surprised. Especially because I ate at a NYC steakhouse the night before and I thought the steak was just as good if not better. The buttery spinach was one of our favs, along with the lobster mashed potatoes. The truffle Mac was a little bland. But overall a great meal.",April 2021,Embers Wood Grill,https://www.tripadvisor.com/Restaurant_Review-g34242-d1492008-Reviews-Embers_Wood_Grill-Gainesville_Florida.html,"Gainesville, Florida",restaurants,5.0,4.5
Delicious pizza and waffles! Awesome outdoor picnic tables.,"Delicious deep pan pizza. Loved the squared crispy crust. The specialty pizzas were amazing (Motor City and Buffalo Bird). I took my college daughter and her girlfriends for dinner. Served in pizza boxes we asked for paper plates and sat in one of the many picnic tables. The pizza was devoured pretty quickly so we then ordered the buttery waffles. So good! Such a fun, flavorful and a carb-full meal!",April 2021,Satch Squared,https://www.tripadvisor.com/Restaurant_Review-g34242-d21350389-Reviews-Satch_Squared-Gainesville_Florida.html,"Gainesville, Florida",restaurants,5.0,5.0
Casual and colorful style,I almost felt like I was going into a college apartment building with the pool tables in the lobby. Causal and colorful chairs and tables. Young vibe. It could use a little cleaning. Rafael at the front desk was very helpful. Convenient location to campus & 34th Street.,April 2021,Aloft Gainesville University Area,https://www.tripadvisor.com/Hotel_Review-g34242-d14031455-Reviews-Aloft_Gainesville_University_Area-Gainesville_Florida.html,"Gainesville, Florida",hotels,4.0,4.0
Charming tavern with delicious dishes,"When you walk into the restaurant it has a charming warm decor. Plexiglass divides each table. We were served humus and thick toasted bread right away. The Greek salad was solid with onions, small cucumbers and even a few capers. The grilled octopus appetizer was delicious. The seafood medley with orzo & feta was excellent and hearty. Only wish our waiter was better. He never checked on us. I had to recruit another sweet waitress to fill our waters and clear our plates.",April 2021,Anassa Taverna,https://www.tripadvisor.com/Restaurant_Review-g60763-d4410972-Reviews-Anassa_Taverna-New_York_City_New_York.html,"New York City, New York",restaurants,4.0,4.0
Swordfish and shrimp delight,A charming and delightful little restaurant on the main road in Dorado. Our waiter was so hospitable. We enjoyed our Italian meal very much.,April 2021,Grappa,https://www.tripadvisor.com/Restaurant_Review-g147322-d1655718-Reviews-Grappa-Dorado_Puerto_Rico.html,Puerto Rico,restaurants,4.0,4.5
Dorado delight,"I haven’t been to this property in 20 years. They did a beautiful job renovating and refurbishing the rooms and lobby. Very modern tropic. Best part is the beach! I love the alcove and the privacy of just our hotel. It took me a day to adjust to the decrepit building next door that they are demolishing. I stayed in my zone and appreciated the Hyatt property. The staff was incredibly helpful. Special shout out to Natasha R. And Nancy P. At the front desk. They were charming and hospitable. We met the GM, Gabriel, who was very welcoming.",April 2021,"Hyatt Residence Club Dorado, Hacienda del Mar",https://www.tripadvisor.com/Hotel_Review-g147322-d254380-Reviews-Hyatt_Residence_Club_Dorado_Hacienda_del_Mar-Dorado_Puerto_Rico.html,Puerto Rico,hotels,5.0,4.0
The delicious taste of Greece in Gramercy,"Having gone to Greece last year before COVid , I loved the vibe of white decor with splashes of blue. This charming corner restaurant family owned and run was a lovely and flavorful experience. Our traditional Greek parties were delectable and the lamb was soft and tasty. Highly recommend this upscale spot.",February 2021,Eleni’s NYC Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60763-d20217998-Reviews-Eleni_s_NYC_Restaurant-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.0
Amazing Italian food and flavor,"We enjoyed a fabulous family dinner starting off with a pitcher of sangria, truffle ravioli (insane!) and seafood medley. The chicken parm was perfect. The shrimp scampi was delish. Our waitress, Jordan, was terrific! She made our dinner experience even better! We will be back!",December 2020,Tony's Di Napoli,https://www.tripadvisor.com/Restaurant_Review-g60763-d2724147-Reviews-Tony_s_Di_Napoli-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.5
Best burger and bone!,"My husband tried for weeks to get a reservation. We got one at 5pm! We took it. We had the place pretty much to ourselves inside. Our college age son was in heaven with the amazing burgers! We loved both the Black label burger and the Minetta burger. Probably one of our top 3 burgers we have ever had. So soft and juicy. The bone marrow was smooth and tasty. I’d never had it before, and truly enjoyed it. The spinach was a surprise side. Our waiter was excellent, Tony from Croatia, he was part of the amazing dining experience. Guillermo from Mexico, did a terrific job too. We will definitely be back.",December 2020,Minetta Tavern,https://www.tripadvisor.com/Restaurant_Review-g60763-d423299-Reviews-Minetta_Tavern-New_York_City_New_York.html,"New York City, New York",restaurants,5.0,4.0
