title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
gastronomic memories before lockdown,"My small group of lady friends decided to go to this restaurant for their famous dumplings as well as to enjoy an uncluttered view of the Manila Bay. We came quite early and had a good table for four. Service was fast and we regaled tasting each dish that was brought in. We had bean curds quite out of the ordinary, noodles, duck which we enveloped in light crêpes, a cool crunchy cucumber salad and the pièce de résistance were the xiao long bao dumplings. You are supposed to start in the middle which was the classic dumpling, then taste the green ginseng one. Going clockwise, the foie gras afterwards, then black truffle, followed by cheese, crab roe, garlic and finally the Szechuan dumpling. It was a feast for the palate and also for the eyes. In these ""deprived"" moments of a lockdown, memories of that lunch will sustain us and we surely will reward ourselves with another visit once we are able to and have survived!",March 2020,Paradise Dynasty Philippines,https://www.tripadvisor.com/Restaurant_Review-g298452-d11845018-Reviews-Paradise_Dynasty_Philippines-Pasay_Metro_Manila_Luzon.html,"Luzon, Philippines",restaurants,5.0,4.0
good place for a ladies' lunch,"Found in the Capitol Commons of Pasig, there are a number of places to eat but a friend chose this place as they gave us a small private room where we could talk, laugh and of course order some food even if the UCC is basically a coffeeshop. Each one in our group ordered differently from the other. I had a delicious crispy walnut, cranberry and gorgonzola salad which was hefty enough that I didn't order anything more. Others had their mushroom soup with truffle oil and I settled for an affolata in guise of dessert as it was ice cream also came with espresso. My seatmate had crêpe samurai for which she had longed for! Overall impression was very good, food and service too. Bravo for the patience of the staff in serving as photographers for the group of a dozen ladies!",February 2020,UCC Clockwork,https://www.tripadvisor.com/Restaurant_Review-g298453-d8686840-Reviews-UCC_Clockwork-Pasig_Metro_Manila_Luzon.html,"Luzon, Philippines",restaurants,4.0,3.5
an almost infinite stretch of beach and sand,"We came to visit St Efflam and it was low tide. There was this immense flat stretch of a beach with sand that was firm and scattered cockle shells. On the right was the promontory of the Grand Rocher. It was a calm November morning, no wind, a mother and child walking in the distance, the sun shining intermittently giving us a great postcard panorama. I wonder if we would have this solitude in the summer months...",November 2019,Site du Grand Rocher,https://www.tripadvisor.com/Attraction_Review-g1150566-d10167403-Reviews-Site_du_Grand_Rocher-Plestin_les_Greves_Cotes_d_Armor_Brittany.html,"Plestin les Greves, France",attractions,5.0,5.0
an excellent dining experience,"It was a November evening when we left our hotel to go on an adventurous hunt for a place to have dinner knowing very well that most establishments would be close at this ""dead"" season of the year. But there was Le Gibus, all lighted up with the welcoming ""Ouvert"" sign. We were struck by the tasteful decor and I particularly loved the antique-looking china. We were informed that they were reeditions of plates of the 30s. With few clients that evening, we had the full but discreet attention of the owners. There was a wood grill beside which we sat as it was windy, wet and cold outside. And being in Brittany we took advantage of ordering sea food. We started with a hot fish soup garnished with a rouille, grated cheese and bread freshly toasted from the grill. Then we chose to have char-grilled soles with melted butter that came with a potato baked in the embers, a surprising ratatouille that was cooked with eggs, a small mound of tasty rice and half a cooked tomato all this accompanied by an excellent muscadet. It was really an excellent way of celebrating our Thanksgiving evening that we didn't think a dessert was necessary to cap the meal.",November 2019,Le Gibus,https://www.tripadvisor.com/Restaurant_Review-g425019-d1339532-Reviews-Le_Gibus-Locquirec_Finistere_Brittany.html,"Locquirec, France",restaurants,5.0,4.0
opened for us in spite of being closed for the season,"In November, most if not all hotels in seaside resorts are closed. We were fortunate to have the owner open one room for us in spite of the fact that they were closed for the season. We were given a room that could be opened directly from the exterior without going through the hotel. It seemed to be a room adapted for handicaps as from the parking there are no steps but just an easy ramp to get to the room with a view of the ocean. The room was clean, nicely provided with towels, TV, heating and a breakfast was thoughtfully provided for the next morning. We may not be able to describe the facilities of the hotel. But considering the kind and exceptional reception given to tired travellers (we drove 800 kms to Brittany), we would recommend this hotel anytime!",November 2019,Hotel les Panoramas,https://www.tripadvisor.com/Hotel_Review-g1150566-d1145670-Reviews-Hotel_les_Panoramas-Plestin_les_Greves_Cotes_d_Armor_Brittany.html,"Plestin les Greves, France",hotels,4.0,4.0
"delicous lunch, lovely setting","Tucked away in the old picturesque part of Sainte-Alvère and not even a year old is this new restaurant that is one of the rare places open in November when most of the Dordogne is already hibernating. It is an old house tastefully renovated, furnished with rough wooden tables, unmatched chairs all exuding a lot of charm. The atmosphere is warm and welcoming. One big glass wall shows the kitchen where Raphael the chef whips up his dishes while gracious Gemma attends to the guests. We opted for the menu of the day starting with a delicious soup followed by a specialty of Reunion - the rugai. The apple crumble topped by a sherbet and an espresso ended a truly lovely lunch.",November 2019,DIX Restaurant & Chambres d'Hôtes,https://www.tripadvisor.com/Restaurant_Review-g2562749-d19077775-Reviews-DIX_Restaurant_Chambres_d_Hotes-Sainte_Alvere_Dordogne_Nouvelle_Aquitaine.html,"Sainte-Alvere, France",restaurants,5.0,5.0
"Excellent food, attentive and friendly service","This was the first leg of my flight from Paris to Manila as I had a lay-over in Riyadh for some 3 or more hours. Check-in was efficiçent and while I was limited to only 2 luggages, a box of some 4 kilos, my 3rd checked in luggage was waved off as I barely exceeded the 40 kilos allowance. I was prepared for flights that didn't serve alcohol so if one cannot wean himself from this for the duration of the flight, better get the alcoholic drinks at the lounges while not on Saudi Arabian soil. This was not a problem for me as the food was excellent, delicious and well presented. Seats comfortably evolve into horizontal beds. Quiet atmosphere, discreet and attentive stewardesses. I would certainly fly Saudia again.",November 2019,Saudia Airlines,https://www.tripadvisor.com/Airline_Review-d8729144-Reviews-Saudia-Airlines,World,flights,5.0,3.5
"good Thai food, quiet ambiance","In front a lush tropical garden along a long row of restaurants is this fairly inimate Thai restaurant. Many establishments in the Philippines usually have ambiance music often played quite loudly but here, there were just the clinks of cutlery on the dishes and quiet talks of other clients. It was wonderful to have normal conversations with friends throughout the dinner without having to raise one's voice above the music!. The food was very good, nicely presented. We particularly loved the crispy soft shell crab appetizers, the papaya salad and the pad thai which was brought to the table wrapped in an edible netting and later mixed wiith its ingredients by the waiter. The chicken pandan was a bit dry to my taste. Dessert was a delicious sticky rice and mangoes. Service good, prompt, discreet and friendly.",November 2019,Simply Thai,https://www.tripadvisor.com/Restaurant_Review-g298573-d2354954-Reviews-Simply_Thai-Manila_Metro_Manila_Luzon.html,"Luzon, Philippines",restaurants,4.0,4.0
"Excellent, immense museum","After having visited the Acropolis in the morning and a well deserved rest and lunch, we were brought to this museum. We entered on a ramp that was elevated to respect the Roman ruins brought to light when the museum was being built. The building is immense, I presume, gigantic enough to house the treasures from the Acropolis. Artifacts are plentiful that many are displayed through transparent floors which made me quite uneasy. We did admire the original Caryatids and noticed a space among the 5 standing to indicate the ""missing"" 6th one, now in London as it had been taken by Lord Elgin. There are reconstitutions of the statuary of the pediments, showing Athena and Poseidon and other gods. There are actual reliefs of the metopes and the frieze and seating areas all along the glass walls to enable the viewer to linger longer on the reliefs. At one place, the Acropolis high above is seen through the glass wall. It was at this point that I realised we were going through the actual width and length of the Parthenon while viewing the frieze and metopes! The museum makes the experience of the Acropolis and the Parthenon really sink in.",September 2019,Acropolis Museum,https://www.tripadvisor.com/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
topiary at its marvellous best,"I had not visited the Jardins de Marqueyssac in probably a decade and had the happy opportunity to see it again accompanying some tourist friends. Marqueyssac is on a hilltop and as we parked the car, there was the Beynac château in the distance across the Dordogne river. The geographical position of this garden offers visitors an almost 360° view of the valley. This garden has flowers, minimal in quantity and limited to white and blue blossoms. But there are a thousand shades of green in the boxwood (of different varieties), rosemary, santoline etc. There is what seems to be a sea of green sponges made up of hand-trimmed box topiary. Very interesting organic shapes here contrast with the strict geometry of another excellent topiary garden at Eyrignac. The garden is more relaxed, in my opinion, than Eyrignac in the wooden arches that frame a shaded path, the whimsical chairs to sit on while enjoying the view, the mineral cliffs accented again by trimmed boxwood and a view of another picturesque village - La Roque Gageac. There is a café where we sat after the walk but service was slow. We didn't have time to visit the interior of the château. And we were lucky to see a couple of hot air balloons rise in the sky with the château of Beynac in the background.",October 2019,Les Jardins de Marqueyssac,https://www.tripadvisor.com/Attraction_Review-g580129-d1097259-Reviews-Les_Jardins_de_Marqueyssac-Vezac_Dordogne_Nouvelle_Aquitaine.html,"Vezac, France",attractions,5.0,4.5
